,time,Discharge,T_a,RH,v_a
144,2021-11-24 00:15:00,,,,
145,2021-11-24 00:30:00,,,,
146,2021-11-24 00:45:00,,,,
147,2021-11-24 01:00:00,,,,
148,2021-11-24 01:15:00,,,,
149,2021-11-24 01:30:00,,,,
150,2021-11-24 01:45:00,,,,
151,2021-11-24 02:00:00,,,,
152,2021-11-24 02:15:00,,,,
153,2021-11-24 02:30:00,,,,
154,2021-11-24 02:45:00,,,,
155,2021-11-24 03:00:00,,,,
156,2021-11-24 03:15:00,,,,
157,2021-11-24 03:30:00,,,,
158,2021-11-24 03:45:00,,,,
159,2021-11-24 04:00:00,,,,
160,2021-11-24 04:15:00,,,,
161,2021-11-24 04:30:00,,,,
162,2021-11-24 04:45:00,,,,
163,2021-11-24 05:00:00,,,,
164,2021-11-24 05:15:00,,,,
165,2021-11-24 05:30:00,,,,
166,2021-11-24 05:45:00,,,,
167,2021-11-24 06:00:00,,,,
168,2021-11-24 06:15:00,,,,
169,2021-11-24 06:30:00,,,,
170,2021-11-24 06:45:00,,,,
171,2021-11-24 07:00:00,,,,
172,2021-11-24 07:15:00,,,,
173,2021-11-24 07:30:00,,,,
174,2021-11-24 07:45:00,,,,
175,2021-11-24 08:00:00,,,,
176,2021-11-24 08:15:00,,,,
177,2021-11-24 08:30:00,,,,
178,2021-11-24 08:45:00,,,,
179,2021-11-24 09:00:00,,,,
180,2021-11-24 09:15:00,,,,
181,2021-11-24 09:30:00,,,,
182,2021-11-24 09:45:00,,,,
183,2021-11-24 10:00:00,,,,
184,2021-11-24 10:15:00,,,,
185,2021-11-24 10:30:00,,,,
186,2021-11-24 10:45:00,,,,
187,2021-11-24 11:00:00,,,,
188,2021-11-24 11:15:00,,,,
189,2021-11-24 11:30:00,,,,
190,2021-11-24 11:45:00,,,,
191,2021-11-24 12:00:00,,,,
192,2021-11-24 12:15:00,,,,
193,2021-11-24 12:30:00,,,,
194,2021-11-24 12:45:00,,,,
195,2021-11-24 13:00:00,,,,
196,2021-11-24 13:15:00,,,,
197,2021-11-24 13:30:00,,,,
198,2021-11-24 13:45:00,,,,
199,2021-11-24 14:00:00,,,,
200,2021-11-24 14:15:00,,,,
201,2021-11-24 14:30:00,,,,
202,2021-11-24 14:45:00,,,,
203,2021-11-24 15:00:00,,,,
204,2021-11-24 15:15:00,,,,
205,2021-11-24 15:30:00,,,,
206,2021-11-24 15:45:00,,,,
207,2021-11-24 16:00:00,,,,
208,2021-11-24 16:15:00,,,,
209,2021-11-24 16:30:00,,,,
210,2021-11-24 16:45:00,,,,
211,2021-11-24 17:00:00,,,,
212,2021-11-24 17:15:00,,,,
213,2021-11-24 17:30:00,,,,
214,2021-11-24 17:45:00,,,,
215,2021-11-24 18:00:00,,,,
216,2021-11-24 18:15:00,,,,
217,2021-11-24 18:30:00,,,,
218,2021-11-24 18:45:00,,,,
219,2021-11-24 19:00:00,,,,
220,2021-11-24 19:15:00,,,,
221,2021-11-24 19:30:00,,,,
222,2021-11-24 19:45:00,,,,
223,2021-11-24 20:00:00,,,,
224,2021-11-24 20:15:00,,,,
