temp,Discharge,T_F
-11.4,5.712330524344568,3.7862777777777783
-11.2,5.616944444444445,3.7929166666666663
-10.7,5.358861111111111,3.79225
-10.1,5.042055555555557,3.775888888888889
-9.7,4.901166666666667,3.7867222222222217
-9.2,4.630833333333333,3.779166666666667
-8.8,4.463805555555556,3.772555555555555
-8.7,4.454777777777778,3.530388888888889
-8.3,4.208583333333333,3.51675
-8.2,4.164333333333333,3.508166666666667
-8.1,4.189,3.661805555555556
-7.9,4.029638888888889,3.6814722222222223
-7.8,3.984888888888889,3.550388888888889
-7.7,3.999805555555556,3.5285555555555552
-7.3,3.904515293383272,3.6801610486891385
-7.2,3.7740443196004985,3.669611111111111
-6.9,3.6185277777777776,3.5097777777777783
-6.8,3.4945446317103617,3.7519272784019977
-6.7,3.642460674157303,3.7799806491885146
-6.6,3.4932777777777773,3.6718888888888888
-6.5,3.4877278401997502,3.682305555555556
-6.4,3.4941388888888887,3.614194444444444
-6.3,3.293805555555556,3.605583333333333
-6.2,3.3656388888888893,3.498305555555556
-6.1,3.240361111111111,3.5542777777777776
-5.9,3.36525,3.6415
-5.8,3.083416666666667,3.5645
-5.7,3.122888888888889,3.5260000000000002
-5.6,2.968255617977529,3.5674029338327093
-5.5,3.0579391385767787,3.62425
-5.4,2.815305555555556,3.535055555555556
-5.3,2.9202222222222214,3.6207777777777777
-5.2,2.9675277777777778,3.614305555555556
-5.1,2.728638888888889,3.611
-5.0,2.6844722222222224,3.5468333333333333
-4.9,2.7800277777777778,3.5564722222222223
-4.8,2.610055555555556,3.601111111111111
-4.7,2.462833333333333,3.7598055555555554
-4.6,2.441138888888889,3.7662777777777787
-4.5,2.48566354556804,3.762388888888889
-4.4,2.6028333333333333,3.607833333333333
-4.3,2.471222222222222,3.738194444444445
-4.2,2.4476666666666667,3.7141573033707855
-4.1,2.5906111111111105,3.735083333333333
-4.0,2.381,3.7262777777777787
-3.9,2.2715277777777776,3.760861111111111
-3.8,2.1822222222222223,3.5900277777777787
-3.7,2.2201111111111107,3.734944444444445
-3.6,2.3329722222222222,3.6225833333333335
-3.5,2.2136744694132338,3.7595284019975033
-3.4,2.3006666666666664,3.7092777777777783
-3.3,1.865222222222222,3.705944444444445
-3.2,2.3936944444444443,3.719194444444444
-3.1,1.8224166666666668,3.716194444444445
-3.0,2.2509213483146064,3.739694444444445
-2.9,2.240444444444445,4.6241666666666665
-2.8,2.4524166666666667,5.1775911360799
-2.7,1.8009166666666667,3.6302777777777777
-2.6,2.4218611111111112,4.18475
-2.5,1.9949444444444444,3.654083333333333
-2.4,2.110583333333333,4.832416666666667
-2.3,2.0288888888888894,4.7095
-2.2,1.955805555555556,4.594609550561797
-2.1,2.234555555555556,4.542944444444443
-2.0,2.3550833333333334,5.174111111111111
