,When,sea,T_a,RH,v_a,Discharge,SW_direct,SW_diffuse,Prec,p_a,a,vp_a,LW_in
0,2021-01-30 17:15:00,0.0,0.845,17.11,1.075,60,18.938,6.312,0,691.424,0.0,0.0,189.4
1,2021-01-30 17:30:00,0.0,-0.085,18.06,0.483,60,9.428,3.142,0,691.48,0.35,1.09612,187.2
2,2021-01-30 17:45:00,0.0,-0.602,18.78,0.96,60,4.097,1.366,0,691.537,0.35,1.09761,184.2
3,2021-01-30 18:00:00,0.0,-1.353,19.61,0.393,60,-1.366,-0.455,0,691.594,0.35,1.08467,183.3
4,2021-01-30 18:15:00,0.0,-1.937,20.69,0.333,60,-3.265,-1.088,0,691.752,0.35,1.09614,183.8
5,2021-01-30 18:30:00,0.0,-2.167,21.95,0.413,60,-2.787,-0.929,0,691.911,0.35,1.14325,183.8
6,2021-01-30 18:45:00,0.0,-1.993,21.97,1.237,60,-2.592,-0.864,0,692.069,0.35,1.15914,183.1
7,2021-01-30 19:00:00,0.0,-2.341,24.47,1.022,60,-2.604,-0.868,0,692.227,0.35,1.25816,182.7
8,2021-01-30 19:15:00,0.0,-1.845,25.4,1.754,60,-2.464,-0.821,0,692.39,0.35,1.35485,182.6
9,2021-01-30 19:30:00,0.0,-1.729,23.01,2.09,60,-2.72,-0.906,0,692.552,0.35,1.23793,182.1
10,2021-01-30 19:45:00,0.0,-1.942,22.25,2.192,60,-2.671,-0.89,0,692.715,0.35,1.17835,182.1
11,2021-01-30 20:00:00,0.0,-2.108,22.3,2.216,60,-2.668,-0.889,0,692.877,0.35,1.16657,182.0
12,2021-01-30 20:15:00,0.0,-2.219,23.5,2.486,60,-2.609,-0.87,0,692.959,0.35,1.21927,182.0
13,2021-01-30 20:30:00,0.0,-2.445,24.04,2.872,60,-2.634,-0.878,0,693.04,0.35,1.22654,182.5
14,2021-01-30 20:45:00,0.0,-2.654,24.97,3.024,60,-2.636,-0.878,0,693.121,0.35,1.25434,182.6
15,2021-01-30 21:00:00,0.0,-2.796,27.47,2.896,60,-2.536,-0.845,0,693.202,0.35,1.36541,182.3
16,2021-01-30 21:15:00,0.0,-3.03,27.03,2.14,60,-2.581,-0.86,0,693.263,0.35,1.32029,181.8
