,When,sea,T_a,RH,v_a,Discharge,SW_direct,SW_diffuse,Prec,p_a,a,vp_a,LW_in
0,2020-12-14 00:00:00,0.0,-9.68,44.13,0.774,60,-2.71,-0.904,0,689.477,0.0,0.0,171.3
1,2020-12-14 00:15:00,0.0,-10.14,39.03,0.0,60,-2.32,-0.774,0,689.424,0.35,1.10266,171.1
2,2020-12-14 00:30:00,0.0,-10.47,41.46,0.269,60,-2.296,-0.766,0,689.371,0.35,1.14097,170.5
3,2020-12-14 00:45:00,0.0,-10.62,56.8,0.397,60,-2.324,-0.774,0,689.318,0.35,1.54454,170.0
4,2020-12-14 01:00:00,0.0,-10.6,58.43,0.736,60,-2.47,-0.824,0,689.265,0.35,1.5914,169.6
5,2020-12-14 01:15:00,0.0,-10.79,59.84,0.77,60,-2.562,-0.854,0,689.286,0.35,1.60528,169.1
6,2020-12-14 01:30:00,0.0,-11.09,52.65,0.745,60,-2.573,-0.858,0,689.307,0.35,1.37891,168.5
7,2020-12-14 01:45:00,0.0,-11.28,48.01,0.389,60,-2.38,-0.794,0,689.328,0.35,1.23839,168.2
8,2020-12-14 02:00:00,0.02359,-11.41,58.32,0.538,60,-2.316,-0.772,0,689.35,0.35,1.48871,167.9
9,2020-12-14 02:15:00,0.0702,-11.54,60.22,0.861,60,-2.442,-0.814,0,689.39,0.35,1.52124,167.4
10,2020-12-14 02:30:00,0.11571,-11.74,54.34,0.671,60,-2.521,-0.84,0,689.431,0.35,1.35078,167.0
11,2020-12-14 02:45:00,0.16,-12.05,60.87,0.299,60,-2.2,-0.734,0,689.471,0.35,1.47574,166.9
12,2020-12-14 03:00:00,0.20295,-11.98,55.02,0.628,60,-2.202,-0.734,0,689.512,0.35,1.34147,166.5
13,2020-12-14 03:15:00,0.24441,-12.19,60.62,0.905,60,-2.406,-0.802,0,689.471,0.35,1.45315,166.0
14,2020-12-14 03:30:00,0.28424,-12.39,58.97,0.569,60,-2.442,-0.814,0,689.431,0.35,1.39089,165.7
15,2020-12-14 03:45:00,0.32228,-12.63,62.2,0.776,60,-2.311,-0.77,0,689.39,0.35,1.4388,165.5
16,2020-12-14 04:00:00,0.35834,-12.83,59.4,0.637,60,-2.365,-0.788,0,689.35,0.35,1.35188,165.2
17,2020-12-14 04:15:00,0.39225,-12.98,59.17,0.426,60,-2.434,-0.812,0,689.37,0.35,1.33031,164.9
18,2020-12-14 04:30:00,0.42381,-13.35,55.46,0.586,60,-2.318,-0.773,0,689.39,0.35,1.20982,164.5
19,2020-12-14 04:45:00,0.45281,-13.53,54.91,0.533,60,-2.275,-0.758,0,689.41,0.35,1.18032,164.3
20,2020-12-14 05:00:00,0.47904,-13.67,68.7,0.329,60,-2.227,-0.742,0,689.431,0.35,1.45991,163.9
21,2020-12-14 05:15:00,0.50231,-13.76,57.52,0.616,60,-2.275,-0.758,0,689.513,0.35,1.21335,163.7
22,2020-12-14 05:30:00,0.5224,-13.83,65.29,0.906,60,-2.228,-0.743,0,689.596,0.35,1.36936,163.2
23,2020-12-14 05:45:00,0.53912,-13.87,57.94,0.771,60,-2.356,-0.786,0,689.679,0.35,1.21122,162.9
24,2020-12-14 06:00:00,0.55233,-14.29,56.56,0.627,60,-2.332,-0.778,0,689.762,0.35,1.14223,162.7
25,2020-12-14 06:15:00,0.56186,-14.55,55.51,0.649,60,-2.126,-0.708,0,689.89,0.35,1.09724,162.4
26,2020-12-14 06:30:00,0.56761,-14.65,55.78,0.447,60,-2.165,-0.722,0,690.019,0.35,1.0935,162.2
27,2020-12-14 06:45:00,0.56953,-14.76,56.56,0.616,60,-2.126,-0.709,0,690.147,0.35,1.09875,162.0
28,2020-12-14 07:00:00,0.56759,-14.67,71.83,0.734,60,-2.326,-0.776,0,690.276,0.35,1.40581,161.6
29,2020-12-14 07:15:00,0.5618,-14.93,60.83,0.68,60,-1.015,-0.338,0,690.398,0.35,1.16518,161.2
30,2020-12-14 07:30:00,0.55224,-15.18,56.96,0.408,60,2.492,0.831,0,690.52,0.35,1.06865,160.9
31,2020-12-14 07:45:00,0.53902,-15.22,60.18,0.576,60,8.07,2.69,0,690.642,0.35,1.12532,160.8
