,time,ghi,SW_diffuse,cld,sea,f_cone,SW_direct,dis,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,snow_h,Discharge,alb,T_s,T_bulk,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
533,2021-12-25 13:00:00,306.729,103.602,0.352,0.342,0.20473481395581203,68.073,-0.02,4.19,71.675,0.55,171.675,0.0,6.433,88.67,289.9,44.07,0.0,0.798,-1.4120185005189732,-1.6695054685867559,30012.12600659334,32.72859978908761,0.0,260.4897987631045,0.0,0.8570302283007271,4178.847147235045,20.600317756008184,23.742860424063622,-9.9859876166513,1.5372099841568065,5.408056170083544,0.0,-0.10182120564448718,1219.6554842258847,70.9797635775213,1.4490654929934583,4.644140996343588,0.0,0.0,0.4852195133846022,1.0107191285099017e-05,0.0,0.0,20.600317756008184,0.0,,35671.118436817356,0.0,0.3120132939322099,5.438230212881329
534,2021-12-25 14:00:00,256.864,98.437,0.374,0.295,0.18412979546285801,47.058,-0.018,3.905,75.295,0.48,145.495,0.0,6.25,88.67,288.16,44.08,0.0,0.796,-0.5549882722182461,-1.6690920594290988,30012.611226106725,32.729128927052045,0.0,260.4897987631045,0.0,0.37020365467644284,4178.847147235045,8.898534344455138,21.848763102637793,-15.527146214207676,1.0680761246506527,1.9494039903960154,0.0,-0.44056265902164793,1219.6554842258847,70.97986538899295,1.4490889206857591,4.644140996343588,0.0,0.0,0.1749039178993924,7.454772145822429e-06,0.0,0.0,8.898534344455138,0.0,,35671.60365633074,0.0,0.3120201333539039,5.8391309660541
535,2021-12-25 15:00:00,166.851,83.659,0.428,0.208,0.144949615178233,1.521,-0.013,3.14,78.25,0.4,85.18,2.745,5.9,88.65,273.66,44.995,0.0,0.795,-0.18478461754180325,-1.6673033362129672,30012.786130024622,32.72931966196796,0.04274125306724401,260.4897987631045,0.0,-0.6192235872552254,4178.847147235045,-14.884192223610606,17.19529101476065,-31.680225956329764,0.6633668117903242,-0.4763754134524469,0.0,-0.5862486803793675,1219.6554842258847,70.97990208867887,1.4490973655134252,4.644140996343588,0.0,185.99574730495164,0.0,2.6871693102398257e-06,0.0,0.0,-14.884192223610606,0.0,,35671.77856024864,0.0,0.3120251779234635,6.020484504902776
536,2021-12-25 16:00:00,54.972,42.703,0.561,0.089,0.0898858603245217,-11.233,-0.006,1.93,82.35,0.48,31.47,0.0,5.6,88.64,266.015,45.055,0.0,0.793,-0.8040082047970287,-1.6649231275533103,30198.739136076507,32.932103747084525,0.05109299357944329,260.5325400161717,0.0,-1.1727088534577434,4178.847147235045,-28.188241463096436,8.630515611111752,-36.563973478841945,0.6545195634374714,-0.5691465331013976,0.0,-0.34015662570231847,1219.6554842258847,71.01903037231554,1.4580756726259902,4.644140996343588,0.0,0.0,0.0,0.002856922581595188,0.0,0.0,-28.188241463096432,0.0,,35857.77430755359,0.0,0.31202699630659886,5.71995666021175
537,2021-12-25 17:00:00,0.0,0.0,0.42,0.0,0.04740646496290234,0.675,-0.0,0.445,86.575,0.5,0.675,0.0,5.65,88.68,262.225,45.065,0.0,0.792,-1.9767170582547722,-1.663549816444827,30198.688043082926,32.93204802953427,0.0,260.58363300975117,0.0,-1.3378617862716653,4178.847147235045,-32.15799980061641,0.006655867680791487,-35.17597554012838,0.6041863696056234,2.2835489754035256,0.0,0.1235845268220283,1219.6554842258847,71.27270429080528,1.4520831559562692,4.653710009532147,0.0,0.0,0.20572926934235417,-7.845439449324738e-07,0.0,0.0,-32.15799980061641,0.0,,35857.77430755359,0.0,0.31202699630659886,5.187957596358149
538,2021-12-25 18:00:00,0.0,0.0,0.42,0.0,0.04740675926660451,0.955,-0.0,0.265,86.545,0.485,0.955,0.0,5.75,88.705,279.96,45.07,0.0,0.791,-3.3145788445264373,-1.6640505461211017,30198.89377235227,32.93227237988252,0.0,260.58363300975117,0.0,-0.19757534965783347,4178.847147235045,-4.749091513114765,0.009462152115817924,-11.615230696344781,0.8665100522692027,5.338823083340866,0.0,0.6513438955041297,1219.6554842258847,71.2727473699898,1.4520930483067678,4.653710009532147,0.0,0.0,0.4809850140236253,3.147773758269884e-06,0.0,0.0,-4.749091513114765,0.0,,35857.98003682293,0.0,0.31202699630659886,4.636358774964328
539,2021-12-25 19:00:00,0.0,0.0,0.42,0.0,0.04740744733224709,1.065,-0.0,1.415,82.315,0.48,1.065,0.0,5.617,88.71,300.62,45.145,0.0,0.789,-3.5121541941842707,-1.6666895916520166,30199.37475736629,32.93279690007229,0.0,260.58363300975117,0.0,0.7003490813564371,4178.847147235045,16.834194570565995,0.010653164527265903,9.897805383848436,1.1804897031148964,5.016976757991142,0.0,0.7282695610842526,1219.6554842258847,71.27284808806908,1.4521161761405375,4.653710009532147,0.0,0.0,0.451989887781332,7.3593373221310416e-06,0.0,0.0,16.834194570565995,0.0,,35858.461021836956,0.0,0.31202912199781685,4.559593536232187
540,2021-12-25 20:00:00,0.0,0.0,0.42,0.0,0.04740809391670356,-0.47,-0.0,0.86,83.905,0.355,-0.47,0.0,5.45,88.705,280.24,44.96,0.0,0.788,-2.8118051128278334,-1.6696402735406548,30199.826747254072,32.933289800713275,0.0,260.58363300975117,0.0,-0.42713436022708073,4178.847147235045,-10.266969885803809,-0.004723742477860341,-13.514434541866024,0.6505927840532902,2.150867811384409,0.0,0.45072780310237753,1219.6554842258847,71.27294273591224,1.4521379097635934,4.653710009532147,0.0,0.0,0.19377641926683437,6.915686046055366e-06,0.0,0.0,-10.266969885803809,0.0,,35858.91301172474,0.0,0.3120340917603767,4.83704930362873
541,2021-12-25 21:00:00,0.0,0.0,0.42,0.0,0.047408371118622325,-0.105,-0.0,0.505,83.9,0.535,-0.105,0.0,5.7,88.685,273.99,44.92,0.0,0.786,-3.238939473054914,-1.671466432833239,30200.020523673338,32.933501116328614,0.0,260.58363300975117,0.0,-0.4504547014396265,4178.847147235045,-10.827517720982852,-0.0010652660990354435,-17.91230180094601,0.9995092443397642,5.467775211857817,0.0,0.6185648898646139,1219.6554842258847,71.27298331358736,1.452147227369512,4.653710009532147,0.0,0.0,0.4926041942324016,2.9648784970403175e-06,0.0,0.0,-10.827517720982854,0.0,,35859.10678814401,0.0,0.3120387619317048,4.66605802172809
542,2021-12-25 22:00:00,0.0,0.0,0.42,0.0,0.04740907579886819,1.56,-0.0,0.88,83.84,0.47,1.56,0.0,5.8,88.68,299.58,44.915,0.0,0.785,-3.6893941744945407,-1.6739725826847338,30200.51312786757,32.93403830738012,0.0,260.58363300975117,0.0,0.7314720008439052,4178.847147235045,17.582291906884834,0.01590100402294039,9.621449115078008,1.0716095762209388,6.077997134965941,0.0,0.795335076597005,1219.6554842258847,71.27308646824379,1.452170913903575,4.653710009532147,0.0,0.0,0.5475812553634115,7.53709226879262e-06,0.0,0.0,17.582291906884834,0.0,,35859.59939233824,0.0,0.31204076412047455,4.4917174301244165
