,When,T_a,RH,v_a,p_a,SW_direct,SW_diffuse
0,2020-12-14 00:00:00,-9.72,24.25,2.405,617.679,-2.71,-0.904
1,2020-12-14 00:15:00,-9.96,23.53,3.023,617.596,-2.32,-0.774
2,2020-12-14 00:30:00,-9.93,22.84,2.616,617.513,-2.296,-0.7659999999999999
3,2020-12-14 00:45:00,-9.91,22.26,2.358,617.43,-2.324,-0.775
4,2020-12-14 01:00:00,-10.18,22.19,3.1430000000000002,617.3480000000001,-2.47,-0.823
5,2020-12-14 01:15:00,-10.14,21.59,2.715,617.332,-2.562,-0.8540000000000001
6,2020-12-14 01:30:00,-10.33,22.54,3.237,617.317,-2.573,-0.858
7,2020-12-14 01:45:00,-10.4,21.36,3.201,617.302,-2.38,-0.794
8,2020-12-14 02:00:00,-10.31,20.52,2.407,617.286,-2.316,-0.772
9,2020-12-14 02:15:00,-10.38,21.67,2.602,617.276,-2.4419999999999997,-0.8140000000000001
10,2020-12-14 02:30:00,-10.52,22.11,3.325,617.266,-2.521,-0.84
11,2020-12-14 02:45:00,-10.66,22.11,3.5180000000000002,617.255,-2.2,-0.733
12,2020-12-14 03:00:00,-10.89,23.49,4.563,617.245,-2.202,-0.7340000000000001
13,2020-12-14 03:15:00,-10.97,22.81,4.716,617.185,-2.406,-0.802
14,2020-12-14 03:30:00,-11.22,22.97,4.815,617.125,-2.4419999999999997,-0.8140000000000001
15,2020-12-14 03:45:00,-11.25,21.95,4.163,617.064,-2.311,-0.77
16,2020-12-14 04:00:00,-11.38,22.1,5.008,617.004,-2.365,-0.7879999999999999
17,2020-12-14 04:15:00,-11.41,22.73,4.75,616.964,-2.435,-0.812
18,2020-12-14 04:30:00,-11.43,22.91,4.58,616.924,-2.318,-0.773
19,2020-12-14 04:45:00,-11.43,21.6,5.029,616.884,-2.275,-0.758
20,2020-12-14 05:00:00,-11.41,21.89,5.004,616.844,-2.227,-0.742
21,2020-12-14 05:15:00,-11.32,19.92,4.603,616.9169999999999,-2.275,-0.758
