,time,t2m,d2m,u10,v10,ssrd,tcc
0,2018-12-31 19:00:00,246.34155,242.56427,-0.6890179,0.38952452,0.0,1.0
1,2018-12-31 20:00:00,246.55835,242.59367,-0.72622836,0.45366058,0.0,0.9990081
2,2018-12-31 21:00:00,247.4048,243.32343,-0.70145744,0.41892257,0.0,0.9990081
3,2018-12-31 22:00:00,247.54318,243.46138,-0.6677625,0.4414067,0.0,1.0
4,2018-12-31 23:00:00,248.04752,243.88129,-0.6845289,0.45512202,0.0,1.0
5,2019-01-01 00:00:00,249.11998,245.00154,-0.6665727,0.44427344,0.0,1.0
6,2019-01-01 01:00:00,249.40367,245.29933,-0.66451746,0.42336318,0.0,0.97772115
7,2019-01-01 02:00:00,249.59357,245.59785,-0.6612183,0.41751727,0.0,0.950544
8,2019-01-01 03:00:00,249.98488,245.84514,-0.67852545,0.39958617,0.0,0.9078327
9,2019-01-01 04:00:00,250.36082,246.54623,-0.671224,0.39345926,0.0,0.8460165
10,2019-01-01 05:00:00,250.86899,247.30615,-0.711355,0.4359543,0.0,0.7451055
11,2019-01-01 06:00:00,249.33678,247.24055,-0.7044862,0.34961516,0.0,0.8025727
12,2019-01-01 07:00:00,248.93393,247.1893,-0.7532708,0.36001408,0.0,0.8185036
13,2019-01-01 08:00:00,248.62949,247.02797,-0.7734445,0.32049817,0.0,0.8984481
14,2019-01-01 09:00:00,248.41884,246.18288,-0.6545658,0.2436024,0.0,0.9256863
15,2019-01-01 10:00:00,248.43806,245.9831,-0.58820367,0.16490784,0.0,0.8998062
16,2019-01-01 11:00:00,249.03233,246.33289,-0.5274122,0.1576567,0.0,0.84798497
17,2019-01-01 12:00:00,250.35698,247.09581,-0.4703526,0.14152433,0.0,0.8192666
18,2019-01-01 13:00:00,251.08887,247.59413,-0.49842268,0.13258688,0.0,0.638167
19,2019-01-01 14:00:00,251.6524,247.9869,-0.526006,0.1840756,0.0,0.53002304
20,2019-01-01 15:00:00,251.92224,248.057,-0.590962,0.23415905,0.0,0.41394413
21,2019-01-01 16:00:00,252.16519,248.1731,-0.5701393,0.20847088,0.0,0.28233105
22,2019-01-01 17:00:00,251.17575,247.86853,-0.6640848,0.15917438,0.0,0.0062716603
23,2019-01-01 18:00:00,251.14038,247.68384,-0.64250493,0.12758416,0.0,0.0
24,2019-01-01 19:00:00,251.18343,247.7253,-0.5608367,0.13241826,0.0,0.0
25,2019-01-01 20:00:00,251.13423,247.6258,-0.5741956,0.12156965,0.0,0.0
26,2019-01-01 21:00:00,251.06119,247.59714,-0.53617394,0.06569654,0.0,0.0
27,2019-01-01 22:00:00,251.47403,247.75093,-0.4688382,0.010385521,0.0,0.0
28,2019-01-01 23:00:00,252.0591,248.02835,-0.45867026,-0.029636264,0.0,0.0
29,2019-01-02 00:00:00,251.45174,247.58131,-0.4546139,-0.059765026,0.0,0.0029908717
