,time,press,temp,wind,RH,ppt
0,2019-01-01 00:00:00,584.788,4.089,1.408,86.387,0.0
1,2019-01-01 01:00:00,585.314,3.678,0.766,87.473,0.0
2,2019-01-01 02:00:00,585.422,3.622,0.594,87.734,0.021
3,2019-01-01 03:00:00,585.645,3.036,0.452,91.156,0.006
4,2019-01-01 04:00:00,585.213,2.839,0.311,92.435,0.018
5,2019-01-01 05:00:00,584.721,2.746,0.267,92.286,0.018
6,2019-01-01 06:00:00,584.417,2.67,0.072,92.46,0.006
7,2019-01-01 07:00:00,584.195,2.442,0.992,92.841,0.006
8,2019-01-01 08:00:00,584.074,2.329,1.133,93.143,0.003
9,2019-01-01 09:00:00,584.148,2.042,0.999,94.784,0.003
10,2019-01-01 10:00:00,584.62,1.919,1.01,95.53,0.003
11,2019-01-01 11:00:00,585.139,2.438,1.418,92.1,0.0
12,2019-01-01 12:00:00,585.422,4.004,1.743,78.197,0.0
13,2019-01-01 13:00:00,585.557,5.863,1.648,69.992,0.039
14,2019-01-01 14:00:00,585.503,7.408,1.448,61.195,0.095
15,2019-01-01 15:00:00,585.476,8.944,1.22,58.508,0.071
16,2019-01-01 16:00:00,585.308,9.886,1.344,61.472,0.16
17,2019-01-01 17:00:00,584.869,10.338,1.195,66.392,0.424
18,2019-01-01 18:00:00,584.397,8.889,0.881,76.08,1.835
19,2019-01-01 19:00:00,584.633,8.168,0.843,84.496,1.183
20,2019-01-01 20:00:00,584.074,7.475,0.83,87.452,1.616
21,2019-01-01 21:00:00,583.939,6.887,0.875,85.606,1.091
22,2019-01-01 22:00:00,584.006,5.538,1.09,90.186,1.142
23,2019-01-01 23:00:00,584.829,4.342,1.362,90.577,0.78
24,2019-01-02 00:00:00,585.227,3.532,1.473,91.075,1.198
25,2019-01-02 01:00:00,586.198,3.096,0.827,91.036,0.0
26,2019-01-02 02:00:00,586.366,2.685,0.197,91.413,0.626
27,2019-01-02 03:00:00,586.501,2.465,0.178,93.554,0.142
28,2019-01-02 04:00:00,586.211,2.506,0.499,93.035,0.024
29,2019-01-02 05:00:00,585.604,2.484,0.252,93.252,0.009
30,2019-01-02 06:00:00,585.388,2.509,0.364,93.576,0.003
31,2019-01-02 07:00:00,584.95,0.936,0.775,98.523,0.0
32,2019-01-02 08:00:00,584.856,0.152,0.892,98.337,0.0
33,2019-01-02 09:00:00,585.065,-0.062,1.108,97.567,0.003
34,2019-01-02 10:00:00,585.449,0.351,1.377,97.056,0.003
35,2019-01-02 11:00:00,585.732,0.823,1.587,96.751,0.006
36,2019-01-02 12:00:00,586.15,2.281,1.632,97.426,0.009
37,2019-01-02 13:00:00,586.474,4.949,2.054,79.314,0.0
38,2019-01-02 14:00:00,586.366,7.471,2.314,63.539,0.083
39,2019-01-02 15:00:00,586.218,8.873,1.553,56.771,0.116
40,2019-01-02 16:00:00,585.8,9.992,1.332,53.856,0.181
41,2019-01-02 17:00:00,585.672,10.58,0.919,53.649,0.036
42,2019-01-02 18:00:00,585.301,10.964,0.766,58.672,0.175
43,2019-01-02 19:00:00,585.004,8.358,0.755,77.189,1.388
44,2019-01-02 20:00:00,584.505,7.243,1.821,84.572,1.4
45,2019-01-02 21:00:00,584.33,6.404,2.299,89.195,1.18
46,2019-01-02 22:00:00,584.451,5.721,1.877,88.407,0.676
47,2019-01-02 23:00:00,585.132,4.705,1.262,89.691,0.471
48,2019-01-03 00:00:00,585.651,4.26,1.164,90.631,0.243
49,2019-01-03 01:00:00,586.177,3.99,0.751,91.404,0.0
50,2019-01-03 02:00:00,586.656,3.713,0.428,92.573,0.101
