,time,temp,wind,RH,ppt
0,2020-01-01 00:00:00,-27.163,3.413,79.936,0.0
1,2020-01-01 01:00:00,-27.088,3.337,80.748,0.0
2,2020-01-01 02:00:00,-26.946,3.299,81.329,0.0
3,2020-01-01 03:00:00,-26.905,3.278,82.469,0.0
4,2020-01-01 04:00:00,-27.271,3.268,81.743,0.001
5,2020-01-01 05:00:00,-27.837,3.299,80.87,0.001
6,2020-01-01 06:00:00,-28.65,3.36,80.845,0.0
7,2020-01-01 07:00:00,-28.826,3.604,77.887,0.001
8,2020-01-01 08:00:00,-28.689,3.727,76.616,0.001
9,2020-01-01 09:00:00,-28.378,3.881,76.316,0.001
10,2020-01-01 10:00:00,-28.044,3.988,77.207,0.002
11,2020-01-01 11:00:00,-28.013,3.932,79.459,0.003
12,2020-01-01 12:00:00,-28.132,3.709,80.961,0.005
13,2020-01-01 13:00:00,-28.379,3.499,81.619,0.004
14,2020-01-01 14:00:00,-28.857,3.391,80.871,0.002
15,2020-01-01 15:00:00,-29.152,3.37,81.432,0.003
16,2020-01-01 16:00:00,-29.369,3.315,80.587,0.003
17,2020-01-01 17:00:00,-29.6,3.257,80.257,0.003
18,2020-01-01 18:00:00,-29.641,3.214,79.767,0.004
19,2020-01-01 19:00:00,-29.45,3.229,80.345,0.004
20,2020-01-01 20:00:00,-29.592,3.145,80.338,0.005
21,2020-01-01 21:00:00,-29.636,3.102,79.751,0.004
22,2020-01-01 22:00:00,-28.948,2.984,78.326,0.004
23,2020-01-01 23:00:00,-28.44,2.897,77.834,0.006
24,2020-01-02 00:00:00,-28.263,2.78,77.721,0.006
25,2020-01-02 01:00:00,-28.219,2.665,77.569,0.0
26,2020-01-02 02:00:00,-27.996,2.559,77.58,0.008
27,2020-01-02 03:00:00,-28.229,2.502,77.762,0.008
28,2020-01-02 04:00:00,-28.398,2.433,77.777,0.01
29,2020-01-02 05:00:00,-28.268,2.349,77.591,0.016
30,2020-01-02 06:00:00,-27.842,2.272,77.209,0.028
31,2020-01-02 07:00:00,-27.296,2.197,77.344,0.06
32,2020-01-02 08:00:00,-27.12,2.063,77.364,0.062
33,2020-01-02 09:00:00,-26.932,1.887,77.435,0.064
34,2020-01-02 10:00:00,-26.836,1.796,77.311,0.073
35,2020-01-02 11:00:00,-26.65,1.731,77.451,0.086
36,2020-01-02 12:00:00,-26.716,1.737,77.518,0.089
37,2020-01-02 13:00:00,-26.573,1.674,77.559,0.091
38,2020-01-02 14:00:00,-26.415,1.649,77.593,0.094
39,2020-01-02 15:00:00,-26.391,1.682,77.551,0.089
40,2020-01-02 16:00:00,-26.275,1.746,77.53,0.078
41,2020-01-02 17:00:00,-26.338,1.743,77.639,0.048
42,2020-01-02 18:00:00,-26.37,1.679,77.634,0.03
43,2020-01-02 19:00:00,-27.116,1.707,77.418,0.019
44,2020-01-02 20:00:00,-27.175,1.783,77.221,0.025
45,2020-01-02 21:00:00,-27.637,1.673,76.381,0.029
46,2020-01-02 22:00:00,-27.795,1.589,75.963,0.026
47,2020-01-02 23:00:00,-28.134,1.689,76.172,0.037
48,2020-01-03 00:00:00,-27.765,1.749,76.054,0.044
49,2020-01-03 01:00:00,-27.831,1.817,75.868,0.0
50,2020-01-03 02:00:00,-28.162,1.84,75.845,0.016
51,2020-01-03 03:00:00,-28.393,1.856,75.668,0.01
52,2020-01-03 04:00:00,-28.804,1.84,75.586,0.004
53,2020-01-03 05:00:00,-29.1,1.787,75.907,0.002
54,2020-01-03 06:00:00,-29.518,1.789,76.109,0.001
55,2020-01-03 07:00:00,-28.694,1.775,76.969,0.004
56,2020-01-03 08:00:00,-29.242,1.797,76.739,0.003
57,2020-01-03 09:00:00,-29.376,1.752,76.522,0.004
58,2020-01-03 10:00:00,-29.364,1.703,76.31,0.003
59,2020-01-03 11:00:00,-28.886,1.625,75.739,0.002
60,2020-01-03 12:00:00,-28.649,1.554,75.729,0.001
61,2020-01-03 13:00:00,-28.361,1.561,75.913,0.001
62,2020-01-03 14:00:00,-27.875,1.53,76.195,0.002
63,2020-01-03 15:00:00,-27.635,1.506,76.306,0.002
64,2020-01-03 16:00:00,-27.712,1.492,76.179,0.001
65,2020-01-03 17:00:00,-28.732,1.548,75.74,0.001
66,2020-01-03 18:00:00,-28.692,1.643,75.983,0.003
67,2020-01-03 19:00:00,-30.711,1.898,76.019,0.002
68,2020-01-03 20:00:00,-30.693,2.009,76.511,0.002
69,2020-01-03 21:00:00,-30.25,2.068,77.212,0.001
70,2020-01-03 22:00:00,-29.902,2.105,77.695,0.001
71,2020-01-03 23:00:00,-30.599,2.175,77.316,0.001
72,2020-01-04 00:00:00,-30.948,2.164,77.069,0.001
73,2020-01-04 01:00:00,-31.108,2.204,77.246,0.0
74,2020-01-04 02:00:00,-31.073,2.208,77.05,0.001
75,2020-01-04 03:00:00,-31.318,2.168,76.721,0.001
76,2020-01-04 04:00:00,-31.168,2.119,76.985,0.001
77,2020-01-04 05:00:00,-30.749,2.081,77.271,0.001
78,2020-01-04 06:00:00,-31.663,2.097,76.655,0.001
79,2020-01-04 07:00:00,-33.209,2.175,75.07,0.001
