,time,t2m,d2m,u10,v10,ssrd,tcc
0,2019-01-01 05:30:00,247.90492,245.64551,-0.19708216,-0.34597823,0.0,0.98535085
1,2019-01-01 06:30:00,248.03769,245.35867,-0.18751001,-0.3445683,0.0,0.9740131
2,2019-01-01 07:30:00,247.97336,244.95305,-0.21897101,-0.32844615,0.0,0.96088994
3,2019-01-01 08:30:00,246.97308,243.96031,-0.16080153,-0.27204928,210123.0,0.9871515
4,2019-01-01 09:30:00,249.09981,245.33028,-0.12217808,-0.24017277,718415.9,1.0
5,2019-01-01 10:30:00,253.69467,249.1713,-0.13904655,-0.24759018,1207027.0,0.9921566
6,2019-01-01 11:30:00,254.80547,250.34332,-0.16548729,-0.34726554,1624575.2,0.9945066
7,2019-01-01 12:30:00,256.26508,251.8851,-0.1486857,-0.46631202,1777737.5,0.99169886
8,2019-01-01 13:30:00,258.52457,253.44556,-0.08583057,-0.6106758,1743095.1,0.992828
9,2019-01-01 14:30:00,259.55618,254.01625,0.049317956,-0.6256945,1425427.5,0.98939466
10,2019-01-01 15:30:00,258.63013,254.02448,0.01845938,-0.6361157,932953.5,0.9960783
11,2019-01-01 16:30:00,258.9913,254.0439,0.024282992,-0.6058943,478187.75,0.9803305
12,2019-01-01 17:30:00,259.3063,253.65994,0.10896003,-0.49573648,93810.375,0.98680055
13,2019-01-01 18:30:00,258.65732,253.57553,0.15528136,-0.39140224,0.0,0.9921566
14,2019-01-01 19:30:00,257.81042,253.71448,0.14490592,-0.355296,0.0,0.98376393
15,2019-01-01 20:30:00,257.32306,253.38132,0.1369403,-0.3250746,0.0,0.99642926
16,2019-01-01 21:30:00,257.40057,253.46947,0.114114285,-0.31581816,0.0,0.99916077
17,2019-01-01 22:30:00,256.71942,253.11314,0.037938416,-0.3120175,0.0,1.0
18,2019-01-01 23:30:00,256.4737,253.00185,0.016317368,-0.26297674,0.0,1.0
19,2019-01-02 00:30:00,256.41513,252.83527,0.06129992,-0.23373617,0.0,1.0
20,2019-01-02 01:30:00,256.30795,252.88905,0.055342436,-0.21681711,0.0,0.9960783
21,2019-01-02 02:30:00,256.52728,253.1109,0.065249264,-0.19609737,0.0,0.99664295
22,2019-01-02 03:30:00,256.55698,253.46872,0.07903862,-0.18659572,0.0,0.9907375
23,2019-01-02 04:30:00,256.96024,253.59271,0.045837164,-0.16636641,0.0,1.0
24,2019-01-02 05:30:00,256.76233,253.46199,0.03418988,-0.15232849,0.0,1.0
25,2019-01-02 06:30:00,257.14578,253.5098,0.015179396,-0.11977768,0.0,1.0
26,2019-01-02 07:30:00,257.77167,254.10963,0.041753948,-0.11616093,0.0,1.0
27,2019-01-02 08:30:00,256.71448,253.41568,0.068395376,-0.07459888,169962.38,0.9931943
28,2019-01-02 09:30:00,257.93246,254.57649,-0.0058392286,-0.007106513,599712.0,0.9431126
29,2019-01-02 10:30:00,260.1994,256.128,-0.00014948845,-0.0041027665,1135718.9,0.9202997
30,2019-01-02 11:30:00,261.43964,256.53586,-0.0135371685,0.053336233,1520280.1,0.9527719
31,2019-01-02 12:30:00,262.2214,256.4111,0.07067132,0.28247923,1857384.4,0.973006
32,2019-01-02 13:30:00,263.50864,256.74127,0.33112848,0.30375063,1809252.9,0.8909862
33,2019-01-02 14:30:00,263.8245,256.5732,0.65189713,0.31907588,1579938.6,0.8232951
34,2019-01-02 15:30:00,262.6164,256.8085,0.95164716,0.32894534,1118428.2,0.84012634
35,2019-01-02 16:30:00,262.2981,256.72858,0.6665566,0.26200473,651706.25,0.79526347
