,time,press,temp,wind,RH,ppt
0,2020-01-01 00:00:00,585.51,3.082,1.663,79.843,0.0
1,2020-01-01 01:00:00,582.769,2.318,1.613,83.41,0.0
2,2020-01-01 02:00:00,583.308,1.993,1.308,84.978,0.278
3,2020-01-01 03:00:00,583.39,1.539,1.014,88.322,0.739
4,2020-01-01 04:00:00,583.301,1.353,0.616,89.335,0.552
5,2020-01-01 05:00:00,582.728,0.942,0.329,90.092,1.709
6,2020-01-01 06:00:00,582.244,0.583,0.224,91.98,0.913
7,2020-01-01 07:00:00,581.828,0.935,0.375,92.28,0.046
8,2020-01-01 08:00:00,581.597,0.906,0.429,92.3,0.143
9,2020-01-01 09:00:00,581.522,0.828,0.271,92.13,0.082
10,2020-01-01 10:00:00,581.699,0.652,0.213,93.547,0.122
11,2020-01-01 11:00:00,582.081,1.011,0.639,92.637,0.043
12,2020-01-01 12:00:00,582.496,2.619,1.139,86.466,0.104
13,2020-01-01 13:00:00,582.674,4.238,1.741,79.269,0.189
14,2020-01-01 14:00:00,582.762,5.124,1.724,78.451,0.433
15,2020-01-01 15:00:00,582.912,6.425,1.665,76.716,0.33
16,2020-01-01 16:00:00,582.626,7.338,1.837,78.099,0.443
17,2020-01-01 17:00:00,582.306,7.688,1.917,79.582,0.662
18,2020-01-01 18:00:00,581.972,7.713,1.823,83.87,0.8
19,2020-01-01 19:00:00,581.685,6.856,2.086,80.889,0.629
20,2020-01-01 20:00:00,581.447,5.85,2.435,83.706,0.748
21,2020-01-01 21:00:00,581.044,4.886,2.24,85.811,0.662
22,2020-01-01 22:00:00,581.154,3.808,2.076,92.864,1.227
23,2020-01-01 23:00:00,581.556,2.778,1.473,99.675,0.699
24,2020-01-02 00:00:00,581.965,2.371,1.18,98.767,0.9
25,2020-01-02 01:00:00,582.537,1.956,0.887,99.289,0.0
26,2020-01-02 02:00:00,582.81,1.432,0.729,99.498,1.45
27,2020-01-02 03:00:00,583.035,0.852,0.763,99.5,1.203
28,2020-01-02 04:00:00,582.728,0.602,1.186,99.385,0.931
29,2020-01-02 05:00:00,582.067,0.606,1.134,98.837,0.531
30,2020-01-02 06:00:00,581.638,0.694,1.256,97.753,0.171
31,2020-01-02 07:00:00,581.46,1.054,1.439,98.237,0.311
32,2020-01-02 08:00:00,581.085,1.123,1.583,97.372,0.226
33,2020-01-02 09:00:00,581.399,1.416,1.662,96.452,0.195
34,2020-01-02 10:00:00,581.372,1.483,1.599,96.762,0.137
35,2020-01-02 11:00:00,582.149,1.718,1.702,95.83,0.125
36,2020-01-02 12:00:00,582.585,2.844,2.155,86.438,0.116
37,2020-01-02 13:00:00,582.926,4.053,2.18,79.797,0.174
38,2020-01-02 14:00:00,583.185,4.442,2.271,78.601,0.229
39,2020-01-02 15:00:00,583.212,5.95,2.33,72.573,0.153
40,2020-01-02 16:00:00,582.919,7.635,2.462,68.979,0.11
41,2020-01-02 17:00:00,582.462,8.283,1.933,71.033,0.549
42,2020-01-02 18:00:00,582.162,8.356,1.109,75.746,0.525
43,2020-01-02 19:00:00,582.224,6.967,1.0,76.407,0.296
44,2020-01-02 20:00:00,581.631,6.924,0.489,77.666,0.333
45,2020-01-02 21:00:00,581.747,6.759,1.207,78.982,0.342
46,2020-01-02 22:00:00,581.747,5.158,1.701,84.526,0.827
47,2020-01-02 23:00:00,582.353,4.136,1.4,87.552,0.32
48,2020-01-03 00:00:00,582.892,3.439,1.222,92.773,0.296
49,2020-01-03 01:00:00,583.437,3.326,1.23,93.84,0.0
50,2020-01-03 02:00:00,583.935,2.977,1.295,95.956,0.562
51,2020-01-03 03:00:00,584.037,2.488,1.346,97.138,0.937
52,2020-01-03 04:00:00,583.88,1.803,1.389,97.166,1.212
53,2020-01-03 05:00:00,583.594,1.563,1.538,96.424,1.233
54,2020-01-03 06:00:00,583.212,1.423,1.5,95.492,0.778
55,2020-01-03 07:00:00,582.851,1.61,1.573,97.068,0.079
56,2020-01-03 08:00:00,582.687,1.524,1.573,97.389,0.104
57,2020-01-03 09:00:00,582.892,1.719,1.947,96.211,0.137
58,2020-01-03 10:00:00,583.144,1.72,1.743,96.171,0.156
59,2020-01-03 11:00:00,583.655,1.939,2.083,95.092,0.119
60,2020-01-03 12:00:00,584.126,2.797,2.662,87.102,0.092
61,2020-01-03 13:00:00,584.494,4.308,2.853,77.448,0.073
62,2020-01-03 14:00:00,584.828,5.572,3.003,70.515,0.262
63,2020-01-03 15:00:00,584.787,7.16,2.855,64.557,0.143
64,2020-01-03 16:00:00,584.753,7.905,2.841,65.448,0.269
65,2020-01-03 17:00:00,584.242,8.58,2.18,67.765,0.183
66,2020-01-03 18:00:00,583.853,9.468,1.235,70.605,0.736
67,2020-01-03 19:00:00,583.628,9.169,0.626,69.196,0.995
68,2020-01-03 20:00:00,583.11,7.366,1.633,79.045,1.312
69,2020-01-03 21:00:00,583.015,5.572,1.848,85.954,1.447
70,2020-01-03 22:00:00,583.165,5.062,2.198,84.501,0.586
71,2020-01-03 23:00:00,583.724,4.192,1.83,86.955,0.687
72,2020-01-04 00:00:00,584.283,3.202,1.715,94.171,0.256
73,2020-01-04 01:00:00,584.889,2.795,1.204,97.517,0.0
74,2020-01-04 02:00:00,584.958,2.749,1.514,96.957,0.015
75,2020-01-04 03:00:00,585.135,2.53,1.002,98.103,0.006
