Date,Hour,Temperature,Precipitation,RH,Wind_direction,Wind_speed 
2021/07/01,00:00,-1.3,0.0,65,156,0.0
2021/07/01,01:00,-1.5,0.0,63,161,0.0
2021/07/01,02:00,-2.7,0.0,71,80,0.0
2021/07/01,03:00,-3.3,0.0,74,229,0.0
2021/07/01,04:00,-4.0,0.0,81,221,1.0
2021/07/01,05:00,-3.6,0.0,70,199,0.1
2021/07/01,06:00,-4.5,0.0,69,283,0.0
2021/07/01,07:00,-5.8,0.0,81,191,0.0
2021/07/01,08:00,-5.2,0.0,78,197,0.2
2021/07/01,09:00,-2.0,0.0,66,124,0.1
2021/07/01,10:00,1.4,0.0,45,72,2.0
2021/07/01,11:00,3.7,0.0,22,76,3.5
2021/07/01,12:00,5.8,0.0,18,72,5.3
2021/07/01,13:00,7.0,0.0,13,61,6.2
2021/07/01,14:00,7.8,0.0,13,82,7.0
2021/07/01,15:00,8.0,0.0,13,90,7.5
2021/07/01,16:00,7.5,0.0,12,95,7.5
2021/07/01,17:00,6.7,0.0,10,87,5.1
2021/07/01,18:00,5.3,0.0,14,66,3.4
2021/07/01,19:00,2.8,0.0,22,49,2.5
2021/07/01,20:00,1.9,0.0,28,51,2.8
2021/07/01,21:00,-1.0,0.0,35,72,2.5
2021/07/01,22:00,-2.6,0.0,35,74,1.9
2021/07/01,23:00,-2.3,0.0,31,29,0.0
2021/07/02,00:00,-3.3,0.0,32,209,0.6
2021/07/02,01:00,-4.1,0.0,32,255,0.0
2021/07/02,02:00,-7.9,0.0,69,325,1.0
2021/07/02,03:00,-7.5,0.0,66,339,2.0
2021/07/02,04:00,-7.6,0.0,67,333,2.7
2021/07/02,05:00,-7.1,0.0,65,358,0.6
2021/07/02,06:00,-7.7,0.0,70,121,0.0
2021/07/02,07:00,-6.6,0.0,49,26,0.0
2021/07/02,08:00,-5.3,0.0,31,173,1.3
2021/07/02,09:00,-1.4,0.0,23,82,3.2
2021/07/02,10:00,2.4,0.0,12,76,4.7
2021/07/02,11:00,4.5,0.0,8,81,4.4
2021/07/02,12:00,6.3,0.0,6,93,6.7
