,rmse_V,corr_V,rmse_T,corr_T,Max_IceV,Duration,DX,TIME_STEP,IE
0,0.0,,0.0,0.0,1.02,35.97,3.0,15.0,0.9
1,,,0.0,0.0,0.07,1.02,3.0,30.0,0.9
2,,,0.0,0.0,0.1,0.75,3.0,45.0,0.9
3,,,0.0,0.0,0.02,0.12,3.0,60.0,0.9
4,0.17,,0.0,0.0,1.22,37.2,3.0,15.0,0.91
5,,,0.0,0.0,0.08,1.02,3.0,30.0,0.91
6,,,0.0,0.0,0.1,0.75,3.0,45.0,0.91
7,,,0.0,0.0,0.03,0.12,3.0,60.0,0.91
8,0.25,1.0,0.0,0.0,1.4,39.22,3.0,15.0,0.92
9,,,0.0,0.0,0.08,1.02,3.0,30.0,0.92
10,,,0.0,0.0,0.1,0.75,3.0,45.0,0.92
11,,,0.0,0.0,0.06,0.29,3.0,60.0,0.92
12,0.34,1.0,0.0,0.0,1.56,39.38,3.0,15.0,0.93
13,,,0.0,0.0,0.09,1.02,3.0,30.0,0.93
14,,,0.0,0.0,0.09,0.69,3.0,45.0,0.93
15,,,0.0,0.0,0.06,0.38,3.0,60.0,0.93
16,0.42,1.0,0.0,0.0,1.7,40.89,3.0,15.0,0.94
17,,,0.0,0.0,0.1,1.06,3.0,30.0,0.94
18,,,0.0,0.0,0.09,0.69,3.0,45.0,0.94
19,,,0.0,0.0,0.11,0.67,3.0,60.0,0.94
20,0.48,1.0,0.0,0.0,1.82,45.12,3.0,15.0,0.95
21,,,0.0,0.0,0.1,1.06,3.0,30.0,0.95
22,,,0.0,0.0,0.09,0.69,3.0,45.0,0.95
23,,,0.0,0.0,0.12,0.67,3.0,60.0,0.95
24,0.54,1.0,0.0,0.0,1.92,45.12,3.0,15.0,0.96
25,,,0.0,0.0,0.11,1.06,3.0,30.0,0.96
26,,,0.0,0.0,0.1,0.69,3.0,45.0,0.96
27,,,0.0,0.0,0.14,0.67,3.0,60.0,0.96
28,0.6,1.0,0.0,0.0,2.02,45.12,3.0,15.0,0.97
29,,,0.0,0.0,0.11,1.06,3.0,30.0,0.97
30,,,0.0,0.0,0.1,0.69,3.0,45.0,0.97
31,,,0.0,0.0,0.14,0.71,3.0,60.0,0.97
32,0.65,1.0,0.0,0.0,2.09,45.12,3.0,15.0,0.98
33,,,0.0,0.0,0.12,1.1,3.0,30.0,0.98
34,,,0.0,0.0,0.11,0.69,3.0,45.0,0.98
35,,,0.0,0.0,0.16,0.71,3.0,60.0,0.98
36,0.12,1.0,0.0,0.0,1.15,39.24,4.0,15.0,0.9
37,0.76,,0.0,0.0,0.29,17.12,4.0,30.0,0.9
38,,,0.0,0.0,0.07,0.81,4.0,45.0,0.9
39,,,0.0,0.0,0.1,0.75,4.0,60.0,0.9
40,0.21,1.0,0.0,0.0,1.33,39.57,4.0,15.0,0.91
41,0.65,,0.0,0.0,0.34,20.0,4.0,30.0,0.91
42,,,0.0,0.0,0.08,0.81,4.0,45.0,0.91
43,,,0.0,0.0,0.1,0.75,4.0,60.0,0.91
44,0.3,1.0,0.0,0.0,1.5,44.96,4.0,15.0,0.92
45,0.57,,0.0,0.0,0.39,22.35,4.0,30.0,0.92
46,,,0.0,0.0,0.08,0.81,4.0,45.0,0.92
47,,,0.0,0.0,0.11,0.75,4.0,60.0,0.92
48,0.39,1.0,0.0,0.0,1.65,45.12,4.0,15.0,0.93
49,0.53,,0.0,0.0,0.41,23.33,4.0,30.0,0.93
50,,,0.0,0.0,0.09,0.81,4.0,45.0,0.93
51,,,0.0,0.0,0.12,0.83,4.0,60.0,0.93
52,0.47,1.0,0.0,0.0,1.79,45.12,4.0,15.0,0.94
53,0.51,,0.0,0.0,0.42,23.35,4.0,30.0,0.94
54,,,0.0,0.0,0.09,0.81,4.0,45.0,0.94
55,,,0.0,0.0,0.13,0.83,4.0,60.0,0.94
56,0.53,1.0,0.0,0.0,1.89,45.12,4.0,15.0,0.95
57,0.51,,0.0,0.0,0.43,23.23,4.0,30.0,0.95
58,,,0.0,0.0,0.1,0.81,4.0,45.0,0.95
59,,,0.0,0.0,0.12,0.75,4.0,60.0,0.95
60,0.6,1.0,0.0,0.0,1.98,45.12,4.0,15.0,0.96
61,0.54,,0.0,0.0,0.4,22.0,4.0,30.0,0.96
62,,,0.0,0.0,0.1,0.81,4.0,45.0,0.96
63,,,0.0,0.0,0.11,0.75,4.0,60.0,0.96
64,0.66,1.0,0.0,0.0,2.07,45.12,4.0,15.0,0.97
65,0.61,,0.0,0.0,0.37,20.19,4.0,30.0,0.97
66,,,0.0,0.0,0.11,0.88,4.0,45.0,0.97
67,,,0.0,0.0,0.11,0.75,4.0,60.0,0.97
68,0.73,1.0,0.0,0.0,2.15,45.12,4.0,15.0,0.98
69,,,0.0,0.0,0.31,13.83,4.0,30.0,0.98
70,,,0.0,0.0,0.12,0.88,4.0,45.0,0.98
71,,,0.0,0.0,0.11,0.75,4.0,60.0,0.98
72,0.18,1.0,0.0,0.0,1.29,44.91,5.0,15.0,0.9
73,0.45,,0.0,0.0,0.49,32.08,5.0,30.0,0.9
74,,,0.0,0.0,0.08,1.06,5.0,45.0,0.9
75,,,0.0,0.0,0.08,0.83,5.0,60.0,0.9
76,0.28,1.0,0.0,0.0,1.46,45.12,5.0,15.0,0.91
77,0.33,,0.0,0.0,0.63,33.17,5.0,30.0,0.91
78,,,0.0,0.0,0.08,1.06,5.0,45.0,0.91
79,,,0.0,0.0,0.08,0.83,5.0,60.0,0.91
80,0.37,1.0,0.0,0.0,1.63,45.12,5.0,15.0,0.92
81,0.21,,0.0,0.0,0.78,34.27,5.0,30.0,0.92
82,,,0.0,0.0,0.09,1.06,5.0,45.0,0.92
83,,,0.0,0.0,0.08,0.83,5.0,60.0,0.92
84,0.46,1.0,0.0,0.0,1.77,45.12,5.0,15.0,0.93
85,0.11,,0.0,0.0,0.9,36.1,5.0,30.0,0.93
86,,,0.0,0.0,0.09,1.06,5.0,45.0,0.93
87,,,0.0,0.0,0.09,0.83,5.0,60.0,0.93
88,0.55,1.0,0.0,0.0,1.9,45.12,5.0,15.0,0.94
89,0.01,,0.0,0.0,1.01,37.27,5.0,30.0,0.94
90,,,0.0,0.0,0.1,1.12,5.0,45.0,0.94
91,,,0.0,0.0,0.09,0.83,5.0,60.0,0.94
92,0.62,1.0,0.0,0.0,2.01,45.12,5.0,15.0,0.95
93,0.1,1.0,0.0,0.0,1.11,39.06,5.0,30.0,0.95
94,,,0.0,0.0,0.1,1.12,5.0,45.0,0.95
95,,,0.0,0.0,0.1,0.83,5.0,60.0,0.95
96,0.63,1.0,0.0,0.0,1.99,45.12,5.0,15.0,0.96
97,0.13,1.0,0.0,0.0,1.21,39.44,5.0,30.0,0.96
98,,,0.0,0.0,0.11,1.12,5.0,45.0,0.96
99,,,0.0,0.0,0.11,0.83,5.0,60.0,0.96
100,0.76,1.0,0.0,0.0,2.18,45.12,5.0,15.0,0.97
101,0.16,1.0,0.0,0.0,1.29,40.02,5.0,30.0,0.97
102,,,0.0,0.0,0.12,1.12,5.0,45.0,0.97
103,,,0.0,0.0,0.11,0.83,5.0,60.0,0.97
104,0.84,1.0,0.0,0.0,2.26,45.12,5.0,15.0,0.98
105,0.19,1.0,0.0,0.0,1.36,41.21,5.0,30.0,0.98
106,,,0.0,0.0,0.12,1.19,5.0,45.0,0.98
107,,,0.0,0.0,0.12,0.83,5.0,60.0,0.98
108,0.25,1.0,0.0,0.0,1.42,45.12,6.0,15.0,0.9
109,0.38,,0.0,0.0,0.58,33.98,6.0,30.0,0.9
110,,,0.0,0.0,0.09,5.09,6.0,45.0,0.9
111,,,0.0,0.0,0.08,0.92,6.0,60.0,0.9
112,0.36,1.0,0.0,0.0,1.6,45.12,6.0,15.0,0.91
113,0.26,,0.0,0.0,0.72,36.0,6.0,30.0,0.91
114,,,0.0,0.0,0.09,3.12,6.0,45.0,0.91
115,,,0.0,0.0,0.08,0.92,6.0,60.0,0.91
116,0.46,1.0,0.0,0.0,1.76,45.12,6.0,15.0,0.92
117,0.14,,0.0,0.0,0.86,37.25,6.0,30.0,0.92
118,,,0.0,0.0,0.1,3.19,6.0,45.0,0.92
119,,,0.0,0.0,0.09,0.92,6.0,60.0,0.92
120,0.55,1.0,0.0,0.0,1.91,45.12,6.0,15.0,0.93
121,0.09,1.0,0.0,0.0,0.99,39.27,6.0,30.0,0.93
122,,,0.0,0.0,0.1,3.22,6.0,45.0,0.93
123,,,0.0,0.0,0.09,1.0,6.0,60.0,0.93
124,0.64,1.0,0.0,0.0,2.03,45.12,6.0,15.0,0.94
125,0.09,1.0,0.0,0.0,1.1,39.46,6.0,30.0,0.94
126,,,0.0,0.0,0.11,3.12,6.0,45.0,0.94
127,,,0.0,0.0,0.1,1.0,6.0,60.0,0.94
128,0.73,1.0,0.0,0.0,2.14,45.12,6.0,15.0,0.95
