 

stn    time           ods000z0  gre000z0  rre150z0
PLF    201901290000          0         0       0.0
PLF    201901290010          0         0       0.0
PLF    201901290020          0         0       0.0
PLF    201901290030          0         0       0.0
PLF    201901290040          0         0       0.0
PLF    201901290050          0         0       0.0
PLF    201901290100          0         0       0.0
PLF    201901290110          0         0       0.0
PLF    201901290120          0         0       0.0
PLF    201901290130          0         0       0.0
PLF    201901290140          0         0       0.0
PLF    201901290150          0         0       0.1
PLF    201901290200          0         1       0.5
PLF    201901290210          0         1       0.3
PLF    201901290220          0         0       0.4
PLF    201901290230          0         0       0.4
PLF    201901290240          0         0       0.1
PLF    201901290250          0         0       0.0
PLF    201901290300          0         0       0.0
PLF    201901290310          0         0       0.0
PLF    201901290320          0         0       0.0
PLF    201901290330          0         0       0.0
PLF    201901290340          0         0       0.0
PLF    201901290350          0         0       0.0
PLF    201901290400          0         0       0.0
PLF    201901290410          0         0       0.0
PLF    201901290420          0         0       0.0
PLF    201901290430          0         0       0.0
PLF    201901290440          0         0       0.0
PLF    201901290450          0         0       0.0
PLF    201901290500          0         0       0.0
PLF    201901290510          0         0       0.0
PLF    201901290520          0         0       0.0
PLF    201901290530          0         0       0.0
PLF    201901290540          0         0       0.0
PLF    201901290550          0         0       0.0
PLF    201901290600          0         0       0.0
PLF    201901290610          0         0       0.0
PLF    201901290620          0         1       0.1
PLF    201901290630          0         0       0.0
PLF    201901290640          0         0       0.0
PLF    201901290650          0         1       0.0
PLF    201901290700          2         2       0.0
PLF    201901290710          3         4       0.0
PLF    201901290720          7         8       0.0
PLF    201901290730         16        17       0.0
PLF    201901290740         25        26       0.0
PLF    201901290750         31        33       0.0
PLF    201901290800         43        45       0.0
PLF    201901290810         53        54       0.0
PLF    201901290820         58        61       0.0
PLF    201901290830         49        50       0.0
PLF    201901290840         43        49       0.0
PLF    201901290850         58        63       0.0
PLF    201901290900        100       106       0.0
PLF    201901290910        123       130       0.0
PLF    201901290920        160       165       0.0
PLF    201901290930        172       228       0.0
PLF    201901290940        206       442       0.0
PLF    201901290950        180       411       0.0
PLF    201901291000        126       409       0.0
PLF    201901291010        151       452       0.0
PLF    201901291020        183       485       0.0
PLF    201901291030        118       429       0.0
PLF    201901291040        114       446       0.0
PLF    201901291050        123       465       0.0
PLF    201901291100        128       487       0.0
PLF    201901291110        150       515       0.0
PLF    201901291120        171       529       0.0
PLF    201901291130        222       545       0.0
PLF    201901291140        254       466       0.0
PLF    201901291150        281       438       0.0
PLF    201901291200        153       157       0.0
PLF    201901291210        122       265       0.0
PLF    201901291220        162       217       0.0
PLF    201901291230        204       230       0.0
PLF    201901291240        210       341       0.0
PLF    201901291250        275       368       0.0
PLF    201901291300        255       276       0.0
PLF    201901291310        243       295       0.0
PLF    201901291320        197       214       0.0
PLF    201901291330        173       183       0.0
PLF    201901291340        181       228       0.0
PLF    201901291350        207       228       0.0
PLF    201901291400        209       237       0.0
PLF    201901291410        184       191       0.0
PLF    201901291420        163       164       0.0
PLF    201901291430        137       137       0.0
PLF    201901291440        121       121       0.0
PLF    201901291450        109       109       0.0
PLF    201901291500        100       101       0.0
PLF    201901291510         87        87       0.0
PLF    201901291520         72        73       0.0
PLF    201901291530         61        62       0.0
PLF    201901291540         52        53       0.0
PLF    201901291550         43        44       0.0
PLF    201901291600         34        34       0.0
PLF    201901291610         23        24       0.0
PLF    201901291620         12        13       0.0
PLF    201901291630          3         4       0.0
PLF    201901291640          1         2       0.0
PLF    201901291650          0         1       0.0
PLF    201901291700          0         0       0.0
PLF    201901291710          0         0       0.0
PLF    201901291720          0         0       0.0
PLF    201901291730          0         0       0.0
PLF    201901291740          0         0       0.0
PLF    201901291750          0         1       0.0
