,time,sea,temp,RH,wind,SW_global,ppt,press,LW_in,LW_out,SW_direct,SW_diffuse,alb,vp_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
0,2021-12-03 10:00:00,0.142,-6.235,95.38,0.57,81.22,0.0,89.5,294.71,269.125,81.22,0.0,0.25,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008035714285714287,
1,2021-12-03 11:00:00,0.255,-5.895,95.625,0.625,177.24,0.0,89.48,313.305,279.645,177.24,0.0,0.25,3.769,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008035714285714287,6.112911778902558
2,2021-12-03 12:00:00,0.332,-7.72,93.405,0.555,22.61,0.0,89.455,299.18,261.725,22.61,0.0,0.25,3.199,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008035714285714287,6.112911778902558
3,2021-12-03 13:00:00,0.368,-9.33,93.73,0.455,16.21,0.0,89.335,277.25,250.83,16.21,0.0,0.25,2.832,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008035714285714287,5.867879827344737
4,2021-12-03 14:00:00,0.358,-9.11,94.71,0.41,25.535,0.0,89.43,275.875,255.72,25.535,0.0,0.25,2.911,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008035714285714287,5.86897641053561
5,2021-12-03 15:00:00,0.302,-7.505,95.29,0.445,24.565,0.0,89.41,284.445,266.945,24.565,0.0,0.25,3.319,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008035714285714287,5.898259832011975
6,2021-12-03 16:00:00,0.208,-5.94,96.065,0.6,8.44,0.0,89.435,289.875,282.825,8.44,0.0,0.25,3.773,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00821657998444017,5.909587878434638
7,2021-12-03 17:00:00,0.083,-4.815,96.815,0.41,-0.085,0.0,89.4,292.22,289.395,-0.085,0.0,0.25,4.142,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008339588005606306,5.88620449386527
8,2021-12-03 18:00:00,0.0,-4.36,96.49,0.585,-0.405,0.0,89.39,294.47,292.765,-0.405,0.0,0.25,4.272,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008438537785661539,5.9854760866638905
9,2021-12-03 19:00:00,0.0,-3.925,96.375,0.735,-0.425,0.0,89.345,296.735,295.675,-0.425,0.0,0.25,4.409,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00853212788322258,5.934962266800827
10,2021-12-03 20:00:00,0.0,-3.73,96.735,0.515,-0.35,0.0,89.285,297.935,296.885,-0.35,0.0,0.25,4.49,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008587048961907456,5.914109143630425
11,2021-12-03 21:00:00,0.0,-3.385,96.525,0.745,-0.39,0.0,89.19,299.36,297.68,-0.39,0.0,0.25,4.598,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008587048961907456,5.804376593293448
