,time,sea,temp,RH,wind,SW_direct,SW_diffuse,alb,ppt,vp_a,press,LW_in,Qs_meas,SW_global,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
0,2021-12-03 08:00:00,0.0,-5.333,96.167,0.0,0.0,27.743,0.0,0.2,3.95,789.306,0.0,0.0,0.0,1.222,0.0,0.0,0.0,0.0,1.4620139687753695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,5.57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00807899461400359,
1,2021-12-03 09:00:00,0.003,-5.417,95.533,0.333,0.0,76.582,0.0,0.0,3.9,789.704,0.0,0.0,0.0,4.709,0.0,0.0,0.002785712981408947,1340.666809367014,1.4620139687753695,0.7794561169271923,0.0,0.0,-0.2631945783601972,0.0,-230.8563997680801,76.582,-306.16786980679893,0.0,-6.326371890789536,5.055841929508375,0.0,0.0,97.47077872901755,0.04499999999999999,5.569999999999999,0,0.0,0.0,0.0,46.652514985355936,235.88748501464403,-6.326371890789536,,-224.53002787729056,1340.666809367014,1.0,0.00807899461400359,6.112911778902558
2,2021-12-03 10:00:00,0.142,-6.1,94.917,0.083,81.22,100.241,0.0,0.0,3.683,790.152,294.71,4.83,181.461,5.553,-0.2631945783601972,0.0,0.07203215251926572,1575.7748382647308,1.7184022227532505,0.22475875501591544,0.7794561169271923,114.81384989268884,0.2631945783601972,46.652514985355936,104.45180972111905,106.09145142761476,-10.279538032721746,4.83,-1.6379380192270956,5.3531605389319585,0.09467380652117732,0.0,108.55670136803762,0.0474901580566906,5.878226230572593,0,0.0,0.0,0.002630411466093611,333.18,0.0,6.326371890789545,98.1254378303295,,1623.2068093670139,0.0,0.00807899461400359,5.981650731038179
3,2021-12-03 11:00:00,0.255,-6.683,94.133,0.0,177.24,86.495,0.0,0.0,3.517,790.254,313.305,1.405,263.735,10.674,0.0,-0.01119686356036972,0.12736278089876535,1460.7362296170259,1.592951177335906,0.0,1.0042148719431077,142.86670899535935,-0.0,379.83251498535594,128.43003733411447,109.06877928649718,7.137130193201074,1.405,-0.0,10.823258552055846,-0.004130697639634544,114.81384989268884,103.206820259119,0.046305171264043585,5.7315511986827286,0,0.0,-0.0,-0.001155626910512234,640.44,0.0,0.0,128.43003733411447,,1956.386809367014,0.0,0.00807899461400359,6.112911778902558
4,2021-12-03 12:00:00,0.332,-7.217,94.0,0.25,22.61,90.844,0.0,0.0,3.333,790.354,299.18,-2.535,113.454,10.307,0.0,-0.010695833164610436,0.16417747079101502,1317.8695206216664,1.4371532395001816,0.7267561720233641,1.0042148719431077,93.74349719154253,-0.0,1020.272514985356,90.25604746570822,94.55605261458484,-6.987869806798926,-2.535,-5.966469245924266,11.193417487307054,-0.004083583460494734,257.68055888804815,96.36266593496813,0.044743473825581484,5.538247760188642,0,0.0,0.0,-0.001509570176123691,618.4200000000001,0.0,1.4210854715202004e-14,90.25604746570822,,2596.826809367014,0.0,0.00807899461400359,6.112911778902558
5,2021-12-03 13:00:00,0.368,-7.117,94.367,0.5,16.21,85.401,0.0,0.0,3.367,789.88,277.25,3.72,101.611,0.565,0.0,-0.010183229272786634,0.18106884370634846,1223.3992672581005,1.3341322434657585,1.3662751168647431,1.7309710439664716,51.38847976364334,-0.0,1638.692514985356,51.992064343670584,88.3361259564799,-28.917869806798933,3.72,-11.786991447125043,0.6447851190020443,-0.003985477887379911,351.4240560795907,91.70070502171829,0.04364772709046725,5.402618664308947,0,0.0,0.0,-0.0010690965742266656,33.9,0.0,1.4210854715202004e-14,51.99206434367056,,3215.246809367014,0.0,0.00807899461400359,6.112911778902558
6,2021-12-03 14:00:00,0.358,-6.117,95.15,0.75,25.535,99.161,0.0,0.0,3.683,789.825,275.875,-4.92,124.696,0.0,0.0,-0.009670380957963973,0.17639940225827938,1170.6445123775925,1.2766025216767638,1.761048117813346,3.0972461608312147,50.67850832309481,-0.0,1672.592514985356,52.802834484194385,103.66535873666517,-30.292869806798933,-4.92,-15.645813664836547,0.0,-0.00384078083530485,402.812535843234,89.04520806959269,0.04301110224889768,5.323818656141336,0,0.0,0.0,-0.0006273640074563163,0.0,0.0,7.105427357601002e-15,52.80283448419438,,3249.146809367014,0.0,0.00807899461400359,6.112911778902558
7,2021-12-03 15:00:00,0.302,-5.383,95.283,0.5,24.565,62.773,0.0,0.0,3.9,790.269,284.445,-2.7,87.338,0.0,0.0,-0.009168836869772346,0.14993787113860083,1118.2049559366844,1.2194165277390234,1.0370136598528896,4.858294278644561,30.282349870544355,-0.0,1672.592514985356,32.53059946376857,66.45622380451974,-21.72286980679894,-2.7,-9.49905689307738,0.0,-0.0036976408748500785,453.49104416632883,86.36573482168492,0.04235903250379408,5.24310691213629,0,0.0,0.0,-0.0006422130418634886,0.0,0.0,0.0,32.53059946376857,,3249.146809367014,0.0,0.00807899461400359,6.112911778902558
8,2021-12-03 16:00:00,0.208,-4.883,96.183,0.5,8.44,8.68,0.0,0.0,4.083,790.304,289.875,-33.255,17.12,0.0,0.0,-0.0086785515846516,0.10450639806292288,1086.8855924062873,1.1852623690363002,0.9334100795012027,5.89530793849745,0.0,-2.0261748974674965,1672.592514985356,-48.70288741137781,9.562033999651069,-16.292869806798933,-33.255,-8.713518387653885,0.0,-0.003533216576059083,483.7733940368732,84.74545553984073,0.0419598092422749,5.19369194398825,0,0.0,0.0,-0.0003954595971798261,0.0,0.0,-48.70288741137781,0.0,,3249.146809367014,0.0,0.00807899461400359,6.112911778902558
9,2021-12-03 17:00:00,0.083,-4.533,96.067,0.75,-0.085,-0.0,0.0,0.0,4.2,790.903,292.22,-8.955,-0.085,0.0,-2.0261748974674965,-0.008205610638092668,0.04273235843312355,1085.952182326786,1.184244473638807,0.6662854208107153,6.828718017998653,0.0,-0.8039461972778024,1672.592514985356,-19.32434420136441,-0.003632250466815502,-4.964069420639419,-8.955,-6.223434585907272,0.0,0.8217920556490976,483.7733940368732,84.69692937213641,0.04194779420093221,5.192204748870943,0,0.0,0.0,-1.2011209226608872e-05,0.0,0.0,-19.32434420136441,0.0,,3249.146809367014,0.0,0.00807899461400359,5.166545897163069
