,time,ghi,SW_diffuse,cld,sea,f_cone,SW_direct,dis,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,snow_h,Discharge,alb,T_s,T_bulk,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
572,2021-12-27 04:00:00,0.0,0.0,0.42,0.0,0.027437184534380363,-2.095,-0.0,0.21,87.65,0.815,-2.095,0.0,5.233,88.695,265.235,43.095,4.707,0.25,0.0,-0.21655344711929672,10188.746903691435,11.110956274472667,0.4148801444235954,266.17237451536613,0.0,-0.2774255411622932,155772.34521740142,-37.663676227920426,-0.04311067619964515,-40.93286980679892,0.08035203210450355,-6.668439586906132,10.008005081319828,-0.10761327144006766,4787.873369569559,49.21935450646663,0.6875243542148198,3.928415056072501,0.0,0.0,0.0,-1.4486369817626653e-05,265.976778608128,16.443221391872047,-6.668439586906132,,-30.995236641014294,171015.1378651787,1.0,0.17501316546276144,6.112911778902558
573,2021-12-27 05:00:00,0.0,0.0,0.42,0.0,0.027437184534380366,-1.075,-0.0,-1.13,89.215,0.44,-1.075,0.0,5.133,88.665,263.45,43.23,4.707,0.25,-0.2774255411622932,-0.21566099475573008,10204.775244938883,11.12843538161274,0.2144635185086546,266.5872546597897,0.0,0.1341664786528816,156038.32199600956,-35.08940132208748,-0.02212123003084417,-41.47592256757201,-0.17605892102608336,-3.443498387417631,9.997522816009717,0.030676967949374752,4787.873369569559,49.27096032340991,0.6878846897073863,3.930473961136092,0.0,0.0,0.0,0.0003551267040240469,262.07262269247553,20.347377307524507,3.2249411994885,,-38.31434252157598,171297.5578651787,1.0,0.17501316546276144,5.974627129988302
574,2021-12-27 06:00:00,0.0,0.0,0.42,0.0,0.027437184534380366,-0.055,-0.0,-0.835,87.1,0.625,-0.055,0.0,4.95,88.615,267.475,43.29,4.707,0.25,-0.1432590625094116,-0.2159152700033423,10224.908158727898,11.150390576584403,0.395470034616168,266.80171817829836,0.0,-0.12056330423602551,156300.39461870203,-34.648125048798896,-0.00113178386204319,-38.051071115658374,-0.2027923464495088,-6.341461953884644,9.98439504520549,-0.03606289414981609,4787.873369569559,49.33574320424558,0.6883367664781863,3.9330570626393686,0.0,0.0,0.0,0.00044560111732249694,265.5364547038672,16.88354529613281,-2.897963566467013,,-31.750161482331883,171579.97786517872,1.0,0.17501316546276144,6.041143558060153
575,2021-12-27 07:00:00,0.0,0.0,0.42,0.0,0.027437184534380377,-1.01,-0.0,-1.095,86.245,0.715,-1.01,0.0,5.133,88.57,258.505,43.285,4.707,0.25,-0.26382236674543713,-0.21561654821090667,10241.396233989413,11.168371029432294,0.35212311485334824,267.1971882129145,0.0,0.029169392705418313,156565.9310734059,-42.42386319304821,-0.020783667284793136,-46.48173147373723,-0.2786168369295194,-5.640321272216003,9.973675955916821,0.02391410120251638,4787.873369569559,49.38876620588175,0.6887065580129796,3.9351699981651933,0.0,0.0,0.0,0.000364450835846395,259.4630938850716,22.9569061149284,0.701140681668643,,-43.12500387471685,171862.39786517873,1.0,0.17501316546276144,5.981340731604203
576,2021-12-27 08:00:00,0.0,0.0,0.42,0.0,0.027437184534380366,4.55,-0.0,0.74,75.095,1.51,4.55,0.0,5.167,88.49,262.72,43.11,4.707,0.25,-0.2346529740400188,-0.21581453086460428,10264.001016989489,11.193021828778068,0.7275489353267434,267.54931132776784,0.0,-0.2494696656494576,156825.39416729097,-43.2825960332905,0.093629392223573,-42.39715514462614,0.6893534885851791,-11.636789323352987,9.95902698259482,0.009338571285047807,4787.873369569559,49.46141333494576,0.6892128894426269,3.9380631029685293,0.0,0.0,0.0,0.0004991175370329267,262.5421301915391,19.877869808460886,-5.9964680511369854,,-37.286127982153516,172144.81786517875,1.0,0.17501316546276144,5.995759927235289
577,2021-12-27 09:00:00,65.229,48.298,0.541,0.101,0.07695675764154773,1.067,-0.007,7.125,44.98,3.735,49.365,0.0,5.183,88.47,278.61,42.445,4.707,0.25,-0.48412263968947644,-0.21589178724274852,10283.151337862622,11.21390549385237,1.501146323680216,268.2768602630946,0.0,0.4285159089785191,157087.93629748252,10.300177983179182,36.28508464530265,-25.393063591185523,13.308896274861578,-23.9802825136663,9.946658672468216,0.13288449539855784,4787.873369569559,49.522916812603036,0.6896412619615511,3.940510761793461,0.0,0.0,0.0,0.00042222135734132176,282.42,0.0,10.300177983179179,0.0,,172427.23786517876,0.0,0.17501316546276144,5.873456318423939
578,2021-12-27 10:00:00,176.835,85.705,0.42,0.218,0.13330747266726717,18.87,-0.014,7.78,43.19,4.54,104.575,0.0,5.183,88.48,289.275,42.705,4.707,0.25,-0.05560673071095734,-0.21699043473933355,10281.650191538942,11.212268474960679,2.383408412409299,269.7780065867748,19.55352171051287,0.05560673071095734,157370.35629748253,37.972354608894676,66.16538400692349,-16.64363244741554,16.660745118714495,-38.077813734725865,9.947626806733817,-0.07995514133570795,4787.873369569559,49.51809708689054,0.6896077021188237,3.940319005689635,0.0,0.0,0.0,-3.3055785019390084e-05,282.42,0.0,1.3366113401738104,36.635743268720866,,172709.65786517877,0.0,0.17501316546276144,6.0849628939467895
579,2021-12-27 11:00:00,264.116,99.226,0.37,0.301,0.172221944294966,66.934,-0.018,8.385,40.965,4.23,166.16,0.0,5.35,88.45,295.405,41.995,4.707,0.25,0.0,-0.21632935843791237,10259.713261416018,11.18834597755291,1.8756432167524901,272.1614149991841,36.6439007225065,-0.0,157652.77629748255,68.75433998487827,83.06512771457945,-10.76286980679896,16.605887622689334,-30.008353586507006,9.961801517553464,-0.10725347663800817,4807.426891280072,49.447637471196614,0.6891169038711782,3.937514655249211,0.0,0.0,0.0,-0.0004831061534087551,282.42,0.0,0.0,68.75433998487827,,172992.07786517878,0.0,0.17501316546276144,6.112911778902558
580,2021-12-27 12:00:00,310.25,103.909,0.351,0.345,0.1923871039715715,55.756,-0.02,8.165,42.3,5.825,159.665,0.0,5.767,88.405,303.655,40.245,4.707,0.25,0.0,-0.21544194546688894,10221.193717476759,11.146339931817622,1.168174587540974,274.0370582159366,51.495860176985815,-0.0,157935.19629748256,96.86342153934739,85.97680152677921,-2.5128698067989603,22.256136194438284,-18.736512679821594,9.986813823544745,-0.10694751879430596,4844.070792002578,49.3237942254099,0.6882534048118385,3.932580746094111,0.0,0.0,0.0,-0.0008495056161127384,282.42,0.0,1.4210854715202004e-14,96.86342153934736,,173274.4978651788,0.0,0.17501316546276144,6.112911778902558
581,2021-12-27 13:00:00,308.617,103.79,0.351,0.343,0.19147829221203258,24.07,-0.02,5.075,62.68,3.99,127.86,0.0,5.633,88.405,311.265,39.045,4.707,0.25,0.0,-0.21455595379120537,10168.529682712233,11.088909141452817,1.106331148052465,275.2052328034776,46.61267731022499,-0.0,158217.61629748257,87.9806520386746,81.29916187015772,5.097130193201053,9.475597262159578,-17.80581209276362,10.021266065193343,-0.1066912592734736,4895.566652179564,49.15422330825985,0.687069308540449,3.9258149906821767,0.0,0.0,0.0,-0.0011643627840621082,282.42,0.0,1.4210854715202004e-14,87.98065203867459,,173556.9178651788,0.0,0.17501316546276144,6.112911778902558
582,2021-12-27 14:00:00,259.436,98.759,0.373,0.297,0.17037162549588616,16.256,-0.018,7.37,48.215,6.395,115.015,0.0,5.833,88.43,318.515,38.515,4.707,0.25,0.0,-0.21367056180078794,10120.810674253957,11.03687096429003,1.030980975280578,276.31156395153005,54.85116613129991,-0.0,158500.03629748258,103.85583446968052,76.14642085804584,12.347130193201053,22.061167128423183,-16.64520713643846,10.052741138110868,-0.10641771166196583,4942.179329489789,49.00032172643492,0.6859928603253572,3.9196643207468864,0.0,0.0,0.0,-0.001058671537467721,282.42,0.0,0.0,103.85583446968052,,173839.33786517882,0.0,0.17501316546276144,6.112911778902558
583,2021-12-27 15:00:00,169.839,84.33,0.426,0.211,0.12997977109017947,-30.665,-0.013,6.855,52.51,5.845,53.665,0.0,6.033,88.45,323.055,37.955,4.707,0.25,0.0,-0.2127860541028474,10064.928527147376,10.975930782058208,0.26802862095969754,277.3425449268106,53.43295725420618,-0.0,158782.4562974826,101.5447128453592,60.25812773963973,16.887130193201074,18.759041099083962,-4.343329672026917,10.08991644424998,-0.10617295878863384,4997.030495621088,48.81978485369072,0.6847279574887242,3.9124368482690963,0.0,0.0,0.0,-0.0012436690226657204,282.42,0.0,1.4210854715202004e-14,101.54471284535919,,174121.75786517884,0.0,0.17501316546276144,6.112911778902558
584,2021-12-27 16:00:00,57.742,44.293,0.555,0.092,0.07256856034217053,-31.848,-0.006,5.235,65.37,2.605,12.445,0.0,5.983,88.505,321.775,37.505,4.707,0.25,0.0,-0.21190195050785948,10011.22754127221,10.917369183502956,0.19350545238143224,277.6105735477703,31.64599825998451,-0.0,159064.8762974826,60.35535563718012,31.48637736766692,15.607130193201044,6.388708061998863,-3.146905766040915,10.125966315858053,-0.10592053550383992,5050.463452875295,48.645979517882616,0.6835080065562953,3.9054662244922898,0.0,0.0,0.0,-0.001199546428374425,282.42,0.0,0.0,60.35535563718012,,174404.17786517885,0.0,0.17501316546276144,6.112911778902558
585,2021-12-27 17:00:00,0.0,0.0,0.42,0.0,0.027437184534380366,0.39,-0.0,1.03,94.605,0.74,0.39,0.0,6.1,88.62,313.32,37.425,4.707,0.25,0.0,-0.21101837461489917,9979.388037559844,10.882647805408771,0.005451706514832943,277.8040790001517,9.140968093169862,-0.0,159347.29629748262,17.47074754113445,0.008025376476306257,7.15213019320106,0.3575374292360177,-0.08884751416094408,10.147492989495026,-0.10559093311301429,5082.109451135279,48.542782981958275,0.6827826320526729,3.901321539138451,0.0,0.0,0.0,-0.0007137563769565128,282.42,0.0,3.552713678800501e-15,17.470747541134447,,174686.59786517886,0.0,0.17501316546276144,6.112911778902558
586,2021-12-27 18:00:00,0.0,0.0,0.42,0.0,0.02743718453438037,-0.195,-0.0,1.07,94.63,0.615,-0.195,0.2,6.183,88.69,315.39,37.2,4.707,0.25,0.0,-0.2101366124517627,9970.241617760159,10.872673519912933,0.0,277.8095307066665,10.445565778911563,-0.0,159629.71629748264,19.976378029655812,-0.0040126882381531295,9.222130193201053,0.3089259361321252,0.40081838514661705,10.153698057832585,-0.10518185441841628,5091.25041922845,48.51311780145136,0.6825739711123887,3.900129280603315,0.0,9.557358452031593,0.024579290143321348,-0.00020547411753350314,282.42,0.0,0.0,19.976378029655812,,174969.01786517887,0.0,0.17501316546276144,6.112911778902558
587,2021-12-27 19:00:00,0.0,0.0,0.42,0.0,0.027437184534380366,-0.525,-0.0,1.27,93.945,0.86,-0.525,0.0,6.2,88.775,315.175,37.265,4.707,0.25,0.0,-0.20925799788950053,9969.377989723424,10.871731722708205,0.0,277.8095307066665,10.590927165495266,-0.0,159912.13629748265,20.255540729080902,-0.01080339141041227,9.007130193201078,0.5132319402073358,0.6964426376516243,10.15428444625294,-0.10474509682166416,5101.695985007361,48.5103162716474,0.6825542622272659,3.900016666874681,0.0,0.0,0.04270531931992494,-1.941324836269159e-05,282.42,0.0,3.552713678800501e-15,20.2555407290809,,175261.01980292107,0.0,0.17501316546276144,6.112911778902558
588,2021-12-27 20:00:00,0.0,0.0,0.42,0.0,0.02743718453438037,-0.605,-0.0,1.41,94.085,0.605,-0.605,0.0,6.217,88.8,313.99,37.215,4.707,0.25,0.0,-0.20838300642540983,9958.829767877249,10.860228754500817,0.0,277.8095307066665,9.85080686627171,-0.0,160194.55629748266,18.85333423909199,-0.012449622482475092,7.822130193201076,0.4009666721572658,0.5855775818050081,10.16145334382444,-0.1043439294133299,5112.286912172856,48.47609228057589,0.6823134489910923,3.8986406947554584,0.0,0.0,0.035881828095104554,-0.0002371241643318506,282.42,0.0,0.0,18.85333423909199,,175543.4825082404,0.0,0.17501316546276144,6.112911778902558
589,2021-12-27 21:00:00,0.0,0.0,0.42,0.0,0.02743718453438037,-1.3,-0.0,1.265,95.445,0.595,-1.3,0.0,6.25,88.79,305.595,37.105,4.707,0.25,0.0,-0.20751105849232626,9949.014842839071,10.849525455658748,0.0,277.8095307066665,5.522712690806591,-0.0,160476.97629748267,10.576800179521742,-0.02675125492102086,-0.5728698067989058,0.3537466780972788,0.7584807927955551,10.1681352457228,-0.1039414753739655,5122.137719039128,48.444236636919804,0.6820892239651746,3.8973595052785135,0.0,0.0,0.04644609650234799,-0.00022079541354362694,282.42,0.0,1.7763568394002505e-15,10.57680017952174,,175825.93839006854,0.0,0.17501316546276144,6.112911778902558
590,2021-12-27 22:00:00,0.0,0.0,0.42,0.0,0.027437184534380366,-1.805,-0.0,1.17,95.03,0.505,-1.805,0.0,5.983,88.74,300.43,36.985,4.707,0.25,0.0,-0.20664218812604296,9943.538576244768,10.843553518260379,0.03734329287831725,277.8095307066665,2.0673927253449476,-0.0,160759.3962974827,3.960812131345585,-0.03714308856341742,-5.737869806798926,0.2775348257865292,-0.6100527492708876,10.171868209868343,-0.10352525967605615,5127.660431729934,48.42645813304101,0.6819640528453923,3.8966442955429987,0.0,0.0,0.0,-0.0001232744659210514,282.42,0.0,4.440892098500626e-16,3.9608121313455844,,176108.40483616505,0.0,0.17501316546276144,6.112911778902558
591,2021-12-27 23:00:00,0.0,0.0,0.42,0.0,0.027437184534380366,-1.735,-0.0,0.35,95.37,0.615,-1.735,0.0,6.2,88.76,292.55,36.845,4.707,0.25,0.0,-0.20577663816292585,9941.433840226544,10.841258277237234,0.0,277.8468739995448,0.0,-0.0,161041.8162974827,-2.984199743635085,-0.03570263637536245,-13.617869806798922,0.10113029560993825,0.49803746762296386,10.173303840608433,-0.10309890430213707,5129.727824455279,48.41962431454716,0.6819159326321416,3.896369343580822,0.0,0.0,0.030482174675821795,-4.739642566547079e-05,280.6026616073183,1.8173383926817486,5.551115123125783e-17,,-3.482237211258049,176390.82483616506,1.0,0.17501316546276144,6.112911778902558
592,2021-12-28 00:00:00,0.0,0.0,0.42,0.0,0.027437184534380377,-0.81,-0.0,1.535,88.21,0.89,-0.81,0.0,6.1,88.705,303.575,36.8,4.707,0.25,0.0,-0.20491459202820625,9943.281660793902,10.843273348739261,0.006540957232380544,277.8468739995448,4.172722900533386,-0.0,161322.41895909002,7.994444389716215,-0.016668089604636078,-2.5928698067989444,0.6414566468605005,-0.1068571454097841,10.17204342357496,-0.10266063890588077,5129.727824455279,48.42562398606831,0.6819581793960243,3.8966107354999444,0.0,0.0,0.0,4.1616834714310315e-05,282.42,0.0,0.0,7.994444389716215,,176673.27531833976,0.0,0.17501316546276144,6.112911778902558
593,2021-12-28 01:00:00,0.0,0.0,0.42,0.0,0.02743718453438037,-5.69,-0.0,6.285,56.745,3.385,-5.69,0.0,5.817,88.625,281.65,36.7,4.707,0.25,0.0,-0.2040562635603869,9939.102396936136,10.83871580909066,0.5699863168899487,277.8534149567772,0.0,-0.3874990369903411,161604.83895909003,-13.896328368341575,-0.11708818500046823,-24.517869806798956,9.98024094547415,-9.314261071019244,10.17489469880634,-0.10224494980339377,5133.900547355813,48.412053842462626,0.6818626213207791,3.8960647304323115,0.0,0.0,0.0,-9.411421626518794e-05,280.0290471875811,2.3909528124189254,-9.314261071019244,,-4.582067297322331,176955.69531833977,1.0,0.17501316546276144,6.112911778902558
