,time,ghi,SW_diffuse,cld,sea,f_cone,SW_direct,dis,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,Discharge,alb,T_s,T_bulk,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
1592,2021-01-27 23:00:00,0.0,0.0,0.42,0.0,0.035130516242186015,0.0,-0.0,-0.85,96.517,0.0,0.0,1.6,5.567,793.345,286.526,0.0,0.85,-4.4372575181925145,-3.2172516274149854,71614.46871808257,78.09647624654588,0.0,3879.372409026797,0.0,0.004574376639222669,24798.985921577416,0.10995366230020742,0.0,-0.22691314122539552,0.0,0.0,0.0,0.33686680352560294,27899.652292477644,153.67065501921923,1.5631768656567087,6.907125560397875,0.0,239.80849142488808,0.0,0.002766129462417253,0.0,0.0,0.10995366230020742,0.0,,128192.47934116451,0.0,0.22508217843200454,4.215341913130953
1593,2021-01-28 00:00:00,0.0,0.0,0.42,0.0,0.035242395400790494,0.0,-0.0,-0.833,96.983,0.0,0.0,1.8,5.6,793.269,288.977,0.0,0.85,-4.432683141553292,-3.21849257218767,71854.27720950746,78.35799041385765,0.0,3879.372409026797,0.0,0.10565885793370683,24798.985921577416,2.539707440059545,0.0,2.204560440935893,0.0,0.0,0.0,0.33514699912365237,27899.652292477644,153.69576663017912,1.5684113258530012,6.907125560397875,0.0,269.78455285299907,0.0,0.0017017833839457924,0.0,0.0,2.539707440059545,0.0,,128432.2878325894,0.0,0.22631366000050882,4.216984152389576
1594,2021-01-28 01:00:00,0.0,0.0,0.42,0.0,0.0353681938104986,0.0,-0.0,-0.633,97.1,0.0,0.0,1.2,5.667,793.019,288.674,0.0,0.85,-4.3270242836195845,-3.2197232622275713,72124.06176236046,78.65219385208339,0.0,3879.372409026797,0.0,0.07304563500154766,24798.985921577416,1.7557878847573885,0.0,1.450262038215044,0.0,0.0,0.0,0.3055258465423444,27899.652292477644,153.72411260697166,1.57430009357383,6.907125560397875,0.0,179.85636856866606,0.0,0.001914193504975611,0.0,0.0,1.7557878847573885,0.0,,128702.0723854424,0.0,0.22707149481189612,4.255079359616933
1595,2021-01-28 02:00:00,0.0,0.0,0.42,0.0,0.03545202070993739,0.0,-0.0,-0.467,96.867,0.0,0.0,1.0,5.733,793.048,288.495,0.0,0.85,-4.253978648618037,-3.2208411902551717,72303.91813092913,78.8483294775672,0.0,3879.372409026797,0.0,0.05175145047301663,24798.985921577416,1.2439424991954608,0.0,0.9589525244664401,0.0,0.0,0.0,0.2849899747290208,27899.652292477644,153.74306602454794,1.578225938721049,6.907125560397875,0.0,149.88030714055503,0.0,0.0012758936913513479,0.0,0.0,1.2439424991954608,0.0,,128881.92875401107,0.0,0.2279240589747068,4.281599135471223
1596,2021-01-28 03:00:00,0.0,0.0,0.42,0.0,0.03552185275583419,0.0,-0.0,-0.25,96.983,0.0,0.0,1.0,5.8,792.608,288.235,0.0,0.85,-4.20222719814502,-3.221881511239264,72453.79843806969,79.01177583213706,0.0,3879.372409026797,0.0,0.031114834618219487,24798.985921577416,0.7479030014283817,0.0,0.4775330508970228,0.0,0.0,0.0,0.2703699505313589,27899.652292477644,153.75889480827271,1.5814974763437317,6.907125560397875,0.0,149.88030714055503,0.0,0.0010631136661718409,0.0,0.0,0.7479030014283817,0.0,,129031.80906115162,0.0,0.2284924350832472,4.300479040724122
1597,2021-01-28 04:00:00,0.0,0.0,0.42,0.0,0.03559166321717095,0.0,-0.0,-0.2,97.1,0.0,0.0,2.0,5.8,792.32,291.756,0.0,0.85,-4.171112363526801,-3.222866523376802,72603.67874521024,79.17522218670692,0.0,3879.372409026797,0.0,0.171686621489913,24798.985921577416,4.1268077138425845,0.0,3.8653461531691278,0.0,0.0,0.0,0.2614615606734564,27899.652292477644,153.77475473544382,1.5847690139664146,6.907125560397875,0.0,299.76061428111007,0.0,0.0010630042234217635,0.0,0.0,4.1268077138425845,0.0,,129181.68936829218,0.0,0.22896608184036424,4.311866839014561
1598,2021-01-28 05:00:00,0.0,0.0,0.42,0.0,0.03573121925222956,0.0,-0.0,-0.083,97.1,0.167,0.0,3.4,5.9,791.769,293.732,0.0,0.85,-3.9994257420368875,-3.223817212085911,72903.43935949136,79.50211489584663,0.0,3879.372409026797,0.0,0.4391669556927443,24798.985921577416,10.556195728530087,0.0,5.105610833102276,2.809697275826139,2.427118491314784,0.0,0.21376912828688702,27899.652292477644,153.8065679815696,1.59131208921178,6.907125560397875,0.0,509.59304427788715,0.47187652908758265,0.0021257891758767805,0.0,0.0,10.556195728530087,0.0,,129481.4499825733,0.0,0.22943972859748132,4.3751989544031975
1599,2021-01-28 06:00:00,0.0,0.0,0.42,0.0,0.03596848468718144,0.0,-0.0,0.15,96.633,0.417,0.0,3.6,5.983,791.376,294.499,0.0,0.85,-3.5602587863441433,-3.224591452648922,73413.50428029834,80.05834708865686,0.0,3879.372409026797,0.0,0.6846250069298638,24798.985921577416,16.456237155634685,0.0,3.9842144069894516,6.646029961678088,5.733544740339418,0.0,0.09244804662772839,27899.652292477644,153.86098660026113,1.6024456170932369,6.907125560397875,0.0,539.5691057059981,1.1151010750264394,0.0036164397925898734,0.0,0.0,16.456237155634685,0.0,,129991.51490338027,0.0,0.2303870221117154,4.541079452450211
1600,2021-01-28 07:00:00,0.0,0.0,0.42,0.0,0.036219717540947174,0.0,-0.0,0.25,97.1,0.5,0.0,4.0,6.05,790.867,292.027,0.0,0.85,-2.8756337794142794,-3.224924077250608,73954.18848707937,80.64796999681502,0.0,3879.372409026797,0.0,0.4608915693274251,24798.985921577416,11.078387279332535,0.0,-1.4501031876592947,6.713739126896235,5.910877777396903,0.0,-0.09612643730130728,27899.652292477644,153.9190649993335,1.6142474925912345,6.907125560397875,0.0,599.5212285622201,1.1500240207023074,0.0038321794314892404,0.0,0.0,11.078387279332535,0.0,,130532.19911016131,0.0,0.23199891229441183,4.811139501415863
1601,2021-01-28 08:00:00,0.361,0.361,0.42,0.0,0.03649848930302514,11.453,-0.0,0.283,97.717,1.0,11.814,2.8,6.1,790.583,293.807,0.0,0.85,-2.4147422100868545,-3.2245806169406586,74554.8597396623,81.30300953071134,0.0,3879.372409026797,0.0,0.8447553717346644,24798.985921577416,20.305268716522512,0.11685257969813205,-1.6770637995780362,11.593996540930927,10.494165739170855,0.0,-0.22268234369936676,27899.652292477644,153.98406072561548,1.6273587454247778,6.907125560397875,0.0,419.6648599935541,2.042613523877307,0.0042557400793667155,0.0,0.0,20.305268716522512,0.0,,131132.87036274423,0.0,0.23370756452532881,5.001105465916323
1602,2021-01-28 09:00:00,109.057,67.209,0.48,0.149,0.10851240030617418,-39.423,-0.01,0.817,98.017,1.25,27.786,1.2,6.35,790.752,296.864,0.0,0.85,-1.56998683835219,-3.2237910487118,74976.56721317973,81.76288681917092,0.0,3879.372409026797,0.0,1.299640495876423,24798.985921577416,31.239279898813393,9.439667346409456,-2.325269425665283,12.836732589338087,11.74262721320837,0.0,-0.4544778244772385,27899.652292477644,154.02998923860318,1.636563636258668,6.907125560397875,0.0,179.85636856866606,2.2862992541503835,0.002986525269514983,0.0,0.0,31.239279898813393,0.0,,131554.57783626165,0.0,0.23560578582142294,5.367133698546481
1603,2021-01-28 10:00:00,238.675,95.907,0.383,0.278,0.16886883842317274,-46.09,-0.017,0.883,98.117,0.833,49.817,2.2,6.383,790.693,299.682,0.0,0.85,-0.27034634247576705,-3.2221881853560483,75158.70988100255,81.96151568266363,0.0,3879.372409026797,13.274514683412045,0.27034634247576705,24798.985921577416,14.492959806820988,13.218575285561396,-5.275566864535108,4.13547696315982,3.2254540641491767,0.0,-0.8109796415142967,27899.652292477644,154.0499024005965,1.6405393859875457,6.907125560397875,0.0,329.7366757092211,0.6280797688227657,0.0012895466946051977,0.0,0.0,6.498277861467922,7.994681945353066,,131736.7205040845,0.0,0.23693845174061032,5.978120084031691
1604,2021-01-28 11:00:00,341.04,106.231,0.339,0.375,0.21249837792472787,-14.886,-0.022,1.017,98.0,1.0,91.345,4.2,6.433,790.614,300.692,0.0,0.848,0.0,-3.2193345654024315,75475.80012179719,82.30730656684536,0.0,3879.372409026797,27.81275445655903,-0.0,24798.985921577416,16.74667192052008,15.666297870224302,-5.475869806798926,4.378346797426006,3.0619708737222333,0.0,-0.8840738140535379,27912.926807161057,154.08467811426473,1.6474607265714847,6.907125560397875,0.0,0.0,0.5963799393616149,0.002244667986108282,0.0,0.0,0.0,16.74667192052008,,132067.08525956253,0.0,0.23751405293594297,6.112911778902558
1605,2021-01-28 12:00:00,400.265,110.356,0.319,0.43,0.23622406682601033,-11.07,-0.025,1.333,98.133,1.0,99.286,3.0,6.617,790.536,294.624,0.0,0.847,0.0,-3.216236116580405,75448.58374727999,82.27762676911668,0.0,3879.372409026797,24.33493885900474,-0.0,24798.985921577416,14.61834748675004,16.484372935776122,-11.54386980679891,5.738210897372104,4.822118869275557,0.0,-0.8824854088748358,27940.739561617615,154.44574373012756,1.6426457705162782,6.91599402313806,0.0,0.0,0.9414047213599869,-0.0001926200456262505,0.0,0.0,1.7763568394002505e-15,14.618347486750038,,132067.68163950188,0.0,0.23751405293594297,6.112911778902558
1606,2021-01-28 13:00:00,408.979,110.908,0.317,0.438,0.2396312694398309,17.159,-0.025,1.533,97.667,0.833,128.067,1.8,6.683,790.444,294.656,0.0,0.845,0.0,-3.2131348688739156,75425.19021314236,82.25211582676374,0.0,3879.372409026797,25.753478214586405,-0.0,24798.985921577416,15.473683134711804,17.8280741076093,-11.511869806798927,5.496458686947438,4.542745759951813,0.0,-0.8817256129978212,27965.074500476618,154.41381718860174,1.6424759804408675,6.915279159856027,0.0,0.0,0.886680396039811,-0.00016517737385832027,0.0,0.0,0.0,15.473683134711806,,132068.62304422323,0.0,0.23751405293594297,6.112911778902558
1607,2021-01-28 14:00:00,366.166,108.078,0.33,0.398,0.2224462688015969,54.3,-0.023,1.7,96.733,0.833,162.378,1.4,6.7,790.48,299.079,0.0,0.844,0.0,-3.2100359709433466,75400.32341532382,82.22499827189074,0.0,3879.372409026797,35.85588739123428,-0.0,24798.985921577416,21.54833667746212,18.74446585376457,-7.088869806798925,6.09550249852802,4.678210193457417,0.0,-0.8809720614889605,27990.827978691203,154.37987637757462,1.642295458931927,6.914519114264159,0.0,0.0,0.9129204497202795,-0.000175616116269439,0.0,0.0,3.552713678800501e-15,21.548336677462117,,132069.50972461927,0.0,0.23751405293594297,6.112911778902558
