Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:TARATA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°28'45.74'',Longitud:70°2'11.94'',Altitud:3100,msnm.
,Tipo:EMA,-Meteorológica,Código:47E2D1CC
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/06/01,00:00,2.8,0.0,39,135,0.6
2022/06/01,01:00,2.3,0.0,41,120,0.7
2022/06/01,02:00,1.3,0.0,44,1,S/D
2022/06/01,03:00,1.9,0.0,44,125,0.8
2022/06/01,04:00,1.6,0.0,45,105,1.3
2022/06/01,05:00,2.9,0.0,42,113,1.0
2022/06/01,06:00,3.6,0.0,41,135,0.5
2022/06/01,07:00,2.6,0.0,44,94,0.8
2022/06/01,08:00,7.7,0.0,34,141,1.0
2022/06/01,09:00,11.9,0.0,25,189,1.4
2022/06/01,10:00,12.8,0.0,23,243,0.3
2022/06/01,11:00,14.1,0.0,22,326,1.0
2022/06/01,12:00,14.9,0.0,21,281,2.5
2022/06/01,13:00,15.2,0.0,22,276,2.2
2022/06/01,14:00,14.4,0.0,22,270,2.4
2022/06/01,15:00,14.3,0.0,22,270,2.7
2022/06/01,16:00,13.5,0.0,24,269,2.9
2022/06/01,17:00,10.9,0.0,28,268,0.7
2022/06/01,18:00,8.3,0.0,35,76,1.3
2022/06/01,19:00,6.6,0.0,40,74,0.8
2022/06/01,20:00,6.3,0.0,42,66,0.8
2022/06/01,21:00,5.9,0.0,45,95,1.2
2022/06/01,22:00,6.6,0.0,45,155,0.7
2022/06/01,23:00,5.8,0.0,49,10,0.7
2022/06/02,00:00,6.0,0.0,54,95,0.8
2022/06/02,01:00,4.7,0.0,60,117,1.2
2022/06/02,02:00,5.0,0.0,61,93,1.3
2022/06/02,03:00,5.1,0.0,59,87,1.5
2022/06/02,04:00,4.6,0.0,58,120,1.7
2022/06/02,05:00,4.0,0.0,59,101,0.9
2022/06/02,06:00,3.5,0.0,61,115,0.8
2022/06/02,07:00,4.4,0.0,58,128,0.7
2022/06/02,08:00,9.0,0.0,46,112,0.3
2022/06/02,09:00,12.4,0.0,34,5,1.2
2022/06/02,10:00,13.9,0.0,31,313,1.1
2022/06/02,11:00,15.2,0.0,29,307,2.0
2022/06/02,12:00,16.6,0.0,26,276,1.9
2022/06/02,13:00,16.9,0.0,26,260,1.7
2022/06/02,14:00,17.0,0.0,26,253,2.7
2022/06/02,15:00,15.9,0.0,28,253,2.1
2022/06/02,16:00,15.2,0.0,29,249,2.5
2022/06/02,17:00,13.1,0.0,33,272,1.8
2022/06/02,18:00,10.1,0.0,40,144,1.0
2022/06/02,19:00,7.8,0.0,48,177,0.7
2022/06/02,20:00,6.2,0.0,55,125,0.5
2022/06/02,21:00,5.1,0.0,60,59,0.7
2022/06/02,22:00,4.7,0.0,64,104,0.8
2022/06/02,23:00,4.7,0.0,63,181,0.6
2022/06/03,00:00,4.0,0.0,65,92,0.6
2022/06/03,01:00,3.5,0.0,67,144,0.8
2022/06/03,02:00,5.0,0.0,65,108,0.9
2022/06/03,03:00,5.3,0.0,63,122,0.9
2022/06/03,04:00,4.7,0.0,63,1,S/D
2022/06/03,05:00,3.6,0.0,66,125,1.2
2022/06/03,06:00,3.4,0.0,66,98,0.7
2022/06/03,07:00,3.3,0.0,68,120,1.4
2022/06/03,08:00,9.4,0.0,51,158,0.8
2022/06/03,09:00,12.6,0.0,37,182,1.0
2022/06/03,10:00,15.8,0.0,31,309,0.7
2022/06/03,11:00,17.7,0.0,26,309,1.7
2022/06/03,12:00,18.3,0.0,22,296,1.5
2022/06/03,13:00,18.8,0.0,21,267,2.2
2022/06/03,14:00,18.9,0.0,19,267,2.2
2022/06/03,15:00,18.2,0.0,20,249,2.1
