,time,SW_diffuse,cld,sea,Discharge,temp,RH,wind,SW_global,ppt,press,alb,vp_a,LW_in,SW_direct,e_a,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
2541,2021-05-03 21:00:00,0.0,0.3,0.0,0.0,9.635,16.712,3.938,0.0,0,623.553,0.25,2.003,226.064,0.0,0.623,-1.8650214068162971,-2.9912097092676744,0.07594919397537153,435902.7583501352,475.3574245912052,55.516443739584105,78524.18775160075,0.0,-1.0284187124199267,2480361.1826173603,-35.706607708582524,0.0,-71.82727347580081,174.76584362164775,-138.44556767814714,0.0,-0.19961017628231756,89467.14650933462,317.23424756986526,5.115343455631397,9.420163323653426,0.0,0.0,0.0,-0.0002197102266635006,0.0,0.0,-35.706607708582524,0.0,,3084255.2752284347,0.0,0.5430206759565513,5.236611663335591
2542,2021-05-03 22:00:00,0.0,0.3,0.0,0.0,9.112,17.373,2.526,0.0,0,623.886,0.25,2.01,224.57,0.0,0.624,-2.8934401192362236,-2.9909603203229826,0.07594919397537155,435847.2419063956,475.29688321308134,30.76597482401425,78579.70419534034,0.0,-0.820436481284405,2480361.1826173603,-28.485482842002433,0.0,-68.8297708575995,117.0915342063338,-76.72996058143545,0.0,-0.01728560930129039,89467.14650933462,317.20731175940676,5.115126283545279,9.419763390288576,0.0,0.0,0.0,-0.0001908412429856294,0.0,0.0,-28.485482842002433,0.0,,3084255.2752284347,0.0,0.5430206759565513,4.80393402681023
2543,2021-05-03 23:00:00,0.0,0.3,0.0,0.0,8.878,18.05,1.655,0.0,0,624.042,0.25,2.056,224.571,0.0,0.626,-3.7138766005206287,-2.990938723113026,0.07594919397537152,435816.47593157156,475.26333253170293,17.505064631339142,78610.47017016435,0.0,-0.815935906900744,2480361.1826173603,-28.32922329320198,0.0,-65.2821860011434,80.48428704327505,-43.659469228481335,0.0,0.12814489314771102,89467.14650933462,317.1923840415462,5.115005923677281,9.419541741512893,0.0,0.0,0.0,-0.00010576894079876155,0.0,0.0,-28.32922329320198,0.0,,3084255.2752284347,0.0,0.5430206759565513,4.482414382460027
2544,2021-05-04 00:00:00,0.0,0.3,0.0,0.0,8.12,20.118,1.054,0.0,0,624.042,0.25,2.176,224.071,0.0,0.631,-4.529812507421373,-2.991098835333368,0.07594919397537153,435798.9708669402,475.24424303919324,9.217483981144829,78627.97523479568,0.0,-0.9651920139426651,2480361.1826173603,-33.511382269788115,0.0,-62.287042345233175,51.492899087847256,-22.989988504842664,0.0,0.27274949244046565,89467.14650933462,317.18389038934663,5.114937439416084,9.419415624287105,0.0,0.0,0.0,-6.018269501449429e-05,0.0,0.0,-33.511382269788115,0.0,,3084255.2752284347,0.0,0.5430206759565513,4.182238966311013
2545,2021-05-04 01:00:00,0.0,0.3,0.0,0.0,6.832,24.405,0.829,0.0,0,624.048,0.25,2.418,223.469,0.0,0.641,-5.495004521364038,-2.991439630120165,0.07594919397537155,435789.75338295905,475.2341912573163,5.177855169166042,78637.19271877683,0.0,-0.9158690001628855,2480361.1826173603,-31.798891547117876,0.0,-58.79546478443996,39.467435293639994,-12.914642390549846,0.0,0.44378033423193014,89467.14650933462,317.17941791781647,5.114901377539343,9.419349214519782,0.0,0.0,0.0,-3.169070744608225e-05,0.0,0.0,-31.798891547117876,0.0,,3084255.2752284347,0.0,0.5430206759565513,3.8508884184594163
2546,2021-05-04 02:00:00,0.0,0.3,0.0,0.0,6.437,25.282,1.114,0.0,0,624.004,0.25,2.437,222.513,0.0,0.642,-6.4108735215269235,-2.9919941282763967,0.07594919397537155,435784.5755277899,475.2285447413194,5.4473002596697695,78642.370573946,0.0,-0.39215625137144944,2480361.1826173603,-13.61563073394473,0.0,-55.90780933389627,55.272949625715064,-13.58680183175816,0.0,0.6060308059946335,89467.14650933462,317.1769055253489,5.114881119817033,9.419311908901033,0.0,0.0,0.0,-1.7802277442698522e-05,0.0,0.0,-13.61563073394473,0.0,,3084255.2752284347,0.0,0.5430206759565513,3.5588029256321403
2547,2021-05-04 03:00:00,0.0,0.3,0.0,0.0,6.09,25.803,1.193,0.0,0,623.89,0.25,2.429,221.337,0.0,0.642,-6.803029772898373,-2.992751359432299,0.07594919397537152,435779.1282275302,475.22260439207224,5.257563898799469,78647.81787420566,0.0,-0.24477280380991104,2480361.1826173603,-8.498490330659779,0.0,-55.45009453597112,59.3898567790677,-13.11366561232259,0.0,0.6754130385662293,89467.14650933462,317.1742623823277,5.114859807750697,9.41927266165451,0.0,0.0,0.0,-1.8728820237809027e-05,0.0,0.0,-8.498490330659779,0.0,,3084255.2752284347,0.0,0.5430206759565513,3.4400396313799715
2548,2021-05-04 04:00:00,0.0,0.3,0.0,0.0,5.328,28.088,0.609,0.0,0,623.906,0.25,2.508,220.02,0.0,0.645,-7.047802576708285,-2.9935952867077393,0.07594919397537155,435773.8706636314,475.216870952706,2.2822614488938093,78653.07543810447,0.0,-0.9108094184122981,2480361.1826173603,-31.623223311450886,0.0,-55.75102715515263,29.101719585047988,-5.692570700333386,0.0,0.7186549589871372,89467.14650933462,317.17171129287783,5.114839237842166,9.41923478112907,0.0,0.0,0.0,-1.8076622368915004e-05,0.0,0.0,-31.623223311450886,0.0,,3084255.2752284347,0.0,0.5430206759565513,3.367756877429063
2549,2021-05-04 05:00:00,0.0,0.3,0.0,0.0,5.072,28.845,1.122,1.985,0,624.144,0.25,2.53,219.516,1.985,0.646,-7.958611995120583,-2.9944932482897157,0.07594919397537153,435771.5884021825,475.21438211797437,2.840484540932244,78655.35769955337,0.0,-0.060954385598859434,2480361.1826173603,-2.1163309344836603,0.11306936253083438,-52.49875280928691,56.47435691486811,-7.084953188437963,0.0,0.8799487858422679,89467.14650933462,317.170603884579,5.114830308577416,9.419218337437059,0.0,0.0,0.0,-7.846963152878132e-06,0.0,0.0,-2.11633093448366,0.0,,3084255.2752284347,0.0,0.5430206759565513,3.110802726240608
2550,2021-05-04 06:00:00,43.91,0.512,0.098,0.0,4.995,29.535,0.98,94.023,0,624.491,0.25,2.576,219.855,50.113,0.648,-8.019566380719443,-2.995592748923979,0.11857674993238933,435768.7479176416,475.2112845339603,2.2138361782759297,78658.1981840943,0.0,0.8681380019821215,2480361.1826173603,30.14167546674409,37.38917750202137,-51.909748062463876,49.29362836277466,-5.521943043004752,0.0,0.8905607074166909,89467.14650933462,317.1692256102721,5.11481919524161,9.419197871667896,0.0,0.0,0.0,-9.766302350052207e-06,0.0,0.0,30.14167546674409,0.0,,3084255.2752284347,0.0,0.5430206759565513,3.0942631914201626
