,time,ghi,sea,temp,ppt,RH,wind,Discharge,alb,vp_a,LW_in,SW_global,press,SW_direct,SW_diffuse,T_F,e_a
0,2022-05-04 00:00:00,0.0,0.0,5.0,0.0,51.0,3.1,1000000.0,0.85,0.0,0.0,0.0,665.3,0.0,0.0,0.0,
1,2022-05-04 01:00:00,0.0,0.0,5.6,0.0,45.0,3.6,1000000.0,0.845,4.094,234.316,0.0,665.3,0.0,0.0,0.0,0.684
2,2022-05-04 02:00:00,0.0,0.0,4.3,0.0,45.0,4.3,1000000.0,0.839,3.739,227.166,0.0,665.3,0.0,0.0,0.0,0.676
3,2022-05-04 03:00:00,0.0,0.0,4.9,0.0,40.0,3.9,1000000.0,0.834,3.466,226.6,0.0,665.3,0.0,0.0,0.0,0.669
4,2022-05-04 04:00:00,0.0,0.0,4.4,0.0,39.0,3.9,1000000.0,0.829,3.263,223.103,0.0,665.3,0.0,0.0,0.0,0.663
5,2022-05-04 05:00:00,0.0,0.0,4.1,0.0,39.0,4.6,1000000.0,0.824,3.195,221.507,0.0,665.3,0.0,0.0,0.0,0.661
6,2022-05-04 06:00:00,2.137,0.007,4.1,0.0,39.0,4.3,1000000.0,0.819,3.195,221.507,2.137,665.3,1.709,0.427,0.0,0.661
7,2022-05-04 07:00:00,199.548,0.242,7.8,0.0,33.0,2.0,1000000.0,0.814,3.493,236.113,199.548,665.3,159.638,39.91,0.0,0.668
8,2022-05-04 08:00:00,430.58,0.468,13.4,0.0,25.0,0.9,1000000.0,0.809,3.844,258.303,430.58,665.3,344.464,86.116,0.0,0.676
9,2022-05-04 09:00:00,633.997,0.677,15.7,0.0,19.0,1.1,1000000.0,0.804,3.39,261.648,633.997,665.3,507.197,126.799,0.0,0.663
10,2022-05-04 10:00:00,785.528,0.853,16.0,0.0,19.0,4.7,1000000.0,0.799,3.456,263.419,785.528,665.3,628.423,157.106,0.0,0.665
11,2022-05-04 11:00:00,870.127,0.966,16.2,0.0,21.0,4.8,1000000.0,0.794,3.869,268.416,870.127,665.3,696.102,174.025,0.0,0.675
12,2022-05-04 12:00:00,879.927,0.981,16.4,0.0,21.0,5.2,1000000.0,0.79,3.918,269.623,879.927,665.3,703.941,175.985,0.0,0.677
13,2022-05-04 13:00:00,814.038,0.889,15.9,0.0,24.0,5.3,1000000.0,0.785,4.337,271.748,814.038,665.3,651.231,162.808,0.0,0.687
14,2022-05-04 14:00:00,678.543,0.726,14.8,0.0,29.0,5.5,1000000.0,0.78,4.883,272.355,678.543,665.3,542.835,135.709,0.0,0.699
15,2022-05-04 15:00:00,486.591,0.524,13.7,0.0,32.0,3.2,1000000.0,0.775,5.018,269.408,486.591,665.3,389.273,97.318,0.0,0.702
16,2022-05-04 16:00:00,259.577,0.302,13.7,0.0,30.0,3.3,1000000.0,0.771,4.704,266.935,259.577,665.3,207.661,51.915,0.0,0.695
17,2022-05-04 17:00:00,38.801,0.068,12.0,0.0,38.0,1.9,1000000.0,0.766,5.331,265.586,38.801,665.3,31.041,7.76,0.0,0.708
18,2022-05-04 18:00:00,0.0,0.0,9.8,0.0,41.0,1.3,1000000.0,0.762,4.968,255.191,0.0,665.3,0.0,0.0,0.0,0.702
19,2022-05-04 19:00:00,0.0,0.0,7.1,0.0,45.0,3.1,1000000.0,0.757,4.54,242.781,0.0,665.3,0.0,0.0,0.0,0.694
20,2022-05-04 20:00:00,0.0,0.0,6.0,0.0,47.0,3.6,1000000.0,0.753,4.396,238.025,0.0,665.3,0.0,0.0,0.0,0.691
21,2022-05-04 21:00:00,0.0,0.0,5.7,0.0,45.0,3.3,1000000.0,0.748,4.123,234.874,0.0,665.3,0.0,0.0,0.0,0.685
22,2022-05-04 22:00:00,0.0,0.0,5.6,0.0,45.0,3.2,1000000.0,0.744,4.094,234.316,0.0,665.3,0.0,0.0,0.0,0.684
