,time,SW_diffuse,cld,sea,Discharge,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,snow_h,alb,SW_direct,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
144,2021-12-09 08:00:00,0.0,0.43,0.0,11.258,-2.065,98.415,1.1,0.55,4.68,4.967,88.665,306.505,68.575,0.25,0.55,-0.023573281215325686,-0.430015402810477,0.014575937704680566,14536.970589233162,15.852748734169205,1.3298016249614732,136.49624792217526,0.05520698462624281,0.023573281215325686,96498.54286214909,0.6206830747471074,0.0060125743031807346,0.4428076164557524,-1.008724420894314,-11.102609841133074,12.433723689458184,-0.1505265434426221,3197.464748595431,94.75437362331634,0.5040290527212089,5.480373957504494,0.0,441.5868312076172,0.0,0.018552123870038868,675.4799999999999,0.0,0.5666277192466163,0.0540553555004914,,114369.47444789982,0.0,0.081780345490422,6.101049205295281
145,2021-12-09 09:00:00,58.889,0.506,0.126,11.258,-2.17,98.37,1.095,3.855,0.0,5.083,88.72,306.74,68.79,0.25,-55.034,0.0,-0.4283310133606565,0.07744767529564099,14977.17241183119,16.33279434223685,1.2083948861244762,137.82604954713673,43.574609453281326,-0.0,97174.02286214908,42.65463776504499,40.97005847833477,0.572130193201076,-1.0732718424592722,-10.086375951261397,12.430519116030943,-0.15842222880113793,3197.5199555800573,94.7788011910626,0.5192918274711671,5.480373957504494,0.0,0.0,0.0,0.005066210558005498,675.4799999999999,0.0,0.0,42.65463776504499,,115486.54127910743,0.0,0.09196982845140009,6.112911778902558
146,2021-12-09 10:00:00,89.704,0.406,0.239,11.258,-2.08,98.04,0.83,10.915,0.0,5.283,88.78,309.58,68.97,0.25,-78.789,0.0,-0.4266099313261772,0.1320297631708898,14932.389407491786,16.28395791438581,0.751212961334722,139.0344444332612,70.7064892043702,-0.0,97849.50286214908,68.00388296627989,59.47613024214657,3.412130193201051,-0.7803167286697203,-6.1607137215571806,12.213241605597586,-0.15658862443841653,3241.0945650333388,96.46494665757116,0.5085582477373679,5.5296204885943325,0.0,0.0,0.0,-0.0005152674146256741,675.4799999999999,0.0,0.0,68.00388296627989,,116162.02127910743,0.0,0.09196982845140009,6.112911778902558
147,2021-12-09 11:00:00,100.846,0.363,0.318,11.258,-1.705,97.205,1.235,23.555,0.0,5.217,88.835,314.45,68.085,0.25,-77.291,0.0,-0.42487331251556615,0.16952186434241107,14860.93170532608,16.206032394030622,1.202808282515208,139.78565739459592,78.08168450755294,-0.0,98524.98286214907,75.33771734198324,65.80761418733303,8.282130193201056,-0.9523351127438254,-9.895852454932715,12.252361282123589,-0.1562007529979026,3311.8010542377087,96.15695071928225,0.507745729271604,5.52078586881255,0.0,0.0,0.0,-0.0008078117809135894,675.4799999999999,0.0,-1.4210854715202004e-14,75.33771734198326,,116837.50127910743,0.0,0.09196982845140009,6.112911778902558
148,2021-12-09 12:00:00,104.545,0.346,0.355,11.258,-1.56,96.17,1.055,23.83,0.0,5.333,88.825,315.84,67.96,0.25,-80.715,0.0,-0.423138223190476,0.18673187076797004,14781.647212536012,16.119571660344615,0.8912783175830579,140.98846567711112,83.45911391331516,-0.0,99200.46286214907,80.81386101413702,67.10470278822247,9.672130193201042,-0.7442633333081307,-7.359002432526665,12.296134297615502,-0.15584049906720815,3389.8827387452616,95.81464153563041,0.5068411613554343,5.510950383290821,0.0,0.0,0.0,-0.0008991625986395691,675.4799999999999,0.0,1.4210854715202004e-14,80.813861014137,,117512.98127910742,0.0,0.09196982845140009,6.112911778902558
149,2021-12-09 13:00:00,103.794,0.35,0.347,11.258,-1.295,95.03,0.705,22.03,0.0,5.233,88.825,315.875,67.705,0.25,-81.764,0.0,-0.4214040460911975,0.1830316426227816,14697.296820305113,16.027586499787475,0.6694015888066865,141.87974399469417,84.93278795026424,-0.0,99875.94286214907,82.55518956904898,66.62145057944316,9.707130193201067,-0.41286536439846305,-5.548163562050376,12.343135873884368,-0.1554981510307803,3473.341852658577,95.44978780414559,0.5058752376483314,5.5004477682118615,0.0,0.0,0.0,-0.0009600324030115363,675.4799999999999,0.0,0.0,82.55518956904898,,118188.46127910742,0.0,0.09196982845140009,6.112911778902558
150,2021-12-09 14:00:00,98.05,0.374,0.294,11.258,-1.275,93.65,1.09,22.205,0.0,5.067,88.815,315.88,67.265,0.25,-75.845,0.0,-0.4196703746231896,0.15823305230593246,14611.694630766044,15.934236238567115,1.2254307966186047,142.54914558350086,77.5366621175151,-0.0,100551.42286214906,75.66017678781839,64.53661061089241,9.712130193201062,-0.6284017016176903,-10.19629892717777,12.391296861099923,-0.15516024857955385,3558.2746406088413,95.07880516514562,0.5048911933441398,5.489748125505541,0.0,0.0,0.0,-0.0009780038632658506,675.4799999999999,0.0,1.4210854715202004e-14,75.66017678781837,,118863.94127910741,0.0,0.09196982845140009,6.112911778902558
151,2021-12-09 15:00:00,82.049,0.432,0.202,11.258,-1.475,92.025,0.72,13.865,0.0,4.95,88.825,315.835,66.36,0.25,-68.184,0.0,-0.4179370988565533,0.11417252174925281,14532.932537851912,15.848345188497177,0.8967711288878721,143.77457638011947,71.1489818736403,-0.0,101226.90286214906,69.67770327431835,55.69819558278671,9.667130193201046,-0.48025741886817036,-7.488593786420823,12.436026766288748,-0.15479806266915574,3635.811302726356,94.73682568726026,0.5039823789963872,5.479866467976596,0.0,0.0,0.0,-0.0009033669482988411,675.4799999999999,0.0,1.4210854715202004e-14,69.67770327431833,,119539.42127910741,0.0,0.09196982845140009,6.112911778902558
152,2021-12-09 16:00:00,37.618,0.579,0.079,11.258,-1.73,91.035,0.525,6.83,0.0,4.4,88.865,313.205,65.67,0.25,-30.788,0.0,-0.4162047507619397,0.053823573969504775,14460.886784849383,15.769778391329753,0.9599702264828693,144.67134750900735,38.54867082610253,-0.0,101902.38286214905,37.87681326430918,26.970659853470167,7.037130193201051,-0.4109135867045504,-8.042948846720662,12.477297660394338,-0.15441200933117022,3706.9602845999966,94.42346668860068,0.5031481826730526,5.47079614200795,0.0,0.0,0.0,-0.0008293163360442766,675.4799999999999,0.0,0.0,37.87681326430918,,120214.9012791074,0.0,0.09196982845140009,6.112911778902558
153,2021-12-09 17:00:00,0.0,0.43,0.0,11.258,-4.425,91.67,0.49,1.395,0.0,4.1,88.86,298.625,64.82,0.25,1.395,0.0,-0.41447385800785885,0.014575937704680565,14421.378143796797,15.72669372278822,1.0509744982022884,145.63131773549023,0.0,-0.20734210637929767,102577.86286214905,-4.983853701499552,0.015250074823522041,-7.542869806798933,-0.9809119231591402,-8.821487612734805,12.50007570828985,-0.15391014192004907,3745.508955426099,94.251405150984,0.502689547082977,5.465809337119889,0.0,0.0,0.0,-0.00045629195847704464,675.4799999999999,0.0,-4.983853701499552,0.0,,120890.3812791074,0.0,0.09196982845140009,6.112911778902558
154,2021-12-09 18:00:00,0.0,0.43,0.0,11.258,-5.335,95.6,0.4,-0.035,0.0,4.183,88.905,288.275,64.445,0.25,-0.035,-0.20734210637929767,-0.4127470169027108,0.014575937704680563,14420.327169298595,15.72554762191777,0.7783586802828257,146.68229223369252,0.0,-0.0644724715473786,103253.34286214905,-12.002219358015168,-0.0003826183647478649,-16.96430679724716,-0.9283667326316506,-6.533569635119053,12.500683050091405,-0.07627662474395916,3745.508955426099,94.24682597575222,0.50267733542693,5.465676558183008,0.0,0.0,0.0,-1.2160040145970372e-05,664.8619910883235,10.618008911676348,-1.5497159336195017,,-10.452503424395665,121565.8612791074,1.0,0.09196982845140009,6.009289093331189
