time,temp,RH,wind,tcc,SW_global,Discharge
2019-01-01 05:30:00,-25.245,81.308,0.398,0.985,0.0,1000000
2019-01-01 06:30:00,-25.112,78.229,0.392,0.974,0.0,1000000
2019-01-01 07:30:00,-25.177,75.773,0.395,0.961,0.0,1000000
2019-01-01 08:30:00,-26.177,75.629,0.316,0.987,58.368,1000000
2019-01-01 09:30:00,-24.05,70.904,0.269,1.0,199.56,1000000
2019-01-01 10:30:00,-19.455,67.241,0.284,0.992,335.285,1000000
2019-01-01 11:30:00,-18.345,67.877,0.385,0.995,451.271,1000000
2019-01-01 12:30:00,-16.885,68.715,0.489,0.992,493.816,1000000
2019-01-01 13:30:00,-14.625,65.2,0.617,0.993,484.193,1000000
2019-01-01 14:30:00,-13.594,62.926,0.628,0.989,395.952,1000000
2019-01-01 15:30:00,-14.52,67.933,0.636,0.996,259.154,1000000
2019-01-01 16:30:00,-14.159,66.057,0.606,0.98,132.83,1000000
2019-01-01 17:30:00,-13.844,62.289,0.508,0.987,26.058,1000000
2019-01-01 18:30:00,-14.493,65.218,0.421,0.992,0.0,1000000
2019-01-01 19:30:00,-15.34,70.78,0.384,0.984,0.0,1000000
2019-01-01 20:30:00,-15.827,71.619,0.353,0.996,0.0,1000000
2019-01-01 21:30:00,-15.749,71.702,0.336,0.999,0.0,1000000
2019-01-01 22:30:00,-16.431,73.595,0.314,1.0,0.0,1000000
2019-01-01 23:30:00,-16.676,74.406,0.263,1.0,0.0,1000000
2019-01-02 00:30:00,-16.735,73.702,0.242,1.0,0.0,1000000
2019-01-02 01:30:00,-16.842,74.715,0.224,0.996,0.0,1000000
2019-01-02 02:30:00,-16.623,74.774,0.207,0.997,0.0,1000000
2019-01-02 03:30:00,-16.593,76.927,0.203,0.991,0.0,1000000
2019-01-02 04:30:00,-16.19,75.174,0.173,1.0,0.0,1000000
2019-01-02 05:30:00,-16.388,75.572,0.156,1.0,0.0,1000000
2019-01-02 06:30:00,-16.004,73.493,0.121,1.0,0.0,1000000
2019-01-02 07:30:00,-15.378,73.456,0.123,1.0,0.0,1000000
2019-01-02 08:30:00,-16.436,75.573,0.101,0.993,47.212,1000000
2019-01-02 09:30:00,-15.218,75.434,0.009,0.943,166.587,1000000
2019-01-02 10:30:00,-12.951,71.444,0.004,0.92,315.477,1000000
2019-01-02 11:30:00,-11.71,66.892,0.055,0.953,422.3,1000000
2019-01-02 12:30:00,-10.929,62.185,0.291,0.973,515.94,1000000
2019-01-02 13:30:00,-9.641,57.728,0.449,0.891,502.57,1000000
2019-01-02 14:30:00,-9.325,55.524,0.726,0.823,438.872,1000000
2019-01-02 15:30:00,-10.534,62.3,1.007,0.84,310.674,1000000
2019-01-02 16:30:00,-10.852,63.472,0.716,0.795,181.03,1000000
2019-01-02 17:30:00,-10.986,55.636,0.741,0.835,35.562,1000000
2019-01-02 18:30:00,-11.343,55.696,0.66,0.806,0.0,1000000
2019-01-02 19:30:00,-12.494,57.901,0.561,0.846,0.0,1000000
2019-01-02 20:30:00,-13.881,61.934,0.552,0.844,0.0,1000000
2019-01-02 21:30:00,-14.453,63.722,0.453,0.739,0.0,1000000
2019-01-02 22:30:00,-15.113,65.245,0.429,0.667,0.0,1000000
2019-01-02 23:30:00,-15.93,66.593,0.357,0.507,0.0,1000000
2019-01-03 00:30:00,-16.84,70.084,0.322,0.56,0.0,1000000
2019-01-03 01:30:00,-17.371,71.821,0.342,0.549,0.0,1000000
2019-01-03 02:30:00,-17.851,72.623,0.346,0.362,0.0,1000000
2019-01-03 03:30:00,-18.97,71.8,0.324,0.589,0.0,1000000
2019-01-03 04:30:00,-20.841,72.071,0.296,0.498,0.0,1000000
2019-01-03 05:30:00,-20.538,73.222,0.212,0.477,0.0,1000000
2019-01-03 06:30:00,-20.699,74.212,0.192,0.69,0.0,1000000
2019-01-03 07:30:00,-20.588,74.419,0.078,0.47,0.0,1000000
2019-01-03 08:30:00,-21.694,77.699,0.051,0.521,69.029,1000000
2019-01-03 09:30:00,-20.663,74.951,0.01,0.539,259.852,1000000
2019-01-03 10:30:00,-16.924,61.704,0.027,0.543,369.74,1000000
2019-01-03 11:30:00,-16.0,59.92,0.063,0.549,448.716,1000000
2019-01-03 12:30:00,-15.809,61.496,0.111,0.522,616.768,1000000
2019-01-03 13:30:00,-13.849,58.229,0.201,0.458,603.5,1000000
2019-01-03 14:30:00,-13.327,53.988,0.338,0.4,529.123,1000000
2019-01-03 15:30:00,-14.922,61.539,0.412,0.35,366.913,1000000
2019-01-03 16:30:00,-14.261,51.986,0.323,0.307,219.436,1000000
2019-01-03 17:30:00,-13.355,49.393,0.354,0.327,43.618,1000000
2019-01-03 18:30:00,-13.698,48.803,0.337,0.422,0.0,1000000
2019-01-03 19:30:00,-15.606,56.78,0.28,0.459,0.0,1000000
2019-01-03 20:30:00,-17.221,61.381,0.29,0.495,0.0,1000000
2019-01-03 21:30:00,-17.823,60.884,0.249,0.479,0.0,1000000
