,When,ghics,difcs,zen,sea,T_a,RH,v_a,p_a,SW_direct,SW_diffuse,Discharge,Prec,ghi,dif,a,vp_a,LW_in,cld,e_a,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice,thickness
0,2020-12-31 00:00:00,0.0,0.0,113.1599,0.0,-12.99,26.69,3.023,623.155,-2.686,-0.896,60.0,0,-3.582,-0.896,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,18.276421217989263,0,0.0,0.0,0.0,0.0,0.0002735765356008845,,,
1,2020-12-31 00:15:00,0.0,0.0,110.15036,0.0,-13.05,26.19,2.597,623.177,-2.624,-0.875,60.0,0,-3.499,-0.875,0.35,0.58548,134.698,0,0.51903,0.0,0.0,4.3541056325440645e-05,1.748964279966379,1.748964279966379,419.0949424557804,30.90505754421944,0.0,0.0,-7.897808814595686,0.0,-243.51448603821802,-0.5688242636256686,-165.17653883563892,-77.76912293895346,-93.195474898572,0.0,0.0,0.0,1049.3786072497344,0.004999999999999999,18.27642121798926,0,0.0,0.0,-84.37268645676644,-159.14179958145155,0.0002735765356008845,1.748964279966379,6.133051324397063,
2,2020-12-31 00:30:00,0.0,0.0,107.16593,0.0,-13.26,26.68,2.906,623.199,-2.558,-0.852,60.0,0,-3.41,-0.852,0.35,0.5863,134.30601,0,0.51919,-7.897808814595686,0.0,4.3541056325440645e-05,420.8439067357468,0.4589355580542495,278.1818427377429,6.519915390419706,30.90505754421944,0.0,7.897808814595686,0.0,-245.64884206525312,-0.5538723957143523,-132.36186149612232,-35.75839157107236,-47.968932112149226,-79.84068804152726,2.865971439183168,0.0,430.10984666544135,0.003201058372320017,11.700778231178345,0,0.0,0.0,84.37268645676644,-245.64884206525312,0.0002735765356008845,301.7489642799664,3.138087224623603,0.00043552278216455495
3,2020-12-31 00:45:00,0.0,0.0,104.20987,0.0,-13.31,27.14,2.77,623.222,-2.628,-0.876,60.0,0,-3.504,-0.876,0.35,0.59398,134.45606,0,0.52017,0.0,-1.2571128875911601,4.354105632544064e-05,699.0257494734897,0.7622963462088219,385.5666906063039,18.92053633767386,37.42497293463914,0.0,0.0,165.29824187183738,-248.83681307537594,-0.5694743768324152,-165.41847883563892,-84.60848602367575,-99.25143166206347,2.1448224934165463,-0.3851963326453922,0.0,603.2455663059852,0.003790975436770272,13.857092781892863,0,0.0,0.0,0.0,-248.83681307537594,0.0002735765356008845,601.7489642799665,6.1330522431781445,0.0007053100283717521
4,2020-12-31 01:00:00,0.0,0.0,101.28568,0.0,-13.66,27.28,2.863,623.244,-2.506,-0.835,60.0,0,-3.341,-0.835,0.35,0.58019,133.31078,0,0.51853,0.0,-1.1144446857668249,4.354105632544063e-05,1084.5924400797935,1.182761657666078,423.72533464591436,26.274665354085766,56.345509272313,0.0,-4.528505232165987,210.81101492785962,-254.93531871724895,-0.5428209240266485,-166.56375883563894,-89.75186406167481,-102.83909926825629,2.218093339121223,-0.2949682350297661,0.0,808.4932618136825,0.004388762743455081,16.042175305040644,0,0.0,0.0,-48.378247820490856,-206.5570708967581,0.0002735765356008845,901.7489642799665,6.133052692357251,0.0006970052246417719
5,2020-12-31 01:15:00,0.0,0.0,98.39708,0.0,-13.56,29.18,2.944,623.286,-2.615,-0.872,60.0,0,-3.487,-0.872,0.35,0.6257,134.95721,0,0.52412,-4.528505232165987,-1.0200757276321357,4.354105632544064e-05,1508.3177747257077,1.6448394489920477,428.3521467371894,21.64785326281062,82.62017462639876,0.0,-3.606945008234329,210.81101492785962,-252.7004867318927,-0.5668740089104892,-145.52015549164318,-61.023643752984896,-68.00670326132175,-46.42174464487565,0.831931166521502,0.0,1007.3040701358386,0.0048987378071157234,17.9062791198672,0,0.0,0.0,-38.53317387021775,-165.78906504118407,0.0002735765356008845,1201.7489642799665,4.196733588074984,0.0005715295515133877
6,2020-12-31 01:30:00,0.0,0.0,95.54813,0.0,-13.3,30.35,3.048,623.328,-2.469,-0.823,60.0,0,-3.292,-0.823,0.35,0.66477,136.65675,0,0.5286,-8.135450240400315,-1.258526763412655,4.354105632544063e-05,1936.669921462897,2.1119628369279138,432.1404997790129,17.859500220987094,104.26802788920938,0.0,-2.0788304312143624,210.81101492785962,-249.45942483355867,-0.5350198768642439,-129.05676599781754,-36.1307842459132,-47.49315443669579,-85.23716554729256,1.5003108343288738,0.0,1189.969310844303,0.005324413571128417,19.462245032944278,0,0.0,0.0,-22.208249438184595,-140.33975370466547,0.0002735765356008845,1501.7489642799665,3.0735440936328207,0.0004637362260165126
7,2020-12-31 01:45:00,0.0,0.0,92.74321,0.0,-13.48,29.73,3.237,623.37,-2.526,-0.842,60.0,0,-3.368,-0.842,0.35,0.64168,135.60538,0,0.52599,-10.214280671614677,-1.6541715779185306,5.32566261900805e-05,2368.81042124191,2.583217471365223,434.90667382954877,15.09332617045113,122.12752811019647,0.0,-0.26065075068488824,210.81101492785962,-252.24396723044697,-0.5473874420545415,-121.86846969189682,-24.26502692163494,-40.13716221618179,-107.43060786948398,1.8675246946233384,0.0,1189.969332934459,0.006512481148446691,19.462245032944278,0,0.0,0.0,-2.7845450021041955,-140.33975109944953,0.0002735765356008845,1801.7489642799665,2.5585116990830743,0.00039602251095277965
8,2020-12-31 02:00:00,1.32858,0.08586,89.98713,0.00022,-13.56,30.74,3.614,623.412,-2.518,-0.84,60.0,0,-3.358,-0.84,0.35,0.65915,135.96506,0,0.52804,-10.474931422299566,-2.056810631397365,0.00017303437473622574,2803.7170950714585,3.0574886532949384,433.81823706372353,16.181762936276456,137.2208542806476,0.0,-0.2577604322254704,210.81101492785962,-254.99763166603879,-0.5462832053611308,-120.48936141504788,-25.594193672402884,-43.031603637573426,-110.20434104887615,1.8365476756492898,0.0,1189.9693596430561,0.007708153663752358,19.462245032944278,0,0.0,0.0,-2.753667585486312,-140.33974794955512,0.0003346212699214728,2101.7489642799665,2.499834695305856,0.00039855748278837114
9,2020-12-31 02:15:00,23.10377,1.49312,87.28512,0.04738,-13.52,27.66,3.224,623.449,-2.464,-0.821,60.0,0,-3.285,-0.821,0.35,0.59505,134.07206,0,0.52036,-10.732691854525036,-2.3913504946951507,0.02375384103531697,3237.535332135182,3.530572881281551,435.50732844156863,14.492671558431374,153.40261721692406,0.0,0.11948702212538807,210.81101492785962,-253.72114216461105,-0.5716941518021637,-121.37721744003244,-20.629764647874964,-38.53986023033195,-112.96226293978266,1.8197970148811613,0.0,1189.9693907592864,0.008900833780909511,19.462245032944278,0,0.0,0.0,1.2764858317166272,-140.33974427984398,0.0003960567576199228,2401.7489642799665,2.443020868426053,0.0003975600078715632
