,When,h_ice,h_f,r_ice,ice,T_a,Discharge
0,2021-01-30 17:00:00,0.005,1.35,1.6760288541580695,0.0,-8.09,0.0
1,2021-01-30 17:15:00,0.004999999999999999,1.35,1.6760288541580692,0.014708270367430902,-8.09,3.58
2,2021-01-30 17:30:00,0.00296755947870853,1.35,0.9947430625491551,2.8198059586718105,-8.15,3.58
3,2021-01-30 17:45:00,0.0032594705725632763,1.35,1.0925933457790349,3.7364753414229606,-8.47,3.58
4,2021-01-30 18:00:00,0.003671869396264518,1.35,1.2308318113678605,5.341738253067891,-9.08,3.58
5,2021-01-30 18:15:00,0.004178848230111396,1.35,1.4007740421628159,7.8739150057883105,-9.24,3.58
6,2021-01-30 18:30:00,0.0046825457325910015,1.35,1.5696163517474508,11.078144102967048,-9.19,3.58
7,2021-01-30 18:45:00,0.005137323890792076,1.35,1.7220606148246234,14.629577005400138,-9.35,3.58
8,2021-01-30 19:00:00,0.006593477237379597,1.35,1.7220606148246234,18.776270491819346,-9.57,3.58
9,2021-01-30 19:15:00,0.008058899262563533,1.35,1.7220606148246234,22.94935842993111,-9.89,3.58
10,2021-01-30 19:30:00,0.009650273045366241,1.35,1.7220606148246234,27.481119672708743,-10.14,3.58
11,2021-01-30 19:45:00,0.01122893904144759,1.35,1.7220606148246234,31.9766929023573,-10.23,3.58
12,2021-01-30 20:00:00,0.013024232030832283,1.35,1.7220606148246234,37.089155654128426,-10.28,3.58
13,2021-01-30 20:15:00,0.014664761517401403,1.35,1.7220606148246234,41.76089778360746,-10.42,3.58
14,2021-01-30 20:30:00,0.016331137969272807,1.35,1.7220606148246234,46.506244415602566,-10.46,3.58
15,2021-01-30 20:45:00,0.01796366765009713,1.35,1.7220606148246234,51.15520546748954,-10.51,3.58
16,2021-01-30 21:00:00,0.019442628729539748,1.35,1.7220606148246234,55.36684862249402,-10.51,3.58
17,2021-01-30 21:15:00,0.021095966047331445,1.35,1.7220606148246234,60.07506366221309,-10.57,3.58
18,2021-01-30 21:30:00,0.022660761258060526,1.35,1.7220606148246234,64.53113700305765,-10.65,3.58
19,2021-01-30 21:45:00,0.024286628478134984,1.35,1.7220606148246234,69.16112533983895,-10.76,3.58
20,2021-01-30 22:00:00,0.025913615138193864,1.35,1.7220606148246234,73.79430151016997,-10.78,3.58
21,2021-01-30 22:15:00,0.027514327698215723,1.35,1.7220606148246234,78.35265682475779,-10.8,3.58
22,2021-01-30 22:30:00,0.029043367526119843,1.35,1.7220606148246234,82.70690942439253,-10.89,3.58
23,2021-01-30 22:45:00,0.03064106635753669,1.35,1.7220606148246234,87.25668253243902,-10.88,3.58
24,2021-01-30 23:00:00,0.03217845478860888,1.35,1.7220606148246234,91.63470948142982,-11.02,3.58
25,2021-01-30 23:15:00,0.033802898514971744,1.35,1.7220606148246234,96.26064412969288,-10.99,3.58
26,2021-01-30 23:30:00,0.035316142056363395,1.35,1.7220606148246234,100.56991358346298,-11.15,3.58
27,2021-01-30 23:45:00,0.036879778916101946,1.35,1.7220606148246234,105.022688283736,-11.2,3.58
28,2021-01-31 00:00:00,0.03841587567914058,1.35,1.7220606148246234,109.397036944699,-11.25,3.58
29,2021-01-31 00:15:00,0.03997789274581631,1.35,1.7220606148246234,113.84519895403625,-11.39,3.58
30,2021-01-31 00:30:00,0.04156379332135421,1.35,1.7220606148246234,118.36137412343224,-11.39,3.58
31,2021-01-31 00:45:00,0.04314381744353075,1.35,1.7220606148246234,122.86081489398634,-11.58,3.58
32,2021-01-31 01:00:00,0.04484272409208409,1.35,1.7220606148246234,127.69879789220556,-11.68,3.58
33,2021-01-31 01:15:00,0.046577911206116984,1.35,1.7220606148246234,132.64009691152987,-11.67,3.58
34,2021-01-31 01:30:00,0.04832179974489718,1.35,1.7220606148246234,137.60617501157859,-11.89,3.58
35,2021-01-31 01:45:00,0.050113237068311695,1.35,1.7220606148246234,142.70765796853493,-12.08,3.58
36,2021-01-31 02:00:00,0.05196450211875531,1.35,1.7220606148246234,147.97951257388962,-12.32,3.58
37,2021-01-31 02:15:00,0.05385761821424345,1.35,1.7220606148246234,153.3705465612048,-12.34,3.58
38,2021-01-31 02:30:00,0.055675650922591836,1.35,1.7220606148246234,158.547765298141,-12.2,3.58
39,2021-01-31 02:45:00,0.057484935402981434,1.35,1.7220606148246234,163.70007167266746,-12.3,3.58
40,2021-01-31 03:00:00,0.05929249708219954,1.35,1.7220606148246234,168.84747201967082,-12.25,3.58
41,2021-01-31 03:15:00,0.061076800478918274,1.35,1.7220606148246234,173.92863966613373,-12.36,3.58
42,2021-01-31 03:30:00,0.06291635006592108,1.35,1.7220606148246234,179.16713210118255,-12.5,3.58
43,2021-01-31 03:45:00,0.06480817070232876,1.35,1.7220606148246234,184.55447700469105,-12.59,3.58
44,2021-01-31 04:00:00,0.06662037898385602,1.35,1.7220606148246234,189.7151094989641,-12.67,3.58
45,2021-01-31 04:15:00,0.06844255939891286,1.35,1.7220606148246234,194.90413967624883,-12.66,3.58
46,2021-01-31 04:30:00,0.0701360327959965,1.35,1.7220606148246234,199.72665038335788,-12.83,3.58
47,2021-01-31 04:45:00,0.07181324637236078,1.35,1.7220606148246234,204.50285793645816,-13.25,3.58
48,2021-01-31 05:00:00,0.0737668013294295,1.35,1.7220606148246234,210.06600390238475,-13.24,3.58
49,2021-01-31 05:15:00,0.07555908273428444,1.35,1.7220606148246234,215.1698905533059,-12.91,3.58
50,2021-01-31 05:30:00,0.07702927293618585,1.35,1.7220606148246234,219.35655684659758,-13.12,3.58
51,2021-01-31 05:45:00,0.07861914053467495,1.35,1.7220606148246234,223.88402892251156,-13.45,3.58
52,2021-01-31 06:00:00,0.08055604071570305,1.35,1.7220606148246234,229.3997470186418,-13.54,3.58
53,2021-01-31 06:15:00,0.08241625289493495,1.35,1.7220606148246234,234.69708039706356,-13.15,3.58
54,2021-01-31 06:30:00,0.08395618665528805,1.35,1.7220606148246234,239.08235569003864,-13.15,3.58
55,2021-01-31 06:45:00,0.08554803976683177,1.35,1.7220606148246234,243.6154819191159,-13.21,3.58
56,2021-01-31 07:00:00,0.08705676666854249,1.35,1.7220606148246234,247.91188932069258,-13.45,3.58
57,2021-01-31 07:15:00,0.0886405708450311,1.35,1.7220606148246234,252.4220945664517,-14.01,3.58
58,2021-01-31 07:30:00,0.08978001886751853,1.35,1.7220606148246234,255.66690508317015,-13.85,3.58
59,2021-01-31 07:45:00,0.09111564038482863,1.35,1.7220606148246234,259.4703596157098,-13.89,3.58
60,2021-01-31 08:00:00,0.09272089283122185,1.35,1.7220606148246234,264.0416431821808,-13.68,3.58
61,2021-01-31 08:15:00,0.09392896021098984,1.35,1.7220606148246234,267.4818613065831,-13.67,3.58
