,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,vp_a,p_a,missing,LW_in,a,cld,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt,vp_ice,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,meltwater,SA,h_ice,r_ice,$q_{T}$,$q_{melt}$,s_cone,input,thickness
0,2020-12-30 00:15:00,0.0,-5.7,89.1,0.5,0.0,0.0,0.0,0.0,778.841,0,218.724,0.0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.496120126199814,0.0,0.0,0.15393804002589978,,
1,2020-12-30 00:30:00,0.0,-5.65,88.75,1.25,0.0,0.0,0.0,0.0,778.86,0,218.332,0.35,0,17,0.0,0.0,0.0242147721013907,-103.31786144627785,0.0,-81.54253883563894,-21.775322610638902,-53.341161761774664,0.0,0.0,0.0,0.0,0.0,6.136193730674856,40523.41602534172,44.19129337550896,37.34350833290071,2.561435191591224,0.0,0.0,0.0,0.0,-2.561435191591224,134.13547934706202,0.9999999999999999,6.496120126199813,0.0,-103.31786144627785,0.15393804002589978,40523.41602534172,
2,2020-12-30 00:45:00,0.0,-5.6,87.8,0.0,0.0,0.0,0.0,0.0,778.88,0,217.94,0.35,0,17,0.0,0.0,0.0242147721013907,-75.46413357595674,0.0,-81.93453883563893,-0.0,-0.0,6.470405259682196,0.0,0.0,0.0,0.0,6.136194130642143,40560.75953367462,44.232016939666984,27.29273041938694,0.0,2.561435191591224,0.0,0.0,217.6564916670993,-2.561435191591224,134.21787319667504,1.0003070820677693,6.498114968200645,0.0,-75.46413357595674,0.15393804002589978,40608.41602534172,0.00030360024324845426
3,2020-12-30 01:00:00,0.0,-5.7,87.8,1.0,0.0,0.0,0.0,0.0,778.9,0,217.549,0.35,0,17,0.0,0.0,0.02423068831454901,-95.17199967638926,0.0,-82.32553883563892,-17.575322235948995,-42.67293497239906,4.728861395198643,0.0,0.0,0.0,0.0,6.136194530608663,40588.05226409401,44.26178000446457,34.420910703922736,2.0504390751485677,2.561435191591224,0.0,0.0,445.3637612477123,-4.611874266739791,134.21996448770778,1.0009801737909365,6.498114968200645,0.0,-95.17199967638926,0.15393804002589978,40693.41602534172,0.00022175187319481342
4,2020-12-30 01:15:00,0.0,-5.8,87.8,0.0,0.0,0.0,0.0,0.0,778.982,0,217.382,0.35,0,17,0.0,0.0,0.02425076038431605,-76.52873409855493,0.0,-82.49253883563892,-0.0,-0.0,5.963804737083991,0.0,0.0,0.0,0.0,6.136196170463394,40622.47317479793,44.299316439256195,27.678734639614337,0.0,4.611874266739791,0.0,0.0,665.9428505437895,-4.611874266739791,134.2226039310748,1.0018290602798539,6.498114968200645,0.0,-76.52873409855493,0.15404162263815901,40778.41602534172,0.00027966357266519416
5,2020-12-30 01:30:00,0.0,-5.9,88.4,1.0,0.0,0.0,0.0,0.0,779.064,0,217.214,0.35,0,17,0.0,0.0,0.024266899989751012,-96.06079740142688,0.0,-82.66053883563893,-18.195830595626642,-42.67295778039165,4.795572029838693,0.0,0.0,0.0,0.0,6.136197810305255,40650.15190943755,44.32950044649678,34.74359568553525,2.050512941288887,4.611874266739791,0.0,0.0,893.2641159041752,-6.662387208028679,134.224727960281,1.0025116716165496,6.498114968200645,0.0,-96.06079740142688,0.15417225844455387,40863.41602534172,0.0002248802091194909
6,2020-12-30 01:45:00,0.0,-5.9,89.1,0.5,0.0,0.0,0.0,0.0,779.147,0,217.046,0.35,0,17,0.0,0.0,0.02428715806528536,-85.9079248339151,0.0,-82.82853883563894,-9.098884572442515,-21.336484661662347,6.0194985741663425,0.0,0.0,0.0,0.0,6.136199470132089,40684.89550512308,44.36738877330761,31.0720878809637,1.0252771284723614,6.662387208028679,0.0,0.0,1113.52052021864,-7.68766433650104,134.22739613766333,1.003368516143632,6.498114968200645,0.0,-85.9079248339151,0.1542773060375922,40948.41602534172,0.0002822753108655672
7,2020-12-30 02:00:00,0.0,-5.95,88.75,1.05,0.0,0.0,0.0,0.0,779.229,0,216.879,0.35,0,17,0.0,0.0,0.024305274357629043,-96.88385769452807,0.0,-82.99553883563894,-19.271614898721406,-44.806629763451085,5.383296039832271,0.0,0.0,0.0,0.0,6.136201109948072,40715.96759300405,44.401273274813576,35.04260294451794,2.1531208517197387,7.68766433650104,0.0,0.0,1337.4484323376764,-9.840785188220778,134.22978424299512,1.0041348141597273,6.498114968200645,0.0,-96.88385769452807,0.15440916651271083,41033.41602534172,0.0002524410253120485
8,2020-12-30 02:15:00,0.0,-5.9,88.4,0.5,0.0,0.0,0.0,0.0,779.318,0,216.386,0.35,0,17,0.0,0.0,0.024325704461318622,-86.51834722309152,0.0,-83.48853883563893,-9.100881511738807,-21.336496552129685,6.071073124286216,0.0,0.0,0.0,0.0,6.136202889733798,40751.01019594856,44.43948767279014,31.294057049092384,1.0253165295318891,9.840785188220778,0.0,0.0,1557.4058293931585,-10.866101717752667,134.23247964639276,1.0049990327863627,6.498114968200645,0.0,-86.51834722309152,0.1545270927143624,41118.41602534172,0.0002846938791721092
9,2020-12-30 02:30:00,0.0,-5.7,88.1,1.8,0.0,0.0,0.0,0.0,779.406,0,215.892,0.35,0,17,0.0,0.0,0.024343948093619706,-110.21712397435883,0.0,-83.98253883563893,-31.656131576245617,-76.8114096160495,5.421546437525727,0.0,0.0,0.0,0.0,6.136204649507047,40782.30425299765,44.473614234457635,39.86672163474801,3.691206807497852,10.866101717752667,0.0,0.0,1781.1117723440661,-14.55730852525052,134.23488863373578,1.0057708049931147,6.498114968200645,0.0,-110.21712397435883,0.15466008799543463,41203.41602534172,0.00025423475568203517
10,2020-12-30 02:45:00,0.0,-3.3,74.9,3.6,0.0,0.0,0.0,0.0,779.495,0,215.399,0.35,0,17,0.0,0.0,0.02436718794617597,-114.22763079170592,0.0,-84.47553883563893,-36.65865369717875,-153.62286378913257,6.906561741111759,0.0,0.0,0.0,0.0,6.136206429262671,40822.1709746324,44.51708939436467,41.31831058529169,7.382584678228665,14.55730852525052,0.0,0.0,1996.245050709318,-21.939893203479183,134.23796015258827,1.0067539957530647,6.498114968200645,0.0,-114.22763079170592,0.15477885662457228,41288.41602534172,0.0003238737734245455
11,2020-12-30 03:00:00,0.0,-2.6,73.65,2.35,0.0,0.0,0.0,0.0,779.584,0,214.906,0.35,0,17,0.0,0.0,0.02439127230181144,-96.66672809586385,0.0,-84.96853883563892,-18.856056215364287,-100.28162072572232,7.157866955139374,0.0,0.0,0.0,0.0,6.1362082090031675,40863.48928521769,44.56214753022649,34.96702747309062,4.819303012863165,21.939893203479183,0.0,0.0,2209.9267401240263,-26.75919621634235,134.2411466013677,1.0077729855149113,6.498114968200645,0.0,-96.66672809586385,0.15493016062038664,41373.41602534172,0.00033565867516614095
12,2020-12-30 03:15:00,0.0,-3.2,77.9,1.5,0.0,0.0,0.0,0.0,779.558,0,215.896,0.35,0,17,0.0,0.0,0.024411653167565536,-92.73384629556026,0.0,-83.97853883563894,-14.812774346128537,-64.00953972053152,6.057466886207229,0.0,0.0,0.0,0.0,6.136207689080541,40898.45631269078,44.600279512203684,33.545069874417,3.0762124488036013,26.75919621634235,0.0,0.0,2429.9597126509357,-29.835408665145952,134.24384570135925,1.0086353403036856,6.498114968200645,0.0,-92.73384629556026,0.1550869737526309,41458.41602534172,0.0002840558423598086
13,2020-12-30 03:30:00,0.0,-3.75,78.1,0.5,0.0,0.0,0.0,0.0,779.532,0,216.885,0.35,0,17,0.0,0.0,0.02443120407596446,-82.96456207018863,0.0,-82.98953883563894,-5.786046994932882,-21.336511432323846,5.811023760383199,0.0,0.0,0.0,0.0,6.136207169156625,40932.0013825652,44.636860831586915,30.011758028635263,1.0254238572308614,29.835408665145952,0.0,0.0,2651.4146427765186,-30.860832522376814,134.24643715930264,1.0094626268572322,6.498114968200645,0.0,-82.96456207018863,0.15521968220623542,41543.41602534172,0.00027249904226227224
14,2020-12-30 03:45:00,0.0,-4.3,78.9,0.0,0.0,0.0,0.0,0.0,779.507,0,217.874,0.35,0,17,0.0,0.0,0.024448694721621356,-76.80168173196184,0.0,-82.00053883563893,-0.0,-0.0,5.198857103677096,0.0,0.0,0.0,0.0,6.136206669228563,40962.01314059384,44.66958903009142,27.782866185673708,0.0,30.860832522376814,0.0,0.0,2876.4028847478835,-30.860832522376814,134.24875741654301,1.0102027750804532,6.498114968200645,0.0,-76.80168173196184,0.1553469939816649,41628.41602534172,0.00024379193367845477
15,2020-12-30 04:00:00,0.0,-5.0,79.8,0.75,0.0,0.0,0.0,0.0,779.481,0,218.864,0.35,0,17,0.0,0.0,0.024464885575864834,-87.76920069691965,0.0,-81.01053883563893,-11.571336898696337,-32.004761829205435,4.812675037415599,0.0,0.0,0.0,0.0,6.136206149302116,40989.796006779514,44.699886594088895,31.750854213000107,1.5381867417414001,30.860832522376814,0.0,0.0,3103.6200185622097,-32.399019264118216,134.25090683464447,1.010887954503255,6.498114968200645,0.0,-87.76920069691965,0.1554608959712177,41713.41602534172,0.00022568226760905338
16,2020-12-30 04:15:00,0.0,-5.5,81.2,0.5,0.0,0.0,0.0,0.0,779.522,0,214.925,0.35,0,17,0.0,0.0,0.024483387878163718,-87.93570488048881,0.0,-84.94953883563892,-8.486093396452363,-21.336510736994434,5.49992735160246,0.0,0.0,0.0,0.0,6.136206969185542,41021.546860992516,44.73451129879228,31.81167022071975,1.0254767410486307,32.399019264118216,0.0,0.0,3326.8691643492098,-33.424496005166844,134.25336497792713,1.0116709922149771,6.498114968200645,0.0,-87.93570488048881,0.1555663387690375,41798.41602534172,0.0002579103971791238
17,2020-12-30 04:30:00,0.0,-5.95,82.45,1.25,0.0,0.0,0.0,0.0,779.564,0,210.986,0.35,0,17,0.0,0.0,0.02450192460042188,-106.33043991761097,0.0,-88.88853883563894,-22.95226190446682,-53.34128414343366,5.510360822494795,0.0,0.0,0.0,0.0,6.1362078090628,41053.358531213235,44.76920232411476,38.46686613623935,2.563739269538517,33.424496005166844,0.0,0.0,3550.05749412849,-35.98823527470536,134.25582969320322,1.0124555297675288,6.498114968200645,0.0,-106.33043991761097,0.15568684105555508,41883.41602534172,0.00025839967086254946
18,2020-12-30 04:45:00,0.0,-6.1,83.7,1.5,0.0,0.0,0.0,0.0,779.605,0,207.047,0.35,0,17,0.0,0.0,0.02452433795414853,-114.40307838657957,0.0,-92.82753883563893,-28.238553513293983,-64.00954952462507,6.663013962353346,0.0,0.0,0.0,0.0,6.13620862893973,41091.82539734947,44.81115092404523,41.388201523710165,3.0765558866269487,35.98823527470536,0.0,0.0,3766.5906279922506,-39.06479116133231,134.25881253346128,1.0134041973729542,6.498114968200645,0.0,-114.40307838657957,0.15580757415375215,41968.41602534172,0.00031245272571275075
19,2020-12-30 05:00:00,0.0,-6.25,84.35,1.25,0.0,0.0,0.0,0.0,779.646,0,203.108,0.35,0,17,0.0,0.0,0.024548451802994833,-113.7097339509845,0.0,-96.76653883563893,-24.112054815215203,-53.341298397580225,7.168859699869626,0.0,0.0,0.0,0.0,6.136209448813452,41133.21359887318,44.85628527685189,41.1383509670523,2.5638582588055367,39.06479116133231,0.0,0.0,3980.2024264685406,-41.62864942013785,134.26202494891555,1.014424910781041,6.498114968200645,0.0,-113.7097339509845,0.15595356535428764,42053.41602534172,0.0003361742291249179
20,2020-12-30 05:15:00,0.0,-6.3,85.0,0.5,0.0,0.0,0.0,0.0,779.765,0,205.765,0.35,0,17,0.0,0.0,0.024572418366357485,-96.707589829893,0.0,-94.10953883563894,-9.72346440018684,-21.336527633310958,7.125413405932785,0.0,0.0,0.0,0.0,6.136211828428764,41174.35194984024,44.901147164493175,34.98808184887514,1.0255681146293625,41.62864942013785,0.0,0.0,4194.064075501488,-42.65421753476721,134.2652211002467,1.015439462389296,6.498114968200645,0.0,-96.707589829893,0.15611064373980127,42138.41602534172,0.0003341368317537859
