,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,vp_a,p_a,missing,a,cld,e_a,LW_in,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice,thickness
95,2020-12-27 03:15:00,0.0,-10.6,93.1,0.0,0.0,0.0,0,2.5,789.435,0,0.35,0,0.638,171.841,3.58,0.0,-4.2778381528823186e-05,0.015157482070660422,39.29890645378144,0.042855950331277474,0.5797386046582622,0.0,0.49416335789051136,0.0,0.0,3719.703927159163,-120.08158305861747,0.0,-128.03353883563892,-0.0,-0.0,7.952196844519076,-0.00024106749762152417,-0.49146710373938385,1.7916772268376016,0.07208603740930739,0.7534695044478923,0,0.0,0.0,0.0,-120.08158305861747,0.09418063005812763,1253.005529867097,6.1364051079612825,0.0003729511983515647
96,2020-12-27 03:30:00,0.0,-10.55,93.1,1.55,0.0,0.0,0,2.55,789.202,0,0.35,0,0.64,172.455,3.58,0.0,-3.806142312310469e-05,0.01537901288925213,39.8786450584397,0.04348816255009782,0.8255998449292875,0.024799299516602282,0.49416335789051136,0.0,0.0,3772.824188554505,-170.9839146115488,0.0,-127.41953883563892,-51.08802007272385,-38.658399835664376,7.523858783003021,-0.00021448618905833757,-0.5162664032559862,1.7919187104877194,0.07314945271813192,0.7534695044478923,0,0.0,0.0,0.0,-170.9839146115488,0.09567213667410297,1270.9055298670971,6.136400452911052,0.00035286055398283826
97,2020-12-27 03:45:00,0.0,-10.3,93.1,1.0,0.0,0.0,0,2.6,788.969,0,0.35,0,0.641,173.57,3.58,0.0,-3.392503462337197e-05,0.015694336688648086,40.70424490336899,0.04438848953475353,0.713609884011463,0.0157795496821548,0.5189626574071137,0.0,0.0,3825.6985887095757,-147.76164098415637,0.0,-126.30453883563894,-32.16946963317517,-24.593155768082852,10.712558661203236,-0.0001911765455144564,-0.5320459529381409,1.792268650994213,0.07466385163344741,0.7534695044478923,0,0.0,0.0,0.0,-147.76164098415637,0.0970834948014684,1288.8055298670972,6.136395797760916,0.0005024374037651871
98,2020-12-27 04:00:00,0.0,-10.05,93.5,0.75,0.0,0.0,0,2.65,788.736,0,0.35,0,0.643,174.682,3.58,0.0,-3.0312249810054835e-05,0.015966737676710228,41.41785478738045,0.0451666900625741,0.6736786454174786,0.01166932635197591,0.5347422070892685,0.0,0.0,3878.684978825564,-139.46940765956384,0.0,-125.19253883563894,-23.534540623904384,-18.184056311765115,9.257842617526741,-0.00017081754727127612,-0.5437152792901169,1.7925768441131311,0.07597282721155925,0.7534695044478923,0,0.0,0.0,0.0,-139.46940765956384,0.09909339554247472,1306.7055298670973,6.136391142510783,0.00043419859371466685
99,2020-12-27 04:15:00,0.0,-9.7,93.9,0.0,0.0,0.0,0,2.8,788.533,0,0.35,0,0.648,176.967,3.58,0.0,-2.7139274143274574e-05,0.016223766048243354,42.09153343279793,0.045901345073934494,0.5515627600711092,0.0,0.5464115334412444,0.0,0.0,3931.7113001801467,-114.16932928784838,0.0,-122.90753883563892,-0.0,-0.0,8.738362484780465,-0.00015293698992739134,-0.5437152792901169,1.7928726569061733,0.07720855686455937,0.7534695044478923,0,0.0,0.0,0.0,-114.16932928784838,0.10083065971890745,1324.6055298670974,6.136387086567501,0.0004098318093157441
100,2020-12-27 04:30:00,0.0,-9.5,94.25,0.5,0.0,0.0,0,2.8,788.33,0,0.35,0,0.648,177.485,3.58,0.0,-2.434344058570219e-05,0.016434108223130118,42.64309619286904,0.04650283118088227,0.6284167090441515,0.0074470710496153765,0.5464115334412444,0.0,0.0,3984.859737420076,-130.05969249384955,0.0,-122.38953883563892,-14.823419542801462,-11.601103533746372,7.153403066318985,-0.00013718172814788384,-0.5511623503397323,1.7931183648246085,0.07822028918344279,0.7534695044478923,0,0.0,0.0,0.0,-130.05969249384955,0.10247071236298308,1342.5055298670975,6.13638303054819,0.0003354873557978815
101,2020-12-27 04:45:00,0.0,-9.4,93.9,0.5,0.0,0.0,0,2.8,788.126,0,0.35,0,0.648,177.745,3.58,0.0,-2.1867725990056292e-05,0.016673653071941474,43.27151290191319,0.04718812748300239,0.6216767009529891,0.007448240615189693,0.5538586044908598,0.0,0.0,4037.9313207110317,-128.64439200577218,0.0,-122.12953883563893,-14.663587997218036,-11.601089360618358,8.148858057506192,-0.00012323042141143523,-0.5586105909549219,1.7934021658107093,0.07937299480516453,0.7534695044478923,0,0.0,0.0,0.0,-128.64439200577218,0.10381347715029159,1360.4055298670976,6.136378954471836,0.0003821812968755986
102,2020-12-27 05:00:00,0.0,-9.55,93.1,0.25,0.0,0.0,0,2.75,787.923,0,0.35,0,0.646,176.9,3.58,0.0,-1.9675740763344332e-05,0.016910516035366162,43.89318960286618,0.04786607372177337,0.5914076397563808,0.0037805268535926234,0.5613068451060494,0.0,0.0,4091.009644010079,-122.36134333834617,0.0,-122.97453883563892,-7.446872103776827,-5.88746637294853,8.060178479074311,-0.0001108780047340823,-0.5623911178085146,1.7936869629054581,0.08051333722090318,0.7534695044478923,0,0.0,0.0,0.0,-122.36134333834617,0.10534334082084106,1378.3055298670977,6.136374898299915,0.0003780224267012158
103,2020-12-27 05:15:00,0.0,-9.7,93.1,1.0,0.0,0.0,0,2.7,787.742,0,0.35,0,0.645,176.05,3.58,0.0,-1.773110176196257e-05,0.017135740875557443,44.48459724262256,0.04851101116970836,0.7077330896854587,0.015347719718861534,0.5650873719596421,0.0,0.0,4144.118236370323,-146.40648394440558,0.0,-123.82453883563892,-30.24840452939076,-23.897555318911337,7.666559340073568,-9.99194494758741e-05,-0.5777388375273761,1.7939616211465366,0.08159815705663494,0.7534695044478923,0,0.0,0.0,0.0,-146.40648394440558,0.10685679612196068,1396.2055298670978,6.1363712816488665,0.00035955964517370354
104,2020-12-27 05:30:00,0.0,-9.7,93.1,0.5,0.0,0.0,0,2.7,787.562,0,0.35,0,0.645,176.05,3.58,0.0,-1.6001693233115065e-05,0.017405128805159296,45.192330332308025,0.049282802979616167,0.6274408659344383,0.007675278221320491,0.5804350916785036,0.0,0.0,4197.110503280637,-129.7725662927039,0.0,-123.82453883563892,-15.120746366180835,-11.948765153087852,9.172809082890735,-9.01737748730683e-05,-0.5854141157486966,1.7942950776533917,0.08289635282294389,0.7534695044478923,0,0.0,0.0,0.0,-129.7725662927039,0.10829656220317278,1414.1055298670979,6.136367684919191,0.00043021645547497705
