,When,sea,T_a,RH,v_a,Discharge,SW_direct,SW_diffuse,Prec,p_a,a,vp_a,LW_in,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,s_cone,input,vp_ice,thickness,$q_{T}$,$q_{melt}$
360,2021-02-03 11:00:00,0.45602,-2.096,32.494,1.095,3.58,166.36275,55.45425,0,67.886,0.35,1.70136,206.675,-1.1102230246251565e-16,-1.1029769647714982,0.22459081387416505,143.39978824416013,0.1563792674418322,0.25492670410224333,0.029165476639760456,10.358956871004965,0.0,1.1085204065632008e-16,5093.3961199650685,-35.72463183044537,60.331567023548764,-93.19953883563892,-0.5737186144698823,-31.27311038017287,0.5074895808003631,-2.7904309846856936,15.459843190139456,8.853535455889057,0.05301518278039081,1.6783214557615334,0,0.0,0.0,0.0315740308526259,5262.614708270358,6.116423732038981,7.93249880461628e-06,3.552713678800501e-15,-35.72463183044537
361,2021-02-03 11:15:00,0.46382,-1.877,31.916,1.042,3.58,281.4525,93.8175,0,67.869,0.35,1.6984,210.926,-1.7026180619557698e-19,-1.0783300631988069,0.22807399328401634,143.65471494826238,0.15665726820966452,-0.027772458056007213,0.027772458056007213,10.388122347644726,0.0,-0.5376042067160589,5111.012027784326,12.549615078778086,102.70617213660023,-88.94853883563894,-0.48878375724970863,-29.779372940452067,2.0088421098038607,-2.7280765747373543,15.459843190139456,8.853551159015531,0.053109429682558974,1.6783214557615334,0,0.0,0.0,0.03158821726219029,5280.514708270358,6.116421735910542,3.139997227293083e-05,-17.22975786167398,0.0
362,2021-02-03 11:30:00,0.46852,-1.658,31.338,0.988,3.58,396.543,132.181,0,67.852,0.35,1.69484,215.178,-0.5376042067160589,-1.0542766341994527,0.23015399131165448,143.62694249020637,0.156626981995863,-0.024798010041575565,0.024798010041575565,10.415894805700734,0.0005946241577230388,0.5376042067160589,5128.912027784326,43.86644012624136,145.24052021485335,-82.34268937966124,-0.27656956789445253,-26.561987053248433,-17.448376553917882,-1.3064445871384127,15.459843190139456,8.862882692326044,0.05304316113576139,1.6792071770144408,0,0.0,0.0,0.03158821726219029,5298.414708270358,5.850917473105752,-3.42079841834926e-06,17.229757861673978,0.07469521131894527
363,2021-02-03 11:45:00,0.47008,-1.344,30.011,1.149,3.58,418.9485,139.6495,0,67.834,0.35,1.66107,223.692,0.0,-1.0427433523923144,0.23084576957385614,143.6015498560071,0.15659929100982234,-0.030911970047569712,0.030911970047569712,10.44069281574231,0.32730612915210267,-0.0,5146.812027784325,74.23499006248306,153.63529278130324,-76.18253883563892,-0.3857270076183501,-33.114759495331576,-0.1952275014691005,-2.636809374093783,15.460437814297178,8.861838048165984,0.053040035016228684,1.6791082122800034,0,0.0,0.0,0.03158821726219029,5316.314708270357,6.116417623600516,-3.1243769100826446e-06,0.0,41.12023056715149
364,2021-02-03 12:00:00,0.46848,-1.03,28.684,1.309,3.58,441.354,147.118,0,67.816,0.35,1.6247,232.206,0.0,-1.019464249492534,0.23013624603537644,143.2433317568074,0.1562086496802698,-0.03544490412981368,0.03544490412981368,10.471604785789879,0.4194567090175768,-0.0,5164.712027784325,90.81912992526422,161.6482092762534,-67.66853883563894,-0.3366839122765901,-38.03398838233267,-0.24376648259902145,-2.5800901204746283,15.78774394344928,8.84709451162027,0.052995895007363486,1.677710855521981,0,0.0,0.0,0.03158821726219029,5334.214708270357,6.116415507316203,-4.4081298645869346e-05,0.0,52.78514154293155
365,2021-02-03 12:15:00,0.46373,-0.401,26.926,1.277,3.58,457.431,152.477,0,67.795,0.35,1.597,236.286,0.0,-0.9966669212214722,0.22802638431843653,142.78843014366004,0.15571257376625958,-0.034717937687310636,0.034717937687310636,10.507049689919691,0.5000016401498136,-0.0,5182.612027784325,100.38762070823324,166.9091690533584,-63.58853883563893,-0.1278339647182588,-37.33300193646552,-0.28010576212271115,-2.525069782645241,16.207200652466856,8.828353950010248,0.05293973536394845,1.6759329887006629,0,0.0,0.0,0.03158821726219029,5352.1147082703565,6.116413037130097,-5.607218430397307e-05,0.0,63.05461877176772
366,2021-02-03 12:30:00,0.45588,0.229,25.168,1.246,0.0,473.508,157.836,0,67.773,0.35,1.56281,240.366,0.0,-0.9743320770441883,0.22452830594393533,142.25371056582293,0.15512945536076655,-0.03404612383585237,0.03404612383585237,10.541767627607003,0.5781118767403868,-0.0,5200.512027784324,109.78986200469396,171.6987669090856,-59.508538835638916,0.07120714257451742,-36.70227161881688,0.0,-2.4715732113272604,16.70720229261667,8.806299665549442,0.05287356911877689,1.6738383391475604,0,0.0,0.0,0.03158821726219029,5370.014708270356,6.116410447942926,-6.60506373889065e-05,0.0,73.08759038587708
367,2021-02-03 12:45:00,0.44499,0.224,24.057,1.353,0.0,474.6675,158.2225,0,67.749,0.35,1.49328,239.896,0.0,-0.9524430650112728,0.21965269336497914,141.64155256524668,0.1544618893841294,-0.03742654809532304,0.03742654809532304,10.575813751442855,0.5349838454440347,-0.0,5200.512027784324,108.29246649381318,170.61492163808379,-59.97853883563894,0.07560700378314458,-40.46258832411347,0.0,-2.419523312414814,17.285314169357058,8.78101751027115,0.052797616752559624,1.6714338867029401,0,0.0,0.0,0.03158821726219029,5370.014708270356,6.116407621771021,-7.580550310463111e-05,1.4210854715202004e-14,67.8298781696997
368,2021-02-03 13:00:00,0.43117,0.219,22.945,1.46,0.0,475.827,158.609,0,67.725,0.35,1.42374,239.426,0.0,-0.9309841974274708,0.21342784736866235,141.06914217170734,0.15383766867143658,-0.040883309783555706,0.040883309783555706,10.613240299538178,0.48807907303243414,-0.0,5200.512027784324,106.36941896089817,169.1064260144275,-60.44853883563894,0.07973689279498802,-44.31924670760394,0.0,-2.3682051106853823,17.820298014801093,8.75734396177433,0.05272639775593538,1.6691792803086283,0,0.0,0.0,0.03158821726219029,5370.014708270356,6.116404793923559,-7.108751485379856e-05,0.0,62.050172253294235
369,2021-02-03 13:15:00,0.41452,0.363,21.822,1.499,0.0,416.9685,138.9895,0,67.706,0.35,1.36829,236.702,0.0,-0.909952103112781,0.20587427476885123,140.54017978889135,0.15326082855931444,-0.042365137160253516,0.042365137160253516,10.654123609321735,0.2726235491411648,-0.0,5200.512027784324,80.78669732388016,146.14118190032124,-63.17253883563893,0.13565903968425289,-46.04077438843097,0.0,-2.3176047804864046,18.308377087833527,8.735438839094199,0.05266041305953075,1.6670903781126942,0,0.0,0.0,0.03158821726219029,5370.014708270356,6.116402554021502,-6.586929948623971e-05,0.0,34.745922935449194
