 

stn;time;nto000d0
MER;20201220;58
MER;20201221;75
MER;20201222;50
MER;20201223;83
MER;20201224;92
MER;20201225;92
MER;20201226;58
MER;20201227;54
MER;20201228;63
MER;20201229;50
MER;20201230;58
MER;20201231;58
MER;20210101;92
MER;20210102;100
MER;20210103;100
MER;20210104;79
MER;20210105;88
MER;20210106;83
MER;20210107;42
MER;20210108;29
MER;20210109;25
MER;20210110;29
MER;20210111;0
MER;20210112;92
MER;20210113;75
MER;20210114;100
MER;20210115;100
MER;20210116;100
MER;20210117;92
MER;20210118;96
MER;20210119;38
MER;20210120;63
MER;20210121;67
MER;20210122;92
MER;20210123;75
MER;20210124;54
MER;20210125;96
MER;20210126;83
MER;20210127;100
MER;20210128;92
MER;20210129;83
MER;20210130;96
MER;20210131;58
MER;20210201;100
MER;20210202;92
MER;20210203;92
MER;20210204;42
MER;20210205;63
MER;20210206;67
MER;20210207;88
MER;20210208;21
MER;20210209;83
MER;20210210;100
MER;20210211;88
MER;20210212;100
MER;20210213;75
MER;20210214;4
MER;20210215;75
MER;20210216;63
MER;20210217;54
MER;20210218;71
MER;20210219;38
MER;20210220;4
MER;20210221;0
MER;20210222;42
MER;20210223;0
MER;20210224;0
MER;20210225;0
MER;20210226;25
MER;20210227;92
MER;20210228;21
MER;20210301;0
MER;20210302;8
MER;20210303;96
MER;20210304;58
MER;20210305;100
MER;20210306;42
MER;20210307;71
MER;20210308;79
MER;20210309;100
MER;20210310;33
MER;20210311;92
MER;20210312;54
MER;20210313;50
MER;20210314;92
MER;20210315;100
MER;20210316;96
MER;20210317;100
MER;20210318;79
MER;20210319;38
MER;20210320;79
MER;20210321;100
MER;20210322;58
MER;20210323;17
MER;20210324;0
MER;20210325;33
MER;20210326;29
MER;20210327;96
MER;20210328;21
MER;20210329;0
MER;20210330;17
MER;20210331;0
MER;20210401;0
MER;20210402;38
MER;20210403;96
MER;20210404;0
MER;20210405;71
MER;20210406;83
MER;20210407;92
MER;20210408;0
MER;20210409;42
MER;20210410;50
MER;20210411;67
MER;20210412;100
MER;20210413;54
MER;20210414;63
MER;20210415;83
MER;20210416;42
MER;20210417;58
MER;20210418;79
MER;20210419;71
MER;20210420;46
MER;20210421;71
MER;20210422;38
MER;20210423;0
MER;20210424;29
MER;20210425;50
MER;20210426;88
MER;20210427;63
MER;20210428;75
MER;20210429;92
MER;20210430;75
MER;20210501;100

