time,cam_temp
2020-01-09 22:00:00,-3.438
2020-01-09 23:00:00,-3.417
2020-01-10 00:00:00,-4.74
2020-01-10 01:00:00,-4.041
2020-01-10 02:00:00,-5.093
2020-01-10 03:00:00,-4.709
2020-01-10 04:00:00,-3.424
2020-01-10 05:00:00,-2.643
2020-01-10 06:00:00,-2.559
2020-01-10 07:00:00,-2.376
2020-01-10 08:00:00,-2.643
2020-01-10 09:00:00,-2.419
2020-01-10 10:00:00,-1.781
2020-01-10 11:00:00,-1.374
2020-01-10 12:00:00,-2.076
2020-01-10 13:00:00,-3.135
2020-01-10 14:00:00,-3.449
2020-01-10 15:00:00,-2.642
2020-01-10 16:00:00,-3.395
2020-01-10 17:00:00,-3.005
2020-01-10 18:00:00,-2.598
2020-01-10 21:00:00,-3.751
2020-01-10 22:00:00,-3.757
2020-01-10 23:00:00,-3.388
2020-01-11 00:00:00,-3.897
2020-01-11 01:00:00,-4.076
2020-01-11 02:00:00,-4.084
2020-01-11 06:00:00,-1.879
2020-01-11 07:00:00,-2.97
2020-01-11 08:00:00,-2.872
2020-01-11 09:00:00,-2.897
2020-01-11 10:00:00,-3.624
2020-01-11 12:00:00,-3.277
2020-01-11 13:00:00,-4.173
2020-01-11 17:00:00,-2.999
2020-01-11 18:00:00,-2.635
2020-01-11 20:00:00,-3.19
2020-01-11 21:00:00,-3.041
2020-01-11 23:00:00,-3.164
2020-01-12 10:00:00,-3.04
2020-01-12 11:00:00,-0.111
2020-01-12 12:00:00,-1.875
2020-01-12 13:00:00,-3.724
2020-01-12 14:00:00,-4.093
2020-01-12 15:00:00,-4.004
2020-01-12 16:00:00,-4.659
2020-01-12 17:00:00,-4.427
2020-01-12 18:00:00,-4.317
2020-01-12 19:00:00,-4.352
2020-01-12 20:00:00,-4.594
2020-01-12 21:00:00,-4.73
2020-01-12 22:00:00,-4.683
2020-01-12 23:00:00,-4.034
2020-01-13 00:00:00,-2.604
2020-01-13 01:00:00,-2.711
2020-01-13 02:00:00,-3.891
2020-01-13 03:00:00,-2.995
2020-01-13 04:00:00,-3.34
2020-01-13 05:00:00,-2.69
2020-01-13 06:00:00,-2.449
2020-01-13 07:00:00,-3.474
2020-01-13 08:00:00,-3.351
2020-01-13 09:00:00,-2.824
2020-01-13 10:00:00,-2.879
2020-01-13 11:00:00,-0.325
2020-01-13 12:00:00,-1.931
2020-01-13 13:00:00,-2.668
2020-01-13 14:00:00,-3.561
2020-01-13 15:00:00,-3.039
2020-01-13 16:00:00,-4.419
2020-01-13 18:00:00,-2.325
2020-01-13 19:00:00,-2.871
2020-01-13 20:00:00,-3.168
2020-01-13 21:00:00,-3.041
2020-01-13 22:00:00,-3.111
2020-01-13 23:00:00,-2.859
2020-01-14 00:00:00,-2.922
2020-01-14 01:00:00,-2.793
2020-01-14 02:00:00,-2.947
2020-01-14 03:00:00,-2.944
2020-01-14 04:00:00,-3.279
2020-01-14 05:00:00,-3.298
2020-01-14 06:00:00,-3.035
2020-01-14 07:00:00,-2.825
2020-01-14 08:00:00,-2.762
2020-01-14 09:00:00,-2.539
2020-01-14 10:00:00,-2.758
2020-01-14 12:00:00,-2.125
2020-01-14 13:00:00,-2.525
2020-01-14 14:00:00,-3.229
2020-01-14 15:00:00,-3.456
2020-01-14 16:00:00,-3.76
2020-01-14 17:00:00,-4.568
2020-01-14 18:00:00,-3.884
2020-01-14 19:00:00,-4.469
2020-01-14 20:00:00,-3.884
2020-01-14 21:00:00,-3.963
2020-01-14 22:00:00,-4.192
2020-01-14 23:00:00,-3.919
2020-01-15 00:00:00,-4.203
2020-01-15 01:00:00,-4.86
2020-01-15 02:00:00,-4.363
2020-01-15 03:00:00,-2.256
2020-01-15 04:00:00,-2.917
2020-01-15 05:00:00,-2.821
2020-01-15 06:00:00,-2.58
2020-01-15 07:00:00,-2.782
2020-01-15 08:00:00,-2.884
2020-01-15 09:00:00,-2.391
2020-01-15 10:00:00,-1.927
2020-01-15 11:00:00,-0.629
2020-01-15 12:00:00,-1.273
2020-01-15 13:00:00,-3.396
2020-01-15 14:00:00,-3.77
2020-01-15 15:00:00,-4.495
2020-01-15 16:00:00,-4.139
2020-01-15 17:00:00,-3.953
2020-01-15 18:00:00,-4.317
2020-01-15 19:00:00,-4.739
2020-01-15 20:00:00,-4.636
2020-01-15 21:00:00,-2.478
2020-01-15 22:00:00,-2.381
2020-01-15 23:00:00,-2.268
2020-01-16 00:00:00,-2.666
2020-01-16 01:00:00,-2.758
2020-01-16 02:00:00,-2.704
2020-01-16 03:00:00,-1.724
2020-01-16 04:00:00,-2.924
2020-01-16 05:00:00,-2.615
2020-01-16 06:00:00,-2.444
2020-01-16 07:00:00,-2.796
2020-01-16 08:00:00,-3.179
2020-01-16 09:00:00,-4.218
2020-01-16 10:00:00,-3.392
2020-01-16 11:00:00,-0.856
2020-01-16 12:00:00,-0.586
2020-01-16 13:00:00,-2.753
2020-01-16 14:00:00,-3.881
2020-01-16 15:00:00,-4.775
2020-01-16 16:00:00,-4.948
2020-01-16 17:00:00,-5.251
2020-01-16 18:00:00,-4.631
2020-01-16 20:00:00,-2.586
2020-01-16 21:00:00,-2.722
2020-01-16 22:00:00,-2.946
2020-01-16 23:00:00,-3.052
2020-01-17 00:00:00,-2.719
2020-01-17 01:00:00,-3.286
2020-01-17 02:00:00,-2.913
2020-01-17 03:00:00,-3.094
2020-01-17 04:00:00,-3.803
2020-01-17 05:00:00,-3.28
2020-01-17 06:00:00,-2.907
2020-01-17 07:00:00,-3.416
2020-01-17 08:00:00,-3.477
2020-01-17 09:00:00,-3.23
2020-01-17 10:00:00,-2.512
2020-01-17 12:00:00,-0.564
2020-01-17 13:00:00,-3.116
2020-01-17 14:00:00,-2.876
2020-01-17 15:00:00,-3.26
2020-01-17 16:00:00,-3.457
2020-01-17 17:00:00,-3.391
2020-01-17 18:00:00,-3.206
2020-01-17 19:00:00,-3.8
2020-01-17 20:00:00,-3.579
2020-01-18 11:00:00,-1.391
2020-01-18 12:00:00,-1.285
2020-01-18 13:00:00,-1.109
2020-01-18 14:00:00,-1.16
2020-01-18 15:00:00,-1.353
2020-01-18 16:00:00,-2.569
2020-01-18 17:00:00,-2.469
2020-01-18 18:00:00,-3.014
2020-01-18 19:00:00,-2.692
2020-01-19 01:00:00,-3.039
2020-01-19 02:00:00,-3.169
2020-01-19 03:00:00,-2.763
2020-01-19 04:00:00,-3.147
2020-01-19 05:00:00,-3.153
2020-01-19 12:00:00,-1.945
2020-01-19 13:00:00,-2.876
2020-01-19 14:00:00,-3.357
2020-01-19 16:00:00,-2.587
2020-01-19 17:00:00,-3.078
2020-01-19 18:00:00,-2.822
2020-01-19 19:00:00,-2.684
2020-01-20 19:00:00,-5.959
2020-01-20 20:00:00,-6.834
2020-01-20 21:00:00,-7.116
2020-01-20 22:00:00,-7.125
2020-01-20 23:00:00,-6.271
2020-01-21 00:00:00,-6.532
2020-01-21 01:00:00,-5.281
2020-01-21 02:00:00,-6.024
2020-01-21 13:00:00,-2.865
2020-01-21 14:00:00,-5.033
2020-01-21 15:00:00,-3.977
2020-01-21 16:00:00,-2.313
2020-01-21 17:00:00,-1.747
2020-01-21 18:00:00,-2.014
2020-01-21 19:00:00,-2.439
2020-01-21 20:00:00,-1.816
2020-01-21 21:00:00,-1.536
2020-01-21 22:00:00,-1.748
2020-01-21 23:00:00,-1.566
2020-01-22 00:00:00,-1.829
2020-01-22 01:00:00,-1.508
2020-01-22 02:00:00,-1.365
2020-01-22 03:00:00,-1.439
2020-01-22 04:00:00,-2.216
2020-01-22 05:00:00,-1.942
2020-01-22 06:00:00,-2.094
2020-01-22 07:00:00,-2.379
2020-01-22 08:00:00,-2.437
2020-01-22 09:00:00,-2.525
2020-01-22 10:00:00,-2.915
2020-01-22 11:00:00,-1.325
2020-01-22 13:00:00,-2.171
2020-01-22 14:00:00,-3.548
2020-01-22 15:00:00,-3.967
2020-01-22 16:00:00,-4.479
2020-01-22 23:00:00,-2.943
2020-01-23 00:00:00,-3.392
2020-01-23 01:00:00,-3.017
2020-01-23 03:00:00,-3.232
2020-01-23 04:00:00,-3.189
2020-01-23 05:00:00,-3.514
2020-01-23 06:00:00,-3.016
2020-01-23 07:00:00,-4.198
2020-01-23 08:00:00,-5.05
2020-01-23 10:00:00,-6.671
2020-01-23 11:00:00,-2.366
2020-01-23 12:00:00,-0.093
2020-01-23 13:00:00,-2.103
2020-01-23 14:00:00,-3.225
2020-01-23 15:00:00,-2.637
2020-01-23 16:00:00,-1.899
2020-01-23 17:00:00,-2.984
2020-01-23 18:00:00,-3.586
2020-01-23 19:00:00,-3.266
2020-01-23 20:00:00,-3.807
2020-01-23 21:00:00,-3.568
2020-01-23 22:00:00,-4.47
2020-01-23 23:00:00,-5.841
2020-01-24 00:00:00,-3.556
2020-01-24 01:00:00,-3.816
2020-01-24 02:00:00,-4.649
2020-01-24 03:00:00,-3.958
2020-01-24 04:00:00,-4.977
2020-01-24 05:00:00,-5.129
2020-01-24 06:00:00,-5.555
2020-01-24 07:00:00,-4.979
2020-01-24 08:00:00,-4.785
2020-01-24 09:00:00,-4.615
2020-01-24 10:00:00,-3.981
2020-01-24 11:00:00,-3.343
2020-01-24 12:00:00,-2.327
2020-01-24 13:00:00,-3.63
2020-01-24 14:00:00,-3.811
2020-01-24 15:00:00,-3.189
2020-01-24 16:00:00,-3.08
2020-01-24 17:00:00,-3.621
2020-01-24 18:00:00,-4.328
2020-01-24 19:00:00,-3.625
2020-01-24 20:00:00,-3.896
2020-01-24 21:00:00,-3.954
2020-01-24 22:00:00,-4.036
2020-01-24 23:00:00,-4.341
2020-01-25 00:00:00,-4.032
2020-01-25 01:00:00,-5.008
2020-01-25 03:00:00,-4.602
2020-01-25 04:00:00,-3.416
2020-01-25 05:00:00,-3.128
