,time,dynamic,manual,static
0,2020-01-03 16:00:00,0.0,11.0,6.8638965355692685
1,2020-01-03 17:00:00,0.0,11.0,6.8638965355692685
2,2020-01-03 18:00:00,0.0,11.0,6.8638965355692685
3,2020-01-03 19:00:00,0.0,11.0,6.8638965355692685
4,2020-01-03 20:00:00,0.0,11.0,6.8638965355692685
5,2020-01-03 21:00:00,0.0,11.0,6.8638965355692685
6,2020-01-03 22:00:00,0.0,11.0,6.8638965355692685
7,2020-01-03 23:00:00,0.0,11.0,6.8638965355692685
8,2020-01-04 00:00:00,0.0,11.0,6.8638965355692685
9,2020-01-04 01:00:00,0.0,11.0,6.8638965355692685
10,2020-01-04 02:00:00,0.0,11.0,6.8638965355692685
11,2020-01-04 03:00:00,0.0,11.0,6.8638965355692685
12,2020-01-04 04:00:00,0.0,11.0,6.8638965355692685
13,2020-01-04 05:00:00,0.0,11.0,6.8638965355692685
14,2020-01-04 06:00:00,0.0,11.0,6.8638965355692685
15,2020-01-04 07:00:00,0.0,11.0,6.8638965355692685
16,2020-01-04 08:00:00,0.0,11.0,6.8638965355692685
17,2020-01-04 09:00:00,0.0,11.0,6.8638965355692685
18,2020-01-04 10:00:00,0.0,11.0,6.8638965355692685
19,2020-01-04 11:00:00,0.0,11.0,6.8638965355692685
20,2020-01-04 12:00:00,0.0,11.0,6.8638965355692685
21,2020-01-04 13:00:00,0.0,11.0,6.8638965355692685
22,2020-01-04 14:00:00,0.0,11.0,6.8638965355692685
23,2020-01-04 15:00:00,0.0,11.0,6.8638965355692685
24,2020-01-04 16:00:00,0.0,11.0,6.8638965355692685
25,2020-01-04 17:00:00,0.0,11.0,6.8638965355692685
26,2020-01-04 18:00:00,0.0,11.0,6.8638965355692685
27,2020-01-04 19:00:00,0.0,11.0,6.8638965355692685
28,2020-01-04 20:00:00,0.0,11.0,6.8638965355692685
29,2020-01-04 21:00:00,0.0,11.0,6.8638965355692685
30,2020-01-04 22:00:00,0.0,11.0,6.8638965355692685
31,2020-01-04 23:00:00,0.0,11.0,6.8638965355692685
32,2020-01-05 00:00:00,0.0,11.0,6.8638965355692685
33,2020-01-05 01:00:00,0.0,11.0,6.8638965355692685
34,2020-01-05 02:00:00,0.0,11.0,6.8638965355692685
35,2020-01-05 03:00:00,0.0,11.0,6.8638965355692685
36,2020-01-05 04:00:00,0.0,11.0,6.8638965355692685
37,2020-01-05 05:00:00,0.0,11.0,6.8638965355692685
38,2020-01-05 06:00:00,0.0,11.0,6.8638965355692685
39,2020-01-05 07:00:00,0.0,11.0,6.8638965355692685
40,2020-01-05 08:00:00,0.0,11.0,6.8638965355692685
41,2020-01-05 09:00:00,0.0,11.0,6.8638965355692685
42,2020-01-05 10:00:00,0.0,11.0,6.8638965355692685
43,2020-01-05 11:00:00,0.0,11.0,6.8638965355692685
44,2020-01-05 12:00:00,0.0,11.0,6.8638965355692685
45,2020-01-05 13:00:00,0.0,11.0,6.8638965355692685
46,2020-01-05 14:00:00,0.0,11.0,6.8638965355692685
47,2020-01-05 15:00:00,0.0,11.0,6.8638965355692685
48,2020-01-05 16:00:00,0.0,11.0,6.8638965355692685
49,2020-01-05 17:00:00,0.0,11.0,6.8638965355692685
50,2020-01-05 18:00:00,0.0,11.0,6.8638965355692685
51,2020-01-05 19:00:00,0.0,11.0,6.8638965355692685
52,2020-01-05 20:00:00,0.0,11.0,6.8638965355692685
53,2020-01-05 21:00:00,0.0,11.0,6.8638965355692685
54,2020-01-05 22:00:00,0.0,11.0,6.8638965355692685
55,2020-01-05 23:00:00,0.0,11.0,6.8638965355692685
56,2020-01-06 00:00:00,0.0,11.0,6.8638965355692685
57,2020-01-06 01:00:00,0.0,11.0,6.8638965355692685
58,2020-01-06 02:00:00,0.0,11.0,6.8638965355692685
59,2020-01-06 03:00:00,0.0,11.0,6.8638965355692685
60,2020-01-06 04:00:00,0.0,11.0,6.8638965355692685
61,2020-01-06 05:00:00,0.0,11.0,6.8638965355692685
