time,temp,RH,wind,SW_direct,SW_diffuse,ppt,vp_a,press,LW_in,SW_global
2020-01-03 16:00:00,0.4,82.25,1.267,10.298,15.048,0.0,5.183,803.755,209.46,25.346
2020-01-03 17:00:00,-0.017,82.6,1.35,0.0,0.0,0.0,5.05,804.074,204.382,0.0
2020-01-03 18:00:00,0.117,80.2,1.45,0.0,0.0,0.0,4.933,804.108,219.135,0.0
2020-01-03 19:00:00,0.55,80.683,1.183,0.0,0.0,0.0,5.133,804.492,216.77,0.0
2020-01-03 20:00:00,0.417,83.6,0.583,0.0,0.0,0.0,5.25,804.428,222.427,0.0
2020-01-03 21:00:00,0.633,86.017,0.583,0.0,0.0,0.0,5.5,804.548,252.834,0.0
2020-01-03 22:00:00,0.7,89.567,0.5,0.0,0.0,0.0,5.75,804.532,281.825,0.0
2020-01-03 23:00:00,0.767,91.567,0.5,0.0,0.0,0.0,5.883,804.748,289.664,0.0
2020-01-04 00:00:00,0.967,92.433,0.25,0.0,0.0,0.0,6.067,804.497,272.992,0.0
2020-01-04 01:00:00,1.1,92.767,0.0,0.0,0.0,0.0,6.167,804.389,266.088,0.0
2020-01-04 02:00:00,1.2,93.933,0.0,0.0,0.0,0.0,6.233,804.558,261.569,0.0
2020-01-04 03:00:00,1.35,94.283,0.583,0.0,0.0,0.0,6.367,804.749,269.527,0.0
2020-01-04 04:00:00,1.4,94.283,0.333,0.0,0.0,0.0,6.367,804.28,283.286,0.0
2020-01-04 05:00:00,1.467,95.1,0.583,0.0,0.0,0.0,6.467,804.212,281.234,0.0
2020-01-04 06:00:00,1.517,94.983,0.333,0.0,0.0,0.0,6.5,804.354,284.786,0.0
2020-01-04 07:00:00,1.567,94.633,0.167,0.0,0.0,0.0,6.5,804.868,278.73,0.0
2020-01-04 08:00:00,1.767,94.983,0.417,1.778,7.657,0.0,6.6,805.151,284.892,9.435
2020-01-04 09:00:00,1.95,94.167,0.5,7.945,47.28,0.0,6.617,805.322,284.609,55.225
2020-01-04 10:00:00,2.267,93.4,0.833,14.15,97.111,0.0,6.733,805.676,286.927,111.26100000000001
2020-01-04 11:00:00,3.167,91.067,1.283,32.855,135.745,0.0,7.017,805.773,285.029,168.6
2020-01-04 12:00:00,3.583,86.517,1.8,52.677,91.009,0.0,6.867,805.468,284.22,143.686
2020-01-04 13:00:00,3.633,85.6,1.633,34.632,140.044,0.0,6.8,805.092,282.796,174.67600000000002
2020-01-04 14:00:00,3.267,86.9,1.367,15.085,96.633,0.0,6.717,804.944,290.1,111.71799999999999
2020-01-04 15:00:00,2.9,89.5,1.367,14.377,63.41,0.0,6.733,805.442,286.991,77.78699999999999
2020-01-04 16:00:00,2.65,92.0,1.35,1.69,11.713,0.0,6.817,805.784,284.805,13.402999999999999
2020-01-04 17:00:00,2.35,93.65,1.417,0.0,0.0,0.0,6.8,805.436,283.422,0.0
2020-01-04 18:00:00,2.3,95.1,1.817,0.0,0.0,0.0,6.9,805.678,287.723,0.0
2020-01-04 19:00:00,2.3,95.917,2.1,0.0,0.0,0.0,6.95,806.376,269.076,0.0
2020-01-04 20:00:00,2.283,95.8,1.9,0.0,0.0,0.0,6.917,806.008,282.829,0.0
2020-01-04 21:00:00,2.167,95.567,1.817,0.0,0.0,0.0,6.817,806.039,273.815,0.0
2020-01-04 22:00:00,1.667,95.8,1.017,0.0,0.0,0.0,6.617,806.734,284.053,0.0
2020-01-04 23:00:00,0.65,95.85,3.933,0.0,0.0,0.0,6.15,806.716,273.502,0.0
2020-01-05 00:00:00,-0.517,96.167,2.75,0.0,0.0,0.0,5.65,806.375,274.616,0.0
