time,cam_temp,cam_temp_full,mean,std
2019-11-22 03:00:00,5.313,6.224,5.392,3.085
2019-11-22 06:00:00,5.313,6.224,5.392,3.085
2019-11-22 09:00:00,5.313,6.224,5.392,3.085
2019-11-22 15:00:00,5.313,6.224,5.392,3.085
2019-11-22 19:00:00,5.313,6.224,5.392,3.085
2019-11-22 23:00:00,5.313,6.224,5.392,3.085
2019-11-23 07:00:00,5.313,6.224,5.392,3.085
2019-11-23 10:00:00,5.313,6.224,5.392,3.085
2019-11-23 14:00:00,5.313,6.224,5.392,3.085
2019-11-23 20:00:00,5.313,6.224,5.392,3.085
2019-11-24 02:00:00,5.313,6.224,5.392,3.085
2019-11-24 06:00:00,5.313,6.224,5.392,3.085
2019-11-24 13:00:00,5.313,6.224,5.392,3.085
2019-11-24 22:00:00,5.313,6.224,5.392,3.085
2019-11-25 01:00:00,5.313,6.224,5.392,3.085
2019-11-25 04:00:00,5.313,6.224,5.392,3.085
2019-11-25 11:00:00,5.313,6.224,5.392,3.085
2019-11-25 15:00:00,5.313,6.224,5.392,3.085
2019-11-25 18:00:00,5.313,6.224,5.392,3.085
2019-11-25 22:00:00,5.313,6.224,5.392,3.085
2019-11-26 06:00:00,5.313,6.224,5.392,3.085
2019-11-26 08:00:00,5.313,6.224,5.392,3.085
2019-11-26 11:00:00,5.313,6.224,5.392,3.085
2019-11-26 17:00:00,5.313,6.224,5.392,3.085
2019-11-26 20:00:00,5.313,6.224,5.392,3.085
2019-11-26 21:00:00,5.313,6.224,5.392,3.085
2019-11-27 00:00:00,5.313,6.224,5.392,3.085
2019-11-27 09:00:00,5.313,6.224,5.392,3.085
2019-11-27 16:00:00,5.313,6.224,5.392,3.085
2019-11-27 17:00:00,5.313,6.224,5.392,3.085
2019-11-27 19:00:00,5.313,6.224,5.392,3.085
2019-11-28 05:00:00,5.313,6.224,5.392,3.085
2019-11-28 10:00:00,5.313,6.224,5.392,3.085
2019-11-28 12:00:00,5.313,6.224,5.392,3.085
2019-11-28 18:00:00,5.313,6.224,5.392,3.085
2019-11-28 22:00:00,5.313,6.224,5.392,3.085
2019-11-29 02:00:00,5.313,6.224,5.392,3.085
2019-11-29 06:00:00,5.313,6.224,5.392,3.085
2019-11-29 11:00:00,5.313,6.224,5.392,3.085
2019-11-29 14:00:00,5.313,6.224,5.392,3.085
2019-11-29 20:00:00,5.313,6.224,5.392,3.085
2019-11-30 00:00:00,5.313,6.224,5.392,3.085
2019-11-30 09:00:00,5.313,6.224,5.392,3.085
2019-11-30 18:00:00,5.313,6.224,5.392,3.085
2019-11-30 21:00:00,5.313,6.224,5.392,3.085
2019-12-01 08:00:00,5.313,6.224,5.392,3.085
2019-12-01 22:00:00,5.313,6.224,5.392,3.085
2019-12-02 05:00:00,5.313,6.224,5.392,3.085
2019-12-02 10:00:00,5.313,6.224,5.392,3.085
2019-12-02 17:00:00,5.313,6.224,5.392,3.085
2019-12-02 20:00:00,5.313,6.224,5.392,3.085
2019-12-02 22:00:00,5.313,6.224,5.392,3.085
2019-12-03 07:00:00,5.313,6.224,5.392,3.085
2019-12-03 08:00:00,5.313,6.224,5.392,3.085
2019-12-03 12:00:00,5.313,6.224,5.392,3.085
2019-12-03 13:00:00,5.313,6.224,5.392,3.085
2019-12-03 19:00:00,5.313,6.224,5.392,3.085
2019-12-03 21:00:00,5.313,6.224,5.392,3.085
2019-12-03 23:00:00,5.313,6.224,5.392,3.085
