,time,sea,temp,RH,ppt,wind,SW_global,LW_in,press,missing_type,alb,vp_a,cld,SW_diffuse,SW_direct,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,snow2ice,dep,t_cone,fountain_runoff,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
1425,2020-01-29 09:00:00,0.279,-2.358,86.8,0.0,1.931,222.783,283.458,642.336,-,0.25,4.457,0,0.0,222.783,60,-0.5128805433979735,-1.6398591595266792,0.15083385741886599,402074.92182945414,438.46774463408303,11.25656111245917,14811.0766387077,0.0,0.2957476528085002,4736566.600625819,3.1594869623358477,25.202414443010415,-20.436500603513537,-9.601327529933338,-19.959769118605394,28.147042856658675,-0.1923730852809731,9044.939988461407,446.156992901625,3.7549851861337826,10.559671361270764,0.0,0.0,-3.195248582755857e-05,3600.0,0.0,3.1594869623358477,0.0,,5162497.539082444,0.0,0.35559678494406316,5.859504688877999
1426,2020-01-29 10:00:00,0.376,-2.635,89.8,0.0,1.76,173.65,280.21,642.117,-,0.25,4.517,0,0.0,173.65,60,-0.21713289058947333,-1.6394926973990487,0.18549040035306563,402063.66526834166,438.4554692130225,10.880827423689645,14822.33319982016,0.0,-0.3463610070511563,4740166.600625819,-3.700191956377855,24.157806015982384,-25.0052662144588,-11.463613181816285,-19.29389043172212,28.147568208664698,-0.24279635302773306,9044.939988461407,446.14866573568713,3.7549501440621147,10.559572816871176,0.0,0.0,-2.751368073528035e-05,3600.0,0.0,-3.7001919563778554,0.0,,5166097.539082444,0.0,0.35559678494406316,6.004435773870582
1427,2020-01-29 11:00:00,0.431,-3.134,95.8,0.0,1.202,64.3,288.456,641.782,-,0.25,4.643,0,0.0,64.3,60,-0.5634938976406296,-1.6390301768841689,0.20438652767859652,402052.78444091795,438.4436035342617,5.95514634098903,14833.214027243848,0.0,0.34907895677420064,4743766.600625819,3.7292279491666243,9.856540297300317,-15.212899079247052,-8.319033995873538,-10.559859974522496,28.148076048203045,-0.1835953466936538,9044.939988461407,446.1406164490484,3.7549162710409982,10.559477560045044,0.0,0.0,-2.6595795689034198e-05,3600.0,0.0,3.7292279491666243,0.0,,5169697.539082444,0.0,0.35559678494406316,5.835023381210816
1428,2020-01-29 12:00:00,0.44,-3.658,97.6,0.0,0.823,8.667,292.053,641.939,-,0.25,4.548,0,0.0,8.667,60,-0.21441494086642898,-1.638680429537249,0.2074212636209783,402046.82929457695,438.4371093724939,4.986450802782473,14839.169173584838,0.0,-0.03703318028407877,4747366.600625819,-0.39562731663382705,1.348290068852264,-13.174424107330537,-7.632497510044671,-8.842224723960074,28.14835400172496,-0.24312504587577094,9044.939988461407,446.13621099231705,3.754897731861434,10.559425424648017,0.0,0.0,-1.4556311459491425e-05,3600.0,0.0,-0.3956273166338278,0.0,,5173297.539082444,0.0,0.35559678494406316,6.005782711183842
1429,2020-01-29 13:00:00,0.399,-3.834,98.4,0.0,0.592,0.0,294.019,642.538,-,0.25,4.525,0,0.0,0.0,60,-0.25144812115050774,-1.638217276406578,0.19346398741505608,402041.8428437742,438.43167158535897,3.598314959950394,14844.15562438762,10.025820493667217,0.25144812115050774,4750966.600625819,4.771203794610187,0.0,-11.042799066479631,-5.717093196178452,-6.380765366486734,28.148586747138182,-0.23672532338317612,9044.939988461407,446.13252213370004,3.7548822082218534,10.559381769473848,0.0,0.0,-1.2188625359184803e-05,3600.0,0.0,2.6862328506569324,2.0849709439532558,,5176897.539082444,0.0,0.35559678494406316,5.987453784277741
1430,2020-01-29 14:00:00,0.316,-4.003,98.0,0.0,0.554,0.0,295.07,642.384,-,0.25,4.45,0,0.0,0.0,60,0.0,-1.637766312880714,0.1642386838611474,402028.2187083206,438.41681429478797,3.8288158560402485,14847.75393934757,19.16539927257215,-0.0,4754566.600625819,3.9857289891336367,0.0,-11.117687021652387,-5.976574397166537,-6.789657888760826,28.149222685902043,-0.27957438918865707,9054.965808955074,446.12244324207984,3.754839793398125,10.559262491613294,0.0,0.0,-3.330241538981241e-05,3600.0,0.0,4.440892098500626e-16,3.985728989133636,,5180497.539082444,0.0,0.35559678494406316,6.112911778902558
1431,2020-01-29 15:00:00,0.197,-4.23,97.4,0.0,0.317,0.0,292.375,642.67,-,0.25,4.348,0,0.0,0.0,60,0.0,-1.6372337155452514,0.1204169693410094,402005.224493192,438.39173881482225,2.3251512511546246,14851.582755203612,30.38578003567282,-0.0,4758166.600625819,6.319414523552806,0.0,-13.81268702165238,-3.6153464152878625,-4.123359315357157,28.150296076780833,-0.2794888009306286,9074.131208227645,446.1054322749449,3.7547682053552154,10.559061173586977,0.0,0.0,-5.620761821237233e-05,3600.0,0.0,0.0,6.319414523552806,,5184097.539082444,0.0,0.35559678494406316,6.112911778902558
1432,2020-01-29 16:00:00,0.052,-4.483,92.5,0.0,0.385,0.0,292.844,642.751,-,0.25,4.051,0,0.0,0.0,60,0.0,-1.6367012711065676,0.0647817333946328,401972.5135619051,438.35606713402956,3.298953503536127,14853.907906454766,19.34789289637272,-0.0,4761766.600625819,4.024052969012578,0.0,-13.343687021652386,-4.654086912412664,-5.8505908390735994,28.151823229146142,-0.2794054869949125,9104.516988263318,446.08123238705383,3.754666361491216,10.558774770930059,0.0,0.0,-7.996244432796642e-05,3600.0,0.0,0.0,4.024052969012577,,5187697.539082444,0.0,0.35559678494406316,6.112911778902558
1433,2020-01-29 17:00:00,0.0,-4.738,94.9,0.0,0.089,-0.167,287.851,642.588,-,0.25,4.077,0,-0.0,-0.167,60,0.0,-1.6361689709483351,0.044436611061653544,401949.8667155052,438.33137046401873,0.7529706266372197,14857.206859958302,33.93930454736056,-0.0,4765366.600625819,7.059098881760222,-0.005565685535472107,-18.33668702165238,-1.1367891869248214,-1.3354200097676854,28.15288064796481,-0.27931986232422773,9123.86488115969,446.0644776294971,3.7545958484201134,10.558576475911408,0.0,0.0,-5.5363615901682416e-05,3600.0,0.0,0.0,7.059098881760222,,5191297.539082444,0.0,0.35559678494406316,6.112911778902558
1434,2020-01-29 18:00:00,0.0,-5.059,83.1,0.0,0.188,-0.95,249.54,642.435,-,0.25,3.484,0,-0.0,-0.95,60,0.0,-1.6356368239213401,0.04443661106165356,401915.1744403312,438.2935381028693,2.0537044504087927,14857.95983058494,0.0,-0.3409632077680534,4768966.600625819,-35.00999731920049,-0.03166108538142816,-56.64768702165239,-2.563385845520294,-3.6425269967465033,28.154500680406443,-0.2792370503063118,9157.804185707051,446.03881072341255,3.754487825645173,10.55827269708237,0.0,0.0,-8.481366046106942e-05,3449.1976258416003,150.80237415839977,-3.6425269967465033,,-31.367470322453983,5194897.539082444,1.0,0.35559678494406316,6.112911778902558
