,time,sea,temp,RH,wind,SW_direct,SW_diffuse,ppt,vp_a,press,LW_in,snow_h,SW_global,alb,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
239,2021-12-18 13:00:00,0.345,-2.395,83.62,0.465,21.144,14.096,0.0,4.967,90.875,268.01,49.045,35.24,0.25,11.258,-0.07744166318619207,-0.1402302981120573,0.19970080930890885,13166.763159443088,14.358520348356693,0.2966636085599804,103.73816627453054,0.0,-0.1794348627246728,159811.9030821737,-4.792279025577039,13.738855434020675,-37.81080676095456,-0.5346266745455248,-4.936711019161685,24.782004033099703,-0.030994038035644215,1420.780277370872,47.54053378517824,0.9324866204691568,3.8345926051860593,0.0,0.0,0.0,-7.935034830037864e-06,675.4799999999999,0.0,-4.792279025577039,0.0,,174503.1846852626,0.0,0.24317749405974023,6.07402014228312
240,2021-12-18 14:00:00,0.34,-2.045,81.645,0.445,23.622,15.748,0.0,5.0,90.815,268.405,48.925,39.37,0.25,11.258,-0.25687652591086485,-0.14003818046368338,0.1974758491567907,13166.466495834527,14.358196832971132,0.2525484474195912,104.03482988309052,0.0,-0.03970056300246092,160487.3830821737,-1.0603077489586004,15.309580881586282,-36.61278427667611,-0.3944915224395557,-4.202663875779047,24.782376286411445,0.05767475793838238,1420.780277370872,47.539819684119536,0.9324796170540658,3.8345638055838673,0.0,0.0,0.0,-6.805043187430456e-06,675.4799999999999,0.0,-1.0603077489586004,0.0,,175178.6646852626,0.0,0.24317749405974023,5.9847713752069245
241,2021-12-18 15:00:00,0.29,-1.775,82.365,0.385,13.797,9.198,0.0,4.783,90.78,265.92,49.04,22.995,0.25,11.258,-0.2965770889133258,-0.14039568218940623,0.17496395683746122,13166.213947387108,14.357921425722038,0.26229534297163865,104.28737833051011,0.0,0.13314368814197206,161162.86308217372,-9.99855203960797,8.708983284364841,-38.92032673798042,-0.2820799149565419,-4.364917980276027,24.782693195062176,0.07709611417799637,1420.780277370872,47.53921176874918,0.9324736549941786,3.834539288266135,0.0,0.0,0.0,-5.793190864486196e-06,668.5346900470465,6.945309952953371,3.5559516940127365,,-13.554503733620706,175854.1446852626,1.0,0.24317749405974023,5.965186860817293
242,2021-12-18 16:00:00,0.201,-2.355,83.935,0.315,6.363,4.242,0.0,4.583,90.855,262.245,48.945,10.605,0.25,11.258,-0.16343340077135374,-0.14087357184298352,0.133862549357813,13172.89696199709,14.365209336965203,0.26288436658911607,104.54967367348175,0.0,-0.00036237110759181995,161831.39777222075,-19.2943179050732,3.8203255511728234,-43.19077146822207,-0.34240226693835735,-4.374596051928424,24.78199069387704,0.011135636965781575,1420.780277370872,47.540559374477084,0.9329469676020896,3.834539288266135,0.0,0.0,0.0,0.00015330315695211318,665.5982957064127,9.881704293587218,-0.00967807165239698,,-19.2846398334208,176529.62468526262,1.0,0.24317749405974023,6.0310987315165345
243,2021-12-18 17:00:00,0.081,-3.225,85.77,0.36,0.456,0.304,0.0,4.117,90.885,258.86,48.91,0.76,0.25,11.258,-0.16379577187894556,-0.1409425643818581,0.07683482938532533,13182.515781924089,14.375698780724196,0.39712167126811465,104.81255804007087,0.0,-0.0836293460161537,162496.99606792716,-28.682557088866016,0.25427751164978124,-46.574149690567594,-0.5468062699525194,-6.6081372643231004,24.78097906761172,0.011279556715691561,1420.780277370872,47.542500108069575,0.9336282033931759,3.834539288266135,0.0,0.0,0.0,0.00022064199279542282,661.9266214832463,13.553378516753597,-2.2335412123946767,,-26.44901587647134,177205.10468526263,1.0,0.2433009280820123,6.030918445658989
244,2021-12-18 18:00:00,0.0,-4.93,90.665,0.485,-0.753,-0.502,0.0,3.783,91.005,253.535,48.975,-1.255,0.25,11.258,-0.24742511789509924,-0.14101240045623148,0.03768635099124883,13195.672038769573,14.390045843805423,0.6168657497274221,105.20967971133898,0.0,-0.1368892211765279,163158.92268941042,-38.48326348369252,-0.3977833667223078,-51.52504253903564,-1.1284247036664652,-10.264123250047867,24.779594408761348,0.05251596701841581,1420.780277370872,47.54515673523051,0.9345599718541604,3.834539288266135,0.0,0.0,0.0,0.0003017734248012584,657.6323169991374,17.847683000862503,-3.655985985724766,,-34.82727749796775,177880.58468526264,1.0,0.24347858587604534,5.989442430176133
245,2021-12-18 19:00:00,0.0,-6.91,94.32,0.39,-0.648,-0.432,0.0,4.183,91.04,251.27,48.74,-1.08,0.25,11.258,-0.38431433907162715,-0.14133724098401373,0.037732797244373534,13212.902856020708,14.408836266107642,0.39104563185649155,105.8265454610664,0.0,0.14070633438898394,163816.55500640956,-36.39445562188857,-0.3423381394607655,-53.17842468139432,-1.2651758811285296,-6.506191236062278,24.77777917648929,0.11989513966802944,1420.780277370872,47.54863991676471,0.9357803137994537,3.834539288266135,0.0,0.0,0.0,0.0003952121223799759,654.9018888700971,20.57811112990278,3.757932013985587,,-40.152387635874156,178556.06468526265,1.0,0.2437215794643066,5.922112440042474
246,2021-12-18 20:00:00,0.0,-6.235,94.82,0.485,0.297,0.198,0.0,4.65,90.995,255.325,48.92,0.495,0.25,11.258,-0.2436080046826432,-0.14207794637432522,0.03778719917342854,13233.089921518753,14.430850514197113,0.37515558611883376,106.21759109292289,0.0,0.009919035797254538,164471.45689527967,-32.45476079894527,0.1569170986158812,-49.75211050771378,-1.4440309335437043,-6.241277347627629,24.77565000459584,0.05009088672811926,1420.780277370872,47.552726155780185,0.9372100267620253,3.834539288266135,0.0,0.0,0.0,0.0004629837599562838,658.7097154816325,16.77028451836732,0.26491388843465025,,-32.71967468737992,179231.54468526266,1.0,0.244039829416531,5.991329856889365
247,2021-12-18 21:00:00,0.0,-4.03,88.71,0.325,0.474,0.316,0.0,4.367,91.01,262.54,48.675,0.79,0.25,11.258,-0.23368896888538868,-0.14238695951368327,0.03783137192333948,13249.485050451001,14.448729607907309,0.30542474018739657,106.59274667904172,0.0,0.043449484490395,165130.1666107613,-23.206236839223372,0.2504490527187472,-42.58146616739543,-0.6133324021286535,-5.0808448094148435,24.773918788817678,0.045038698179131156,1420.780277370872,47.55604916779606,0.9383711825704184,3.834539288266135,0.0,0.0,0.0,0.0003759846207686359,662.9901284518334,12.489871548166542,1.1604325382127856,,-24.36666937743616,179907.02468526267,1.0,0.24441268071758468,5.996237000192727
248,2021-12-18 22:00:00,0.0,-3.8,87.96,0.44,-0.204,-0.136,0.0,4.333,91.03,263.835,48.79,-0.34,0.25,11.258,-0.19023948439499366,-0.1426644810347641,0.03786419399792408,13261.669497258981,14.462016899955268,0.42767362158799715,106.89817141922912,0.0,-0.07613114456544355,165793.15673921315,-24.69647632343258,-0.1077932216816824,-41.48081932490231,-0.7898340401068558,-7.114126869289497,24.77263103979679,0.0234660927509783,1420.780277370872,47.558521261117704,0.939234124316202,3.834539288266135,0.0,0.0,0.0,0.00027940277378965,663.8626921484379,11.617307851562089,-2.0332820598746544,,-22.663194263557926,180582.50468526268,1.0,0.2447154956638147,6.017775483192155
