,time,ghi,sea,temp,RH,wind,SW_global,ppt,vp_a,press,cld,Discharge,alb,LW_in,SW_direct,SW_diffuse,T_F,e_a,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,rain2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,rho_air,s_cone,vp_ice,Qr
0,2020-11-22 15:00:00,188.171,0.23,2.517,87.467,1.083,129.005,0.0,6.4,805.094,0.0,0.851,0.85,0.0,129.005,0.0,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3101579518178773,6.9,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.04495042779969236,,
1,2020-11-22 16:00:00,64.872,0.101,2.083,88.483,1.083,19.834,0.0,6.267,805.101,0.0,1.758,0.845,235.041,19.834,0.0,1.5,0.722,0.0,0.0,0.05747377499484801,14180.092216895575,15.46356839356115,0.0,0.0,0.0,0.0,0.0,-59.22365710427572,0.1766899022534114,-71.12686980679894,9.03877987936743,1.4589697029431499,1.2287732179592141,0.0,0.0,149.72225737923478,0.31015795181787725,6.8999999999999995,0.0,0.0,0.0,0.27611827757767415,0.0,7.552025361070321,97.92797463892968,0.0,,-60.682626807218874,14180.092216895575,1.0,917,0.04495042779969236,6.112911778902558,0.0
2,2020-11-22 17:00:00,0.0,0.0,1.733,89.617,1.717,0.0,0.0,6.2,805.3,0.0,2.01,0.839,233.531,0.0,0.0,1.5,0.721,0.0,0.0,0.007146866154050405,14278.296309812082,15.570661188453743,0.0,0.0,0.0,0.0,7.552025361070321,-58.00582771566714,0.0,-72.63686980679893,11.925271477977697,1.3073085155393123,1.398462097614781,0.0,0.0,150.41272863867192,0.31087230390969506,6.915891997624607,0.0,0.0,0.0,0.24855654058336468,0.0007152763842007452,24.44065151870977,96.15934848129021,-2.220446049250313e-16,,-59.31313623120645,14285.848335173152,1.0,917,0.04495042779969236,6.112911778902558,0.0
3,2020-11-22 18:00:00,0.0,0.0,1.717,90.083,2.0,0.0,0.0,6.2,805.414,0.0,1.889,0.834,233.479,0.0,0.0,1.5,0.721,0.0,0.0,0.007195023926471422,14374.704214833957,15.675795217921436,0.0,0.0,0.0,0.0,31.992676879780092,-56.08730595666352,0.0,-72.68886980679892,13.764523537283798,1.52278219631836,1.3142581165332379,0.0,0.0,150.41478345323233,0.3129713321760199,6.915891997624607,0.0,0.0,0.0,0.28952817257738384,0.0006989702960595261,19.94038274458495,93.39961725541504,0.0,,-57.61008815298188,14406.696891713736,1.0,917,0.044950427799692355,6.112911778902558,0.0
4,2020-11-22 19:00:00,0.0,0.0,1.45,89.3,1.1,0.0,0.0,6.067,805.399,0.0,2.432,0.829,231.886,0.0,0.0,1.5,0.719,0.0,0.0,0.007241821724263259,14468.393360261949,15.777964405956324,0.0839631020938587,0.0,0.0,-0.01837180614311122,51.93305962436504,-66.63736834895911,0.0,-74.28186980679894,6.394078200027535,-0.44160057813861975,1.6920238359508994,0.0,0.0,150.41679354178174,0.31501116661134504,6.915891997624607,0.0,0.0,0.0,0.0,0.0006792496434810484,38.59952550046809,107.3204744995319,-0.44160057813861975,,-66.1957677708205,14520.326419886314,1.0,917,0.045253935758903664,6.112911778902558,0.0
5,2020-11-22 20:00:00,0.0,0.0,1.15,90.567,1.467,0.0,0.0,6.017,805.474,0.0,2.461,0.824,230.638,0.0,0.0,1.5,0.719,-0.01837180614311122,0.0,0.007295384130609317,14575.629871659388,15.894907166476978,0.21140453862082215,0.0839631020938587,0.0,-0.027884505085201555,90.53258512483313,-67.96891241092143,0.0,-75.44750789146863,6.872765158212974,-1.1118565927521604,1.7121737358920255,0.005513179194368118,0.0,150.41911028136542,0.31734595926713627,6.915891997624607,0.0,0.0,0.0,0.0,0.000777458139926183,38.549777048651976,109.11022295134802,-0.6702560146135406,,-67.29865639630789,14666.246419886314,1.0,917,0.04554888461525159,6.1036648936092455,0.0
6,2020-11-22 21:00:00,0.0,0.0,1.45,90.917,1.45,0.0,0.0,6.167,805.517,0.0,2.275,0.819,232.428,0.0,0.0,1.5,0.721,-0.04625631122831278,-9.767464982939713e-05,0.007349774282625021,14684.528690072115,16.01366269364462,0.0,0.29536764071468086,0.0,0.04625631122831278,129.0823621734851,-62.253578681715524,0.0,-73.53253172507465,8.701400808170499,0.9809584893944363,1.5827443617783286,0.0138493840158518,0.0,150.42148040413878,0.3197169442809256,6.915891997624607,0.0,0.0,0.0,0.18651896821734115,0.0007894976040311895,32.17458888904184,104.32541111095816,1.1118565927521604,,-64.34639376386212,14813.906419886314,1.0,917,0.045886482810335194,6.089654419369535,0.0
7,2020-11-22 22:00:00,0.0,0.0,2.05,88.6,1.017,0.0,0.0,6.267,805.198,0.0,2.177,0.814,234.932,0.0,0.0,1.5,0.722,0.0,-0.0003412225414777852,0.0074019709511799255,14789.04062015129,16.12763426406902,0.0,0.29536764071468086,0.0,-0.0,161.25695106252695,-59.9908155488884,0.0,-71.23586980679895,8.359700847447382,1.370914238654078,1.5145415353669747,-0.00010236355789307456,0.0,150.42377160346305,0.32199241635299874,6.915891997624607,0.0,0.0,0.0,0.26066893439734945,0.0007576814835101474,31.13213719665586,99.48786280334414,0.0,,-61.36172978754248,14950.592938854532,1.0,917,0.04622931422161283,6.112911778902558,0.0
8,2020-11-22 23:00:00,0.0,0.0,1.883,86.583,0.85,0.0,0.0,6.05,805.072,0.0,2.376,0.809,233.206,0.0,0.0,1.5,0.719,0.0,-0.0003394351243526544,0.007451786391033831,14888.789151889032,16.23641128886481,0.08896638760827123,0.29536764071468086,0.0,-0.019465377524356096,192.3890882591828,-65.35908377494056,0.0,-72.96186980679894,6.417812566339872,-0.4678866030635379,1.6529618803095536,-0.00010181172750604105,0.0,150.42597349760726,0.3241641779693767,6.915891997624607,0.0,0.0,0.0,0.0,0.0007231371985708656,37.3481514322838,105.2118485677162,-0.4678866030635379,,-64.89119717187702,15081.47360778893,1.0,917,0.046558334986086115,6.112911778902558,0.0
9,2020-11-23 00:00:00,0.0,0.0,0.9,88.7,0.583,0.0,0.0,5.767,805.126,0.0,2.832,0.804,228.439,0.0,0.0,1.5,0.714,-0.019465377524356096,-0.00033766922751902735,0.007504283460928099,14993.91203406914,16.351049110217165,0.3260654163508496,0.3843340283229521,0.0,-0.05187491192151496,229.7372396914666,-75.23060373888661,0.0,-77.6416058690472,2.149896146469773,-1.7147967281206038,1.9701663867497938,0.005736325061619987,0.0,150.42831001138083,0.3264529519146618,6.915891997624607,0.0,0.0,0.0,0.0,0.0007620879472265927,49.964098217301185,119.9559017826988,-1.246910125057066,,-73.98369361382954,15224.03360778893,1.0,917,0.04687235978825536,6.103114879863167,0.0
