 

stn;time;pva200s0;tre200s0;rre150z0;ure200s0;tde200s0;fkl010z0;dkl010z0;gre000z0
MMGTT;201912010000;5.0;6.0;0.0;54.0;-2.6;8.2;110;-
MMGTT;201912010010;5.0;6.0;0.0;54.0;-2.6;8.7;110;-
MMGTT;201912010020;5.1;6.0;0.0;54.8;-2.4;7.2;110;-
MMGTT;201912010030;5.0;6.1;0.0;53.6;-2.6;7.2;110;-
MMGTT;201912010040;5.0;6.1;0.0;53.6;-2.6;8.2;110;-
MMGTT;201912010050;5.0;6.1;0.0;52.8;-2.8;8.2;110;-
MMGTT;201912010100;4.9;6.2;0.0;51.7;-3.0;8.7;140;-
MMGTT;201912010110;5.0;6.1;0.0;52.8;-2.8;8.7;140;-
MMGTT;201912010120;4.9;6.1;0.0;52.0;-3.0;8.7;110;-
MMGTT;201912010130;4.9;6.1;0.0;52.0;-3.0;8.2;110;-
MMGTT;201912010140;4.9;6.1;0.0;51.6;-3.1;8.2;110;-
MMGTT;201912010150;4.9;6.0;0.0;52.8;-2.9;8.2;110;-
MMGTT;201912010200;4.9;6.1;0.0;51.6;-3.1;7.2;110;-
MMGTT;201912010210;4.9;6.1;0.0;51.6;-3.1;7.7;110;-
MMGTT;201912010220;4.8;6.1;0.0;50.9;-3.3;5.7;110;-
MMGTT;201912010230;4.8;6.2;0.0;50.9;-3.2;6.7;110;-
MMGTT;201912010240;4.8;6.1;0.0;50.9;-3.3;6.7;110;-
MMGTT;201912010250;4.7;6.0;0.0;50.8;-3.4;8.2;110;-
MMGTT;201912010300;4.7;6.0;0.0;50.8;-3.4;8.7;110;-
MMGTT;201912010310;4.7;6.0;0.0;50.8;-3.4;8.2;110;-
MMGTT;201912010320;4.7;6.0;0.0;50.8;-3.4;8.2;110;-
MMGTT;201912010330;4.8;6.1;0.0;50.9;-3.3;9.8;110;-
MMGTT;201912010340;4.8;6.1;0.0;50.9;-3.3;8.7;110;-
MMGTT;201912010350;4.8;6.2;0.0;50.9;-3.2;9.3;110;-
MMGTT;201912010400;4.8;6.2;0.0;50.9;-3.2;9.3;140;-
MMGTT;201912010410;4.9;6.3;0.0;50.9;-3.1;8.2;110;-
MMGTT;201912010420;4.8;6.2;0.0;50.9;-3.2;9.3;110;-
MMGTT;201912010430;4.8;6.1;0.0;50.9;-3.3;9.8;110;-
MMGTT;201912010440;4.7;6.0;0.0;50.8;-3.4;11.8;110;-
MMGTT;201912010450;4.7;6.0;0.0;50.8;-3.4;10.8;110;-
MMGTT;201912010500;4.8;5.9;0.0;52.0;-3.2;11.3;110;-
MMGTT;201912010510;4.8;5.9;0.0;51.2;-3.4;10.8;140;-
MMGTT;201912010520;4.8;5.9;0.0;52.0;-3.2;9.8;110;-
MMGTT;201912010530;4.8;5.9;0.0;52.0;-3.2;10.8;140;-
MMGTT;201912010540;4.9;5.8;0.0;52.7;-3.1;11.3;140;-
MMGTT;201912010550;4.9;5.8;0.0;53.1;-3.0;9.3;140;-
MMGTT;201912010600;5.0;5.8;0.0;53.9;-2.8;10.3;140;-
MMGTT;201912010610;5.0;5.7;0.0;55.1;-2.6;10.8;140;-
MMGTT;201912010620;5.0;5.7;0.0;54.7;-2.7;10.3;140;-
MMGTT;201912010630;4.9;5.7;0.0;53.9;-2.9;10.3;140;-
MMGTT;201912010640;4.9;5.7;0.0;53.9;-2.9;12.3;140;-
MMGTT;201912010650;4.9;5.7;0.0;53.9;-2.9;11.3;140;-
MMGTT;201912010700;5.0;5.8;0.0;53.9;-2.8;9.8;140;-
MMGTT;201912010710;5.0;5.8;0.0;53.9;-2.8;10.8;140;-
MMGTT;201912010720;5.1;5.6;0.0;55.9;-2.5;12.3;140;-
MMGTT;201912010730;5.1;5.7;0.0;55.9;-2.4;11.3;140;-
MMGTT;201912010740;5.1;5.7;0.0;55.9;-2.4;12.3;140;-
MMGTT;201912010750;5.2;5.8;0.0;56.0;-2.3;11.3;140;-
MMGTT;201912010800;5.2;5.8;0.0;56.8;-2.1;10.8;140;-
MMGTT;201912010810;5.4;5.8;0.0;58.1;-1.8;11.3;140;-
MMGTT;201912010820;5.4;5.7;0.0;58.9;-1.7;11.8;140;-
MMGTT;201912010830;5.3;5.7;0.0;58.0;-1.9;11.8;140;-
MMGTT;201912010840;5.5;5.8;0.0;60.2;-1.3;11.3;140;-
MMGTT;201912010850;5.6;5.9;0.0;59.8;-1.3;11.3;140;-
MMGTT;201912010900;5.5;6.0;0.0;59.0;-1.4;10.8;140;-
MMGTT;201912010910;5.4;6.3;0.0;56.9;-1.6;9.8;140;-
MMGTT;201912010920;5.6;6.4;0.0;58.2;-1.2;9.3;140;-
MMGTT;201912010930;5.5;6.6;0.0;56.2;-1.5;6.7;140;-
MMGTT;201912010940;5.5;6.9;0.0;55.0;-1.5;5.7;140;-
MMGTT;201912010950;5.4;7.1;0.0;53.9;-1.6;5.7;140;-
MMGTT;201912011000;5.4;7.1;0.0;53.9;-1.6;8.2;140;-
MMGTT;201912011010;5.5;7.3;0.0;53.9;-1.4;7.7;140;-
MMGTT;201912011020;5.4;7.2;0.0;53.1;-1.7;6.7;140;-
MMGTT;201912011030;5.4;7.3;0.0;53.1;-1.6;6.2;140;-
MMGTT;201912011040;5.3;7.8;0.0;49.9;-2.0;6.2;90;-
MMGTT;201912011050;5.3;7.9;0.0;49.9;-1.9;6.2;90;-
MMGTT;201912011100;5.4;8.0;0.0;49.9;-1.8;4.6;90;-
MMGTT;201912011110;5.7;7.8;0.0;54.1;-0.9;4.1;140;-
MMGTT;201912011120;5.7;7.4;0.0;55.2;-1.0;5.7;140;-
MMGTT;201912011130;5.6;7.3;0.0;55.1;-1.1;3.1;90;-
MMGTT;201912011140;5.6;7.3;0.0;55.1;-1.1;4.6;110;-
MMGTT;201912011150;5.8;7.2;0.0;56.7;-0.8;5.1;90;-
MMGTT;201912011200;5.9;6.8;0.0;60.1;-0.4;7.7;110;-
MMGTT;201912011210;5.8;6.4;0.0;60.8;-0.6;6.7;110;-
MMGTT;201912011220;5.9;6.3;0.0;62.2;-0.4;7.7;110;-
MMGTT;201912011230;6.0;6.3;0.0;63.1;-0.2;7.7;140;-
MMGTT;201912011240;6.1;6.0;0.0;64.9;-0.1;7.2;140;-
MMGTT;201912011250;6.0;5.9;0.0;64.8;-0.2;7.7;140;-
MMGTT;201912011300;5.9;6.0;0.0;63.0;-0.5;6.2;140;-
MMGTT;201912011310;5.8;6.3;0.0;60.8;-0.7;6.2;140;-
MMGTT;201912011320;6.0;6.0;0.0;63.9;-0.3;7.7;110;-
MMGTT;201912011330;5.8;6.1;0.0;61.2;-0.8;7.7;110;-
MMGTT;201912011340;5.8;6.2;0.0;61.7;-0.6;8.7;140;-
MMGTT;201912011350;6.1;5.8;0.0;65.8;-0.1;8.2;140;-
MMGTT;201912011400;5.8;5.7;0.0;63.9;-0.6;8.2;140;-
MMGTT;201912011410;5.8;6.1;0.0;61.2;-0.8;7.2;140;-
MMGTT;201912011420;5.6;6.4;0.0;58.2;-1.2;7.7;140;-
MMGTT;201912011430;5.5;6.7;0.0;55.8;-1.5;8.2;140;-
MMGTT;201912011440;5.7;6.7;0.0;57.9;-1.0;8.7;140;-
MMGTT;201912011450;5.9;6.3;0.0;61.7;-0.5;8.7;140;-
MMGTT;201912011500;5.9;5.9;0.0;63.9;-0.4;8.2;140;-
MMGTT;201912011510;6.0;5.7;0.0;65.7;-0.2;8.2;140;-
MMGTT;201912011520;6.1;5.4;0.0;68.1;0.0;6.7;140;-
MMGTT;201912011530;6.2;5.1;0.0;70.6;0.2;6.7;140;-
MMGTT;201912011540;6.3;4.8;0.0;73.1;0.4;5.7;140;-
MMGTT;201912011550;6.3;4.8;0.0;73.1;0.4;5.1;140;-
MMGTT;201912011600;6.2;4.8;0.0;72.1;0.2;5.1;110;-
MMGTT;201912011610;6.0;5.1;0.0;68.0;-0.3;4.6;110;-
MMGTT;201912011620;6.0;5.4;0.0;67.1;-0.2;5.1;110;-
MMGTT;201912011630;6.0;5.7;0.0;65.3;-0.3;6.2;110;-
MMGTT;201912011640;6.0;5.8;0.0;64.8;-0.3;5.7;140;-
MMGTT;201912011650;6.1;5.7;0.0;66.2;-0.1;5.1;140;-
MMGTT;201912011700;6.1;5.8;0.0;65.8;-0.1;5.1;140;-
MMGTT;201912011710;6.1;5.7;0.0;66.2;-0.1;2.6;140;-
MMGTT;201912011720;6.0;5.8;0.0;64.8;-0.3;2.1;110;-
MMGTT;201912011730;6.0;5.8;0.0;65.3;-0.2;2.1;110;-
MMGTT;201912011740;5.9;5.9;0.0;63.9;-0.4;2.1;110;-
MMGTT;201912011750;6.6;4.8;0.0;76.4;1.0;2.6;270;-
MMGTT;201912011800;6.4;3.2;0.0;83.6;0.7;5.1;290;-
MMGTT;201912011810;6.4;2.3;0.0;89.1;0.7;5.1;290;-
MMGTT;201912011820;6.4;1.9;0.0;91.1;0.6;2.6;290;-
MMGTT;201912011830;6.4;1.8;0.0;91.7;0.6;2.1;290;-
MMGTT;201912011840;6.4;1.7;0.0;93.1;0.7;2.1;290;-
MMGTT;201912011850;6.4;1.6;0.0;93.7;0.7;2.6;270;-
MMGTT;201912011900;6.4;1.5;0.0;93.7;0.6;3.1;290;-
MMGTT;201912011910;6.4;1.4;0.0;95.1;0.7;2.1;270;-
MMGTT;201912011920;6.4;1.4;0.0;95.1;0.7;2.1;290;-
MMGTT;201912011930;6.4;1.3;0.0;95.1;0.6;2.1;290;-
MMGTT;201912011940;6.4;1.3;0.0;95.1;0.6;1.5;290;-
MMGTT;201912011950;6.4;1.3;0.0;95.1;0.6;0.0;290;-
MMGTT;201912012000;6.5;1.3;0.0;96.5;0.8;0.5;290;-
MMGTT;201912012010;6.5;1.3;0.0;96.5;0.8;0.5;290;-
MMGTT;201912012020;6.5;1.3;0.0;96.5;0.8;2.1;290;-
MMGTT;201912012030;6.5;1.3;0.0;96.5;0.8;1.0;230;-
MMGTT;201912012040;6.5;1.3;0.0;96.5;0.8;1.0;140;-
MMGTT;201912012050;6.5;1.4;0.0;95.8;0.8;0.5;140;-
MMGTT;201912012100;6.5;1.4;0.0;95.8;0.8;0.0;140;-
MMGTT;201912012110;6.5;1.4;0.0;96.5;0.9;0.5;180;-
MMGTT;201912012120;6.5;1.4;0.0;95.8;0.8;0.5;230;-
MMGTT;201912012130;6.5;1.4;0.0;95.8;0.8;1.0;230;-
MMGTT;201912012140;6.5;1.3;0.0;96.5;0.8;2.1;290;-
MMGTT;201912012150;6.4;1.2;0.0;96.5;0.7;4.6;270;-
MMGTT;201912012200;6.3;1.1;0.0;95.8;0.5;4.1;290;-
MMGTT;201912012210;6.4;1.0;0.0;97.2;0.6;2.1;270;-
MMGTT;201912012220;6.4;1.0;0.0;97.2;0.6;2.1;290;-
MMGTT;201912012230;6.4;1.0;0.0;97.2;0.6;2.1;290;-
MMGTT;201912012240;6.4;1.0;0.0;97.2;0.6;2.6;290;-
MMGTT;201912012250;6.4;1.0;0.0;97.2;0.6;1.5;320;-
MMGTT;201912012300;6.4;1.0;0.0;97.2;0.6;0.5;320;-
MMGTT;201912012310;6.4;1.0;0.0;97.2;0.6;0.0;320;-
MMGTT;201912012320;6.4;1.1;0.0;97.2;0.7;0.5;320;-
MMGTT;201912012330;6.4;1.2;0.0;96.5;0.7;0.0;320;-
MMGTT;201912012340;6.4;1.2;0.0;96.5;0.7;0.0;-;-
MMGTT;201912012350;6.4;1.2;0.0;96.5;0.7;0.0;-;-
MMGTT;201912020000;6.4;1.2;0.0;96.5;0.7;0.0;-;-
MMGTT;201912020010;6.5;1.2;0.0;97.2;0.8;0.0;-;-
MMGTT;201912020020;6.5;1.2;0.0;97.2;0.8;0.0;-;-
MMGTT;201912020030;6.5;1.2;0.0;97.2;0.8;0.0;-;-
MMGTT;201912020040;6.5;1.2;0.0;97.2;0.8;0.0;-;-
MMGTT;201912020050;6.5;1.2;0.0;97.2;0.8;0.0;-;-
MMGTT;201912020100;6.4;1.1;0.2;97.2;0.7;0.0;-;-
MMGTT;201912020110;6.4;1.1;0.0;96.5;0.6;0.0;-;-
MMGTT;201912020120;6.4;1.1;0.0;96.5;0.6;0.0;-;-
MMGTT;201912020130;6.4;1.1;0.0;96.5;0.6;0.0;-;-
MMGTT;201912020140;6.4;1.0;0.0;97.2;0.6;0.0;-;-
MMGTT;201912020150;6.3;0.9;0.2;97.1;0.5;0.0;-;-
MMGTT;201912020200;6.3;0.8;0.0;97.1;0.4;0.0;-;-
MMGTT;201912020210;6.3;0.8;0.0;97.1;0.4;0.0;-;-
MMGTT;201912020220;6.3;0.8;0.0;97.1;0.4;0.0;-;-
MMGTT;201912020230;6.3;0.8;0.0;97.1;0.4;0.0;-;-
MMGTT;201912020240;6.3;0.8;0.0;97.1;0.4;0.0;-;-
MMGTT;201912020250;6.2;0.7;0.0;97.1;0.3;0.0;-;-
MMGTT;201912020300;6.2;0.7;0.0;96.4;0.2;0.0;-;-
MMGTT;201912020310;6.2;0.7;0.0;96.4;0.2;0.0;-;-
MMGTT;201912020320;6.2;0.7;0.0;96.4;0.2;0.0;-;-
MMGTT;201912020330;6.2;0.6;0.2;97.1;0.2;0.0;-;-
MMGTT;201912020340;6.2;0.6;0.0;97.1;0.2;0.0;-;-
MMGTT;201912020350;6.2;0.6;0.0;97.1;0.2;0.0;-;-
MMGTT;201912020400;6.1;0.6;0.0;96.4;0.1;0.0;-;-
MMGTT;201912020410;6.1;0.6;0.0;96.4;0.1;0.0;-;-
MMGTT;201912020420;6.1;0.6;0.0;96.4;0.1;0.0;-;-
MMGTT;201912020430;6.2;0.6;0.0;97.1;0.2;0.0;-;-
MMGTT;201912020440;6.2;0.6;0.0;97.1;0.2;0.0;-;-
MMGTT;201912020450;6.2;0.6;0.0;97.1;0.2;0.0;-;-
MMGTT;201912020500;6.2;0.7;0.0;96.4;0.2;0.0;-;-
MMGTT;201912020510;6.2;0.7;0.0;96.4;0.2;0.0;-;-
MMGTT;201912020520;6.2;0.7;0.2;96.4;0.2;0.0;-;-
MMGTT;201912020530;6.2;0.6;0.2;97.1;0.2;0.0;-;-
MMGTT;201912020540;6.1;0.6;0.0;96.4;0.1;0.0;-;-
MMGTT;201912020550;6.1;0.4;0.2;97.1;0.0;0.0;-;-
MMGTT;201912020600;6.1;0.4;0.0;97.1;0.0;0.0;-;-
MMGTT;201912020610;6.1;0.3;0.2;97.1;-0.1;0.0;-;-
MMGTT;201912020620;6.1;0.3;0.0;97.1;-0.1;0.0;-;-
MMGTT;201912020630;6.1;0.3;0.0;97.1;-0.1;0.0;-;-
MMGTT;201912020640;6.1;0.3;0.0;97.1;-0.1;0.0;-;-
MMGTT;201912020650;6.1;0.3;0.0;97.1;-0.1;0.0;-;-
MMGTT;201912020700;6.0;0.2;0.0;97.1;-0.2;0.0;-;-
MMGTT;201912020710;6.0;0.2;0.2;97.1;-0.2;0.0;-;-
MMGTT;201912020720;6.1;0.3;0.0;97.1;-0.1;0.0;-;-
MMGTT;201912020730;6.1;0.3;0.0;97.1;-0.1;0.0;-;-
MMGTT;201912020740;6.1;0.3;0.0;97.1;-0.1;0.0;-;-
MMGTT;201912020750;6.1;0.4;0.0;97.1;0.0;0.0;-;-
MMGTT;201912020800;6.1;0.4;0.0;97.1;0.0;0.0;-;-
MMGTT;201912020810;6.1;0.5;0.0;97.1;0.1;0.0;-;-
MMGTT;201912020820;6.1;0.6;0.0;96.4;0.1;0.0;-;-
MMGTT;201912020830;6.2;0.7;0.0;96.4;0.2;0.0;-;-
MMGTT;201912020840;6.2;0.7;0.0;97.1;0.3;0.0;-;-
MMGTT;201912020850;6.3;0.8;0.0;97.1;0.4;0.0;320;-
MMGTT;201912020900;6.4;0.8;0.0;98.6;0.6;0.0;320;-
MMGTT;201912020910;6.4;0.9;0.0;98.6;0.7;0.0;320;-
MMGTT;201912020920;6.4;1.0;0.0;97.9;0.7;0.0;320;-
MMGTT;201912020930;6.4;1.1;0.0;97.2;0.7;0.0;320;-
MMGTT;201912020940;6.5;1.2;0.0;97.9;0.9;0.0;320;-
MMGTT;201912020950;6.5;1.2;0.0;97.9;0.9;0.5;320;-
MMGTT;201912021000;6.4;1.2;0.0;96.5;0.7;2.1;290;-
MMGTT;201912021010;6.4;1.1;0.0;96.5;0.6;1.5;320;-
MMGTT;201912021020;6.4;1.0;0.0;97.2;0.6;1.0;320;-
MMGTT;201912021030;6.3;0.9;0.0;97.1;0.5;2.1;290;-
MMGTT;201912021040;6.3;0.9;0.0;97.1;0.5;2.1;290;-
MMGTT;201912021050;6.3;0.8;0.0;97.1;0.4;2.1;290;-
MMGTT;201912021100;6.3;0.8;0.0;97.1;0.4;2.1;290;-
MMGTT;201912021110;6.2;0.7;0.0;97.1;0.3;2.1;290;-
MMGTT;201912021120;6.2;0.7;0.0;96.4;0.2;1.5;320;-
MMGTT;201912021130;6.1;0.6;0.0;96.4;0.1;2.1;290;-
MMGTT;201912021140;6.1;0.5;0.0;97.1;0.1;2.1;290;-
MMGTT;201912021150;6.1;0.5;0.0;97.1;0.1;2.1;320;-
MMGTT;201912021200;6.1;0.5;0.0;97.1;0.1;1.5;290;-
MMGTT;201912021210;6.1;0.5;0.0;97.1;0.1;1.0;270;-
MMGTT;201912021220;6.1;0.6;0.0;96.4;0.1;1.5;270;-
MMGTT;201912021230;6.1;0.5;0.0;97.1;0.1;2.1;290;-
MMGTT;201912021240;6.1;0.5;0.0;97.1;0.1;1.0;320;-
MMGTT;201912021250;6.1;0.4;0.0;97.1;0.0;2.1;290;-
MMGTT;201912021300;6.1;0.4;0.0;97.1;0.0;1.5;320;-
MMGTT;201912021310;6.1;0.3;0.0;97.1;-0.1;1.0;320;-
MMGTT;201912021320;6.1;0.3;0.0;97.1;-0.1;1.5;320;-
MMGTT;201912021330;6.0;0.2;0.0;97.1;-0.2;2.6;320;-
MMGTT;201912021340;5.9;0.0;0.0;97.1;-0.4;2.6;290;-
MMGTT;201912021350;5.9;-0.1;0.0;97.1;-0.5;2.6;320;-
MMGTT;201912021400;5.8;-0.2;0.0;97.1;-0.6;2.1;290;-
MMGTT;201912021410;5.8;-0.2;0.0;97.1;-0.6;2.1;290;-
MMGTT;201912021420;5.8;-0.2;0.0;97.1;-0.6;2.1;290;-
MMGTT;201912021430;5.8;-0.3;0.0;97.1;-0.7;2.1;290;-
MMGTT;201912021440;5.8;-0.3;0.0;97.1;-0.7;2.6;290;-
MMGTT;201912021450;5.8;-0.4;0.0;97.1;-0.8;2.6;290;-
MMGTT;201912021500;5.7;-0.5;0.0;97.1;-0.9;2.1;290;-
MMGTT;201912021510;5.7;-0.5;0.0;97.1;-0.9;1.5;290;-
MMGTT;201912021520;5.7;-0.5;0.0;97.1;-0.9;2.1;290;-
MMGTT;201912021530;5.6;-0.7;0.0;97.1;-1.1;2.1;290;-
MMGTT;201912021540;5.6;-0.8;0.0;96.4;-1.3;2.6;290;-
MMGTT;201912021550;5.6;-0.8;0.0;97.1;-1.2;2.1;290;-
MMGTT;201912021600;5.6;-0.9;0.0;97.1;-1.3;2.1;290;-
MMGTT;201912021610;5.5;-1.0;0.0;97.1;-1.4;2.1;290;-
MMGTT;201912021620;5.4;-1.1;0.0;96.4;-1.6;2.6;320;-
MMGTT;201912021630;5.4;-1.1;0.0;95.7;-1.7;2.1;320;-
MMGTT;201912021640;5.5;-1.1;0.0;97.1;-1.5;2.1;290;-
MMGTT;201912021650;5.4;-1.2;0.0;97.1;-1.6;2.1;290;-
MMGTT;201912021700;5.4;-1.2;0.0;97.1;-1.6;2.1;290;-
MMGTT;201912021710;5.4;-1.2;0.0;97.1;-1.6;2.1;290;-
MMGTT;201912021720;5.4;-1.2;0.0;97.1;-1.6;2.1;290;-
MMGTT;201912021730;5.4;-1.2;0.0;97.1;-1.6;2.1;290;-
MMGTT;201912021740;5.4;-1.2;0.0;97.1;-1.6;2.1;290;-
MMGTT;201912021750;5.4;-1.3;0.0;97.1;-1.7;1.0;290;-
MMGTT;201912021800;5.4;-1.3;0.0;97.1;-1.7;0.5;290;-
MMGTT;201912021810;5.4;-1.2;0.0;97.1;-1.6;1.0;290;-
MMGTT;201912021820;5.4;-1.3;0.0;97.1;-1.7;1.5;270;-
MMGTT;201912021830;5.4;-1.3;0.0;97.1;-1.7;2.1;290;-
MMGTT;201912021840;5.4;-1.3;0.0;97.1;-1.7;2.1;290;-
MMGTT;201912021850;5.4;-1.4;0.0;97.1;-1.8;2.1;290;-
MMGTT;201912021900;5.3;-1.5;0.0;97.1;-1.9;2.1;290;-
MMGTT;201912021910;5.3;-1.5;0.0;97.1;-1.9;2.1;290;-
MMGTT;201912021920;5.3;-1.5;0.0;97.1;-1.9;1.5;290;-
MMGTT;201912021930;5.3;-1.5;0.0;97.1;-1.9;1.5;290;-
MMGTT;201912021940;5.3;-1.6;0.0;97.1;-2.0;1.5;290;-
MMGTT;201912021950;5.3;-1.6;0.0;97.1;-2.0;2.6;290;-
MMGTT;201912022000;5.2;-1.7;0.0;97.1;-2.1;2.6;290;-
MMGTT;201912022010;5.2;-1.8;0.0;97.1;-2.2;2.1;290;-
MMGTT;201912022020;5.2;-1.8;0.0;97.1;-2.2;2.1;290;-
MMGTT;201912022030;5.2;-1.8;0.0;97.1;-2.2;1.5;270;-
MMGTT;201912022040;5.2;-1.8;0.0;97.1;-2.2;0.5;270;-
MMGTT;201912022050;5.2;-1.8;0.0;97.1;-2.2;1.5;270;-
MMGTT;201912022100;5.2;-1.8;0.0;97.1;-2.2;1.5;290;-
MMGTT;201912022110;5.2;-1.8;0.0;97.1;-2.2;1.0;290;-
MMGTT;201912022120;5.2;-1.8;0.0;97.1;-2.2;0.5;290;-
MMGTT;201912022130;5.2;-1.8;0.0;97.1;-2.2;1.0;290;-
MMGTT;201912022140;5.2;-1.8;0.0;97.1;-2.2;1.5;290;-
MMGTT;201912022150;5.2;-1.8;0.0;97.1;-2.2;1.5;290;-
MMGTT;201912022200;5.2;-1.8;0.0;97.1;-2.2;1.5;290;-
MMGTT;201912022210;5.1;-2.0;0.0;97.1;-2.4;2.1;290;-
MMGTT;201912022220;5.1;-2.0;0.0;97.1;-2.4;2.1;320;-
MMGTT;201912022230;5.1;-2.1;0.0;97.1;-2.5;2.1;320;-
MMGTT;201912022240;5.1;-2.1;0.0;97.1;-2.5;2.1;320;-
MMGTT;201912022250;5.1;-2.1;0.0;97.1;-2.5;2.1;320;-
MMGTT;201912022300;5.0;-2.2;0.0;97.1;-2.6;2.6;320;-
MMGTT;201912022310;5.0;-2.3;0.0;97.1;-2.7;4.1;290;-
MMGTT;201912022320;4.9;-2.5;0.0;97.1;-2.9;4.6;320;-
MMGTT;201912022330;4.9;-2.6;0.0;97.1;-3.0;4.1;320;-
MMGTT;201912022340;4.9;-2.6;0.0;97.1;-3.0;2.6;320;-
MMGTT;201912022350;4.9;-2.6;0.0;97.1;-3.0;2.1;320;-
MMGTT;201912030000;4.9;-2.6;0.0;97.1;-3.0;1.5;320;-
MMGTT;201912030010;4.9;-2.6;0.0;97.1;-3.0;1.5;320;-
MMGTT;201912030020;4.9;-2.6;0.0;97.1;-3.0;1.0;320;-
MMGTT;201912030030;4.9;-2.6;0.0;97.1;-3.0;0.5;320;-
MMGTT;201912030040;4.9;-2.6;0.0;97.1;-3.0;0.0;-;-
MMGTT;201912030050;4.9;-2.6;0.0;97.1;-3.0;0.0;-;-
MMGTT;201912030100;4.9;-2.6;0.0;97.1;-3.0;0.5;320;-
MMGTT;201912030110;4.9;-2.5;0.0;97.1;-2.9;0.5;320;-
MMGTT;201912030120;4.9;-2.5;0.0;97.1;-2.9;0.0;320;-
MMGTT;201912030130;4.9;-2.5;0.0;97.1;-2.9;0.0;320;-
MMGTT;201912030140;4.9;-2.5;0.0;97.1;-2.9;0.0;320;-
MMGTT;201912030150;5.0;-2.3;0.0;97.1;-2.7;0.5;320;-
MMGTT;201912030200;5.0;-2.3;0.0;97.1;-2.7;0.5;320;-
MMGTT;201912030210;5.0;-2.3;0.0;97.1;-2.7;1.5;320;-
MMGTT;201912030220;5.0;-2.3;0.0;97.1;-2.7;0.5;320;-
MMGTT;201912030230;5.0;-2.3;0.0;97.1;-2.7;0.5;320;-
MMGTT;201912030240;5.0;-2.3;0.0;97.1;-2.7;1.0;320;-
MMGTT;201912030250;4.9;-2.5;0.0;97.1;-2.9;1.5;320;-
MMGTT;201912030300;4.9;-2.6;0.0;97.1;-3.0;2.1;320;-
MMGTT;201912030310;4.9;-2.7;0.0;97.1;-3.1;2.1;320;-
MMGTT;201912030320;4.9;-2.7;0.0;97.1;-3.1;2.1;320;-
MMGTT;201912030330;4.9;-2.7;0.0;97.1;-3.1;1.0;320;-
MMGTT;201912030340;4.9;-2.6;0.0;97.1;-3.0;0.0;320;-
MMGTT;201912030350;4.9;-2.6;0.0;97.1;-3.0;0.0;-;-
MMGTT;201912030400;4.9;-2.6;0.0;97.1;-3.0;0.0;-;-
MMGTT;201912030410;4.9;-2.6;0.0;97.1;-3.0;0.0;320;-
MMGTT;201912030420;4.9;-2.6;0.0;97.1;-3.0;0.5;320;-
MMGTT;201912030430;4.9;-2.6;0.0;97.1;-3.0;1.5;320;-
MMGTT;201912030440;4.9;-2.6;0.0;97.1;-3.0;2.1;320;-
MMGTT;201912030450;4.9;-2.7;0.0;97.1;-3.1;2.1;320;-
MMGTT;201912030500;4.9;-2.7;0.0;97.1;-3.1;1.5;320;-
MMGTT;201912030510;4.9;-2.7;0.0;97.1;-3.1;1.5;320;-
MMGTT;201912030520;4.9;-2.7;0.0;97.1;-3.1;1.0;320;-
MMGTT;201912030530;4.9;-2.7;0.0;97.1;-3.1;2.1;320;-
MMGTT;201912030540;4.9;-2.7;0.0;97.1;-3.1;1.5;320;-
MMGTT;201912030550;4.9;-2.7;0.0;97.1;-3.1;1.5;320;-
MMGTT;201912030600;4.9;-2.7;0.0;97.1;-3.1;0.0;320;-
MMGTT;201912030610;4.9;-2.7;0.0;97.1;-3.1;1.0;320;-
MMGTT;201912030620;4.9;-2.7;0.0;97.1;-3.1;0.5;320;-
MMGTT;201912030630;4.9;-2.7;0.0;97.1;-3.1;1.5;320;-
MMGTT;201912030640;4.9;-2.7;0.0;97.1;-3.1;1.0;320;-
MMGTT;201912030650;4.9;-2.7;0.0;97.1;-3.1;1.5;320;-
MMGTT;201912030700;4.9;-2.7;0.0;97.1;-3.1;2.1;320;-
MMGTT;201912030710;4.9;-2.7;0.0;97.1;-3.1;2.1;320;-
MMGTT;201912030720;4.9;-2.7;0.0;97.1;-3.1;1.5;320;-
MMGTT;201912030730;4.9;-2.7;0.0;97.1;-3.1;2.1;320;-
MMGTT;201912030740;4.8;-2.8;0.0;97.1;-3.2;2.1;320;-
MMGTT;201912030750;4.9;-2.7;0.0;97.1;-3.1;1.5;320;-
MMGTT;201912030800;4.9;-2.7;0.0;97.1;-3.1;1.0;320;-
MMGTT;201912030810;4.9;-2.7;0.0;97.1;-3.1;0.5;320;-
MMGTT;201912030820;4.8;-2.7;0.0;96.3;-3.2;0.5;320;-
MMGTT;201912030830;4.9;-2.6;0.0;97.1;-3.0;0.0;320;-
MMGTT;201912030840;4.9;-2.5;0.0;97.1;-2.9;0.5;320;-
MMGTT;201912030850;4.9;-2.4;0.0;96.4;-2.9;1.0;320;-
MMGTT;201912030900;4.9;-2.4;0.0;96.4;-2.9;1.5;320;-
MMGTT;201912030910;4.9;-2.5;0.0;96.3;-3.0;0.5;320;-
MMGTT;201912030920;4.9;-2.3;0.0;95.6;-2.9;0.5;320;-
MMGTT;201912030930;4.9;-2.3;0.0;94.9;-3.0;1.0;320;-
MMGTT;201912030940;4.9;-2.2;0.0;94.9;-2.9;1.5;320;-
MMGTT;201912030950;4.9;-2.1;0.0;94.2;-2.9;1.0;320;-
