 ,Label,X,Y,Slice
1,guttannen21_insta_logo:1_Nov-13 16:00,1719.750,1160.000,1
2,guttannen21_insta_logo:1_Nov-13 16:00,1698.625,850.625,1
3,guttannen21_insta_logo:1126_Dec-30 16:00,1719.750,1160.000,1
4,guttannen21_insta_logo:1126_Dec-30 16:00,1691.500,755.000,1
5,guttannen21_insta_logo:1333_Jan-08 08:00,1719.750,1160.000,1
6,guttannen21_insta_logo:1333_Jan-08 08:00,1691.000,640.750,1
7,guttannen21_insta_logo:1429_Jan-12 08:00,1719.750,1160.000,1
8,guttannen21_insta_logo:1429_Jan-12 08:00,1679.667,523.667,1
