 ,Label,X,Y,Slice
50,guttannen21_insta_logo:2408_Feb-22 08:00,2449.167,1112.500,1
51,guttannen21_insta_logo:2408_Feb-22 08:00,1773.833,1206.167,158
52,guttannen21_insta_logo:2408_Feb-22 08:00,1773.833,1203.500,158
53,guttannen21_insta_logo:2488_Feb-25 16:00,1127.833,1088.500,1
54,guttannen21_insta_logo:2488_Feb-25 16:00,2449.167,1112.500,1
55,guttannen21_insta_logo:2488_Feb-25 16:00,1773.833,1206.167,158
56,guttannen21_insta_logo:2488_Feb-25 16:00,1773.833,1203.500,158
57,guttannen21_insta_logo:3553_Apr-11 16:00,1087.833,1184.500,1
58,guttannen21_insta_logo:3553_Apr-11 16:00,2417.167,1179.167,1
59,guttannen21_insta_logo:3553_Apr-11 16:00,1773.833,1206.167,158
60,guttannen21_insta_logo:3553_Apr-11 16:00,1773.833,1203.500,158
61,guttannen21_insta_logo:3621_Apr-14 12:00,1111.833,1181.833,1
62,guttannen21_insta_logo:3621_Apr-14 12:00,2426.500,1181.833,1
63,guttannen21_insta_logo:3621_Apr-14 12:00,1773.833,1206.167,158
64,guttannen21_insta_logo:3621_Apr-14 12:00,1773.833,1203.500,158
65,guttannen21_insta_logo:3689_Apr-17 08:00,1162.500,1183.167,1
66,guttannen21_insta_logo:3689_Apr-17 08:00,2438.500,1207.167,1
67,guttannen21_insta_logo:3689_Apr-17 08:00,1773.833,1206.167,158
68,guttannen21_insta_logo:3689_Apr-17 08:00,1773.833,1203.500,158
69,guttannen21_insta_logo:3741_Apr-19 12:00,1187.833,1187.167,1
70,guttannen21_insta_logo:3741_Apr-19 12:00,2438.500,1207.167,1
71,guttannen21_insta_logo:3741_Apr-19 12:00,1773.833,1206.167,158
72,guttannen21_insta_logo:3741_Apr-19 12:00,1773.833,1203.500,158
73,guttannen21_insta_logo:3793_Apr-21 16:00,1235.833,1199.167,1
74,guttannen21_insta_logo:3793_Apr-21 16:00,2451.833,1211.167,1
75,guttannen21_insta_logo:3793_Apr-21 16:00,1773.833,1206.167,158
76,guttannen21_insta_logo:3793_Apr-21 16:00,1773.833,1203.500,158
77,guttannen21_insta_logo:3833_Apr-23 08:00,1258.500,1207.167,1
78,guttannen21_insta_logo:3833_Apr-23 08:00,2410.500,1212.500,1
79,guttannen21_insta_logo:3833_Apr-23 08:00,1773.833,1206.167,158
80,guttannen21_insta_logo:3833_Apr-23 08:00,1773.833,1203.500,158
81,guttannen21_insta_logo:3864_Apr-24 16:00,1325.167,1217.833,1
82,guttannen21_insta_logo:3864_Apr-24 16:00,2410.500,1212.500,1
83,guttannen21_insta_logo:3864_Apr-24 16:00,1773.833,1206.167,158
84,guttannen21_insta_logo:3864_Apr-24 16:00,1773.833,1203.500,158
85,guttannen21_insta_logo:3883_Apr-25 12:00,1339.833,1224.500,1
86,guttannen21_insta_logo:3883_Apr-25 12:00,2371.833,1217.833,1
87,guttannen21_insta_logo:3883_Apr-25 12:00,1773.833,1206.167,158
88,guttannen21_insta_logo:3883_Apr-25 12:00,1773.833,1203.500,158
89,guttannen21_insta_logo:3927_Apr-27 08:00,1369.167,1225.833,1
90,guttannen21_insta_logo:3927_Apr-27 08:00,2343.833,1219.167,1
91,guttannen21_insta_logo:3927_Apr-27 08:00,1773.833,1206.167,158
92,guttannen21_insta_logo:3927_Apr-27 08:00,1773.833,1203.500,158
93,guttannen21_insta_logo:3937_May-01 12:00,1502.500,1217.833,1
94,guttannen21_insta_logo:3937_May-01 12:00,2298.500,1221.833,1
95,guttannen21_insta_logo:3937_May-01 12:00,1773.833,1206.167,158
96,guttannen21_insta_logo:3937_May-01 12:00,1773.833,1203.500,158
