Name	Terrain 3D Area  (m2)	Fill Volume  (m3)	Fill Volume  Error (m3)	Cut Volume  (m3)	Cut Volume  Error (m3)	Total Volume  (m3)	Total Volume  Error (m3)
03-01-22	81.0765	-0.87187	0.0563082	31.9385	0.460887	31.0666	0.517195
Name	Terrain 3D Area  (m2)	Fill Volume  (m3)	Fill Volume  Error (m3)	Cut Volume  (m3)	Cut Volume  Error (m3)	Total Volume  (m3)	Total Volume  Error (m3)
23-12-21	72.4701	-0.00289431	0.000545389	34.5684	0.431824	34.5655	0.432369
Name	Terrain 3D Area  (m2)	Fill Volume  (m3)	Fill Volume  Error (m3)	Cut Volume  (m3)	Cut Volume  Error (m3)	Total Volume  (m3)	Total Volume  Error (m3)
20-02-22	105.208	-0.859823	0.0960498	59.9603	0.57309	59.1005	0.66914
Name	Terrain 3D Area  (m2)	Fill Volume  (m3)	Fill Volume  Error (m3)	Cut Volume  (m3)	Cut Volume  Error (m3)	Total Volume  (m3)	Total Volume  Error (m3)
12-04-22	24.0965	-0.00824965	0.00427538	6.92499	0.142551	6.91674	0.146826
Name	Terrain 3D Area  (m2)	Fill Volume  (m3)	Fill Volume  Error (m3)	Cut Volume  (m3)	Cut Volume  Error (m3)	Total Volume  (m3)	Total Volume  Error (m3)
26-03-22	53.0093	-0.181726	0.0442363	18.7361	0.290741	18.5544	0.334977
Name	Terrain 3D Area  (m2)	Fill Volume  (m3)	Fill Volume  Error (m3)	Cut Volume  (m3)	Cut Volume  Error (m3)	Total Volume  (m3)	Total Volume  Error (m3)
19-03-22	56.8591	-0.0202938	0.00633366	28.3591	0.329711	28.3388	0.336045
