,When,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in,SW_diffuse,SW_direct
0,2020-12-14 00:00:00,-6.684,27.337,67.459,0.437,104.1,-2.183,181.19,-0.54575,-1.6372499999999999
1,2020-12-14 00:15:00,-7.019,28.37,67.455,0.638,104.1,-2.208,180.174,-0.552,-1.6560000000000001
2,2020-12-14 00:30:00,-7.353,29.402,67.451,0.839,104.1,-2.232,179.159,-0.558,-1.6740000000000002
3,2020-12-14 00:45:00,-7.279,29.993,67.444,0.728,104.1,-2.003,178.676,-0.50075,-1.50225
4,2020-12-14 01:00:00,-7.204,30.584,67.437,0.617,104.1,-1.774,178.193,-0.4435,-1.3305
5,2020-12-14 01:15:00,-7.265,31.026,67.433,0.63,104.0,-1.962,177.958,-0.4905,-1.4715
6,2020-12-14 01:30:00,-7.326,31.467,67.428,0.644,103.9,-2.15,177.723,-0.5375,-1.6124999999999998
7,2020-12-14 01:45:00,-7.56,31.849,67.43,0.736,103.9,-2.244,177.331,-0.561,-1.6830000000000003
8,2020-12-14 02:00:00,-7.794,32.231,67.432,0.827,103.9,-2.337,176.939,-0.58425,-1.7527500000000003
9,2020-12-14 02:15:00,-7.891,32.8,67.436,0.875,103.95,-2.292,176.601,-0.573,-1.7189999999999999
10,2020-12-14 02:30:00,-7.988,33.369,67.441,0.923,104.0,-2.247,176.263,-0.56175,-1.68525
11,2020-12-14 02:45:00,-8.352,34.239,67.445,0.797,103.9,-2.469,175.773,-0.61725,-1.85175
12,2020-12-14 03:00:00,-8.715,35.109,67.45,0.671,103.8,-2.691,175.283,-0.67275,-2.01825
13,2020-12-14 03:15:00,-8.731,35.169,67.448,0.759,103.9,-2.675,174.983,-0.66875,-2.0062499999999996
14,2020-12-14 03:30:00,-8.746,35.228,67.447,0.846,104.0,-2.658,174.684,-0.6645,-1.9935
15,2020-12-14 03:45:00,-9.019,35.897,67.443,0.681,104.05,-2.458,174.3,-0.6145,-1.8435000000000001
16,2020-12-14 04:00:00,-9.291,36.566,67.439,0.516,104.1,-2.259,173.916,-0.56475,-1.6942499999999998
17,2020-12-14 04:15:00,-9.491,37.238,67.432,0.593,104.15,-2.157,173.342,-0.53925,-1.61775
18,2020-12-14 04:30:00,-9.691,37.91,67.424,0.671,104.2,-2.056,172.769,-0.514,-1.542
19,2020-12-14 04:45:00,-9.669,38.013,67.424,0.773,104.15,-1.864,172.362,-0.466,-1.3980000000000001
20,2020-12-14 05:00:00,-9.646,38.117,67.424,0.876,104.1,-1.673,171.954,-0.41825,-1.25475
21,2020-12-14 05:15:00,-10.032,38.894,67.429,0.983,104.05,-2.476,171.627,-0.619,-1.857
22,2020-12-14 05:30:00,-10.418,39.671,67.433,1.09,104.0,-3.279,171.299,-0.81975,-2.45925
23,2020-12-14 05:45:00,-10.603,40.497,67.445,0.874,104.05,-2.992,170.791,-0.748,-2.2439999999999998
24,2020-12-14 06:00:00,-10.788,41.323,67.458,0.658,104.1,-2.706,170.284,-0.6765,-2.0295
25,2020-12-14 06:15:00,-10.913,41.776,67.468,0.646,104.1,-2.515,169.895,-0.62875,-1.88625
26,2020-12-14 06:30:00,-11.037,42.228,67.479,0.635,104.1,-2.324,169.507,-0.581,-1.7429999999999999
27,2020-12-14 06:45:00,-11.161,42.681,67.49,0.623,104.1,-2.133,169.119,-0.53325,-1.59975
28,2020-12-14 07:00:00,-11.285,43.134,67.501,0.612,104.1,-1.943,168.731,-0.48575,-1.4572500000000002
29,2020-12-14 07:15:00,-11.261,43.236,67.511,0.716,104.1,3.136,168.517,0.784,2.3520000000000003
30,2020-12-14 07:30:00,-11.236,43.338,67.521,0.82,104.1,8.215,168.304,2.05375,6.16125
31,2020-12-14 07:45:00,-11.125,43.312,67.532,0.706,104.0,47.945,168.656,11.98625,35.95875
32,2020-12-14 08:00:00,-11.013,43.286,67.542,0.593,103.9,87.676,169.009,21.919,65.757
33,2020-12-14 08:15:00,-10.218,42.455,67.552,0.578,103.8,129.894,170.219,32.4735,97.4205
34,2020-12-14 08:30:00,-9.423,41.624,67.561,0.563,103.7,172.112,171.429,43.028,129.084
