,When,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
30,2020-12-04 06:30:00,-4.215944,40.58053,67.92096,NAN,105.1,-1.319697,235.9044
31,2020-12-04 07:00:00,-5.053853,43.25078,67.91434,NAN,105.2,-1.876908,224.8139
32,2020-12-04 07:30:00,-5.001671,42.33865,67.93146,NAN,105.2,6.607239,226.2461
33,2020-12-04 08:00:00,-5.715121,45.26637,67.95564,NAN,105.3,63.4992,209.8625
34,2020-12-04 08:30:00,-3.25561,38.92349,67.96469,NAN,105.1,176.977,216.1171
35,2020-12-04 09:00:00,-3.351301,39.18396,67.98086,NAN,105.2,256.3325,210.4591
36,2020-12-04 09:30:00,-2.637962,37.35734,67.99368,NAN,105.2,352.6201,208.0777
37,2020-12-04 10:00:00,-1.566018,34.72998,67.99821,NAN,105.2,475.3374,212.8997
38,2020-12-04 10:30:00,0.006931051,32.04789,67.98585,NAN,105,532.173,213.6742
39,2020-12-04 11:00:00,0.447918,31.09189,67.96127,NAN,105.4,584.0571,216.0941
40,2020-12-04 11:30:00,1.841871,29.04268,67.92002,NAN,105.4,625.4345,221.3717
41,2020-12-04 12:00:00,2.341421,27.37115,67.86806,NAN,105.2,653.9185,226.8945
42,2020-12-04 12:30:00,3.212322,25.81275,67.8094,NAN,136.1,620.1052,233.2796
43,2020-12-04 13:00:00,3.319851,25.42667,67.75765,NAN,113,430.9429,268.7849
44,2020-12-04 13:30:00,3.48115,24.77075,67.71619,NAN,105.1,360.763,275.8914
45,2020-12-04 14:00:00,3.74906,24.39779,67.68039,NAN,105.1,369.4943,278.1495
46,2020-12-04 14:30:00,4.023943,24.0022,67.63318,NAN,105,379.1186,261.5975
47,2020-12-04 15:00:00,4.127063,23.95886,67.60459,NAN,104.8,293.4332,246.896
48,2020-12-04 15:30:00,4.083411,24.58506,67.58033,NAN,104.9,178.9501,243.5824
49,2020-12-04 16:00:00,3.678982,26.50132,67.56421,4.050999,104.9,88.76703,243.6486
50,2020-12-04 16:30:00,3.354249,27.54794,67.33432,4.508764,83.1,54.47389,257.823
51,2020-12-04 17:00:00,3.174081,28.64286,67.55894,3.187537,104.8,18.1302,255.1699
52,2020-12-04 17:30:00,3.006099,29.4914,67.54712,1.915434,104.8,0.0401761,254.7195
53,2020-12-04 18:00:00,2.941765,30.65729,67.52996,3.018802,104.8,-3.732007,241.2998
54,2020-12-04 18:30:00,2.767336,31.37798,67.5298,2.38804,104.8,-4.621757,230.9191
55,2020-12-04 19:00:00,2.054825,33.07679,67.54889,1.689238,104.7,-2.413729,263.9879
56,2020-12-04 19:30:00,2.026377,34.95891,67.56417,2.95308,104.8,-1.986912,275.1193
57,2020-12-04 20:00:00,1.813547,36.85044,67.57181,2.905751,104.8,-2.600735,268.7901
58,2020-12-04 20:30:00,1.551966,38.29018,67.56873,2.303228,104.8,-3.738165,244.4139
59,2020-12-04 21:00:00,1.234734,41.89085,67.5866,3.156649,104.7,-2.595192,259.8081
60,2020-12-04 21:30:00,0.7144337,47.35023,67.60049,3.647721,104.8,-2.320581,269.6624
61,2020-12-04 22:00:00,0.4851889,50.10738,67.60076,4.267031,104.7,-2.877492,255.6186
62,2020-12-04 22:30:00,-0.0200336,52.39234,67.6032,2.090263,104.8,-3.588468,244.9633
63,2020-12-04 23:00:00,-0.5499052,55.07651,67.59391,1.281731,104.8,-3.863819,231.7662
64,2020-12-04 23:30:00,-0.8752841,58.11564,67.59437,1.898308,104.8,-2.465696,240.4944
65,2020-12-05 00:00:00,-1.375759,60.46527,67.59467,0.7526869,104.8,-2.336344,255.8199
66,2020-12-05 00:30:00,-1.807407,61.61277,67.58627,1.440499,104.8,-1.329194,261.4368
67,2020-12-05 01:00:00,-1.951051,63.92792,67.58254,0.8394567,104.7,-2.838778,243.1497
68,2020-12-05 01:30:00,-1.793119,66.29985,67.57872,1.581336,104.9,-1.27382,249.3479
69,2020-12-05 02:00:00,-1.99972,67.71615,67.58012,0.4544277,104.8,-2.718628,240.5916
70,2020-12-05 02:30:00,-2.254318,68.95556,67.58829,0.5085171,104.8,-1.050513,246.363
71,2020-12-05 03:00:00,-2.618411,70.30955,67.60392,0.7926208,104.8,-1.379584,244.733
72,2020-12-05 03:30:00,-2.798752,71.55646,67.61559,0.9047045,104.8,-2.714655,226.929
73,2020-12-05 04:00:00,-3.020887,73.30303,67.60937,1.606768,104.7,-2.63239,219.6864
74,2020-12-05 04:30:00,-3.367555,75.27891,67.60101,0.9666633,104.6,-3.297245,213.1302
75,2020-12-05 05:00:00,-3.269032,76.17319,67.60279,0.9180971,104.6,-1.597297,228.0967
76,2020-12-05 06:00:00,-3.807514,77.89241,67.6235,0.7300793,104.5,-1.845502,215.6049
77,2020-12-05 06:30:00,-4.006582,78.69147,67.64498,0.882472,104.6,-2.005657,215.6669
78,2020-12-05 07:00:00,-4.616533,80.52846,67.66655,0.3599204,104.6,-1.984095,221.3839
79,2020-12-05 07:30:00,-4.8511,81.62927,67.69414,0.3512808,104.8,6.432175,238.7815
80,2020-12-05 08:00:00,-4.459836,79.24506,67.72662,0.2935827,104.8,32.05076,242.6577
81,2020-12-05 09:00:00,-2.37426,74.23945,67.78313,0.4014275,104.6,179.5804,234.3533
82,2020-12-05 09:30:00,-1.802374,71.14625,67.80152,0.9313165,104.6,395.8654,225.1662
83,2020-12-05 10:00:00,-0.9763364,66.15234,67.81737,0.9539303,104.7,507.4189,240.8353
84,2020-12-05 10:30:00,-0.5081333,65.66497,67.82297,1.145224,104.7,468.1115,251.2908
85,2020-12-05 11:00:00,0.303264,62.29774,67.81828,1.452796,104.9,536.8666,262.4033
86,2020-12-05 11:30:00,1.200436,57.7023,67.78939,1.770931,104.9,600.9213,261.5182
87,2020-12-05 12:00:00,1.456458,50.93267,67.76468,2.014323,104.8,403.7532,244.0568
88,2020-12-05 12:30:00,1.339056,46.53509,67.73758,2.453411,105.1,327.7355,244.0315
89,2020-12-05 13:00:00,1.960336,44.34486,67.71526,3.103121,105,445.7249,246.6645
90,2020-12-05 13:30:00,2.191396,41.6607,67.68603,4.215495,104.9,357.0652,244.1063
91,2020-12-05 14:00:00,2.500905,40.68219,67.63647,5.907408,105,465.9556,237.3549
92,2020-12-05 14:30:00,2.790793,38.71545,67.60448,6.450216,104.8,463.2944,233.7
93,2020-12-05 15:00:00,2.715675,37.59386,67.58799,5.803663,105,392.6655,230.4109
94,2020-12-05 15:30:00,2.67946,36.46974,67.58596,4.640719,104.8,261.9571,226.1769
95,2020-12-05 16:00:00,2.321986,36.84848,67.59399,4.16729,104.7,138.0557,226.1657
96,2020-12-05 16:30:00,2.276587,36.9003,67.59132,3.998425,104.7,115.2938,223.2857
97,2020-12-05 17:00:00,1.752042,37.89858,67.59614,3.826038,104.7,10.93226,219.6601
98,2020-12-05 17:30:00,1.502939,40.00624,67.57774,2.637848,104.6,-1.910731,221.0333
99,2020-12-05 18:00:00,1.069496,40.61248,67.5978,2.970217,104.5,-4.914523,218.4247
100,2020-12-05 18:30:00,0.832312,41.43694,67.61581,1.477259,104.6,-4.855978,216.6506
101,2020-12-05 19:00:00,-0.5139249,43.58598,67.63221,0.8655939,104.3,-4.668139,215.3495
