,When,DroneV,dia,h_s
0,2021-02-15 16:00:00,139.7,15.11,
1,2021-02-18 16:00:00,139.94,19.18,
2,2021-02-18 16:00:00,151.97,18.44,
3,2021-02-28 16:00:00,139.0,18.98,
4,2021-03-01 16:00:00,144.34,19.06,
5,2021-03-03 16:00:00,204.64,21.18,
6,2021-03-08 16:00:00,161.99,18.24,
7,2021-03-29 16:00:00,221.69,16.06,
8,2021-04-02 16:00:00,286.93,22.9,
9,2021-04-08 16:00:00,283.32,21.62,
