,time,ghi,sea,temp,RH,wind,SW_global,ppt,press,tcc,Discharge,alb,vp_a,LW_in,SW_direct,SW_diffuse,e_a,T_F,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,rain2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,rho_air,s_cone,vp_ice,Qr
2578,2021-05-05 10:00:00,864.313,0.953,4.659,65.952,0.808,641.0,0,624.208,0.5,0.0,0.25,5.619,239.873,641.0,0.0,0.71,0.0,0.0,-2.4796097415370157,0.3983103662826712,512394.79413334746,558.7729488913277,1.9081728760048784,83829.44578257637,498.48833355544764,-0.0,82008.23999999999,135.14680808726177,191.48770859039416,-66.29486980679894,14.785228139819964,-4.411253648985838,0,-0.4200051871675753,46613.00179393898,342.21037470274706,5.676240749192832,9.695561689627114,0.0,0,0,0.0,-0.0007931284673077542,0.0,0.0,2.842170943040401e-14,135.14680808726175,,724845.4817098628,0.0,917,0.585447334656806,6.112911778902558,0.0
2579,2021-05-05 11:00:00,977.885,1.139,6.215,64.368,0.972,832.0,0,623.849,0.5,0.0,0.25,6.111,248.05,832.0,0.0,0.718,0.0,0.0,-2.479128185105587,0.4255394773227696,511894.397626916,558.2272602256445,0.008879285400533418,83831.35395545237,850.3481354466527,-0.0,82008.23999999999,230.69089086817976,265.5366338494082,-58.11786980679892,23.712727456847166,-0.020540225916826072,0,-0.42006040535985284,47111.49012749443,341.98754032857806,5.674392372254271,9.692404485162864,0.0,0,0,0.0,-0.0015946000063767813,0.0,0.0,5.684341886080802e-14,230.6908908681797,,724845.4817098628,0.0,917,0.585447334656806,6.112911778902558,0.0
2580,2021-05-05 12:00:00,1029.2,1.252,6.686,59.41,3.049,369.975,0,623.583,0.5,0.0,0.25,5.826,247.972,369.975,0.0,0.713,0.0,0.0,-2.4786464084809623,0.4349529176246941,511044.0406121839,557.2999352368417,4.175404192208838,83831.36283473778,487.4664182835687,-0.0,82008.23999999999,132.3913925436412,120.69127927364715,-58.195869806798925,79.98576304467463,-9.669568380564655,0,-0.4202115873170117,47961.83826294108,341.60869646215104,5.671248537803349,9.687034515457963,0.0,0,0,0.0,-0.002711575362984827,0.0,0.0,0.0,132.3913925436412,,724845.4817098628,0.0,917,0.585447334656806,6.112911778902558,0.0
2581,2021-05-05 13:00:00,1013.951,1.215,5.713,58.578,3.287,197.9,0,623.675,0.5,0.0,0.25,5.371,241.837,197.9,0.0,0.705,0.0,0.0,-2.4781641912952788,0.43247711492061297,510552.39878970815,556.7637936638039,11.632311381409405,83835.53823892999,169.90712931472225,-0.0,82008.23999999999,46.17483174984766,64.19041578209197,-64.33086980679894,73.6914144301001,-26.955864006914283,0,-0.42026464863118107,48449.30468122465,341.3895684952541,5.669429309357735,9.68392709940545,0.0,0,0,0.0,-0.0015694611366466461,0.0,0.0,0.0,46.17483174984767,,724845.4817098628,0.0,917,0.585447334656806,6.112911778902558,0.0
2582,2021-05-05 14:00:00,933.434,1.059,5.772,58.858,2.339,363.375,0,623.402,0.5,0.0,0.25,5.419,242.341,363.375,0.0,0.706,0.0,0.0,-2.4776817584633997,0.4155835774958851,510370.859349012,556.5658226270579,7.740082015193511,83847.1705503114,309.12152755208285,-0.0,82008.23999999999,84.02836977040604,113.25951185442543,-63.826869806798925,52.956510981439244,-17.940550610491012,0,-0.4202326481686821,48619.21181053937,341.3086374032575,5.668757261433973,9.682779177322663,0.0,0,0,0.0,-0.0005798977327240092,0.0,0.0,1.4210854715202004e-14,84.02836977040603,,724845.4817098628,0.0,917,0.585447334656806,6.112911778902558,0.0
2583,2021-05-05 15:00:00,794.499,0.86,6.107,58.08,1.564,288.475,0,623.002,0.5,0.0,0.25,5.473,243.81,288.475,0.0,0.707,0.0,0.0,-2.4771993051762093,0.3794654950698974,510053.9977394448,556.2202810680968,4.770766106340763,83854.9106323266,168.0508717992321,-0.0,82008.23999999999,45.70011216147087,82.09973151771649,-62.35786980679893,37.44111194534339,-11.062623688538073,0,-0.4202378062520037,48928.33333809145,341.16735609012045,5.667583877172358,9.680774924861076,0.0,0,0,0.0,-0.0010124020346803366,0.0,0.0,-1.4210854715202004e-14,45.700112161470884,,724845.4817098628,0.0,917,0.585447334656806,6.112911778902558,0.0
2584,2021-05-05 16:00:00,609.285,0.647,5.84,64.282,1.764,286.875,0,622.858,0.5,0.0,0.25,5.946,245.809,286.875,0.0,0.716,0.0,0.0,-2.476716746081613,0.32426023133180626,509881.1761015392,556.0318169046229,1.4031972364393277,83859.68139843295,169.50660333343512,-0.0,82008.23999999999,46.106402309051475,69.76661539748393,-60.358869806798936,40.37337943894944,-3.2545193122229463,0,-0.4202034083600146,49096.38420989068,341.0902865619598,5.666943688891849,9.679681422093855,0.0,0,0,0.0,-0.0005524097194812275,0.0,0.0,0.0,46.106402309051475,,724845.4817098628,0.0,917,0.585447334656806,6.112911778902558,0.0
2585,2021-05-05 17:00:00,395.067,0.431,6.04,59.955,2.574,258.925,0,622.772,0.5,0.0,0.25,5.623,244.531,258.925,0.0,0.71,0.0,0.0,-2.4762341719764196,0.2533249698885004,509710.26630096935,555.8454376237397,6.0084508470993505,83861.0845956694,125.40971781267034,-0.0,82008.23999999999,34.11951663973051,49.19412587128498,-61.63686980679893,60.92130363699376,-13.938874576201327,0,-0.42016848554797864,49265.89081322412,341.01406105059203,5.666310440403413,9.678599773154746,0.0,0,0,0.0,-0.0005464221299346784,0.0,0.0,7.105427357601002e-15,34.119516639730506,,724845.4817098628,0.0,917,0.585447334656806,6.112911778902558,0.0
2586,2021-05-05 18:00:00,175.6,0.217,6.044,58.058,1.485,78.222,0,623.031,0.5,0.0,0.25,5.447,243.433,78.222,0.0,0.707,0.0,0.0,-2.4757515840511877,0.17142492248365657,509578.84813230956,555.7021244627149,4.71090754134675,83867.0930465165,0.0,-0.8307594251358489,82008.23999999999,-28.843894549266974,10.056900214887438,-62.73486980679894,35.1848087056431,-10.930610953446836,0,-0.42012270955172987,49391.30053103679,340.9554429527402,5.665823418528724,9.677767893247095,0.0,0,0,0.0,-0.0004202558703394915,0.0,0.0,-28.843894549266977,0.0,,724845.4817098628,0.0,917,0.585447334656806,6.112911778902558,0.0
2587,2021-05-05 19:00:00,2.668,0.008,4.681,65.13,3.079,2.564,0,623.625,0.5,0.0,0.25,5.558,239.57,2.564,0.0,0.709,0.0,-0.8307594251358489,-2.4752690072246573,0.08385942742946806,509574.13722476823,555.6969871589621,2.189728342451542,83871.80395405785,0.0,-0.04312593045480598,82008.23999999999,-1.497328531871949,0.16126167894686708,-62.8901075581752,66.59139116262448,-5.080807872215419,0,-0.27906594305266746,49391.30053103679,340.9533415938786,5.665805958847644,9.677738070443151,0.0,0,0,0.0,-1.5067375690834262e-05,0.0,0.0,-1.4973285318719487,0.0,,724845.4817098628,0.0,917,0.585447334656806,5.70728693350389,0.0
2588,2021-05-05 20:00:00,0.0,0.0,4.918,62.69,1.282,0.0,0,624.13,0.5,0.0,0.25,5.439,239.617,0.0,0.0,0.707,0.0,-0.8738853555906548,-2.4749484552308494,0.08041010211449406,509571.94749642577,555.6945992327435,1.5140828679398581,83873.9936824003,0.0,-1.0736500236219868,82008.23999999999,-37.27703487577832,0.0,-62.65155626980956,29.159338594983655,-3.513123543067059,0,-0.27169365788534766,49391.30053103679,340.95236483613036,5.665797843186117,9.677724208117633,0.0,0,0,0.0,-7.003674483552019e-06,0.0,0.0,-37.27703487577832,0.0,,724845.4817098628,0.0,917,0.585447334656806,5.686915745838123,0.0
2589,2021-05-05 21:00:00,0.0,0.0,4.67,65.562,1.634,0.0,0,624.504,0.5,0.0,0.25,5.59,239.733,0.0,0.0,0.71,0.0,-1.9475353792126415,-2.4746363710419383,0.08041010211449408,509570.4334135578,555.692948106388,0.0,83875.50776526824,0.0,-0.24089004217178991,82008.23999999999,-8.363681186325856,0.0,-57.796012649417605,42.4891631056572,7.032615262067317,0,-0.08944690463276637,49391.30053103679,340.95168945830574,5.665792231616127,9.677714623019781,0.0,0,0,3.0309042828945305,-4.8426892602677935e-06,0.0,0.0,-8.363681186325856,0.0,,724845.4817098628,0.0,917,0.585447334656806,5.200629073800684,0.0
2590,2021-05-05 22:00:00,0.0,0.0,3.833,72.475,1.122,0.0,0,624.625,0.5,0.0,0.25,5.827,238.368,0.0,0.0,0.714,0.0,-2.1884254213844314,-2.4745336266770237,0.08041010211449408,509573.4643178407,555.6962533455187,0.0,83875.50776526824,0.0,-0.6493729931258965,82008.23999999999,-22.54617350119423,0.0,-58.105323991818466,26.552545376898205,9.055156421751064,0,-0.04855130802503302,49391.30053103679,340.9530414348512,5.6658034648947,9.677733810533171,0.0,0,0,3.902591025839767,9.694156776050996e-06,0.0,0.0,-22.54617350119423,0.0,,724848.5126141458,0.0,917,0.585447334656806,5.096867276180863,0.0
2591,2021-05-05 23:00:00,0.0,0.0,3.774,73.828,0.769,0.0,0,624.478,0.5,0.0,0.25,5.912,238.661,0.0,0.0,0.716,0.0,-2.8377984145103277,-2.4744778576882687,0.08041010211449406,509577.36690886656,555.7005091699745,0.0,83875.50776526824,0.0,-0.7405972757309424,82008.23999999999,-25.713472611116696,0.0,-54.98047164443949,19.978262512454037,9.227082772711345,0,0.06165374815741219,49391.30053103679,340.95478223531086,5.665817928793665,9.677758516254949,0.0,0,0,3.9767081428276496,1.2482142519814437e-05,0.0,0.0,-25.713472611116696,0.0,,724852.4152051716,0.0,917,0.585447334656806,4.826482597368435,0.0
2592,2021-05-06 00:00:00,0.0,0.0,3.218,78.447,0.758,0.0,0,624.337,0.5,0.0,0.25,6.04,237.544,0.0,0.0,0.718,0.0,-3.57839569024127,-2.474548676756796,0.08041010211449405,509581.3436170094,555.7048458200757,0.0,83875.50776526824,0.0,-0.5717299708265143,82008.23999999999,-19.850414560724133,0.0,-52.89261485805892,20.237719084180515,12.617164180134601,0,0.187317033019676,49391.30053103679,340.9565560920837,5.665832667311729,9.677783691052394,0.0,0,0,5.43780107002301,1.2719135577971775e-05,0.0,0.0,-19.850414560724133,0.0,,724856.3919133143,0.0,917,0.585447334656806,4.534116889966994,0.0
2593,2021-05-06 01:00:00,0.0,0.0,2.611,81.125,0.434,0.0,0,624.237,0.5,0.0,0.25,5.982,235.219,0.0,0.0,0.717,0.0,-4.150125661067785,-2.4747638393979385,0.08041010211449408,509586.78141807945,555.7107758103375,0.0,83875.50776526824,0.0,-0.9497949568148896,82008.23999999999,-32.97679779355425,0.0,-52.76151342943615,11.52531682008472,7.975099736703198,0,0.28429907909398344,49391.30053103679,340.9589816788276,5.665852820823847,9.677818115177203,0.0,0,0,3.4371681130787466,1.73922165621774e-05,0.0,0.0,-32.97679779355425,0.0,,724861.8297143844,0.0,917,0.585447334656806,4.319563340927291,0.0
2594,2021-05-06 02:00:00,0.0,0.0,2.471,79.44,0.231,0.0,0,624.086,0.5,0.0,0.25,5.8,233.723,0.0,0.0,0.714,0.0,-5.099920617882674,-2.4750903997868243,0.08041010211449408,509590.2185861925,555.7145240852699,0.0,83875.50776526824,0.0,-1.1019801791005381,82008.23999999999,-38.26065539510502,0.0,-50.21175390143907,6.867516970467068,4.63816423773684,0,0.4454172981301432,49391.30053103679,340.9605148583435,5.665865559540506,9.677839874122721,0.0,0,0,1.9989996907958967,1.0993330968790626e-05,0.0,0.0,-38.26065539510502,0.0,,724865.2668824975,0.0,917,0.585447334656806,3.983510647043639,0.0
2595,2021-05-06 03:00:00,0.0,0.0,2.766,71.492,0.783,0.0,0,624.069,0.5,0.0,0.25,5.331,231.875,0.0,0.0,0.706,0.0,-6.201900796983212,-2.4756020276103317,0.08041010211449406,509592.21758588334,555.716704019502,0.0,83875.50776526824,0.0,-0.12779192783610732,82008.23999999999,-4.436924552675963,0.0,-47.419333435272165,27.57273177413699,14.777348301755438,0,0.6323288067037738,49391.30053103679,340.9614065284127,5.665872968139467,9.677852528717802,0.0,0,0,6.368897353306329,6.393509327679944e-06,0.0,0.0,-4.436924552675961,0.0,,724867.2658821882,0.0,917,0.585447334656806,3.6236071387178637,0.0
2596,2021-05-06 04:00:00,0.0,0.0,2.511,62.388,1.766,0.0,0,624.189,0.5,0.0,0.25,4.568,226.011,0.0,0.0,0.69,0.0,-6.32969272481932,-2.476328350071196,0.08041010211449406,509598.58648323664,555.7236493819374,0.0,83875.50776526824,0.0,0.8189557244460315,82008.23999999999,28.43407109414033,0.0,-52.74890834686053,61.31796522534925,19.211125921422255,0,0.653888294229359,49391.30053103679,340.964247419098,5.66589657211913,9.677892846570947,0.0,0,0,8.279882559949632,2.0369937190683824e-05,0.0,0.0,28.43407109414033,0.0,,724873.6347795415,0.0,917,0.585447334656806,3.583851051081102,0.0
2597,2021-05-06 05:00:00,0.0,0.0,1.983,64.58,1.0,1.25,0,624.56,0.5,0.0,0.25,4.554,224.245,1.25,0.0,0.69,0.0,-5.510737000373288,-2.4770794336394255,0.08041010211449406,509606.8663657966,555.7326786977062,0.0,83875.50776526824,0.0,-0.5784820639046302,82008.23999999999,-20.08484664158817,0.07538447073233819,-57.95310580252095,29.448775551040264,7.829311998544283,0,0.5147871406158935,49391.30053103679,340.9679407002487,5.665927258169799,9.67794526127822,0.0,0,0,3.37442408752676,2.6481708381795977e-05,0.0,0.0,-20.08484664158817,0.0,,724881.9146621014,0.0,917,0.585447334656806,3.8456917281598777,0.0
2598,2021-05-06 06:00:00,69.423,0.104,1.972,56.492,2.371,107.41,0,625.043,0.5,0.0,0.25,3.98,219.941,107.41,0.0,0.677,0.0,-6.089219064277918,-2.4776707365757527,0.12476994306329778,509610.2407898841,555.7363585494919,0.0,83875.50776526824,0.0,0.9913709059263174,82008.23999999999,34.420311108807475,10.05115468832161,-59.825204960049206,75.16865884077237,8.412853366004148,0,0.6128491737585572,49391.30053103679,340.96944587248805,5.665939764018575,9.677966622463138,0.0,0,0,3.625945723836569,1.0792368860684456e-05,0.0,0.0,34.420311108807475,0.0,,724885.289086189,0.0,917,0.585447334656806,3.6589959742804496,0.0
2599,2021-05-06 07:00:00,276.428,0.316,2.528,55.622,1.71,345.65,0,625.454,0.5,0.0,0.25,4.078,222.426,345.65,0.0,0.679,0.0,-5.097848158351601,-2.478374675519706,0.21052217691888558,509613.86673560797,555.7403126887764,0.0,83875.50776526824,0.0,1.3419788025659,82008.23999999999,46.59338660194283,54.57524283900959,-61.51753509803848,51.318536997289,1.7726404458471636,0,0.4445014178355554,49391.30053103679,340.97106323302387,5.66595320196238,9.677989575755449,0.0,0,0,0.7640129042069269,1.1596755463985745e-05,0.0,0.0,46.59338660194283,0.0,,724888.9150319129,0.0,917,0.585447334656806,3.9842171865123817,0.0
2600,2021-05-06 08:00:00,497.065,0.532,4.26,56.565,1.444,584.275,0,625.415,0.5,0.0,0.25,4.687,232.442,584.275,0.0,0.692,0.0,-3.755869355785701,-2.47888524342115,0.28817466249439755,509614.63074851217,555.7411458544299,0.0,83875.50776526824,0.0,3.4082687674281518,82008.23999999999,118.3347933815883,126.2799381966856,-57.23052887884472,45.5491991275051,3.519492166278875,0,0.21669276996343972,49391.30053103679,340.9714040220593,5.665956033425886,9.677994412165726,0.0,0,0,1.5169123129812814,2.4435083892143538e-06,0.0,0.0,118.3347933815883,0.0,,724889.6790448171,0.0,917,0.585447334656806,4.466498512666234,0.0
2601,2021-05-06 09:00:00,700.398,0.748,4.987,46.622,2.602,826.65,0,625.448,0.5,0.0,0.25,4.064,230.07,826.65,0.0,0.678,0.0,-0.34760058835754926,-2.4791341432290928,0.3524342642466119,509616.14766082517,555.7428000663306,23.256612212181647,83875.50776526824,485.8487205274488,0.34760058835754926,82008.23999999999,144.2670653007115,218.50483840459628,-74.54237053021245,54.62545122841662,-53.959152002105284,0,-0.3617017999837037,49391.30053103679,340.9720806424352,5.665961655157435,9.678004014620493,0.0,0,0,0.0,4.851468132479814e-06,0.0,0.0,12.068662012722655,132.19840328798887,,724891.19595713,0.0,917,0.585447334656806,5.940102392262957,0.0
2602,2021-05-06 10:00:00,866.139,0.956,5.922,33.838,2.719,947.25,0,625.565,0.5,0.0,0.25,3.148,224.714,947.25,0.0,0.653,0.0,0.0,-2.4787186821168508,0.3988617449217944,509107.0423280856,555.187614316342,38.38081750789992,83898.76437748042,645.5191695311962,-0.0,82008.23999999999,175.76146914928498,283.3663409078773,-81.45386980679893,63.37889767834777,-89.10914352301984,0,-0.42075610712131223,49877.14925156424,340.744955944769,5.664074265730166,9.674780173097027,0.0,0,0,0.0,-0.0016282440161744453,0.0,0.0,0.0,175.76146914928495,,724891.19595713,0.0,917,0.585447334656806,6.112911778902558,0.0
