,time,sea,temp,RH,wind,SW_direct,SW_diffuse,ppt,vp_a,press,missing_type,LW_in,SW_global,alb,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,dr,snow2ice,dep,t_cone,fountain_runoff,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
1344,2020-02-28 17:00:00,0.341,0.2,65.3,0.917,27.977,32.023,0.0,4.05,794.998,pressSW_directSW_diffuseLW_in,236.111,60.0,0.25,7.5,0.0,-0.6511515311201056,0.19114476936151895,57084.733795919834,62.25161809805871,3.3986162721117985,4886.607278902142,0.0,-1.650375214335492,492217.81658111425,-53.92304030907045,28.027992909320414,-70.05686980679894,0.7735469391651426,-17.631040933506778,5.146818260964688,-0.1834876782149706,91464.7602881791,152.49712739087232,1.2443325694141127,6.911825719641037,0.0,0.0,0.0,-5.3703187805869086e-05,390.34750794203217,59.652492057967834,-17.631040933506778,,-36.29199937556368,645653.9179441162,1.0,0.18002950593475564,6.112911778902558
1345,2020-02-28 18:00:00,0.186,0.133,69.817,0.5,0.018,0.237,0.0,4.3,795.069,pressSW_directSW_diffuseLW_in,246.155,0.255,0.25,7.5,-1.650375214335492,-0.6503100339528224,0.11871460265241045,57140.98767170569,62.31296365507709,0.9270085322580608,4890.005895174254,0.0,1.200513414366984,492608.1640890563,-48.12026420817572,0.17935264713580754,-52.680183535155294,3.761307637823412,-4.805896102153564,5.143439763750056,0.2817153804238672,91464.7602881791,152.59729598305853,1.2447411757348394,6.914095382708794,0.0,0.0,0.0,0.00040227352519990047,349.7593513794945,100.24064862050552,12.82514483135321,,-60.94540903952893,646103.9179441162,1.0,0.18002950593475564,5.331279561811912
1346,2020-02-28 19:00:00,0.015,0.15,71.383,1.0,0.0,0.0,0.0,4.417,795.129,pressSW_directSW_diffuseLW_in,213.274,0.0,0.25,7.5,-0.44986179996850795,-0.6516015913874581,0.03557713982689013,57240.30131179394,62.42126642507518,2.6514129735871648,4890.932903706512,0.0,-0.8353360289138896,492957.9234404358,-97.00050465151419,0.0,-90.88188599148828,2.530521923908541,-13.729832665842096,5.13748869383743,-0.05679661192977688,91464.7602881791,152.77405883958068,1.2454618973061837,6.918098735201498,0.0,0.0,0.0,0.000709729286488236,304.9672656779158,145.0327343220842,-8.923936563688528,,-88.07656808782566,646553.9179441162,1.0,0.18002950593475564,5.890117137201074
1347,2020-02-28 20:00:00,0.0,0.967,60.983,1.633,0.0,0.0,0.0,3.983,795.185,pressSW_directSW_diffuseLW_in,219.221,0.0,0.25,7.5,-1.2851978288823975,-0.651341351294332,0.028199252025970515,57382.68263314244,62.57653504159481,4.454139564957789,4893.584316680099,0.0,-0.870248117854722,493262.8907061137,-83.42856784328143,0.0,-81.22520926364388,15.516086924245755,-23.026736821289987,5.128986880761351,0.17830443664533002,91464.7602881791,153.02729725124436,1.2464937092575767,6.923830084326942,0.0,0.0,0.0,0.0010163284113742534,327.72752908504617,122.2724709149538,-9.296904155447889,,-74.13166368783354,647003.9179441162,1.0,0.18002950593475564,5.495927963936345
1348,2020-02-28 21:00:00,0.0,1.65,60.1,2.05,0.0,0.0,0.0,4.117,795.107,pressSW_directSW_diffuseLW_in,251.42,0.0,0.25,7.5,-2.1554459467371196,-0.6521576597218949,0.028199252025970515,57500.500964492436,62.70501740947921,3.678546655810932,4898.038456245056,0.0,0.37775717194171654,493590.6182351988,-25.73589642492261,0.0,-45.1976886635687,32.90836458368999,-18.991138065578028,5.1219783014961,0.42258741903802594,91464.7602881791,153.23668977097046,1.2473462278548932,6.928565522514643,0.0,0.0,0.0,0.0008396042418069777,400.8278223483646,49.172177651635415,4.0355987557119555,,-29.771495180634567,647453.9179441162,1.0,0.18002950593475564,5.110960595550107
1349,2020-02-28 22:00:00,0.0,6.083,52.633,4.967,0.0,0.0,0.0,4.933,794.54,pressSW_directSW_diffuseLW_in,255.656,0.0,0.25,7.5,-1.777688774795403,-0.6540910154391915,0.02819925202597051,57545.99459548826,62.754628784610965,3.0678177875367534,4901.717002900868,152.99176962370117,1.777688774795403,493991.4460575471,111.57180198724892,0.0,-42.61904989142312,164.58559899312988,-15.829795420553754,5.119278454117018,0.31576985197888047,91464.7602881791,153.3175050028367,1.247675102380597,6.930392303763617,0.0,0.0,0.0,0.0003237565050896331,450.0,0.0,18.991138065578014,92.5806639216709,,647903.9179441162,0.0,0.18002950593475564,5.274942576541284
1350,2020-02-28 23:00:00,0.0,3.8,59.6,2.067,0.0,0.0,0.0,4.717,794.243,pressSW_directSW_diffuseLW_in,256.692,0.0,0.25,7.5,0.0,-0.6555352953698219,0.028199252025970508,57389.93500807702,62.58444384741223,5.202288403337501,4904.784820688405,0.0,-2.5172778241694043,494441.4460575471,-38.32614178373519,0.0,-49.475869806798926,33.0977730524115,-26.892204859492956,5.128554771084845,-0.1843949409396466,91617.75205780279,153.04019066446963,1.2465462202155861,6.9241217640587545,0.0,0.0,0.0,-0.0011100163493763145,431.13932097918087,18.86067902081911,-26.892204859492956,,-11.433936924242232,648353.9179441162,1.0,0.18002950593475564,6.112911778902558
1351,2020-02-29 00:00:00,0.0,6.317,50.7,6.933,0.0,0.0,0.0,4.833,793.42,pressSW_directSW_diffuseLW_in,239.221,0.0,0.25,7.5,-2.5172778241694043,-0.6546911391260994,0.028199252025970515,57403.5933986945,62.59933849366903,1.566044653946498,4909.987109091742,284.86993341132467,2.5172778241694043,494872.5853785263,199.56192465663125,0.0,-55.81568309889303,257.8200578321635,-8.094075100295646,5.127741226399683,0.5238837972567156,91617.75205780279,153.06447134249802,1.2466451020415885,6.9246710175018995,0.0,0.0,0.0,9.732506338452402e-05,450.0,0.0,26.892204859492978,172.66971979713827,,648803.9179441162,0.0,0.18002950593475564,4.958261632377169
1352,2020-02-29 01:00:00,0.0,6.683,44.933,9.6,0.0,0.0,0.0,4.4,793.347,pressSW_directSW_diffuseLW_in,252.329,0.0,0.25,7.5,0.0,-0.6570892781339196,0.02819925202597051,57117.15742062923,62.286976467425546,29.554442645410276,4911.553153745689,111.6456231139879,-0.0,495322.5853785263,67.89840954609139,0.0,-53.838869806798925,270.0394299754134,-153.2618950774792,5.14487028474784,-0.1851258297916956,91902.62199121411,152.55486660699518,1.2445681147942913,6.91313409061587,0.0,0.0,0.0,-0.0020407219487567486,450.0,0.0,0.0,67.89840954609139,,649253.9179441162,0.0,0.18002950593475564,6.112911778902558
1353,2020-02-29 02:00:00,0.0,6.267,49.417,6.25,0.0,0.0,0.0,4.683,792.775,pressSW_directSW_diffuseLW_in,248.497,0.0,0.25,7.5,0.0,-0.6562404288836077,0.02819925202597052,56975.95735486983,62.132996024939835,16.035746036583255,4941.107596391099,47.1913637764103,-0.0,495772.5853785263,28.747300177004483,0.0,-57.67086980679892,164.74451455259623,-83.29467221014086,5.153366924745105,-0.1850392833970703,92014.2676143281,152.30334099270866,1.2435416975290534,6.907432707057056,0.0,0.0,0.0,-0.0010093446765116205,450.0,0.0,0.0,28.747300177004476,,649703.9179441162,0.0,0.18002950593475564,6.112911778902558
