Latitude,Longitude,Value,dataDate,shortName,validityTime
46.640,7.240,-1.0577220917e+00,20190101,10u,0
46.640,7.240,-3.4146791697e-01,20190101,10v,0
46.640,7.240,2.6988916016e+02,20190101,2d,0
46.640,7.240,2.7144677734e+02,20190101,2t,0
46.640,7.240,9.0507625000e+04,20190101,sp,0
46.640,7.240,0.0000000000e+00,20181231,ssrd,0
46.640,7.240,9.2335100000e+05,20181231,strd,0
46.640,7.240,7.1726477146e-01,20190101,tcc,0
46.640,7.240,4.1965665787e-07,20181231,tp,0
46.640,7.240,0.0000000000e+00,20181231,fdir,0
46.640,7.240,-1.3449277878e+00,20190101,10u,100
46.640,7.240,1.2456524372e-01,20190101,10v,100
46.640,7.240,2.7021801758e+02,20190101,2d,100
46.640,7.240,2.7180493164e+02,20190101,2t,100
46.640,7.240,9.0510125000e+04,20190101,sp,100
46.640,7.240,0.0000000000e+00,20181231,ssrd,100
46.640,7.240,9.5689643750e+05,20181231,strd,100
46.640,7.240,4.8004442453e-01,20190101,tcc,100
46.640,7.240,1.5070227164e-06,20181231,tp,100
46.640,7.240,0.0000000000e+00,20181231,fdir,100
46.640,7.240,-1.3643293381e+00,20190101,10u,200
46.640,7.240,2.2616827488e-01,20190101,10v,200
46.640,7.240,2.7049438477e+02,20190101,2d,200
46.640,7.240,2.7205737305e+02,20190101,2t,200
46.640,7.240,9.0538562500e+04,20190101,sp,200
46.640,7.240,0.0000000000e+00,20181231,ssrd,200
46.640,7.240,1.0031425625e+06,20181231,strd,200
46.640,7.240,5.0961297750e-01,20190101,tcc,200
46.640,7.240,2.3463362595e-06,20181231,tp,200
46.640,7.240,0.0000000000e+00,20181231,fdir,200
46.640,7.240,-1.1277351379e+00,20190101,10u,300
46.640,7.240,3.9983576536e-01,20190101,10v,300
46.640,7.240,2.7072705078e+02,20190101,2d,300
46.640,7.240,2.7243164062e+02,20190101,2t,300
46.640,7.240,9.0475625000e+04,20190101,sp,300
46.640,7.240,0.0000000000e+00,20181231,ssrd,300
46.640,7.240,1.0246761250e+06,20181231,strd,300
46.640,7.240,7.0612829924e-01,20190101,tcc,300
46.640,7.240,3.7577347030e-06,20181231,tp,300
46.640,7.240,0.0000000000e+00,20181231,fdir,300
46.640,7.240,-9.3597710133e-01,20190101,10u,400
46.640,7.240,6.0210764408e-01,20190101,10v,400
46.640,7.240,2.6978466797e+02,20190101,2d,400
46.640,7.240,2.7155468750e+02,20190101,2t,400
46.640,7.240,9.0404875000e+04,20190101,sp,400
46.640,7.240,0.0000000000e+00,20181231,ssrd,400
46.640,7.240,9.7871875000e+05,20181231,strd,400
46.640,7.240,6.7738515139e-01,20190101,tcc,400
46.640,7.240,1.5831592464e-06,20181231,tp,400
46.640,7.240,0.0000000000e+00,20181231,fdir,400
46.640,7.240,-9.1696232557e-01,20190101,10u,500
46.640,7.240,6.1498492956e-01,20190101,10v,500
46.640,7.240,2.6899853516e+02,20190101,2d,500
46.640,7.240,2.7093945312e+02,20190101,2t,500
46.640,7.240,9.0360687500e+04,20190101,sp,500
46.640,7.240,0.0000000000e+00,20181231,ssrd,500
46.640,7.240,9.4416831250e+05,20181231,strd,500
46.640,7.240,8.4037834406e-01,20190101,tcc,500
46.640,7.240,5.1490524129e-06,20181231,tp,500
46.640,7.240,0.0000000000e+00,20181231,fdir,500
46.640,7.240,-7.2385859489e-01,20190101,10u,600
46.640,7.240,3.1489539146e-01,20190101,10v,600
46.640,7.240,2.6899755859e+02,20190101,2d,600
46.640,7.240,2.7129028320e+02,20190101,2t,600
46.640,7.240,9.0383812500e+04,20190101,sp,600
46.640,7.240,0.0000000000e+00,20181231,ssrd,600
46.640,7.240,9.5288243750e+05,20181231,strd,600
46.640,7.240,7.9836738110e-01,20190101,tcc,600
46.640,7.240,8.7342768893e-06,20181231,tp,600
