,time,sea,temp,RH,wind,SW_global,ppt,press,SW_direct,SW_diffuse,alb,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
0,2021-01-18 00:00:00,0.0,-6.567,32.53,0.851,0.0,0,621.883,0.0,0,0.25,0.0,0.0,,5.061,0.0,0.0,0.0,0.0,109.99804732944051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0187838213088294,10.154,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.10033325007965624,
1,2021-01-18 01:00:00,0.0,-6.579,33.705,1.196,0.0,0,621.693,0.0,0,0.25,1.261,165.226,0.577,5.188,0.0,0.0,0.01588875880084017,100868.20940109694,109.99804732944051,21.441719989178218,0.0,0.0,-1.5007876653709062,0.0,-216.38557183500296,0.0,-140.94186980679893,-25.004270244088787,-52.10721642275715,1.6677846386419148,0.0,0.0,325.53615582051754,1.0187838213088292,10.153999999999998,0.0,0.0,0.0,0.0,0.0,311.28,-982.4072996093871,,-88.71477453518068,100868.20940109694,1.0,0.10033325007965624,6.112911778902558
2,2021-01-18 02:00:00,0.0,-7.31,37.112,0.969,0.0,0,621.381,0.0,0,0.25,1.312,164.423,0.581,5.247,-1.5007876653709062,0.0,0.015888758800840168,101158.04768110777,110.31411960862351,14.658409107377654,21.441719989178218,0.0,0.4767505014633003,0.0,-186.52288533819876,0.0,-135.071322277151,-17.87911995427097,-35.554480727620245,1.683527885861897,0.298509734981572,0.0,326.1594622882556,1.0197586913157441,10.163716320423596,0.0,0.0,0.0,0.0009709283393924101,0.0,314.82,-1386.446622793384,,-89.55220797545365,101179.48940109694,1.0,0.10033325007965624,5.39817313985146
3,2021-01-18 03:00:00,0.0,-7.549,36.772,0.683,0.0,0,620.88,0.0,0,0.25,1.276,163.207,0.578,5.267,-1.024037163907606,-0.0016523122118430732,0.015935432829494594,101458.2092720004,110.6414495877867,10.975393958569843,36.100129096555875,0.0,0.25731832252275605,0.0,-177.26592261977947,0.0,-138.39534079087196,-14.143391304345409,-26.620411084983367,1.689894943796222,0.203325616625053,0.0,326.16912194659255,1.0227845740618886,10.163716320423596,0.0,0.0,0.0,0.0010035887871126404,0.0,316.02000000000015,-1181.3896345619503,,-89.89089205732414,101494.30940109695,1.0,0.10033325007965624,5.616504948111359
4,2021-01-18 04:00:00,0.0,-7.784,38.108,1.238,0.0,0,620.64,0.0,0,0.25,1.299,163.058,0.58,5.686,-0.76671884138485,-0.0027744645534901425,0.015982861894462495,101763.25387804184,110.97410455620702,20.34727998281312,47.075523055125714,0.0,-0.654658111610043,0.0,-214.62435490572975,0.0,-139.68672285848118,-27.56372956863114,-49.3500834374993,1.82427427512444,0.15190668375743285,0.0,326.1789677757804,1.0258596817313286,10.163716320423596,0.0,0.0,0.0,0.0010198849187042238,0.0,341.16,-1195.1613082214737,,-97.03895650446935,101810.32940109695,1.0,0.10063096428681725,5.7376601375439975
5,2021-01-18 05:00:00,0.0,-8.092,39.618,1.281,0.0,0,620.618,0.0,0,0.25,1.318,162.676,0.581,5.771,-1.421376952994893,-0.0036103483798702297,0.016032737982856322,102084.06659805903,111.32395485066415,19.526936464255687,67.42280303793883,0.0,0.0573492444868108,0.0,-209.50933685662824,0.0,-137.16867835583872,-27.11509561869247,-47.358922686976115,1.851486390900451,0.28187341397860544,0.0,326.1893541147134,1.0290937453280626,10.163716320423596,0.0,0.0,0.0,0.001072571591119936,0.0,346.26,-1394.9690667266054,,-98.48645557584818,102151.48940109696,1.0,0.10093352169519954,5.4339944785385
6,2021-01-18 06:00:00,0.0,-9.07,43.24,0.828,0.0,0,620.788,0.0,0,0.25,1.333,160.629,0.583,5.759,-1.364027708508082,-0.005156563822826719,0.01608352959022256,102410.79966159476,111.68026135397466,12.657698979771721,86.94973950219452,0.0,0.47987004652538057,0.0,-188.3043425893507,0.0,-139.46889143598625,-20.255273316374918,-30.69787666024397,1.847576376308688,0.2701224469457098,0.0,326.19996538606205,1.0323874909955468,10.163716320423596,0.0,0.0,0.0,0.0010923302640502524,0.0,345.54000000000013,-1302.1757729977342,,-98.27846945168052,102497.74940109695,1.0,0.1012517186513892,5.45999865759293
7,2021-01-18 07:00:00,0.0,-9.835,44.15,0.265,2.505,0,621.095,2.505,0,0.25,1.282,157.953,0.579,5.664,-0.8841576619827015,-0.006633640017309556,0.016135272009019912,102743.68196261498,112.04327367787893,4.319935797528839,99.60743848196624,0.0,0.5824142444683666,0.0,-160.25948644901004,0.030314142286946157,-144.26994346215722,-7.5348012932506565,-10.476505053548678,1.8170384923789291,0.1744107252806037,0.0,326.21081088049357,1.035743226178581,10.163716320423596,0.0,0.0,0.0,0.0011128521226991602,0.0,339.84000000000003,-1016.0932693331151,,-96.65406218419533,102843.28940109695,1.0,0.10157578767925704,5.68207324381393
8,2021-01-18 08:00:00,0.1,-9.722,43.598,0.189,79.583,0,621.454,79.583,0,0.25,1.277,158.131,0.579,5.168,-0.30174341751433487,-0.007584289646160443,0.06576440173361159,103079.20202681745,112.40916251561336,3.2815973988259866,103.92737427949508,0.0,0.07253465779888282,0.0,-154.66259250499525,3.9252962873745085,-146.68623946199793,-5.6598606354115955,-7.95810808155402,1.6578635676621432,0.05845581893166226,0.0,326.22177756319223,1.0391255522458047,10.163716320423596,0.0,0.0,0.0,0.0011216330836701593,0.0,310.0799999999999,-850.48147593391,,-88.18704118476761,103183.12940109694,1.0,0.10190595580646962,5.9626425779717644
9,2021-01-18 09:00:00,0.278,-8.077,38.61,1.095,205.775,0,621.867,205.775,0,0.25,1.286,162.141,0.579,4.346,-0.22920875971545204,-0.007901884693552803,0.15211248340933248,103386.00042941862,112.74373002117625,19.124838889850068,107.20897167832106,0.0,-1.1065569994116848,0.0,-191.80445909483728,23.475709705166544,-143.00050222382882,-27.340096309620886,-46.377670277390266,1.3941278845623035,0.043972126273834206,0.0,326.2318364306948,1.0422183396681224,10.163716320423596,0.0,0.0,0.0,0.0010255829885485756,0.0,260.75999999999993,-1017.9926487127539,,-74.15810056439072,103493.20940109694,1.0,0.10223874018971997,5.998454648109675
