,When,h_ice,h_f,r_ice,ice,T_a,Fountain
755,2019-02-03 14:55:00,0.0,3,2.5461849275847293,1.1464445898945517,-1.5,1
756,2019-02-03 15:00:00,0.0001843525255523098,3,2.5461849275847293,2.817989465611525,-1.65,1
757,2019-02-03 15:05:00,0.0004531431170285096,3,2.5461849275847293,4.489534363418688,-1.65,1
758,2019-02-03 15:10:00,0.0007219337120568935,3,2.5461849275847293,6.035939787981283,-1.7,1
759,2019-02-03 15:15:00,0.000970601417464381,3,2.5461849275847293,7.653630205131077,-1.7,1
760,2019-02-03 15:20:00,0.0012192691309435971,3,2.5461849275847293,8.769223037218461,-1.8,1
761,2019-02-03 15:25:00,0.0013986605798598328,3,2.5461849275847293,9.813530964739751,-1.8,1
762,2019-02-03 15:30:00,0.0015780520348584585,3,2.5461849275847293,11.445440505954618,-1.75,1
763,2019-02-03 15:35:00,0.0018404691181154377,3,2.5461849275847293,13.14863510246636,-1.75,1
764,2019-02-03 15:40:00,0.0021028862195280927,3,2.5461849275847293,14.24612680295942,-1.8,1
765,2019-02-03 15:45:00,0.002279366939609998,3,2.5461849275847293,15.343618564662062,-1.8,1
766,2019-02-03 15:50:00,0.0024558476695346297,3,2.5461849275847293,16.55276542894423,-1.8,1
767,2019-02-03 15:55:00,0.002650282952459709,3,2.5461849275847293,17.761912380352094,-1.8,1
768,2019-02-03 16:00:00,0.0028447182493949222,3,2.5461849275847293,19.032721016046448,-1.85,1
769,2019-02-03 16:05:00,0.003049068972970222,3,2.5461849275847293,20.23224474668702,-1.85,1
770,2019-02-03 16:10:00,0.0032534197025494904,3,2.5461849275847293,22.121453850386466,-1.85,1
771,2019-02-03 16:15:00,0.0035572115060377362,3,2.5461849275847293,24.010663145475544,-1.85,1
772,2019-02-03 16:20:00,0.0038610033403021415,3,2.5461849275847293,25.876780716568845,-1.85,1
773,2019-02-03 16:25:00,0.004161081940036504,3,2.5461849275847293,27.742898525474516,-1.85,1
774,2019-02-03 16:30:00,0.004461160578011974,3,2.5461849275847293,29.626815357145038,-1.9,1
775,2019-02-03 16:35:00,0.004764101364605865,3,2.5461849275847293,31.582017427663686,-1.9,1
776,2019-02-03 16:40:00,0.005067042198871151,3,2.5461849275847293,33.0080234846572,-1.95,1
777,2019-02-03 16:45:00,0.005296349241162507,3,2.5461849275847293,34.362744764647225,-1.95,1
778,2019-02-03 16:50:00,0.00552565631004879,3,2.5461849275847293,36.316604410699426,-2.0,1
779,2019-02-03 16:55:00,0.005839844159596405,3,2.5461849275847293,38.270464481329356,-2.0,1
780,2019-02-03 17:00:00,0.006154032077417685,3,2.5461849275847293,40.24470126207011,-2.05,1
781,2019-02-03 17:05:00,0.006471496645505791,3,2.5461849275847293,42.218938653094305,-2.05,1
782,2019-02-03 17:10:00,0.00678896131172973,3,2.5461849275847293,44.20010823531506,-2.05,1
783,2019-02-03 17:15:00,0.0071075406999087975,3,2.5461849275847293,46.1812784939797,-2.05,1
784,2019-02-03 17:20:00,0.007426120196862545,3,2.5461849275847293,48.108871069211546,-2.0,1
785,2019-02-03 17:25:00,0.007736084204379521,3,2.5461849275847293,50.107749285509435,-2.0,1
786,2019-02-03 17:30:00,0.008046048324246019,3,2.5461849275847293,51.53958740831292,-1.95,1
787,2019-02-03 17:35:00,0.00827629318426597,3,2.5461849275847293,52.900140983067914,-1.95,1
788,2019-02-03 17:40:00,0.008506538107697659,3,2.5461849275847293,54.84777709376024,-2.05,1
789,2019-02-03 17:45:00,0.008819725189766783,3,2.5461849275847293,56.795414019535414,-2.05,1
790,2019-02-03 17:50:00,0.00913291240290424,3,2.5461849275847293,58.74480967310926,-2.0,1
791,2019-02-03 17:55:00,0.009446382425969279,3,2.5461849275847293,60.694206202291,-2.0,1
792,2019-02-03 18:00:00,0.009759852589835302,3,2.5461849275847293,62.61091384967872,-2.05,1
793,2019-02-03 18:05:00,0.010068066260740976,3,2.5461849275847293,64.59890734283346,-2.05,1
794,2019-02-03 18:10:00,0.010376280076912851,3,2.5461849275847293,66.01472123739244,-2.1,1
795,2019-02-03 18:15:00,0.010603948181830164,3,2.5461849275847293,67.35925068485703,-2.1,1
796,2019-02-03 18:20:00,0.010831616366393008,3,2.5461849275847293,69.2755723486549,-2.15,1
797,2019-02-03 18:25:00,0.011139767969711433,3,2.5461849275847293,71.19189501308021,-2.15,1
798,2019-02-03 18:30:00,0.01144791973393445,3,2.5461849275847293,73.10867910203717,-2.05,1
799,2019-02-03 18:35:00,0.011756145696926873,3,2.5461849275847293,75.02546424826852,-2.05,1
800,2019-02-03 18:40:00,0.012064371829932918,3,2.5461849275847293,76.9567077577439,-2.05,1
801,2019-02-03 18:45:00,0.012374922921164495,3,2.5461849275847293,78.88795239763714,-2.05,1
802,2019-02-03 18:50:00,0.012685474194171441,3,2.5461849275847293,80.809333017615,-2.0,1
803,2019-02-03 18:55:00,0.012994439296333739,3,2.5461849275847293,82.73071481329038,-2.0,1
804,2019-02-03 19:00:00,0.013303404587552541,3,2.5461849275847293,84.64740894765436,-2.0,1
805,2019-02-03 19:05:00,0.013611616085514073,3,2.5461849275847293,86.56410430825555,-2.0,1
806,2019-02-03 19:10:00,0.013919827780659085,3,2.5461849275847293,88.49764106628533,-1.95,1
807,2019-02-03 19:15:00,0.01423074763473053,3,2.5461849275847293,90.43117912947932,-1.95,1
808,2019-02-03 19:20:00,0.01454166769867721,3,2.5461849275847293,92.37533847042081,-2.1,1
809,2019-02-03 19:25:00,0.0148542957033256,3,2.5461849275847293,94.31949918927987,-2.1,1
810,2019-02-03 19:30:00,0.015166923929548225,3,2.5461849275847293,96.26337644913694,-1.95,1
