,time,ghi,SW_diffuse,cld,sea,f_cone,SW_direct,dis,Discharge,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,snow_h,alb,T_s,T_bulk,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
284,2021-12-15 04:00:00,0.0,0.0,0.43,0.0,0.014028737787662405,1.03,-0.0,0.0,-0.68,83.87,0.31,1.03,0.0,5.383,90.79,261.805,54.795,0.835,-4.806345536149268,-0.9455815628133611,37650.985164719954,41.05887149914935,0.0,361.38275399384617,0.0,-0.7555033158331719,266.15999999999997,-18.159929320976026,0.002384183987013226,-23.375688383520583,0.5902775180563146,3.5935202917216804,0.0,1.029577068779549,2306.780855759807,183.3022230091555,0.6746123077059314,7.623634473066853,0.0,0.0,0.8326267304929547,3.7526227715638355e-06,0.0,0.0,-18.159929320976026,0.0,,40585.30877447365,0.0,0.08848810999942991,4.084742590714321
285,2021-12-15 05:00:00,0.0,0.0,0.43,0.0,0.01402904561347407,0.785,-0.0,0.0,-0.385,83.43,0.33,0.785,0.0,5.367,90.8,258.315,54.89,0.833,-5.5618488519824405,-0.9541866310611332,37651.81779145045,41.059779489040835,0.0,361.38275399384617,0.0,-0.7120886942996087,266.15999999999997,-17.116378032684228,0.0018391377346983835,-23.66759876102543,0.78841798353579,4.532207083467163,0.0,1.2287565236035516,2306.780855759807,183.3022545042876,0.6746272263126467,7.623634473066853,0.0,0.0,1.0501227509155189,4.953512710221236e-06,0.0,0.0,-17.116378032684228,0.0,,40586.14140120414,0.0,0.08848959247577183,3.828852800197045
286,2021-12-15 06:00:00,0.0,0.0,0.43,0.0,0.014029433848307182,1.245,-0.0,0.0,-0.325,82.615,0.305,1.245,0.0,5.317,90.8,258.905,54.73,0.832,-6.273937546282049,-0.9644561893693697,37652.867914201364,41.06092466107019,0.0,361.38275399384617,0.0,-0.5474489227833356,266.15999999999997,-13.158954482716153,0.0029343963837119313,-20.087981772389583,0.8373687565751151,4.672810419150984,0.0,1.4159137175636214,2306.780855759807,183.3022942274601,0.6746460419088196,7.623634473066853,0.0,0.0,1.0827011001240439,6.2474519609731055e-06,0.0,0.0,-13.158954482716155,0.0,,40587.19152395506,0.0,0.0884915493648079,3.6011472734352576
287,2021-12-15 07:00:00,0.0,0.0,0.43,0.0,0.014029834127229846,1.23,-0.0,0.0,0.2,80.03,0.34,1.23,0.0,5.433,90.8,255.76,54.87,0.83,-6.821386469065384,-0.9762896208235259,37653.95061530149,41.06210536019792,0.0,361.38275399384617,0.0,-0.5084056441935173,266.15999999999997,-12.220476563703498,0.002933638316003762,-20.950797496027178,1.1017417624278023,6.066897667543046,0.0,1.5587478640368266,2306.780855759807,183.30233518413033,0.6746654412282402,7.623634473066853,0.0,0.0,1.4057146893334473,6.441267594089882e-06,0.0,0.0,-12.2204765637035,0.0,,40588.27422505518,0.0,0.08849401742597209,3.4345700660641922
288,2021-12-15 08:00:00,0.0,0.0,0.43,0.0,0.014030353825166706,5.6,-0.0,0.0,-0.275,80.985,0.4,5.6,0.0,5.783,90.825,258.735,54.64,0.829,-7.329792113258901,-0.989316410181495,37655.35632999082,41.06363830969555,0.0,361.38275399384617,0.0,-0.1641012002780649,266.15999999999997,-3.944477987168808,0.01343546682297964,-15.868941409727768,1.3026937100841292,8.917483335645239,0.0,1.6908509100066114,2306.780855759807,183.30238836157758,0.6746906281503459,7.623634473066853,0.0,0.0,2.066202800896778,8.362956729875095e-06,0.0,0.0,-3.944477987168808,0.0,,40589.679939744514,0.0,0.08849656205471697,3.2862045763308743
289,2021-12-15 09:00:00,76.663,53.971,0.522,0.114,0.07059520087621154,-20.071,-0.002,0.0,0.15,82.12,0.23,33.9,0.0,6.167,90.83,272.52,54.66,0.827,-7.493893313536966,-1.003446689536375,37657.422532791716,41.065891529761956,0.0,361.38275399384617,0.0,0.6756198692244685,266.15999999999997,16.23978189881653,9.091856484115947,-1.406474104422216,0.8116431949855352,6.011915835622884,0.0,1.73084048851438,2306.780855759807,183.3024665285181,0.6747276493818913,7.623634473066853,0.0,0.0,1.392976265601655,1.2292366109069652e-05,0.0,0.0,16.23978189881653,0.0,,40591.74614254541,0.0,0.08849986584927776,3.2395801486978852
290,2021-12-15 10:00:00,187.029,87.665,0.413,0.228,0.12624329128224288,70.48,-0.004,0.0,2.06,79.785,0.39,158.145,0.0,6.017,90.85,272.615,54.11,0.826,-6.8182734443124975,-1.0179103705000476,37658.81550905732,41.06741058784877,0.0,361.38275399384617,0.0,1.0329299883039806,266.15999999999997,24.82839610098939,16.801897127505615,-4.1087352371693555,1.5988674086942527,8.989556836429339,0.0,1.5468099655295418,2306.780855759807,183.30251922888962,0.6747526080630257,7.623634473066853,0.0,0.0,2.082903895199307,8.287166646376224e-06,0.0,0.0,24.82839610098939,0.0,,40593.139118811014,0.0,0.08850472196241858,3.4354970641843816
291,2021-12-15 11:00:00,270.61,99.846,0.367,0.308,0.16435844322917675,147.744,-0.005,0.0,3.04,73.905,0.51,247.59,0.0,5.817,90.85,261.73,53.82,0.824,-5.785343456008517,-1.0308357353074542,37660.89841295252,41.06968202066796,0.0,361.38275399384617,0.0,0.6351308548885382,266.15999999999997,15.266553028463244,21.846699395215467,-19.31170989535707,2.078364897528924,9.385294778879262,0.0,1.2679038521966597,2306.780855759807,183.30259803485234,0.6747899285367749,7.623634473066853,0.0,0.0,2.1745983492448784,1.2391716320909168e-05,0.0,0.0,15.266553028463244,0.0,,40595.22202270621,0.0,0.08850799581837568,3.756009411431956
292,2021-12-15 12:00:00,312.087,103.938,0.35,0.347,0.1825735874074824,-37.103,-0.006,0.0,1.085,82.72,0.47,66.835,0.0,5.983,90.795,259.035,54.105,0.823,-5.150212601119979,-1.0414299394219007,37663.07301130176,41.07205344743922,0.0,361.38275399384617,0.0,0.14237837634701075,266.15999999999997,3.422329455226351,17.198023076996378,-24.686724699351373,1.3524061910866791,8.462921835365059,0.0,1.095703051129608,2306.780855759807,183.30268031465815,0.6748288919478064,7.623634473066853,0.0,0.0,1.9608829075060046,1.293722400379732e-05,0.0,0.0,3.4223294552263503,0.0,,40597.39662105546,0.0,0.08851289118342512,3.9664001955597996
293,2021-12-15 13:00:00,305.59,103.371,0.352,0.341,0.17978936445277816,-45.536,-0.006,0.0,0.81,84.32,0.355,57.835,0.0,6.033,90.77,258.155,54.12,0.821,-5.007834224772969,-1.0505847635291536,37665.03389420927,41.07419181484108,0.0,361.38275399384617,0.0,-0.030262222135064104,266.15999999999997,-0.7274088724049921,17.03795595854982,-26.170128776869717,0.9528601985263199,6.39661289899947,0.0,1.055290848389116,2306.780855759807,183.30275451220092,0.6748640261079775,7.623634473066853,0.0,0.0,1.4821138869963342,1.1665772689147315e-05,0.0,0.0,-0.7274088724049923,0.0,,40599.357503962965,0.0,0.08851800205425309,4.015015144414498
