,time,temp,RH,wind,SW_direct,SW_diffuse,LW_in,press
0,2021-01-01 00:00:00,-9.854,82.468,2.084,0.0,-0.0,253.869,783.523
1,2021-01-01 01:00:00,-9.589,81.754,2.171,0.0,-0.0,255.193,783.51
2,2021-01-01 02:00:00,-9.802,83.176,2.218,0.0,-0.0,245.757,783.696
3,2021-01-01 03:00:00,-9.637,83.93,2.141,0.0,-0.0,249.253,783.649
4,2021-01-01 04:00:00,-9.717,85.351,2.087,0.0,-0.0,254.886,783.449
5,2021-01-01 05:00:00,-9.588,84.361,1.961,0.0,-0.0,257.807,783.331
6,2021-01-01 06:00:00,-9.821,85.105,1.877,0.0,-0.0,255.77,783.471
7,2021-01-01 07:00:00,-9.91,85.584,1.837,0.0,-0.0,253.049,783.783
8,2021-01-01 08:00:00,-9.741,85.628,1.866,2.205,12.637,253.512,783.917
9,2021-01-01 09:00:00,-9.304,85.857,1.709,23.764,70.43,253.548,784.313
10,2021-01-01 10:00:00,-8.754,86.16,1.498,65.936,127.921,235.944,783.952
11,2021-01-01 11:00:00,-8.011,85.515,1.322,76.633,169.903,241.156,783.867
12,2021-01-01 12:00:00,-7.902,84.525,1.222,80.879,152.351,236.875,783.643
13,2021-01-01 13:00:00,-7.407,85.772,1.113,40.433,189.482,249.432,783.209
14,2021-01-01 14:00:00,-7.454,86.384,1.261,13.028,133.317,260.64,783.403
15,2021-01-01 15:00:00,-7.795,86.179,1.237,1.084,54.158,266.151,783.603
16,2021-01-01 16:00:00,-7.094,83.953,1.213,0.025,13.28,255.628,783.79
17,2021-01-01 17:00:00,-7.301,84.006,1.359,0.0,-0.0,260.582,784.071
18,2021-01-01 18:00:00,-7.735,84.923,1.403,0.0,-0.0,266.443,784.098
19,2021-01-01 19:00:00,-7.732,84.354,1.396,0.0,-0.0,247.462,784.309
20,2021-01-01 20:00:00,-7.451,84.035,1.434,0.0,-0.0,250.052,784.547
21,2021-01-01 21:00:00,-7.365,83.87,1.572,0.0,-0.0,254.022,784.575
22,2021-01-01 22:00:00,-7.28,83.001,0.498,0.0,-0.0,243.956,784.652
23,2021-01-01 23:00:00,-7.528,83.052,0.68,0.0,-0.0,250.841,784.75
24,2021-01-02 00:00:00,-7.477,83.631,1.046,0.0,-0.0,252.656,785.039
25,2021-01-02 01:00:00,-7.132,82.776,0.938,0.0,-0.0,253.998,784.858
26,2021-01-02 02:00:00,-6.573,83.121,1.148,0.0,-0.0,251.336,784.728
27,2021-01-02 03:00:00,-6.396,83.448,1.521,0.0,-0.0,257.105,784.712
28,2021-01-02 04:00:00,-5.902,82.561,1.413,0.0,-0.0,247.323,784.713
29,2021-01-02 05:00:00,-6.085,82.218,1.182,0.0,-0.0,236.251,784.56
30,2021-01-02 06:00:00,-6.527,84.224,1.209,0.0,-0.0,240.656,784.539
31,2021-01-02 07:00:00,-6.505,85.766,1.353,0.0,-0.0,255.382,784.771
32,2021-01-02 08:00:00,-6.25,85.73,1.505,0.05,10.332,262.459,784.935
33,2021-01-02 09:00:00,-6.254,85.795,1.567,0.0,45.974,268.43,784.933
