TIMESTAMP,T_HMP,RH,PRECIP,WS_AVG,WDIR,WS_MAX,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS,SR50
24/04/2019 19:00,3.761,80.4,0,1.071,14.38,1.722,-1.733,0,240.136,321.444,649.716,1.819
24/04/2019 20:00,3.904,68.44,0,0.886,26.16,1.666,-1.067,0,239.726,317.739,649.216,1.819
24/04/2019 21:00,3.352,67.81,0,1.013,29.03,1.499,-1.067,0,238.612,314.225,648.662,1.82
24/04/2019 22:00,3.142,67.2,0,1.2,38.05,1.888,-1,0,236.784,311.632,648.224,1.82
24/04/2019 23:00,2.645,65.22,0,0.919,53.61,1.61,-1.133,0,234.271,308.683,648.385,1.819
25/04/2019 00:00,2.842,61.72,0,1.106,36.62,2.277,1.283,0.25,233.787,307.211,648.782,1.821
25/04/2019 01:00,2.927,56.15,0,1.15,24.17,1.944,51.933,8.05,234.434,310.407,649.498,1.821
25/04/2019 02:00,6.392,41.96,0,0.558,13.06,1.444,371.633,65.933,243.26,348.054,649.623,1.82
25/04/2019 03:00,8.89,50.47,0,1.501,130.2,3.276,615.433,117.3,251.117,394.968,650.02,1.821
25/04/2019 04:00,9.47,56.28,0,2.427,135.8,4.887,826.05,165.117,259.815,438.666,650.195,1.818
25/04/2019 05:00,10.32,52.7,0,3.296,136.2,6.386,1011.25,206.683,271.848,475.263,650.361,1.816
25/04/2019 06:00,11.42,49.3,0,3.207,138.1,6.109,1106.9,227.833,277.6,511.373,649.974,1.816
25/04/2019 07:00,10.95,70.05,0,3.534,136.8,6.997,983.783,202.033,298.227,507.4,650.018,1.818
25/04/2019 08:00,10.64,50.3,0,3.442,138.7,6.997,965.167,201.3,303.334,501.214,649.428,1.82
25/04/2019 09:00,9.89,69.58,0,3.461,136.1,7.108,569.35,116.833,314.769,457.297,649.268,1.82
25/04/2019 10:00,6.964,66.83,0,2.649,124.2,6.886,278.533,55.817,310.098,401.202,648.782,1.821
25/04/2019 11:00,7.736,69.1,0,1.778,121.7,4.165,193.85,38.95,282.313,390.006,648.435,1.82
25/04/2019 12:00,6.362,82.6,0,1.207,125.5,2.499,72.217,13.833,275.705,363.149,648.756,1.819
25/04/2019 13:00,5.613,89.8,0,0.606,129.5,2.833,13.317,2.567,302.656,354.746,648.985,1.819
25/04/2019 14:00,4.941,98.5,0,0.19,94.3,1,-1.683,0,265.798,339.233,649.29,1.819
25/04/2019 15:00,4.575,95.5,0,0.54,131.8,1.777,-0.033,0,335.399,346.228,649.858,1.818
25/04/2019 16:00,4.9,93.5,0,0.2,129.7,0.944,-0.833,0,315.543,346.411,649.846,1.818
25/04/2019 17:00,4.821,76.72,0,0.775,26.42,1.555,-1,0,292.439,338.299,649.292,1.818
25/04/2019 18:00,5.836,69.36,0,1.26,43.65,3.054,-1.333,0,255.81,328.726,648.919,1.82
25/04/2019 19:00,3.696,90.3,0,0.584,99.4,2.055,-1.467,0,245.736,321.008,648.521,1.819
25/04/2019 20:00,2.795,82.9,0,0.921,8.71,1.833,-1.417,0,242.359,316.866,647.821,1.82
25/04/2019 21:00,3.381,75.27,0,1.165,30.63,1.944,-2,0,241.291,314.718,647.215,1.82
25/04/2019 22:00,3.011,82.1,0,0.818,51.51,1.833,-1.6,0,239.933,312.032,647.261,1.819
25/04/2019 23:00,2.306,76.83,0,1.082,25.28,1.777,-1,0,237.738,309.564,647.171,1.82
26/04/2019 00:00,3.037,73.69,0,1.163,17.14,2.055,1.4,0.217,237.686,309.313,647.425,1.82
26/04/2019 01:00,3.052,67.91,0,1.075,21.66,1.777,51.517,7.55,238.306,312.319,648.176,1.82
26/04/2019 02:00,5.772,57.77,0,0.686,17.92,1.666,375.85,66.25,246.7,348.878,648.194,1.821
26/04/2019 03:00,8.55,58.12,0,1.45,129.5,3.499,617.117,118.05,255.734,397.812,648.486,1.82
26/04/2019 04:00,8.99,58.57,0,2.722,137.1,4.887,827.233,165.7,260.907,437.992,648.894,1.817
26/04/2019 05:00,10.04,61.17,0,3.052,132.4,5.165,1001.783,205,271.114,480.798,648.735,1.819
26/04/2019 06:00,11.18,63.25,0,3.423,136,6.553,1132.1,233.1,285.394,518.111,648.547,1.817
26/04/2019 07:00,10.91,60.06,0,3.94,136.2,7.33,1034.967,212.017,301.612,510.19,648.419,1.817
26/04/2019 08:00,10.34,62.08,0,3.369,134,5.72,853.067,175.567,322.856,497.423,648.14,1.817
26/04/2019 09:00,9.89,66.9,0,3.03,134.3,6.22,564.183,114.783,329.329,458.71,647.818,1.817
26/04/2019 10:00,9.57,71.37,0,2.678,135.5,5.553,410.75,85.2,317.53,432.308,647.481,1.817
26/04/2019 11:00,8.95,73.97,0,2.319,138.7,4.498,251.25,51.75,303.693,406.356,647.201,1.819
26/04/2019 12:00,7.825,86.1,0,1.507,128,3.61,72.267,14.117,301.617,374.276,647.105,1.82
26/04/2019 13:00,6.919,95.4,0,0.491,136.1,1.777,5.917,0.817,321.79,363.917,647.427,1.818
26/04/2019 14:00,6.639,95.5,0,0.211,139.3,1.222,-0.217,0,337.9,361.58,648.094,1.817
