,When,sea,Discharge,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,vp_a,p_a,missing_type,LW_in,a,cld,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dep,thickness,fountain_runoff,fountain_froze,Qt,Qmelt,input,s_cone,vp_ice
402,2020-12-08 19:00:00,0.0,5.0,-0.983,93.833,0.333,0.0,0.0,0.0,5.367,781.792,p_aSW_directSW_diffuseLW_in,274.237,0.35,0,-0.1546987031474146,-1.0700935944770826,0.025097757631550394,50435.71920870019,55.00078430610708,0.30683690246143164,306.61214370710815,0.0,-0.14989721807529194,180986.1801505981,-27.025907090899018,0.0,-24.958779070604294,-0.85363169857285,-1.6013594755592475,0.6485850842677883,-0.2607219304304178,4284.44738230535,151.58500420486865,1.1023056895883911,6.9027017315531545,0.0,0.0,0.0004985912459100962,258.46009411424734,41.539905885752646,-1.6013594755592475,-25.42454761533977,236012.95888531068,0.15969191954935663,6.058498441658992
403,2020-12-08 20:00:00,0.0,5.0,-0.95,94.067,0.0,0.0,0.0,0.0,5.4,782.081,p_aSW_directSW_diffuseLW_in,274.58,0.35,0,-0.3045959212227065,-1.0687483548397079,0.025097757631550387,50476.95227768348,55.04574948493291,0.0,306.9189806095696,0.0,-0.0,181244.64024471235,-25.13079991482157,0.0,-23.959186231137437,-0.0,-0.0,-0.9540277695551347,-0.21758591412899742,4284.44738230535,151.6676105230172,1.1026059996781081,6.904582290635696,0.0,-0.0,0.0002966334240098231,258.9176582484823,41.0823417515177,-0.0,-25.13079991482157,236312.95888531068,0.15969191954935663,5.984020720177414
404,2020-12-08 21:00:00,0.0,5.0,-1.133,94.067,0.0,0.0,0.0,0.0,5.3,782.108,p_aSW_directSW_diffuseLW_in,277.08,0.35,0,-0.3045959212227065,-1.0676259886720298,0.02509775763155039,50518.034619435,55.09055029382225,0.0,306.9189806095696,0.0,-0.0,181503.55790296083,-22.631668520047096,0.0,-21.459186231137437,-0.0,-0.0,-0.9552748701871256,-0.21720741872253285,4284.44738230535,151.74989250761743,1.10290504938305,6.906454957116165,0.0,-0.0,0.00029538811045312516,262.9830186986029,37.01698130139711,-0.0,-22.631668520047096,236612.95888531068,0.15969191954935663,5.984021246575685
405,2020-12-08 22:00:00,0.0,5.0,-1.15,94.883,0.0,0.0,0.0,0.0,5.35,782.379,p_aSW_directSW_diffuseLW_in,272.632,0.35,0,-0.3045959212227065,-1.0665058786817416,0.02509775763155039,50555.0516007364,55.13091777615747,0.0,306.9189806095696,0.0,-0.0,181766.54092165944,-27.080418960974605,0.0,-25.907186231137416,-0.0,-0.0,-0.9563971154518733,-0.21683561438531318,4284.44738230535,151.82401306259044,1.1031743673812733,6.9081414419363325,0.0,-0.0,0.00026601325159551027,255.68488510342172,44.31511489657829,-0.0,-27.080418960974605,236912.95888531068,0.15969191954935663,5.984026529980198
406,2020-12-08 23:00:00,0.0,5.0,-1.15,95.0,0.0,0.0,0.0,0.4,5.35,782.512,p_aSW_directSW_diffuseLW_in,271.408,0.35,0,-0.3045959212227065,-1.0653879590217588,0.02509775763155039,50599.366715632976,55.17924396470335,0.0,306.9189806095696,0.0,-0.0,182022.22580676287,-28.305379282676874,0.0,-27.131186231137406,-0.0,-0.0,-0.9577388186758484,-0.2164542328636192,4284.44738230535,151.9127231691572,1.103496610294973,6.9101593456261945,60.004799416596484,-0.0,0.00031830398611557643,253.6532632041849,46.34673679581509,-0.0,-28.305379282676874,237212.95888531068,0.15969191954935663,5.984029122893064
407,2020-12-09 00:00:00,0.0,5.0,-1.133,95.233,0.0,0.0,0.0,0.2,5.35,782.802,p_aSW_directSW_diffuseLW_in,272.713,0.35,0,-0.3045959212227065,-1.0642723314963531,0.025097757631550394,50705.718251845385,55.29522164868635,0.0,306.9189806095696,0.0,-0.0,182275.87906996705,-27.00312262632472,0.0,-25.8261862311374,-0.0,-0.0,-0.9609507875681782,-0.21598560761914073,4284.44738230535,152.12551235622976,1.1042691919852838,6.914997296679015,30.044425064114197,-0.0,0.0007634494436246421,255.7236230146949,44.27637698530508,-0.0,-27.00312262632472,237572.9636847273,0.15969191954935663,5.984034776499951
408,2020-12-09 01:00:00,0.0,5.0,-0.933,95.467,0.0,0.0,0.0,0.2,5.467,783.058,p_aSW_directSW_diffuseLW_in,280.384,0.35,0,-0.3045959212227065,-1.0631598981524633,0.02513362737834501,50780.039053894805,55.37626941537056,0.0,306.9189806095696,0.0,-0.0,182531.60269298175,-19.331866612016785,0.0,-18.155186231137407,-0.0,-0.0,-0.9610344235872614,-0.21564595729211905,4284.44738230535,152.13106110834366,1.1058877505001086,6.914997296679015,30.044425064114197,-0.0,0.0005327690630511689,268.30084260117405,31.699157398825946,-0.0,-19.331866612016785,237903.0081097914,0.15969191954935663,5.984039767141639
409,2020-12-09 02:00:00,0.0,5.0,-0.9,95.933,0.0,0.0,0.0,0.4,5.5,783.164,p_aSW_directSW_diffuseLW_in,277.637,0.35,0,-0.3045959212227065,-1.0620507993022248,0.025163423944670076,50841.78263635775,55.443601566366134,0.0,306.9189806095696,0.0,-0.0,182799.9035355829,-22.07860149983999,0.0,-20.90218623113742,-0.0,-0.0,-0.9611039921679145,-0.21531127653465684,4284.44738230535,152.13567687802865,1.1072324023119218,6.914997296679015,60.088850128228394,-0.0,0.00044259305433768975,263.7958241278015,36.20417587219849,-0.0,-22.07860149983999,238233.05253485552,0.159925984502007,5.984041833543958
410,2020-12-09 03:00:00,0.0,5.0,-0.817,95.817,0.0,0.0,0.0,0.0,5.5,783.588,p_aSW_directSW_diffuseLW_in,273.649,0.35,0,-0.3045959212227065,-1.0609447330345196,0.025209888159302803,50938.07566235818,55.54861031882026,0.0,306.9189806095696,0.0,-0.0,183063.6993597107,-26.066365566626374,0.0,-24.89018623113742,-0.0,-0.0,-0.9612126448331528,-0.2149666906558013,4284.44738230535,152.14288637773248,1.1093294719459061,6.914997296679015,0.0,-0.0,0.0006902309478552742,257.2547199375412,42.74528006245877,-0.0,-26.066365566626374,238593.14138498376,0.16012043892536001,5.984050098946979
411,2020-12-09 04:00:00,0.0,5.0,-1.167,95.817,1.0,0.0,0.0,0.0,5.383,783.715,p_aSW_directSW_diffuseLW_in,273.372,0.35,0,-0.3045959212227065,-1.0598424722465198,0.02523051189497775,50980.820942420636,55.595224582792405,0.8038762002845713,306.9189806095696,0.0,-0.39126463508311865,183320.95407964825,-33.19855304451023,0.0,-25.167186231137407,-2.6755661805879005,-4.179899659824711,-0.9612609375897678,-0.2146400353704388,4284.44738230535,152.14609099721184,1.1102603787055996,6.914997296679015,0.0,0.0,0.0003063847747466413,252.41236873491474,47.58763126508527,-4.179899659824711,-29.018653384685514,238893.14138498376,0.1604237029100027,5.9840525746049344
