When,h_ice,h_f,r_ice,ice,T_a,Discharge
2020-11-22 00:00:00,0.4273697121725144,2.5,5.435,0.0,-0.65,12.33
2020-11-22 00:15:00,0.42736971217251435,2.5,5.434999999999999,12122.74,-0.6,12.33
2020-11-22 00:30:00,0.4276176513374156,2.5,5.438153123215933,12143.85131916402,-0.6,12.33
2020-11-22 00:45:00,0.4283932204597249,2.5,5.438153123215933,12165.876593564175,-0.6,12.33
2020-11-22 01:00:00,0.4291893927545917,2.5,5.438153123215933,12188.486974457155,-0.45,12.33
2020-11-22 01:15:00,0.42995894843256205,2.5,5.438153123215933,12210.341473928498,-0.3,12.33
2020-11-22 01:30:00,0.4307274129557642,2.5,5.438153123215933,12232.164985854708,-0.3,12.33
2020-11-22 01:45:00,0.4314887560514273,2.5,5.438153123215933,12253.786257398779,-0.3,12.33
2020-11-22 02:00:00,0.43223630977903477,2.5,5.438153123215933,12275.015926690397,-0.45,12.33
2020-11-22 02:15:00,0.4329882856756477,2.5,5.438153123215933,12296.371180514698,-0.5,12.33
2020-11-22 02:30:00,0.43376207426564367,2.5,5.438153123215933,12318.345889837354,-0.5,12.33
2020-11-22 02:45:00,0.4344998425091071,2.5,5.438153123215933,12339.297662591824,-0.6,12.33
2020-11-22 03:00:00,0.4352344097719464,2.5,5.438153123215933,12360.158531164358,-0.7,12.33
2020-11-22 03:15:00,0.4359059815033308,2.5,5.438153123215933,12379.230398825992,-0.9,12.33
2020-11-22 03:30:00,0.436612431359298,2.5,5.438153123215933,12399.292765261236,-1.1,12.33
2020-11-22 03:45:00,0.43730362910373227,2.5,5.438153123215933,12418.921989205335,-1.2,12.33
2020-11-22 04:00:00,0.4380783265120372,2.5,5.438153123215933,12440.92250792661,-1.15,12.33
2020-11-22 04:15:00,0.43886118881009495,2.5,5.438153123215933,12463.15490016126,-0.9,12.33
2020-11-22 04:30:00,0.43963046908901715,2.5,5.438153123215933,12485.001578615196,-0.85,12.33
2020-11-22 04:45:00,0.4404204796198538,2.5,5.438153123215933,12507.436972470077,-0.6,12.33
2020-11-22 05:00:00,0.44118121709299707,2.5,5.438153123215933,12529.04104502853,-0.45,12.33
2020-11-22 05:15:00,0.44193477306774603,2.5,5.438153123215933,12550.441171261386,-0.2,12.33
2020-11-22 05:30:00,0.44266402234895835,2.5,5.438153123215933,12571.15101524924,-0.1,12.33
2020-11-22 05:45:00,0.4433792208706745,2.5,5.438153123215933,12591.461833767238,0.1,0.0
2020-11-22 06:00:00,0.4428988407190165,2.5,5.441037880476629,12591.167347426373,0.15,0.0
2020-11-22 06:15:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.3,0.0
2020-11-22 06:30:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.45,0.0
2020-11-22 06:45:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.6,0.0
2020-11-22 07:00:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.45,0.0
2020-11-22 07:15:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.3,0.0
2020-11-22 07:30:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.3,0.0
2020-11-22 07:45:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.3,0.0
2020-11-22 08:00:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.4,0.0
2020-11-22 08:15:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.4,0.0
2020-11-22 08:30:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.3,0.0
2020-11-22 08:45:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.3,0.0
2020-11-22 09:00:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.55,0.0
2020-11-22 09:15:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,0.9,0.0
2020-11-22 09:30:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,1.3,0.0
2020-11-22 09:45:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,1.7,0.0
2020-11-22 10:00:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,2.05,0.0
2020-11-22 10:15:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,2.3,0.0
2020-11-22 10:30:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,2.3,0.0
2020-11-22 10:45:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,2.2,0.0
2020-11-22 11:00:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,2.25,0.0
2020-11-22 11:15:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,2.4,0.0
2020-11-22 11:30:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,2.65,0.0
2020-11-22 11:45:00,0.44289881490915767,2.5,5.441037563401021,12591.165146181742,2.7,0.0
2020-11-22 12:00:00,0.4428254781699532,2.5,5.440136617317274,12584.911513932228,2.7,0.0
2020-11-22 12:15:00,0.44274367583819213,2.5,5.439131670939223,12577.938439913692,2.7,0.0
2020-11-22 12:30:00,0.4426510972836103,2.5,5.437994338040402,12570.049876263607,2.5,0.0
2020-11-22 12:45:00,0.44255884090423075,2.5,5.436860963082578,12562.192046798535,2.4,0.0
2020-11-22 13:00:00,0.44248245935612757,2.5,5.435922611345364,12555.688816090405,2.4,0.0
2020-11-22 13:15:00,0.44240831852155155,2.5,5.435011786903459,12549.378509817634,2.4,0.0
2020-11-22 13:30:00,0.44235036075079726,2.5,5.434299772336814,12544.447056054278,2.5,0.0
