,When,ghics,difcs,zen,sea,Unnamed: 0,T_a,RH,v_a,p_a,SW_direct,SW_diffuse,a,vp_a,LW_in,cld,e_a,Discharge,Prec,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt,vp_ice,ghi,dif
0,2020-12-23 00:15:00,0.0,0.0,109.542,0.0,865,-8.87,18.36,2.801,621.818,-2.22,-0.74,0.0,0.573,142.816,0,0.516,60,0,0,0,1,-215.87,-1.924,-157.058,-56.887,0,0,0,0,0,0,6.133,-2.96,-0.74
1,2020-12-23 00:30:00,0.0,0.0,106.57,0.0,866,-8.98,19.18,2.886,621.691,-2.352,-0.784,0.35,0.594,143.303,0,0.519,60,0,0,0,1,-217.938,-2.038,-156.572,-59.328,0,0,0,0,0,0,6.133,-3.136,-0.784
2,2020-12-23 00:45:00,0.0,0.0,103.627,0.0,867,-9.06,20.94,1.939,621.564,-2.457,-0.819,0.35,0.644,144.812,0,0.525,60,0,0,0,1,-197.4,-2.129,-155.063,-40.207,0,0,0,0,0,0,6.133,-3.276,-0.819
3,2020-12-23 01:00:00,0.0,0.0,100.718,0.0,868,-9.33,23.1,1.1,621.436,-2.586,-0.862,0.35,0.696,145.835,0,0.531,60,0,0,0,1,-179.766,-2.241,-154.04,-23.485,0,0,0,0,0,0,6.133,-3.448,-0.862
4,2020-12-23 01:15:00,0.0,0.0,97.846,0.0,869,-9.32,22.36,1.506,621.385,-2.444,-0.815,0.35,0.674,145.196,0,0.529,60,0,0,0,1,-188.913,-2.118,-154.679,-32.116,0,0,0,0,0,0,6.133,-3.259,-0.815
5,2020-12-23 01:30:00,0.0,0.0,95.015,0.0,870,-9.53,21.9,1.316,621.334,-2.332,-0.777,0.35,0.649,143.98,0,0.526,60,0,0,0,1,-186.609,-2.021,-155.895,-28.694,0,0,0,0,0,0,6.133,-3.109,-0.777
6,2020-12-23 01:45:00,0.0,0.0,92.229,0.0,871,-9.61,24.03,1.158,621.282,-2.33,-0.776,0.35,0.708,145.6,0,0.532,60,0,0,0,1,-181.752,-2.019,-154.275,-25.459,0,0,0,0,0,0,6.133,-3.106,-0.776
7,2020-12-23 02:00:00,3.315,0.214,89.494,0.009,872,-9.69,25.02,0.561,621.23,-2.46,-0.82,0.35,0.733,146.138,0,0.535,60,0,0,0,1,-168.304,-2.132,-153.736,-12.435,0,0,0,0,0,0,6.133,-3.28,-0.82
8,2020-12-23 02:15:00,29.206,1.888,86.815,0.056,873,-9.93,23.92,1.008,621.136,-2.021,-0.674,0.35,0.687,144.301,0,0.53,60,0,0,0,1,-180.219,-1.752,-155.574,-22.893,0,0,0,0,0,0,6.133,-2.695,-0.674
9,2020-12-23 02:30:00,70.643,4.565,84.198,0.101,874,-9.81,22.65,2.292,621.042,-1.982,-0.661,0.35,0.657,143.627,0,0.527,60,0,0,0,1,-209.383,-1.718,-156.247,-51.418,0,0,0,0,0,0,6.133,-2.643,-0.661
