,When,sea,T_a,RH,v_a,Discharge,SW_direct,SW_diffuse,Prec,p_a,a,vp_a,LW_in
0,2021-01-30 21:00:00,0.0,-10.51,29.42,3.996,4.04,-2.536,-0.845,0,621.206,0.0,0.0,0.0
1,2021-01-30 21:15:00,0.0,-10.57,29.3,3.507,4.04,-2.581,-0.86,0,621.22,0.35,0.79993,146.09007
2,2021-01-30 21:30:00,0.0,-10.65,29.03,3.763,4.04667,-2.518,-0.839,0,621.233,0.35,0.78752,145.59286
3,2021-01-30 21:45:00,0.0,-10.76,29.31,3.718,4.04,-3.125,-1.042,0,621.246,0.35,0.78816,145.3747
4,2021-01-30 22:00:00,0.0,-10.78,29.46,3.504,4.04,-3.38,-1.126,0,621.26,0.35,0.79093,145.4048
5,2021-01-30 22:15:00,0.0,-10.8,28.72,3.051,4.04667,-3.015,-1.005,0,621.3,0.35,0.76983,144.80168
6,2021-01-30 22:30:00,0.0,-10.89,28.57,3.364,4.05333,-2.744,-0.915,0,621.34,0.35,0.76032,144.35365
7,2021-01-30 22:45:00,0.0,-10.88,28.41,3.033,4.06,-2.813,-0.938,0,621.381,0.35,0.75667,144.27557
8,2021-01-30 23:00:00,0.0,-11.02,29.9,3.392,4.04667,-2.801,-0.934,0,621.421,0.35,0.78749,144.80216
9,2021-01-30 23:15:00,0.0,-10.99,28.71,2.819,4.04333,-2.732,-0.911,0,621.423,0.35,0.75796,144.07744
10,2021-01-30 23:30:00,0.0,-11.15,28.77,3.0,4.05333,-2.858,-0.953,0,621.425,0.35,0.74988,143.51853
11,2021-01-30 23:45:00,0.0,-11.2,29.04,2.814,4.02667,-2.797,-0.932,0,621.427,0.35,0.75389,143.52224
12,2021-01-31 00:00:00,0.0,-11.25,29.2,2.889,4.02,-2.752,-0.918,0,621.428,0.35,0.75501,143.44704
13,2021-01-31 00:15:00,0.0,-11.39,29.34,2.984,4.02,-2.699,-0.9,0,621.408,0.35,0.75015,143.01962
14,2021-01-31 00:30:00,0.0,-11.39,28.65,2.94,4.01333,-2.738,-0.912,0,621.387,0.35,0.73251,142.53421
15,2021-01-31 00:45:00,0.0,-11.58,30.25,3.462,4.02,-2.692,-0.898,0,621.367,0.35,0.7617,142.93117
16,2021-01-31 01:00:00,0.0,-11.68,30.11,3.639,4.02,-2.612,-0.871,0,621.346,0.35,0.7521,142.46211
17,2021-01-31 01:15:00,0.0,-11.67,30.39,3.665,4.03,-2.673,-0.891,0,621.343,0.35,0.7597,142.68807
18,2021-01-31 01:30:00,0.0,-11.89,31.19,3.782,4.02,-2.578,-0.859,0,621.341,0.35,0.766,142.39343
19,2021-01-31 01:45:00,0.0,-12.08,31.98,4.005,4.02667,-2.546,-0.849,0,621.338,0.35,0.77345,142.19083
20,2021-01-31 02:00:00,0.02665,-12.32,32.66,4.11,4.03333,-2.572,-0.857,0,621.336,0.35,0.77471,141.7203
21,2021-01-31 02:15:00,0.07636,-12.34,31.71,3.73,4.02,-2.585,-0.862,0,621.302,0.35,0.75096,141.04956
22,2021-01-31 02:30:00,0.12521,-12.2,30.1,3.693,4.02667,-2.554,-0.852,0,621.269,0.35,0.72096,140.52086
23,2021-01-31 02:45:00,0.1731,-12.3,30.27,3.625,4.04,-2.539,-0.846,0,621.236,0.35,0.71918,140.26398
24,2021-01-31 03:00:00,0.21989,-12.25,30.37,3.513,4.02333,-2.504,-0.834,0,621.202,0.35,0.72449,140.51506
25,2021-01-31 03:15:00,0.26548,-12.36,30.86,3.717,4.02667,-2.293,-0.764,0,621.137,0.35,0.72965,140.42907
26,2021-01-31 03:30:00,0.3097,-12.5,32.28,3.908,4.02,-2.441,-0.814,0,621.071,0.35,0.75461,140.81362
