time,Discharge,temp,RH,wind,SW_global,ppt,press
2022-06-01 00:00:00,30,-1.0,96.0,5.7,0,0.0,548.924
2022-06-01 01:00:00,30,-2.1,96.0,3.1,0,0.0,548.924
2022-06-01 02:00:00,30,-2.2,94.0,4.3,0,0.0,548.924
2022-06-01 03:00:00,30,-2.7,98.0,4.4,0,0.0,548.924
2022-06-01 04:00:00,30,-2.8,96.0,4.4,0,0.0,548.924
2022-06-01 05:00:00,30,-2.2,93.0,4.1,0,0.0,548.924
2022-06-01 06:00:00,30,-2.5,98.0,3.2,0,0.0,548.924
2022-06-01 07:00:00,30,-2.7,96.0,2.3,0,0.0,548.924
2022-06-01 08:00:00,30,-2.7,98.0,2.2,0,0.0,548.924
2022-06-01 09:00:00,30,-0.7,94.0,1.5,0,0.0,548.924
2022-06-01 10:00:00,30,2.1,78.0,1.6,0,0.2,548.924
2022-06-01 11:00:00,30,3.0,64.0,3.9,0,0.0,548.924
2022-06-01 12:00:00,30,3.8,60.0,6.0,0,0.0,548.924
2022-06-01 13:00:00,30,4.5,55.0,7.0,0,0.0,548.924
2022-06-01 14:00:00,30,5.2,49.0,6.6,0,0.0,548.924
2022-06-01 15:00:00,30,5.2,48.0,8.1,0,0.0,548.924
2022-06-01 16:00:00,30,5.5,46.0,6.8,0,0.0,548.924
2022-06-01 17:00:00,30,5.1,46.0,5.5,0,0.0,548.924
2022-06-01 18:00:00,30,3.8,52.0,5.4,0,0.0,548.924
2022-06-01 19:00:00,30,1.8,62.0,3.1,0,0.0,548.924
2022-06-01 20:00:00,30,0.4,73.0,3.8,0,0.0,548.924
2022-06-01 21:00:00,30,0.6,66.0,3.0,0,0.0,548.924
2022-06-01 22:00:00,30,-0.2,65.0,3.7,0,0.0,548.924
2022-06-01 23:00:00,30,-1.1,68.0,3.5,0,0.0,548.924
2022-06-02 00:00:00,30,-1.3,66.0,4.1,0,0.0,548.924
2022-06-02 01:00:00,30,-1.6,72.0,3.9,0,0.0,548.924
2022-06-02 02:00:00,30,-1.2,74.0,2.5,0,0.0,548.924
2022-06-02 03:00:00,30,-1.8,82.0,2.1,0,0.0,548.924
2022-06-02 04:00:00,30,-2.4,88.0,0.8,0,0.0,548.924
2022-06-02 05:00:00,30,-2.1,82.0,1.2,0,0.0,548.924
2022-06-02 06:00:00,30,-2.3,84.0,0.0,0,0.0,548.924
2022-06-02 07:00:00,30,-2.6,91.0,0.5,0,0.0,548.924
2022-06-02 08:00:00,30,-3.0,91.0,0.0,0,0.0,548.924
2022-06-02 09:00:00,30,-0.4,82.0,1.3,0,0.0,548.924
2022-06-02 10:00:00,30,2.3,67.0,0.7,0,0.0,548.924
2022-06-02 11:00:00,30,4.9,58.0,2.6,0,0.0,548.924
2022-06-02 12:00:00,30,6.7,50.0,7.5,0,0.0,548.924
2022-06-02 13:00:00,30,6.5,56.0,7.6,0,0.0,548.924
2022-06-02 14:00:00,30,6.6,60.0,6.8,0,0.0,548.924
2022-06-02 15:00:00,30,6.7,62.0,7.8,0,0.0,548.924
2022-06-02 16:00:00,30,6.5,67.0,7.3,0,0.0,548.924
2022-06-02 17:00:00,30,6.9,52.0,6.3,0,0.0,548.924
2022-06-02 18:00:00,30,4.7,74.0,6.9,0,0.0,548.924
2022-06-02 19:00:00,30,2.3,69.0,5.9,0,0.0,548.924
2022-06-02 20:00:00,30,0.8,77.0,3.6,0,0.0,548.924
2022-06-02 21:00:00,30,-0.8,89.0,3.5,0,0.0,548.924
2022-06-02 22:00:00,30,-1.1,91.0,1.8,0,0.0,548.924
2022-06-02 23:00:00,30,-1.0,95.0,3.4,0,0.0,548.924
2022-06-03 00:00:00,30,-1.6,100.0,3.3,0,0.0,548.924
2022-06-03 01:00:00,30,-1.4,98.0,0.8,0,0.0,548.924
2022-06-03 02:00:00,30,-2.9,100.0,0.0,0,0.0,548.924
2022-06-03 03:00:00,30,-2.6,100.0,0.2,0,0.0,548.924
2022-06-03 04:00:00,30,-2.7,100.0,0.0,0,0.0,548.924
2022-06-03 05:00:00,30,-2.5,100.0,0.7,0,0.0,548.924
2022-06-03 06:00:00,30,-2.1,99.0,1.3,0,0.0,548.924
2022-06-03 07:00:00,30,-3.2,99.0,0.0,0,0.0,548.924
2022-06-03 08:00:00,30,-1.8,99.0,0.8,0,0.0,548.924
2022-06-03 09:00:00,30,-0.5,98.0,0.4,0,0.0,548.924
2022-06-03 10:00:00,30,1.3,82.0,0.6,0,0.0,548.924
2022-06-03 11:00:00,30,3.1,66.0,0.5,0,0.0,548.924
2022-06-03 12:00:00,30,4.4,63.0,2.2,0,0.0,548.924
2022-06-03 13:00:00,30,4.9,64.0,5.0,0,0.0,548.924
2022-06-03 14:00:00,30,6.0,59.0,5.0,0,0.0,548.924
2022-06-03 15:00:00,30,6.4,57.0,5.2,0,0.0,548.924
2022-06-03 16:00:00,30,6.2,56.0,3.7,0,0.0,548.924
2022-06-03 17:00:00,30,6.3,57.0,1.8,0,0.0,548.924
2022-06-03 18:00:00,30,5.5,59.0,5.7,0,0.0,548.924
2022-06-03 19:00:00,30,2.5,78.0,4.6,0,0.0,548.924
2022-06-03 20:00:00,30,-0.1,98.0,3.7,0,0.0,548.924
2022-06-03 21:00:00,30,-0.4,100.0,1.1,0,0.0,548.924
2022-06-03 22:00:00,30,-0.8,100.0,0.2,0,0.0,548.924
2022-06-03 23:00:00,30,-1.5,100.0,0.4,0,0.0,548.924
2022-06-04 00:00:00,30,-1.7,100.0,0.0,0,0.0,548.924
2022-06-04 01:00:00,30,-2.5,100.0,2.5,0,0.0,548.924
2022-06-04 02:00:00,30,-2.0,100.0,3.5,0,0.0,548.924
2022-06-04 03:00:00,30,-1.1,100.0,1.0,0,0.0,548.924
2022-06-04 04:00:00,30,-2.1,100.0,0.1,0,0.0,548.924
2022-06-04 05:00:00,30,-2.6,100.0,0.0,0,0.0,548.924
2022-06-04 06:00:00,30,-2.5,100.0,0.0,0,0.0,548.924
2022-06-04 07:00:00,30,-1.9,100.0,0.0,0,0.0,548.924
2022-06-04 08:00:00,30,-2.2,100.0,1.1,0,0.0,548.924
2022-06-04 09:00:00,30,-0.5,100.0,0.1,0,0.1,548.924
2022-06-04 10:00:00,30,1.8,87.0,0.2,0,0.2,548.924
2022-06-04 11:00:00,30,3.1,72.0,1.4,0,0.0,548.924
2022-06-04 12:00:00,30,4.1,65.0,1.8,0,0.0,548.924
2022-06-04 13:00:00,30,5.2,57.0,2.3,0,0.0,548.924
2022-06-04 14:00:00,30,6.7,48.0,2.2,0,0.0,548.924
2022-06-04 15:00:00,30,6.7,44.0,4.9,0,0.0,548.924
2022-06-04 16:00:00,30,7.4,43.0,5.0,0,0.0,548.924
2022-06-04 17:00:00,30,5.6,55.0,5.1,0,0.0,548.924
2022-06-04 18:00:00,30,5.3,63.0,5.7,0,0.0,548.924
2022-06-04 19:00:00,30,2.6,78.0,3.1,0,0.0,548.924
2022-06-04 20:00:00,30,2.5,87.0,3.0,0,0.0,548.924
2022-06-04 21:00:00,30,2.0,93.0,1.8,0,0.0,548.924
2022-06-04 22:00:00,30,1.8,98.0,0.0,0,0.0,548.924
2022-06-04 23:00:00,30,1.8,97.0,3.1,0,0.0,548.924
2022-06-05 00:00:00,30,1.5,98.0,2.5,0,0.0,548.924
2022-06-05 01:00:00,30,0.7,100.0,3.9,0,0.0,548.924
2022-06-05 02:00:00,30,-0.8,100.0,2.8,0,0.0,548.924
2022-06-05 03:00:00,30,-1.8,99.0,1.1,0,0.0,548.924
2022-06-05 04:00:00,30,-2.1,100.0,1.7,0,0.0,548.924
2022-06-05 05:00:00,30,-1.6,100.0,0.0,0,0.0,548.924
2022-06-05 06:00:00,30,-2.3,100.0,3.2,0,0.0,548.924
2022-06-05 07:00:00,30,-2.2,100.0,1.2,0,0.0,548.924
2022-06-05 08:00:00,30,-1.4,96.0,0.0,0,0.0,548.924
2022-06-05 09:00:00,30,0.1,88.0,0.4,0,0.0,548.924
2022-06-05 10:00:00,30,2.5,70.0,1.8,0,0.0,548.924
2022-06-05 11:00:00,30,4.4,59.0,1.6,0,0.0,548.924
2022-06-05 12:00:00,30,5.9,48.0,3.4,0,0.0,548.924
2022-06-05 13:00:00,30,7.1,44.0,5.4,0,0.0,548.924
2022-06-05 14:00:00,30,7.7,39.0,5.5,0,0.0,548.924
2022-06-05 15:00:00,30,7.9,41.0,5.1,0,0.0,548.924
