When,guttannen21,gangles21,guttannen20,schwarzsee19
2022-11-22,14.48769883933038,,,
2022-11-23,15.894560699452155,,,
2022-11-24,18.233621931502956,,,
2022-11-25,20.992424996989353,,,
2022-11-26,23.619660500080087,,,
2022-11-27,26.426833594292926,,,
2022-11-28,29.078094469208484,,,
2022-11-29,32.20127165109158,,,
2022-11-30,36.4710153456372,,,
2022-12-01,40.405301505130396,,,
2022-12-02,42.37210048834299,,,
2022-12-03,44.4047359121221,,,
2022-12-04,43.9206658756942,,,
2022-12-05,45.877193202244264,,,
2022-12-06,50.736922495046,,,
2022-12-07,53.471437077534965,,,
2022-12-08,52.673841546690205,,,
2022-12-09,53.02296408221567,,,
2022-12-10,55.91451795309294,,,
2022-12-11,59.27408765669622,,,
2022-12-12,58.550997414432885,,,
2022-12-13,60.114691545787444,,,
2022-12-14,60.510893277732386,,,
2022-12-15,59.26040209527036,,,
2022-12-16,57.579397283064175,,,
2022-12-17,56.523495262740745,,,
2022-12-18,56.52232795341295,,,
2022-12-19,53.87798768680991,,,
2022-12-20,50.6643731889977,,,
2022-12-21,49.57192739087716,,,
2022-12-22,47.8867650828303,,,
2022-12-23,46.441378855515644,,,
2022-12-24,45.16857698298958,,,
2022-12-25,46.038850748197554,,,
2022-12-26,48.585760349030615,,,
2022-12-27,52.76851676978429,,,
2022-12-28,47.95773763173195,,,
2022-12-29,48.196800085681595,,,
2022-12-30,50.77201037862156,,,
2022-12-31,53.35704228052345,,,
2023-01-01,52.27295626531142,,,
2023-01-02,53.364857875172,,,
2023-01-03,54.80149512082365,,22.447220124305147,
2023-01-04,57.14422748384843,,25.979903228105485,
2023-01-05,59.94976794525831,,26.74900354751585,
2023-01-06,62.802724443157295,,30.570752770378192,
2023-01-07,66.92358240953217,,34.012255853098175,
2023-01-08,72.97959898684599,,37.27522961604601,
2023-01-09,79.3404595825247,,39.477709725428944,
2023-01-10,85.74589324965469,,41.292668153382415,
2023-01-11,93.62030350857009,,42.96136370719197,
2023-01-12,99.65418133891693,,47.724145404634406,
2023-01-13,102.97997578354689,,51.57257513966608,
2023-01-14,106.53814443783197,,55.64350437399806,
2023-01-15,112.42064765960724,,58.65496968986947,
2023-01-16,116.42607059996244,,61.61715483584208,
2023-01-17,120.50461511960584,,64.62153440380469,
2023-01-18,123.74254000541028,72.62845038920545,66.61275039860467,
2023-01-19,128.46729623359374,94.70125080213298,70.66262511239232,
2023-01-20,131.12665878695083,113.07858987642418,76.14744497452483,
2023-01-21,127.56310001359138,129.64805587572246,78.787085678318,
2023-01-22,123.3888476465222,148.15529523616738,79.66638845124398,
2023-01-23,122.51034172635674,164.67161661807737,81.9587376258318,
2023-01-24,125.08760707542872,182.1318661346501,83.13503004526116,
2023-01-25,128.5019279135743,203.37939725138665,85.88589427909174,
2023-01-26,132.38643005827134,225.40232157003803,88.67737888578993,
2023-01-27,138.38851656348473,247.98863474449874,89.69207811094981,
2023-01-28,146.25789548520785,270.87906836480727,88.21163883307696,
2023-01-29,146.25637686722723,288.0365994134974,91.56222955979524,
2023-01-30,145.49270940915682,288.8703257956389,93.77850301101962,0.03327691405583187
2023-01-31,145.105525014741,289.6809461829204,92.67853331294587,0.04250098080616504
2023-02-01,144.47628705743347,305.5564262941384,90.71359878879711,0.08072128636480429
2023-02-02,143.38549022201,324.4528548864203,87.74258583917954,0.14267062399058092
2023-02-03,139.4276872467747,344.82742718686717,84.12595682013607,0.2209906793594527
2023-02-04,137.31209651533726,365.1012962650688,82.05142570488232,0.25541787160114954
2023-02-05,136.4803874276391,386.7766397016101,86.20071374689115,0.2578730291771841
2023-02-06,129.30636280922064,401.7255944296333,90.96109792697557,0.33199820105363304
2023-02-07,121.93279413222291,403.0140075586501,95.79081383991151,0.33870714451263506
2023-02-08,123.74072529484873,410.83544890347963,99.8384856662273,0.3381633611043555
2023-02-09,125.54207788715132,411.888004612535,102.37898145413578,0.3368915978181623
2023-02-10,125.3731163902615,418.6597549471689,96.49968118746678,0.327538307777333
