,DX,rmse,AIR
0,65.0,30.35,IN21
1,64.0,30.72,IN21
2,66.0,30.81,IN21
3,63.0,31.03,IN21
4,62.0,31.35,IN21
5,61.0,31.41,IN21
6,67.0,31.67,IN21
7,60.0,31.73,IN21
8,59.0,32.46,IN21
9,68.0,32.5,IN21
10,58.0,32.72,IN21
11,54.0,33.31,IN21
12,57.0,33.51,IN21
13,56.0,33.93,IN21
14,55.0,34.03,IN21
15,53.0,35.48,IN21
16,52.0,37.13,IN21
17,51.0,38.82,IN21
18,69.0,40.56,IN21
19,70.0,42.82,IN21
20,50.0,43.37,IN21
21,49.0,45.11,IN21
22,71.0,45.93,IN21
23,72.0,48.13,IN21
24,73.0,50.29,IN21
25,48.0,50.62,IN21
26,47.0,52.4,IN21
27,74.0,52.43,IN21
28,46.0,54.22,IN21
29,75.0,54.54,IN21
30,45.0,56.08,IN21
31,76.0,58.01,IN21
32,44.0,59.63,IN21
33,77.0,60.28,IN21
34,78.0,63.37,IN21
35,79.0,65.37,IN21
36,43.0,69.22,IN21
37,80.0,69.71,IN21
38,81.0,71.68,IN21
39,82.0,73.63,IN21
40,42.0,73.99,IN21
41,83.0,75.56,IN21
42,84.0,77.46,IN21
43,85.0,79.34,IN21
44,41.0,79.67,IN21
45,86.0,81.74,IN21
46,87.0,83.58,IN21
47,40.0,84.12,IN21
48,88.0,85.4,IN21
49,89.0,87.6,IN21
50,39.0,88.25,IN21
51,90.0,89.38,IN21
52,91.0,91.14,IN21
53,38.0,92.31,IN21
54,92.0,92.88,IN21
55,93.0,94.61,IN21
56,37.0,95.14,IN21
57,94.0,99.2,IN21
58,36.0,99.45,IN21
59,95.0,100.9,IN21
60,35.0,102.35,IN21
61,96.0,102.58,IN21
62,97.0,104.21,IN21
63,98.0,106.12,IN21
64,33.0,107.12,IN21
65,99.0,107.65,IN21
66,34.0,108.16,IN21
67,100.0,109.17,IN21
68,32.0,111.36,IN21
69,31.0,116.56,IN21
70,30.0,123.46,IN21
71,29.0,135.0,IN21
72,28.0,137.79,IN21
73,26.0,151.63,IN21
74,27.0,151.64,IN21
75,25.0,157.13,IN21
76,24.0,174.01,IN21
77,23.0,180.41,IN21
78,22.0,191.05,IN21
79,21.0,203.47,IN21
80,20.0,210.54,IN21
81,19.0,221.67,IN21
82,18.0,236.92,IN21
83,17.0,260.81,IN21
84,16.0,287.06,IN21
85,15.0,330.21,IN21
86,14.0,355.08,IN21
87,13.0,400.99,IN21
88,12.0,448.45,IN21
89,11.0,478.08,IN21
90,10.0,508.79,IN21
91,45.0,8.54,CH21
92,46.0,8.6,CH21
93,44.0,8.62,CH21
94,43.0,8.7,CH21
95,47.0,8.75,CH21
96,42.0,8.81,CH21
97,41.0,8.89,CH21
98,48.0,8.89,CH21
99,40.0,9.01,CH21
100,39.0,9.09,CH21
101,49.0,9.09,CH21
102,50.0,9.24,CH21
103,51.0,9.39,CH21
104,38.0,9.41,CH21
105,52.0,9.53,CH21
106,53.0,9.65,CH21
107,54.0,9.77,CH21
108,55.0,9.89,CH21
109,37.0,10.01,CH21
110,56.0,10.07,CH21
111,57.0,10.41,CH21
112,36.0,10.77,CH21
113,58.0,10.81,CH21
114,35.0,11.46,CH21
115,59.0,11.48,CH21
116,60.0,11.92,CH21
117,34.0,11.93,CH21
118,61.0,12.28,CH21
119,33.0,12.66,CH21
120,62.0,12.67,CH21
121,63.0,13.06,CH21
122,32.0,13.34,CH21
123,64.0,13.46,CH21
124,65.0,13.68,CH21
125,66.0,14.07,CH21
126,31.0,14.25,CH21
127,67.0,14.45,CH21
128,68.0,14.77,CH21
129,30.0,15.12,CH21
130,69.0,15.14,CH21
131,70.0,15.28,CH21
132,71.0,15.63,CH21
133,72.0,15.96,CH21
134,29.0,16.04,CH21
135,73.0,16.3,CH21
136,74.0,16.59,CH21
137,75.0,16.85,CH21
138,76.0,17.04,CH21
139,28.0,17.19,CH21
140,77.0,17.22,CH21
141,78.0,17.4,CH21
142,79.0,17.57,CH21
143,80.0,17.75,CH21
144,81.0,17.92,CH21
145,82.0,18.09,CH21
146,83.0,18.25,CH21
147,27.0,18.36,CH21
148,84.0,18.39,CH21
149,85.0,18.64,CH21
150,86.0,18.8,CH21
151,87.0,18.98,CH21
152,88.0,19.15,CH21
153,89.0,19.31,CH21
154,90.0,19.46,CH21
155,91.0,19.62,CH21
156,26.0,19.67,CH21
157,92.0,19.78,CH21
158,93.0,19.93,CH21
159,94.0,20.09,CH21
160,95.0,20.23,CH21
161,96.0,20.39,CH21
162,97.0,20.54,CH21
163,98.0,20.68,CH21
164,99.0,20.82,CH21
165,25.0,20.86,CH21
166,100.0,20.96,CH21
167,24.0,22.82,CH21
168,23.0,24.74,CH21
169,22.0,26.92,CH21
170,21.0,28.99,CH21
171,20.0,30.98,CH21
172,19.0,33.04,CH21
173,18.0,35.17,CH21
174,17.0,36.61,CH21
175,16.0,38.81,CH21
176,15.0,41.37,CH21
177,14.0,44.24,CH21
178,13.0,46.16,CH21
179,12.0,48.17,CH21
180,11.0,48.78,CH21
181,10.0,49.35,CH21
