time,temp,RH,wind,SW_direct,SW_diffuse,alb,press,missing_type,LW_in,Qs_meas,ppt,snow_h
2021-12-03 08:00:00,-6.115,96.225,,0.414,0.27599999999999997,,89.42,-,286.03999999999996,,,47.72
2021-12-03 09:00:00,-5.675,96.46000000000001,,4.1610000000000005,2.7740000000000005,,89.47,-,289.83500000000004,,0.0,46.95
2021-12-03 10:00:00,-6.234999999999999,95.38,0.5700000000000001,48.732,32.488,,89.5,-,294.71000000000004,4.83,0.0,46.685
2021-12-03 11:00:00,-5.895,95.625,0.625,106.34400000000001,70.896,,89.47999999999999,-,313.30499999999995,1.4049999999999998,0.0,46.325
2021-12-03 12:00:00,-7.72,93.405,0.5549999999999999,13.565999999999999,9.044,,89.455,-,299.17999999999995,-2.535,0.0,45.825
2021-12-03 13:00:00,-9.33,93.72999999999999,0.45499999999999996,9.726,6.484000000000001,,89.33500000000001,-,277.25,3.72,0.0,40.805
2021-12-03 14:00:00,-9.11,94.71000000000001,0.41000000000000003,15.321,10.214,,89.43,-,275.875,-4.92,13.215000000000003,45.21
2021-12-03 15:00:00,-7.505,95.29,0.44499999999999995,14.738999999999997,9.826,,89.41,-,284.445,-2.7,0.0,44.56999999999999
2021-12-03 16:00:00,-5.9399999999999995,96.065,0.6,5.063999999999999,3.376,,89.435,-,289.875,-33.254999999999995,0.0,43.92
2021-12-03 17:00:00,-4.8149999999999995,96.815,0.41000000000000003,-0.051,-0.033999999999999996,,89.4,-,292.22,-8.955,0.0,43.43
2021-12-03 18:00:00,-4.359999999999999,96.49000000000001,0.585,-0.243,-0.16200000000000003,,89.39,-,294.47,-1.67,0.0,42.845
2021-12-03 19:00:00,-3.925,96.375,0.735,-0.255,-0.17,,89.345,-,296.735,0.35000000000000003,0.0,42.230000000000004
2021-12-03 20:00:00,-3.73,96.735,0.515,-0.21,-0.13999999999999999,,89.285,-,297.935,-3.085,0.0,42.04
2021-12-03 21:00:00,-3.385,96.525,0.745,-0.23399999999999999,-0.15600000000000003,,89.19,-,299.36,-0.85,0.0,42.125
2021-12-03 22:00:00,-3.315,96.45500000000001,0.61,-0.222,-0.148,,89.125,-,299.63,0.29500000000000004,0.0,39.975
2021-12-03 23:00:00,-3.07,95.58500000000001,0.725,-0.363,-0.242,,88.99000000000001,-,300.375,0.54,4.124999999999979,41.349999999999994
2021-12-04 00:00:00,-2.795,95.86,0.5700000000000001,-0.294,-0.196,,89.005,-,301.355,0.905,3.6300000000000234,42.56
2021-12-04 01:00:00,-2.18,96.935,0.6100000000000001,-0.22799999999999998,-0.15200000000000002,,88.955,-,304.34000000000003,0.09999999999999998,0.0,41.265
2021-12-04 02:00:00,-1.8450000000000002,96.97,0.47500000000000003,-0.17400000000000002,-0.11600000000000002,,88.935,-,306.71500000000003,7.470000000000001,0.0,40.47
