MultiMADD2 N°2023
Measuring site:	MultiMADD2 n° 2023 - UniFR

Timezone:	GMT+01:00
Conductivity:	Compensated at 25°C

Date and time	M1 - Wind direction	M2 - Average wind	M3 - Maximum wind	M4 - Air temperature	M5 - Humidity	M6 - Atmospheric pressure	M7 - Rain
2020.12.20 10:50:00	96	0.5	1.1	5.0	56.7	900.2	0.00
2020.12.20 10:55:00	92	0.4	1.1	5.1	56.0	900.2	0.00
2020.12.20 11:00:00	129	0.6	1.2	4.9	58.7	900.1	0.00
2020.12.20 11:05:00	188	0.5	1.0	4.4	60.9	900.0	0.00
2020.12.20 11:10:00	97	0.4	1.0	4.5	60.3	900.0	0.00
2020.12.20 11:15:00	346	0.5	1.0	4.0	63.3	900.0	0.00
2020.12.20 11:20:00	80	0.9	1.8	3.3	64.3	900.0	0.00
2020.12.20 11:25:00	94	0.8	1.3	3.4	64.4	900.0	0.00
2020.12.20 11:30:00	116	0.6	1.4	3.5	66.0	900.0	0.00
2020.12.20 11:35:00	95	0.6	1.4	3.9	62.1	900.0	0.00
2020.12.20 11:40:00	105	0.7	1.4	4.2	61.7	900.0	0.00
2020.12.20 11:45:00	323	0.8	2.3	4.2	62.6	899.9	0.00
2020.12.20 11:50:00	214	0.6	1.5	4.6	60.1	899.9	0.00
2020.12.20 11:55:00	211	0.5	1.6	4.8	59.6	899.9	0.00
2020.12.20 12:00:00	188	0.6	1.9	5.0	57.1	899.8	0.00
2020.12.20 12:05:00	157	0.9	1.9	4.9	59.1	899.9	0.00
2020.12.20 12:10:00	209	0.7	2.0	4.7	57.7	900.1	0.00
2020.12.20 12:15:00	1	0.5	1.1	5.0	57.1	900.1	0.00
2020.12.20 12:20:00	92	0.9	1.8	4.9	58.0	900.2	0.00
2020.12.20 12:25:00	229	0.7	1.5	4.9	57.3	900.2	0.00
2020.12.20 12:30:00	207	0.4	0.9	4.9	57.5	900.2	0.00
2020.12.20 12:35:00	227	0.4	0.9	5.0	57.7	900.2	0.00
2020.12.20 12:40:00	237	0.4	1.3	5.0	58.6	900.2	0.00
2020.12.20 12:45:00	50	0.5	1.0	4.8	59.7	900.3	0.00
2020.12.20 12:50:00	143	0.5	1.3	4.7	60.3	900.3	0.00
2020.12.20 12:55:00	109	0.4	0.9	4.4	63.3	900.3	0.00
2020.12.20 13:00:00	123	0.2	0.6	4.5	61.3	900.3	0.00
2020.12.20 13:05:00	93	0.2	0.6	4.6	60.4	900.4	0.00
2020.12.20 13:10:00	133	0.6	1.5	4.1	63.1	900.4	0.00
2020.12.20 13:15:00	56	0.4	0.9	4.1	63.1	900.4	0.00
2020.12.20 13:20:00	324	0.3	0.7	4.2	63.7	900.4	0.00
2020.12.20 13:25:00	129	0.2	0.7	4.3	63.8	900.3	0.00
2020.12.20 13:30:00	150	0.4	0.9	3.8	66.7	900.3	0.00
2020.12.20 13:35:00	130	0.4	0.9	3.8	66.4	900.3	0.00
2020.12.20 13:40:00	308	0.3	0.6	4.0	66.2	900.3	0.00
2020.12.20 13:45:00	196	0.5	0.9	4.0	66.3	900.4	0.00
2020.12.20 13:50:00	92	0.5	0.9	3.6	66.9	900.4	0.00
2020.12.20 13:55:00	87	0.6	0.9	3.7	65.6	900.5	0.00
2020.12.20 14:00:00	105	0.5	1.1	3.3	69.9	900.5	0.00
2020.12.20 14:05:00	93	0.3	0.7	3.5	67.1	900.5	0.00
2020.12.20 14:10:00	204	0.2	0.6	3.8	69.6	900.5	0.00
2020.12.20 14:15:00	100	0.4	0.8	3.6	70.1	900.5	0.00
2020.12.20 14:20:00	80	0.5	0.8	3.5	68.7	900.5	0.00
2020.12.20 14:25:00	95	0.5	0.8	3.4	67.6	900.6	0.00
2020.12.20 14:30:00	101	0.6	0.8	2.9	70.2	900.6	0.00
2020.12.20 14:35:00	95	0.6	1.0	2.9	70.7	900.6	0.00
2020.12.20 14:40:00	92	0.3	0.7	2.9	70.6	900.5	0.00
2020.12.20 14:45:00	112	0.3	0.6	2.8	71.5	900.5	0.00
2020.12.20 14:50:00	74	0.3	1.0	2.7	72.0	900.6	0.00
2020.12.20 14:55:00	100	0.6	1.3	2.6	70.9	900.6	0.00
2020.12.20 15:00:00	69	0.7	1.3	2.4	71.8	900.6	0.00
2020.12.20 15:05:00	86	0.4	0.9	2.4	71.9	900.6	0.00
2020.12.20 15:10:00	337	0.2	0.5	2.4	73.6	900.7	0.00
2020.12.20 15:15:00	135	0.3	0.8	2.1	72.7	900.7	0.00
2020.12.20 15:20:00	127	0.3	0.7	1.9	74.7	900.7	0.00
2020.12.20 15:25:00	18	0.4	1.1	2.1	74.1	900.6	0.00
2020.12.20 15:30:00	231	0.6	1.1	2.1	75.6	900.7	0.00
2020.12.20 15:35:00	187	0.3	0.7	2.1	75.2	900.7	0.00
2020.12.20 15:40:00	134	0.4	0.9	2.1	74.7	900.6	0.00
2020.12.20 15:45:00	89	0.5	1.0	1.8	74.1	900.6	0.00
2020.12.20 15:50:00	315	0.5	1.2	1.8	73.9	900.5	0.00
2020.12.20 15:55:00	107	0.5	1.2	1.4	76.1	900.6	0.00
2020.12.20 16:00:00	82	0.4	0.8	1.4	77.7	900.6	0.00
2020.12.20 16:05:00	217	0.3	0.7	1.5	78.6	900.7	0.00
2020.12.20 16:10:00	39	0.2	0.5	1.5	78.2	900.9	0.00
2020.12.20 16:15:00	172	0.3	1.0	1.4	74.8	900.9	0.00
2020.12.20 16:20:00	67	0.3	0.7	1.1	75.8	900.9	0.00
2020.12.20 16:25:00	98	0.5	0.9	1.1	76.6	901.0	0.00
2020.12.20 16:30:00	223	0.2	0.5	1.1	77.0	901.0	0.00
2020.12.20 16:35:00	105	0.3	0.8	0.8	77.4	901.0	0.00
2020.12.20 16:40:00	61	0.2	0.8	0.8	79.5	901.0	0.00
2020.12.20 16:45:00	149	0.3	0.7	0.6	76.7	901.1	0.00
2020.12.20 16:50:00	83	0.5	0.9	0.4	78.3	901.1	0.00
2020.12.20 16:55:00	223	0.2	0.5	0.5	79.5	901.2	0.00
2020.12.20 17:00:00	296	0.4	1.0	0.5	80.7	901.2	0.00
2020.12.20 17:05:00	144	0.6	1.2	0.4	80.1	901.3	0.00
2020.12.20 17:10:00	132	0.3	0.8	0.3	79.2	901.4	0.00
2020.12.20 17:15:00	166	0.2	0.7	0.0	76.7	901.5	0.00
2020.12.20 17:20:00	99	0.5	0.7	0.0	81.6	901.5	0.00
2020.12.20 17:25:00	110	0.3	0.7	0.0	79.7	901.5	0.00
