,time,ghi,sea,temp,RH,wind,SW_global,ppt,vp_a,press,cld,Discharge,alb,LW_in,SW_direct,SW_diffuse,T_F,e_a
0,2020-11-22 15:00:00,188.171,0.23,2.517,87.467,1.083,129.005,0.0,6.4,805.094,0.0,0.851,0.85,0.0,129.005,0.0,1.5,
1,2020-11-22 16:00:00,64.872,0.101,2.083,88.483,1.083,19.834,0.0,6.267,805.101,0.0,1.758,0.845,235.041,19.834,0.0,1.5,0.722
2,2020-11-22 17:00:00,0.0,0.0,1.733,89.617,1.717,0.0,0.0,6.2,805.3,0.0,2.01,0.839,233.531,0.0,0.0,1.5,0.721
3,2020-11-22 18:00:00,0.0,0.0,1.717,90.083,2.0,0.0,0.0,6.2,805.414,0.0,1.889,0.834,233.479,0.0,0.0,1.5,0.721
4,2020-11-22 19:00:00,0.0,0.0,1.45,89.3,1.1,0.0,0.0,6.067,805.399,0.0,2.432,0.829,231.886,0.0,0.0,1.5,0.719
5,2020-11-22 20:00:00,0.0,0.0,1.15,90.567,1.467,0.0,0.0,6.017,805.474,0.0,2.461,0.824,230.638,0.0,0.0,1.5,0.719
6,2020-11-22 21:00:00,0.0,0.0,1.45,90.917,1.45,0.0,0.0,6.167,805.517,0.0,2.275,0.819,232.428,0.0,0.0,1.5,0.721
7,2020-11-22 22:00:00,0.0,0.0,2.05,88.6,1.017,0.0,0.0,6.267,805.198,0.0,2.177,0.814,234.932,0.0,0.0,1.5,0.722
8,2020-11-22 23:00:00,0.0,0.0,1.883,86.583,0.85,0.0,0.0,6.05,805.072,0.0,2.376,0.809,233.206,0.0,0.0,1.5,0.719
9,2020-11-23 00:00:00,0.0,0.0,0.9,88.7,0.583,0.0,0.0,5.767,805.126,0.0,2.832,0.804,228.439,0.0,0.0,1.5,0.714
10,2020-11-23 01:00:00,0.0,0.0,0.067,91.267,1.167,0.0,0.0,5.6,804.777,0.0,3.109,0.799,224.826,0.0,0.0,1.5,0.712
11,2020-11-23 02:00:00,0.0,0.0,-0.25,92.6,1.0,0.0,0.0,5.583,805.022,0.0,3.236,0.794,223.725,0.0,0.0,0.0,0.711
12,2020-11-23 03:00:00,0.0,0.0,-0.183,93.033,1.617,0.0,0.0,5.617,804.644,0.0,3.245,0.79,224.131,0.0,0.0,0.0,0.712
13,2020-11-23 04:00:00,0.0,0.0,0.183,93.0,1.517,0.0,0.0,5.767,804.584,0.0,3.008,0.785,226.142,0.0,0.0,1.5,0.715
14,2020-11-23 05:00:00,0.0,0.0,0.5,92.183,1.35,0.0,0.0,5.8,804.533,0.0,2.843,0.78,227.341,0.0,0.0,1.5,0.715
15,2020-11-23 06:00:00,0.0,0.0,0.133,90.933,0.667,0.0,0.0,5.617,804.679,0.0,3.08,0.775,225.133,0.0,0.0,1.5,0.712
16,2020-11-23 07:00:00,0.0,0.0,-0.367,91.7,1.167,1.946,0.0,5.45,805.061,0.0,3.33,0.771,222.587,1.946,0.0,0.0,0.709
17,2020-11-23 08:00:00,15.487,0.035,0.117,93.083,1.167,78.268,0.0,5.75,805.085,0.0,2.961,0.766,225.836,78.268,0.0,1.5,0.714
18,2020-11-23 09:00:00,132.484,0.174,1.467,92.367,0.933,208.086,0.0,6.25,805.278,0.0,1.673,0.762,232.928,208.086,0.0,1.5,0.722
19,2020-11-23 10:00:00,246.933,0.287,2.967,85.583,0.583,314.664,0.0,6.467,805.135,0.0,0.7,0.757,239.037,314.664,0.0,1.5,0.725
20,2020-11-23 11:00:00,328.153,0.364,3.783,80.433,0.25,375.086,0.0,6.45,804.989,0.0,0.341,0.753,241.682,375.086,0.0,1.5,0.725
21,2020-11-23 12:00:00,363.989,0.398,4.15,80.117,0.0,390.616,0.0,6.617,804.837,0.0,0.301,0.748,243.808,390.616,0.0,1.5,0.727
22,2020-11-23 13:00:00,349.879,0.385,3.967,79.583,0.167,346.989,0.0,6.467,804.533,0.0,0.263,0.744,242.393,346.989,0.0,1.5,0.725
23,2020-11-23 14:00:00,287.577,0.326,3.3,84.217,1.417,256.875,0.0,6.517,804.506,0.0,0.0,0.739,240.415,256.875,0.0,1.5,0.726
24,2020-11-23 15:00:00,185.551,0.228,2.717,84.483,1.183,135.627,0.0,6.267,804.252,0.0,0.754,0.735,237.136,135.627,0.0,1.5,0.722
25,2020-11-23 16:00:00,62.955,0.099,1.717,85.2,1.533,20.688,0.0,5.9,804.37,0.0,1.836,0.731,231.831,20.688,0.0,1.5,0.716
26,2020-11-23 17:00:00,0.0,0.0,1.133,85.3,1.7,0.0,0.0,5.65,804.41,0.0,2.521,0.727,228.519,0.0,0.0,1.5,0.712
27,2020-11-23 18:00:00,0.0,0.0,0.9,86.483,1.8,0.0,0.0,5.617,804.583,0.0,2.634,0.722,227.58,0.0,0.0,1.5,0.712
28,2020-11-23 19:00:00,0.0,0.0,0.867,86.233,2.0,0.0,0.0,5.6,804.511,0.0,2.627,0.718,227.376,0.0,0.0,1.5,0.711
29,2020-11-23 20:00:00,0.0,0.0,0.767,86.233,1.8,0.0,0.0,5.567,804.513,0.0,2.733,0.714,226.865,0.0,0.0,1.5,0.711
30,2020-11-23 21:00:00,0.0,0.0,0.7,85.6,1.9,0.0,0.0,5.5,804.501,0.0,2.781,0.71,226.259,0.0,0.0,1.5,0.71
31,2020-11-23 22:00:00,0.0,0.0,0.467,86.1,1.517,0.0,0.0,5.433,804.277,0.0,2.968,0.706,225.123,0.0,0.0,1.5,0.708
32,2020-11-23 23:00:00,0.0,0.0,0.2,87.35,2.0,0.0,0.0,5.4,804.182,0.0,3.107,0.702,224.082,0.0,0.0,1.5,0.708
33,2020-11-24 00:00:00,0.0,0.0,0.133,87.35,1.9,0.0,0.0,5.4,804.112,0.0,3.156,0.698,223.87,0.0,0.0,1.5,0.708
34,2020-11-24 01:00:00,0.0,0.0,0.0,88.2,1.8,0.0,0.0,5.4,803.81,0.0,3.23,0.694,223.45,0.0,0.0,1.5,0.708
35,2020-11-24 02:00:00,0.0,0.0,0.183,86.617,1.817,0.0,0.0,5.367,803.668,0.0,3.135,0.69,223.832,0.0,0.0,1.5,0.707
36,2020-11-24 03:00:00,0.0,0.0,0.183,85.0,1.5,0.0,0.0,5.25,803.136,0.0,3.167,0.686,223.128,0.0,0.0,1.5,0.705
37,2020-11-24 04:00:00,0.0,0.0,-0.183,86.567,1.517,0.0,0.0,5.2,803.139,0.0,3.363,0.682,221.675,0.0,0.0,0.0,0.704
38,2020-11-24 05:00:00,0.0,0.0,-0.733,87.25,0.75,0.0,0.0,5.05,803.115,0.0,3.497,0.679,219.039,0.0,0.0,0.0,0.701
39,2020-11-24 06:00:00,0.0,0.0,-1.45,88.933,0.583,0.0,0.0,4.9,802.979,0.0,3.689,0.675,215.892,0.0,0.0,0.0,0.699
40,2020-11-24 07:00:00,0.0,0.0,-1.533,90.8,1.167,1.588,0.0,4.967,803.168,0.0,3.956,0.671,216.056,1.588,0.0,0.0,0.7
41,2020-11-24 08:00:00,13.47,0.031,-0.917,90.983,1.25,77.85,0.0,5.2,803.4,0.0,3.579,0.667,219.384,77.85,0.0,0.0,0.704
42,2020-11-24 09:00:00,129.02,0.171,0.85,87.667,1.083,209.869,0.0,5.7,803.341,0.0,2.04,0.664,227.897,209.869,0.0,1.5,0.713
43,2020-11-24 10:00:00,243.165,0.283,2.85,76.0,0.25,318.785,0.0,5.717,803.284,0.0,1.172,0.66,234.48,318.785,0.0,1.5,0.713
44,2020-11-24 11:00:00,324.372,0.36,2.767,74.917,0.25,385.393,0.0,5.583,802.552,0.0,0.752,0.656,233.416,385.393,0.0,1.5,0.71
45,2020-11-24 12:00:00,360.365,0.394,1.75,78.983,0.083,395.962,0.0,5.45,802.285,0.0,0.827,0.653,229.324,395.962,0.0,1.5,0.708
46,2020-11-24 13:00:00,346.535,0.381,1.083,83.7,0.75,355.649,0.0,5.55,801.788,0.0,0.834,0.649,227.776,355.649,0.0,1.5,0.71
