,time,SW_diffuse,cld,sea,index,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,alb,SW_direct,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
1666,2020-03-13 02:00:00,0.0,0.444,0.0,1666,5.267,96.817,3.267,0.0,0.4,8.6,796.784,317.966,0.759,0.0,0.0,0.0,-0.4883088850321013,0.03463102428801459,71699.65699126737,78.18937512679103,0.0,7398.337632298272,272.81596612250945,-0.0,560406.3753966333,163.05610754703972,0.0,11.798130193201075,74.17178091022376,77.22050410485362,0.0,-0.13430766123875132,106912.03287972522,155.2303649333831,1.5481922809202024,6.9445980379777374,0.0,0.0,15.152065069217151,-0.001244581806677009,0.0,0.0,5.684341886080802e-14,163.05610754703966,,746416.4028999239,0.0,0.22293475769996257,6.112911778902558
1667,2020-03-13 03:00:00,0.0,0.444,0.0,1667,4.75,97.0,2.833,0.0,0.4,8.3,796.739,317.511,0.758,0.0,0.0,0.0,-0.4878096966636235,0.03463102428801458,71441.99309021408,77.90838941135668,0.0,7398.337632298272,213.80851962119746,-0.0,560406.3753966333,128.09572560365046,0.0,11.343130193201091,58.001858538246076,58.88506834025306,0.0,-0.13433146804977436,107184.84884584772,154.8582454795494,1.5463354981121284,6.936269220940724,0.0,0.0,11.526621532729573,-0.0018101208198211692,0.0,0.0,2.842170943040401e-14,128.09572560365044,,746431.554964993,0.0,0.22293475769996257,6.112911778902558
1668,2020-03-13 04:00:00,0.0,0.444,0.0,1668,4.3,96.0,2.483,0.0,0.6,8.0,796.781,312.467,0.757,0.0,0.0,0.0,-0.4873098202978292,0.03463102428801459,71239.71119212561,77.68779846469533,0.0,7398.337632298272,161.13035632496104,-0.0,560406.3753966333,96.71814097064042,0.0,6.2991301932010515,46.02245629142042,44.530875192090626,0.0,-0.13432070607166985,107398.65736546891,154.5657954375837,1.5448746795774713,6.9297165480882335,0.0,0.0,8.700358330108884,-0.0014244701402772741,0.0,0.0,2.842170943040401e-14,96.71814097064039,,746443.0815865258,0.0,0.22293475769996257,6.112911778902558
1669,2020-03-13 05:00:00,0.0,0.444,0.0,1669,3.967,96.533,1.817,0.0,0.6,7.833,796.619,307.002,0.755,0.0,0.0,0.0,-0.4868095113392952,0.03463102428801458,71087.28119413076,77.52157164027345,0.0,7398.337632298272,102.2555998621171,-0.0,560406.3753966333,61.466408419514536,0.0,0.8341301932010765,31.06371819284316,29.70283867516808,0.0,-0.13427864169778245,107559.78772179388,154.3452361132083,1.5437720483134831,6.924770566244199,0.0,0.0,5.795003488337383,-0.0010754437872317545,0.0,0.0,7.105427357601002e-15,61.46640841951453,,746451.7819448559,0.0,0.22293475769996257,6.112911778902558
1670,2020-03-13 06:00:00,0.734,0.444,0.0,1670,3.767,96.617,3.183,0.734,0.2,7.7,796.862,299.14,0.754,0.0,0.0,0.0,-0.4863090018281833,0.03463102428801459,70990.82059775699,77.41638015022572,0.0,7398.337632298272,154.10564315243568,-0.0,560406.3753966333,92.71765045545604,0.180564,-7.027869806798947,51.68934457889379,48.00981299564563,0.0,-0.1342013122844299,107662.04332165599,154.20558053902724,1.5430734677527336,6.921637001213977,0.0,0.0,9.358206427116997,-0.0006815337660993613,0.0,0.0,1.4210854715202004e-14,92.71765045545602,,746457.5769483442,0.0,0.22293475769996257,6.112911778902558
1671,2020-03-13 07:00:00,28.014,0.688,0.036,1671,3.133,97.083,5.217,28.014,0.6,7.417,797.249,305.869,0.753,0.0,0.0,0.0,-0.4858085540940394,0.05217350330518541,70846.07316103167,77.25853125521448,0.0,7398.337632298272,235.0983881056915,-0.0,560406.3753966333,141.6395273652014,6.919458,-0.29886980679890485,70.49541381086311,64.65767981095462,0.0,-0.13415444981745137,107816.14896480842,153.99589657867247,1.5420239991780633,6.916929486847453,0.0,0.0,12.586117466104238,-0.0010236263464621649,0.0,0.0,0.0,141.6395273652014,,746466.9351547713,0.0,0.22293475769996257,6.112911778902558
1672,2020-03-13 08:00:00,89.609,0.666,0.212,1672,2.433,97.083,4.683,97.377,1.0,7.083,797.686,299.898,0.751,7.768,0.0,0.0,-0.4853079406387927,0.13654265357350412,70623.5608903921,77.01587883357917,0.0,7398.337632298272,179.74044571685513,-0.0,560406.3753966333,108.51540936378947,22.576746169906784,-6.2698698067989085,49.16815206241457,43.17453774516417,0.0,-0.13415680689714973,108051.24735291411,153.67328223858414,1.5404079175545233,6.909680363201534,0.0,0.0,8.386651168524883,-0.0015757070612030769,0.0,0.0,1.4210854715202004e-14,108.51540936378946,,746479.5212722374,0.0,0.22293475769996257,6.112911778902558
1673,2020-03-13 09:00:00,172.526,0.586,0.377,1673,1.95,96.267,2.667,210.786,0.2,6.8,797.773,300.126,0.75,38.26,0.0,0.0,-0.4848067931721214,0.2118550921857595,70452.20709584375,76.82901537169438,0.0,7398.337632298272,130.37968994848313,-0.0,560406.3753966333,78.84222672611475,45.157893956756794,-6.041869806798957,22.445155076584047,17.415174336110564,0.0,-0.1341268365377053,108230.98779863097,153.42461017490888,1.5391610791324961,6.904087523238439,0.0,0.0,3.3774223318556977,-0.0012159788556781802,0.0,0.0,1.4210854715202004e-14,78.84222672611473,,746487.907923406,0.0,0.22293475769996257,6.112911778902558
1674,2020-03-13 10:00:00,224.053,0.489,0.522,1674,1.933,94.867,2.167,351.847,0.0,6.667,797.746,281.525,0.749,127.794,0.0,0.0,-0.48430535178362183,0.2733528681211324,70325.20482822713,76.69051780613646,0.0,7398.337632298272,115.15138707489774,-0.0,560406.3753966333,69.71729196739868,65.00544996359666,-24.642869806798956,18.07761154833736,11.411168978957946,0.0,-0.13406871669432482,108361.36748857946,153.24017183331745,1.5382356549646699,6.899936424605934,0.0,0.0,2.210371552863881,-0.00090270762558911,0.0,0.0,0.0,69.71729196739868,,746491.2853457378,0.0,0.22293475769996257,6.112911778902558
1675,2020-03-13 11:00:00,240.035,0.436,0.634,1675,2.217,92.75,0.833,461.791,0.0,6.667,798.057,281.256,0.747,221.756,0.0,0.0,-0.48380382613625594,0.31699031056343036,70212.26381270509,76.56735421232834,0.0,7398.337632298272,108.60960355465795,-0.0,560406.3753966333,65.82712950050714,78.51336433725393,-24.91186980679896,7.973155886071211,4.386480738104278,0.0,-0.13400165412331708,108476.51887565436,153.0760605784727,1.5374117541416306,6.896240720842466,0.0,0.0,0.8487621798779756,-0.0008037291549247485,0.0,0.0,0.0,65.82712950050714,,746493.4957172907,0.0,0.22293475769996257,6.112911778902558
1676,2020-03-13 12:00:00,292.874,0.499,0.699,1676,2.2,91.85,0.5,445.648,0.0,6.567,798.126,288.237,0.746,152.774,0.0,0.0,-0.48330228272349013,0.340527124021887,70104.50297133031,76.44983966339183,0.0,7398.337632298272,126.00162747402612,-0.0,560406.3753966333,76.44649023792657,87.60401347471124,-17.93086980679891,4.749520793189643,2.15775706960323,0.0,-0.13393129277864577,108585.12847920903,152.9193944292269,1.536624818427155,6.8927108284084895,0.0,0.0,0.4170879409665706,-0.0007676873084689141,0.0,0.0,1.4210854715202004e-14,76.44649023792655,,746494.3444794705,0.0,0.22293475769996257,6.112911778902558
1677,2020-03-13 13:00:00,267.515,0.443,0.706,1677,2.233,92.867,0.333,499.162,0.0,6.667,797.938,288.834,0.745,231.647,0.0,0.0,-0.4828007459448724,0.34297778336360907,69978.91843179725,76.3128881480886,0.0,7398.337632298272,125.06945200979268,-0.0,560406.3753966333,75.97168682676873,88.47601751862163,-17.33386980679893,3.209872291715664,1.753539118593907,0.0,-0.13387229536354195,108711.13010668305,152.7367142947841,1.5357067049495494,6.888592522734319,0.0,0.0,0.33854890874334914,-0.0008955797648453732,0.0,0.0,0.0,75.97168682676873,,746494.7615674115,0.0,0.22293475769996257,6.112911778902558
1678,2020-03-13 14:00:00,274.511,0.494,0.652,1678,2.45,92.55,0.083,424.868,0.0,6.75,797.924,282.686,0.744,150.357,0.0,0.0,-0.48229913038693883,0.323646580689601,69854.1875286962,76.17686753401985,0.0,7398.337632298272,99.47577012141238,-0.0,560406.3753966333,60.49707154566657,82.73242340678307,-23.481869806798954,0.8777914658103089,0.5025392361249278,0.0,-0.13381275625277694,108836.19955869284,152.5551676932169,1.5347937442653068,6.884497330519064,0.0,0.0,0.09690795181954147,-0.0008905561095561702,0.0,0.0,0.0,60.49707154566657,,746495.1001163202,0.0,0.22293475769996257,6.112911778902558
1679,2020-03-13 15:00:00,227.419,0.47,0.549,1679,2.733,90.567,0.25,382.756,0.0,6.75,797.762,267.586,0.742,155.337,0.0,0.0,-0.4817974396707113,0.28420741422206686,69754.80866652662,76.06849363852412,0.0,7398.337632298272,58.82856707134867,-0.0,560406.3753966333,35.811087396719046,70.0642671925774,-38.58186980679892,2.948754627253047,1.5136723979666498,0.0,-0.13373701427913412,108935.67532881425,152.41044378983966,1.5340655681908637,6.881231011341401,0.0,0.0,0.29161451367117286,-0.0007103915071147723,0.0,0.0,7.105427357601002e-15,35.81108739671904,,746495.197024272,0.0,0.22293475769996257,6.112911778902558
1680,2020-03-13 16:00:00,188.148,0.558,0.411,1680,2.633,90.033,0.167,243.624,0.0,6.667,797.47,268.462,0.741,55.476,0.0,0.0,-0.48129579492312985,0.22672372582217648,69696.27171396893,76.00465835765424,0.0,7398.337632298272,27.787711908471653,-0.0,560406.3753966333,16.924860429973155,51.987962882151166,-37.705869806798944,1.897000013617704,0.8794025009164638,0.0,-0.13363515991323202,108994.5038958856,152.32516516540522,1.533636328227867,6.879305605148912,0.0,0.0,0.16932530629083384,-0.00041883796990909854,0.0,0.0,0.0,16.924860429973155,,746495.4886387858,0.0,0.22293475769996257,6.112911778902558
1681,2020-03-13 17:00:00,89.267,0.729,0.249,1681,2.417,91.35,0.583,92.486,0.0,6.65,797.363,268.417,0.74,3.219,0.0,0.0,-0.48079439193384027,0.153828097823656,69668.65332736674,75.97454016070529,0.0,7398.337632298272,0.0,-0.22848374805305996,560406.3753966333,-5.492032435436045,23.33816488819253,-37.75086980679896,6.078367216193177,2.975818846866501,0.0,-0.13351357988929316,109022.29160779408,152.28492147092547,1.533433724577977,6.878396802717293,0.0,0.0,0.5728302043063043,-0.00019772305459996224,0.0,0.0,-5.492032435436045,0.0,,746495.6579640921,0.0,0.22293475769996257,6.112911778902558
1682,2020-03-13 18:00:00,6.046,0.942,0.075,1682,1.65,92.95,1.083,6.078,0.0,6.4,797.345,278.535,0.738,0.032,0.0,-0.22848374805305996,-0.480293378929141,0.07110084946619283,69669.22615757106,75.97516483922689,0.0,7398.337632298272,0.0,-0.5071541274662388,560406.3753966333,-12.190394028213454,1.5846481095219247,-26.60974465953086,8.775418220273973,4.129210061242999,0.0,-0.06992575972149091,109022.29160779408,152.28575621538107,1.5334379273038055,6.878415654536865,0.0,0.0,0.7948565857776616,4.102037913995264e-06,0.0,0.0,-12.190394028213456,0.0,,746496.2307942964,0.0,0.22293475769996257,5.998813590090811
