,level_0,index,When,T_a,RH,v_a,SW_direct,SW_diffuse,LW_in,cld,p_a
0,0,0,2019-01-30 17:00:00,-5.86118,91.34252,1.77838,2.87079,5.002,188.29514,0.13689,875.34062
1,1,1,2019-01-30 17:05:00,-5.974929166666667,91.4225975,1.8151775,2.6315575,4.585166666666667,188.30247500000002,0.13491583333333335,875.3410366666666
2,2,2,2019-01-30 17:10:00,-6.088678333333333,91.502675,1.851975,2.392325,4.168333333333333,188.30981,0.13294166666666668,875.3414533333333
3,3,3,2019-01-30 17:15:00,-6.2024275,91.5827525,1.8887725,2.1530925,3.7515,188.317145,0.13096750000000001,875.34187
4,4,4,2019-01-30 17:20:00,-6.316176666666666,91.66283,1.92557,1.9138600000000001,3.3346666666666662,188.32448,0.12899333333333335,875.3422866666666
5,5,5,2019-01-30 17:25:00,-6.429925833333333,91.7429075,1.9623675,1.6746275,2.9178333333333333,188.331815,0.12701916666666668,875.3427033333334
6,6,6,2019-01-30 17:30:00,-6.543675,91.82298499999999,1.999165,1.435395,2.501,188.33915000000002,0.12504500000000002,875.34312
7,7,7,2019-01-30 17:35:00,-6.657424166666667,91.90306249999999,2.0359625,1.1961625,2.0841666666666665,188.346485,0.12307083333333334,875.3435366666666
8,8,8,2019-01-30 17:40:00,-6.7711733333333335,91.98313999999999,2.0727599999999997,0.9569300000000001,1.6673333333333331,188.35382,0.12109666666666667,875.3439533333334
9,9,9,2019-01-30 17:45:00,-6.8849225,92.0632175,2.1095574999999998,0.7176974999999999,1.2504999999999997,188.361155,0.11912249999999999,875.34437
10,10,10,2019-01-30 17:50:00,-6.998671666666667,92.143295,2.146355,0.4784649999999999,0.8336666666666668,188.36849,0.11714833333333333,875.3447866666667
11,11,11,2019-01-30 17:55:00,-7.112420833333333,92.2233725,2.1831525,0.23923249999999996,0.41683333333333294,188.375825,0.11517416666666666,875.3452033333334
12,12,12,2019-01-30 18:00:00,-7.22617,92.30345,2.21995,0.0,0.0,188.38316,0.1132,875.34562
13,13,13,2019-01-30 18:05:00,-7.280145833333333,92.35537083333332,2.2251475,0.0,0.0,188.52453833333334,0.1055,875.3361416666667
14,14,14,2019-01-30 18:10:00,-7.334121666666666,92.40729166666667,2.230345,0.0,0.0,188.66591666666667,0.0978,875.3266633333334
15,15,15,2019-01-30 18:15:00,-7.3880975,92.4592125,2.2355424999999998,0.0,0.0,188.807295,0.0901,875.3171850000001
16,16,16,2019-01-30 18:20:00,-7.442073333333333,92.51113333333333,2.2407399999999997,0.0,0.0,188.94867333333335,0.0824,875.3077066666667
17,17,17,2019-01-30 18:25:00,-7.496049166666666,92.56305416666666,2.2459374999999997,0.0,0.0,189.09005166666668,0.07469999999999999,875.2982283333333
