,time,sea,temp,RH,wind,SW_direct,SW_diffuse,ppt,vp_a,press,missing_type,LW_in,SW_global,alb,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,dy,snow2ice,dep,t_cone,fountain_runoff,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice,dis_fountain,dis_iceV,dis_freeze
1994,2021-02-13 18:00:00,0.12,-9.2,91.0,0.25,0.0,0.0,0.0,2.8,799.276,pressSW_directSW_diffuseLW_in,159.29,0.0,0.25,7.5,-1.2754863829213308,-0.7539462481285808,0.07906548729323251,107218.08851175781,116.92267013277842,1.3964020487819893,5149.146312166086,0.0,0.8329652331312586,731376.2879747701,-145.3936784336063,0.0,-141.19914124228725,-6.312027564780628,-4.727475569264829,6.717564164027217,0.12740177869919553,119964.8247838798,233.67845273530313,1.8518303625249426,7.764934487165273,0.0060751532861949235,0.0,0.0,0.0017804699964194732,59.72188837007952,390.2781116299205,8.898609233802892,,-154.2922876674092,963708.3475825735,1.0,0.23819634711230708,5.5003691455322965,11.079563404815982,130.79524803094688,5.539781702407991
1995,2021-02-13 19:00:00,0.0,-9.3,91.0,1.167,0.0,0.0,0.0,2.767,799.764,pressSW_directSW_diffuseLW_in,143.726,0.0,0.25,7.5,-0.4425211497900722,-0.7544229316837371,0.03080378864239396,107605.30653780483,117.34493624624301,7.560849545653022,5150.542714214868,0.0,-1.9495999454758097,731437.6735466743,-212.34515926138505,0.0,-160.46263686761557,-32.95782744893031,-25.555149266780184,6.70657573778367,-0.07612141584265006,119964.8247838798,234.06132449325878,1.8556032633745128,7.77103135283068,0.006096865665406881,0.0,0.0,0.0018070391536822831,0.0,450.0,-104.49311800547686,,-178.37205736739497,964158.3475825735,1.0,0.23848628286379608,5.893692441128145,11.149383362503876,131.1600043023483,5.574691681251938
1996,2021-02-13 20:00:00,0.0,-9.483,90.917,1.0,0.0,0.0,0.0,2.7,800.378,pressSW_directSW_diffuseLW_in,140.708,0.0,0.25,7.5,-2.392121095265882,-0.7541386774793539,0.030849255457822772,108047.74568825918,117.82742168839606,4.796964120867209,5158.103563760521,0.0,0.8771290983762702,731437.6735466743,-186.5946774658762,0.0,-154.87483212070143,-22.629181483169784,-16.184735252371567,6.694715672304312,0.3993557180622955,119964.8247838798,234.47597729862875,1.860065843609049,7.77758416161571,0.006552808785030378,0.0,0.0,0.0020613633764468638,0.0,450.0000000000001,-105.01411696895642,,-178.05662004695338,964608.3475825735,1.0,0.23878468366989533,5.0106028665063045,11.223815023976442,131.52719563355802,5.611907511988221
1997,2021-02-13 21:00:00,0.0,-9.55,91.167,0.417,0.0,0.0,0.0,2.7,800.734,pressSW_directSW_diffuseLW_in,137.586,0.0,0.25,7.5,-1.5149919968896115,-0.7556264845624103,0.0308956464317296,108492.94872413832,118.31292118226644,2.3348465583422917,5162.900527881388,0.0,0.7788962937534267,731437.6735466743,-173.5409202689705,0.0,-161.8456858652895,-10.699329050872677,-7.8637472013890175,6.682888362890112,0.18495348569059372,119964.8247838798,234.8909505531735,1.8645909654204071,7.784128415174936,0.00654425355922619,0.0,0.0,0.0020705724290554757,0.0,450.0000000000001,-18.086464366936667,,-177.74205392620624,965058.3475825735,1.0,0.23915727621295713,5.391788446763513,11.033657624968315,131.88816589391686,5.516828812484158
1998,2021-02-13 22:00:00,0.0,-9.8,90.9,0.417,0.0,0.0,0.0,2.633,800.332,pressSW_directSW_diffuseLW_in,135.892,0.0,0.25,7.5,-0.7360957031361848,-0.7563139191243666,0.030942425901159764,108940.61387757998,118.8011056462159,2.7108541599782385,5165.235374439731,0.0,-0.11703456307761254,731437.6735466743,-181.5021301064426,0.0,-166.98889211292175,-12.06538547136682,-9.114033290475307,6.671100207794544,-0.004919439473257669,119964.8247838798,235.30601416628352,1.8691446017972124,7.790664136350647,0.0065357211757111,0.0,0.0,0.0020783451333471147,0.0,450.0,-19.411188876161514,,-177.42852917688947,965508.3475825735,1.0,0.2395375392041889,5.75223607023056,11.140433050749992,132.2526293525019,5.570216525374996
1999,2021-02-13 23:00:00,0.0,-10.233,91.017,0.333,0.0,0.0,0.0,2.55,800.755,pressSW_directSW_diffuseLW_in,134.444,0.0,0.25,7.5,-0.8531302662137973,-0.7562956775255106,0.030988830354668838,109387.90302342,119.28888006916031,2.1880755975637722,5167.946228599709,0.0,0.16573493970071318,731437.6735466743,-178.55511105034068,0.0,-167.91673223293358,-9.977798397792592,-7.343478642905603,6.65936042648146,0.023537796809628867,119964.8247838798,235.72083495552636,1.8736780044483017,7.797191351081208,0.006527214730561202,0.0,0.0,0.0020729364894163595,0.0,449.9999999999999,-18.946520105367586,,-177.1162910053199,965958.3475825735,1.0,0.23992108619802074,5.696711444847919,11.400963100023898,132.62561614966737,5.700481550011949
2000,2021-02-14 00:00:00,0.0,-10.783,90.25,0.583,0.0,0.0,0.0,2.433,800.942,pressSW_directSW_diffuseLW_in,136.425,0.0,0.25,7.5,-0.6873953265130841,-0.7563827535421312,0.031035102743333515,109835.71494782245,119.77722458868314,4.07695981410516,5170.134304197272,0.0,-0.5911535537257178,731437.6735466743,-192.50960222452937,0.0,-166.67253846217613,-18.80917580860587,-13.658801615035133,6.647665741039587,-0.016752079751822035,119964.8247838798,236.135519015208,1.878206650341536,7.803710089786703,0.00651873870549477,0.0,0.0,0.0020717070666025875,0.0,450.0,-67.13656606808807,,-176.80525223022948,966408.3475825735,1.0,0.24030165736390266,5.77548585078911,13.416187484441448,133.0645317707505,6.708093742220724
2001,2021-02-14 01:00:00,0.0,-11.667,89.7,1.35,0.0,0.0,0.0,2.267,801.179,pressSW_directSW_diffuseLW_in,144.788,0.0,0.25,7.5,-1.2785488802388019,-0.7563209247818585,0.03108060161648284,110281.63798800834,120.26350925627955,9.146058389041476,5174.211264011377,0.0,-1.584664002065369,731437.6735466743,-224.3516980101734,0.0,-155.68760217784387,-44.83895806491271,-30.587846382299574,6.636023851734484,0.12668476314825783,119964.8247838798,236.54978268194566,1.8826893990462952,7.810220381256162,0.006510291469459186,0.0,0.0,0.002059345708025777,0.0,450.0,-217.9750595847919,,-176.49561765243806,966858.3475825735,1.0,0.24068124375861746,5.4989682693469915,14.667925679143298,133.5443984778108,7.333962839571649
2002,2021-02-14 02:00:00,0.0,-13.767,87.317,1.333,0.0,0.0,0.0,1.833,801.413,pressSW_directSW_diffuseLW_in,140.35,0.0,0.25,7.5,-2.863212882304171,-0.756787420647942,0.031124488380784788,110722.4919296193,120.74426600830894,8.35165011863928,5183.3573224004185,0.0,0.25325490349218854,731437.6735466743,-220.4203785668522,0.0,-153.1810557729011,-46.49193662299881,-27.882311585547352,6.624444895518033,0.5104805190769894,119964.8247838798,236.96325122457606,1.8870722832301254,7.816722258023743,0.0065018767675813,0.0,0.0,0.002032370296766652,0.0,450.0,-303.49152874068335,,-176.18765688031715,967308.3475825735,1.0,0.24105458068309868,4.816171546424706,17.66589789460996,134.12234497381766,8.83294894730498
2003,2021-02-14 03:00:00,0.0,-14.317,89.45,0.667,0.0,0.0,0.0,1.8,801.643,pressSW_directSW_diffuseLW_in,173.513,0.0,0.25,7.5,-2.609957978811982,-0.7586629695488722,0.031168329203003445,111164.14027950066,121.2258890725198,4.378713934454613,5191.708972519058,0.0,1.2439574662850181,731437.6735466743,-153.6400251700572,0.0,-121.1197407795872,-24.988348491809592,-14.59305177535118,6.6129091701889395,0.44820670650181044,119964.8247838798,237.37661588888122,1.8914555697793818,7.823215757568676,0.00649349954493231,0.0,0.0,0.002032479980427086,21.103055011872808,428.8969449881272,13.289259810196166,,-166.92928498025339,967758.3475825735,1.0,0.24141477987056215,4.919823989964459,18.051940361205244,134.71292099435874,9.025970180602622
